codigoParlamentar,TipoUsoPalavra,DataPronunciamento,LocalPronunciamento,TextoResumo,CodigoPronunciamento
6304,POB,2024-05-22,Senado Federal,"Orientação à bancada, pela Liderança da Bancada Feminina, sobre o Projeto de Lei Complementar (PLP) n° 150, de 2021, que ""Altera a Lei Complementar nº 79, de 7 de janeiro de 1994, para instituir mecanismos de proteção à população LGBT+ encarcerada"".",506165
6304,POR,2024-05-14,Senado Federal,Solicitação para que a Câmara dos Deputados aprecie o projeto que cria cadastro nacional de pedófilos.,506025
6304,PDI,2024-05-07,Senado Federal,"Discussão sobre o Projeto de Decreto Legislativo (PDL) n° 236, de 2024, que ""Reconhece, para os fins do disposto no art. 65 da Lei Complementar nº 101, de 4 de maio de 2000 (Lei de Responsabilidade Fiscal), a ocorrência do estado de calamidade pública em parte do território nacional, para atendimento às consequências derivadas de eventos climáticos no Estado do Rio Grande do Sul.""",505684
6304,PL,2024-04-24,Senado Federal,"Defesa da aprovação da PEC nº 8/2024, que revoga a competência concorrente para legislar sobre direito penitenciário, atribuindo-a aos Estados, e da aprovação do Projeto de Lei Complementar nº 28/2024, de iniciativa de S. Exa., que autoriza os Estados e o Distrito Federal a legislarem sobre questões específicas em matéria penal e processual penal.",505562
6304,POR,2024-04-17,Senado Federal,"Satisfação com a aprovação, na Comissão de Constituição e Justiça (CCJ), do Projeto de Lei (PL) n° 6212, de 2023, que ""Altera o art. 234-B do Decreto-Lei nº 2.848, de 7 de dezembro de 1940 (Código Penal) e a Lei nº 14.069, de 02 de outubro de 2020, para permitir a consulta pública do nome completo e cadastro de pessoa física das pessoas condenadas por crimes contra a dignidade sexual, garantindo-se o sigilo das informações relativas à vítima, bem como determina o desenvolvimento de um sistema denominado “Cadastro Nacional de Pedófilos e Predadores Sexuais”.""",505281
6304,POR,2024-04-16,Senado Federal,"Pela ordem sobre a Proposta de Emenda à Constituição (PEC) n° 45, de 2023, que ""Altera o art. 5º da Constituição Federal, para prever como mandado de criminalização a posse e o porte de entorpecentes e drogas afins sem autorização ou em desacordo com determinação legal ou regulamentar"".",505176
6304,POR,2024-04-10,Senado Federal,"Registro de operação policial no Estado do Mato Grosso/MT, com participação da Abin, da Polícia Federal e do Gefron, que resultou na apreensão de 420 kg de cocaína, e crítica à liberação, em menos de 24 horas, dos dois indivíduos que haviam sido presos por portarem a droga.",505030
6304,POB,2024-04-10,Senado Federal,"Orientação à bancada, pela Liderança da Bancada Feminina, sobre o Projeto de Lei Complementar (PLP) n° 252, de 2023, que ""Altera a Lei Complementar n° 182, de 1° de junho de 2021, para dispor sobre o contrato de investimento conversível em capital social (CICC)"".",505024
6304,POR,2024-04-09,Senado Federal,"Considerações sobre a atuação do Poder Judiciário brasileiro, com ênfase na soltura de presos após realização de audiência de custódia. Defesa de alteração legislativa que extirpe esse instituto jurídico.",505338
6304,PL,2024-03-26,Senado Federal,"Denúncia da falta de controle, pelos órgãos federais, na importação de pneus e consequente prejuízos para o meio ambiente e para a indústria nacional.",504876
6304,POB,2024-03-13,Senado Federal,"Orientação à bancada, pela Liderança da Bancada Feminina, sobre a Proposta de Emenda à Constituição (PEC) n° 72, de 2023, que ""Altera o art. 155 da Constituição Federal para conceder imunidade do Imposto sobre a Propriedade de Veículos Automotores a veículos terrestres de passageiros com vinte anos ou mais de fabricação"".",504570
6304,POR,2024-03-12,Senado Federal,"Pela ordem sobre solicitação de inclusão em pauta do Projeto de Lei Complementar (PLP) n° 252, de 2023, que ""Altera a Lei Complementar n° 182, de 1° de junho de 2021, para dispor sobre o contrato de investimento conversível em capital social (CICC).""",504477
6304,POR,2024-03-12,Senado Federal,"Considerações sobre a disseminação de ""fake news"" nas redes sociais e defesa de regulamentação das redes sociais.",504450
6304,POR,2024-03-12,Senado Federal,"Considerações sobre a concorrência enfrentada por produtores de leite brasileiros com países como Argentina, Chile e Uruguai. Comentários acerca dos pequenos produtores de leite no Estado de Mato Grosso (MT), que desistiram da atividade.",504444
6304,PL,2024-03-12,Senado Federal,"Preocupação com o aumento do número de feminicídios no País. Registro do Projeto de Lei nº 6212/2023, de autoria de S. Exa., que cria o Cadastro Nacional de Pedófilos e Predadores Sexuais.",504434
