codigoParlamentar,TipoUsoPalavra,DataPronunciamento,LocalPronunciamento,TextoResumo,CodigoPronunciamento
6027,POB,2024-05-08,Senado Federal,"Orientação à bancada, pelo Partido REPUBLICANOS, sobre o Projeto de Lei Complementar (PLP) n° 233, de 2023, que ""Dispõe sobre o Seguro Obrigatório para Proteção de Vítimas de Acidentes de Trânsito (SPVAT); altera o Decreto-Lei nº 73, de 21 de novembro de 1966, as Leis nºs 8.212, de 24 de julho de 1991, 9.503, de 23 de setembro de 1997 (Código de Trânsito Brasileiro), e 14.075, de 22 de outubro de 2020, e a Lei Complementar nº 200, de 30 de agosto de 2023; e revoga as Leis nºs 6.194, de 19 de dezembro de 1974, e 8.441, de 13 de julho de 1992, e dispositivos das Leis nºs 8.374, de 30 de dezembro de 1991, 11.482, de 31 de maio de 2007, e 11.945, de 4 de junho de 2009.""",505872
6027,PDI,2024-05-07,Senado Federal,"Discussão sobre o Projeto de Decreto Legislativo (PDL) n° 236, de 2024, que ""Reconhece, para os fins do disposto no art. 65 da Lei Complementar nº 101, de 4 de maio de 2000 (Lei de Responsabilidade Fiscal), a ocorrência do estado de calamidade pública em parte do território nacional, para atendimento às consequências derivadas de eventos climáticos no Estado do Rio Grande do Sul.""",505692
6027,DIS,2024-04-17,Senado Federal,Exposição de divergências político-ideológicas entre as visões da esquerda e da direita no Senado Federal.,505243
6027,POB,2024-04-16,Senado Federal,"Orientação à bancada, pelo Partido REPUBLICANOS, sobre a Proposta de Emenda à Constituição (PEC) n° 45, de 2023, que ""Altera o art. 5º da Constituição Federal, para prever como mandado de criminalização a posse e o porte de entorpecentes e drogas afins sem autorização ou em desacordo com determinação legal ou regulamentar"".",505160
6027,DIS,2024-04-08,Senado Federal,"Críticas ao discurso de preservação da Floresta Amazônica adotado pelo Governo Federal e por ONGs supostamente ambientalistas, em detrimento do bem-estar da população local.",504995
6027,DIS,2024-03-26,Senado Federal,Posicionamento contrário às propostas de descriminalização de posse e porte de drogas.,504865
6027,CIN,2024-03-20,Senado Federal,"Defesa da PEC 32/2019, idealizada pelo Senador Flávio Bolsonaro, que altera a redação do art. 228 da Constituição Federal, a fim de reduzir a maioridade penal para dezesseis anos.",504659
6027,DIS,2024-03-19,Congresso Nacional,Sessão solene destinada ao lançamento da Agenda Legislativa da Indústria 2024 (CNI).,504635
6027,POB,2024-03-13,Senado Federal,"Orientação à bancada, pelo Partido REPUBLICANOS, sobre a Proposta de Emenda à Constituição (PEC) n° 72, de 2023, que ""Altera o art. 155 da Constituição Federal para conceder imunidade do Imposto sobre a Propriedade de Veículos Automotores a veículos terrestres de passageiros com vinte anos ou mais de fabricação"".",504559
6027,DIS,2024-02-27,Senado Federal,Registro do longo período de estiagem no Estado de Roraima. Críticas ao Governo Federal e à Fundação Nacional dos Povos Indígenas por suposta inércia na resolução dos problemas advindos da seca.,504070
