codigoParlamentar,TipoUsoPalavra,DataPronunciamento,LocalPronunciamento,TextoResumo,CodigoPronunciamento
5525,PDI,2024-05-15,Senado Federal,"Discussão sobre o Projeto de Lei Complementar (PLP) n° 85, de 2024, que ""Autoriza a União a postergar o pagamento da dívida de entes federativos afetados por calamidade pública reconhecida pelo Congresso Nacional, mediante proposta do Poder Executivo federal, e a reduzir a taxa de juros dos contratos de dívida dos referidos entes com a União; e altera a Lei Complementar nº 101, de 4 de maio de 2000 (Lei de Responsabilidade Fiscal), e a Lei Complementar nº 159, de 19 de maio de 2017"".",505755
5525,POR,2024-04-23,Senado Federal,Elogio à eleição do Ministro amazonense Mauro Campbell para o cargo de Corregedor do Conselho Nacional de Justiça.,505463
5525,POB,2024-04-17,Senado Federal,"Orientação à bancada, pelo Partido PSD, sobre o Projeto de Lei Complementar (PLP) n° 175, de 2023, que ""Altera a Lei Complementar nº 172, de 15 de abril de 2020, a fim de conceder prazo aos Estados, ao Distrito Federal e aos Municípios para executar atos de transposição e de transferência.""",505268
5525,PDI,2024-04-17,Senado Federal,"Discussão sobre o Projeto de Lei (PL) n° 81, de 2024, que ""Altera os valores da tabela progressiva mensal do Imposto sobre a Renda da Pessoa Física de que trata o art. 1º da Lei nº 11.482, de 31 de maio de 2007; e revoga a Medida Provisória nº 1.206, de 6 de fevereiro de 2024.""",505260
5525,PDI,2024-04-09,Senado Federal,"Discussão sobre a Proposta de Emenda à Constituição (PEC) n° 45, de 2023, que ""Altera o art. 5º da Constituição Federal, para prever como mandado de criminalização a posse e o porte de entorpecentes e drogas afins sem autorização ou em desacordo com determinação legal ou regulamentar.""",505356
5525,PDI,2024-03-20,Senado Federal,"Discussão sobre a Proposta de Emenda à Constituição (PEC) n° 45, de 2023, que ""Altera o art. 5º da Constituição Federal, para prever como mandado de criminalização a posse e o porte de entorpecentes e drogas afins sem autorização ou em desacordo com determinação legal ou regulamentar""",504677
5525,PDI,2024-03-12,Senado Federal,N/A,504458
5525,POR,2024-03-12,Senado Federal,"Considerações sobre a disseminação de ""fake news"" nas redes sociais e defesa de regulamentação das redes sociais.",504452
5525,POR,2024-03-05,Senado Federal,"Pela ordem sobre o Projeto de Lei Complementar (PLP) n° 137, de 2019, que ""Altera a Lei Complementar nº 123, de 14 de dezembro de 2006, que institui o Estatuto Nacional da Microempresa e da Empresa de Pequeno Porte, para dispor sobre a cédula de crédito microempresarial"".",504364
5525,POR,2024-03-05,Senado Federal,"Pela ordem sobre o Projeto de Lei Complementar (PLP) n° 137, de 2019, que ""Altera a Lei Complementar nº 123, de 14 de dezembro de 2006, que institui o Estatuto Nacional da Microempresa e da Empresa de Pequeno Porte, para dispor sobre a cédula de crédito microempresarial.""",504361
5525,PDI,2024-02-27,Senado Federal,"Discussão sobre o Projeto de Lei (PL) n° 5826, de 2019, que ""Altera a Lei nº 11.326, de 24 de julho de 2006 (Lei da Agricultura Familiar), para ampliar o âmbito do planejamento e da execução de ações da Política Nacional da Agricultura Familiar e Empreendimentos Familiares Rurais"".",504059
5525,POR,2024-02-20,Senado Federal,Considerações acerca da possibilidade de o PL 2.253/2022 ser vetado pelo presidente Luiz Inácio Lula da Silva após sua aprovação pelo Congresso.,503979
5525,POR,2024-02-20,Senado Federal,Manifestação acerca do conflito entre Israel e o grupo Hamas na Faixa de Gaza.,503934
5525,POR,2024-02-20,Senado Federal,"Homenagem ao Senador Flávio Dino, que se despede de seu cargo para assumir vaga de Ministro no Supremo Tribunal Federal (STF).",503920
5525,PPP,2023-12-20,Senado Federal,"Como Relator - Para proferir parecer sobre o Projeto de Lei (PL) n° 2673, de 2019, que ""Altera a Lei nº 9.532, de 10 de dezembro de 1997, para ampliar o prazo de vigência dos benefícios fiscais das Áreas de Livre Comércio à Amazônia Ocidental"".",503286
5525,POR,2023-12-20,Senado Federal,"Pela ordem sobre o Projeto de Lei (PL) n° 2673, de 2019, que ""Altera a Lei nº 9.532, de 10 de dezembro de 1997, para ampliar o prazo de vigência dos benefícios fiscais das Áreas de Livre Comércio à Amazônia Ocidental"".",503244
5525,PDI,2023-12-19,Senado Federal,"Discussão sobre a Medida Provisória (MPV) n° 1185, de 2023 (Crédito fiscal de subvenção para investimento), que ""Dispõe sobre o crédito fiscal decorrente de subvenção para a implantação ou a expansão de empreendimento econômico"".",503355
5525,POR,2023-12-06,Senado Federal,Comentário sobre a importância de o Senado assumir a vanguarda na discussão sobre as drogas.,502960
5525,PDI,2023-12-05,Senado Federal,"Discussão sobre o Projeto de Lei (PL) n° 3383, de 2021 (Substitutivo da Câmara dos Deputados), que ""Institui a Política Nacional de Atenção Psicossocial nas Comunidades Escolares.""",502908
5525,PDI,2023-12-05,Senado Federal,"Discussão sobre o Projeto de Lei (PL) n° 3383, de 2021 (Substitutivo da Câmara dos Deputados), que ""Institui a Política Nacional de Atenção Psicossocial nas Comunidades Escolares.""",502905
5525,POR,2023-11-29,Senado Federal,"Pela ordem sobre o Projeto de Lei (PL) n° 3626, de 2023, que ""Dispõe sobre a modalidade lotérica denominada apostas de quota fixa; altera as Leis nºs 5.768, de 20 de dezembro de 1971, e 13.756, de 12 de dezembro de 2018, e a Medida Provisória nº 2.158-35, de 24 de agosto de 2001; revoga dispositivos do Decreto-Lei nº 204, de 27 de fevereiro de 1967; e dá outras providências.""",502845
5525,POR,2023-11-29,Senado Federal,"Considerações sobre as declarações, supostamente desrespeitosas, da Ministra do Meio Ambiente, Marina Silva, sobre a BR-319. Defesa da necessidade da rodovia para o Estado do Amazonas.",502822
5525,POB,2023-11-08,Senado Federal,"Orientação à bancada, pelo Partido PSD, sobre o destaque para votação em separado constante do Requerimento nº 991, de 2023, (Destaque para votação em separado da Emenda nº 804 da PEC nº 45/2019.) à Proposta de Emenda à Constituição (PEC) n° 45, de 2019, que ""Altera o Sistema Tributário Nacional.""",502235
5525,POR,2023-11-08,Senado Federal,"Defesa da Proposta de Emenda à Constituição (PEC) n° 45, de 2019, que ""Altera o Sistema Tributário Nacional"".",502123
5525,PDI,2023-11-01,Senado Federal,"Discussão sobre o Projeto de Lei (PL) n° 3023, de 2022, que ""Altera a Lei nº 11.520, de 18 de setembro de 2007, para modificar o valor da pensão especial concedida às pessoas com hanseníase submetidas compulsoriamente a isolamento ou internação e conceder o benefício aos seus filhos, na forma que especifica"".",501855
5525,PDI,2023-10-24,Senado Federal,"Discussão sobre o Projeto de Lei (PL) n° 5384, de 2020, que ""Altera a Lei nº 12.711, de 29 de agosto de 2012, para dispor sobre o programa especial para o acesso às instituições federais de educação superior e de ensino técnico de nível médio de estudantes pretos, pardos, indígenas e quilombolas e de pessoas com deficiência, bem como daqueles que tenham cursado integralmente o ensino médio ou fundamental em escola pública"".",501640
5525,PDI,2023-10-24,Senado Federal,"Discussão sobre o Projeto de Lei (PL) n° 4503, de 2023, que ""Institui a Lei Orgânica Nacional das Polícias Civis; dispõe sobre suas normas gerais de funcionamento; e dá outras providências"".",501616
5525,POR,2023-10-24,Senado Federal,"Pedido de colocação em pauta, para votação, do Projeto de Lei (PL) n° 3023, de 2022, que ""Altera a Lei nº 11.520, de 18 de setembro de 2007, para modificar o valor da pensão especial concedida às pessoas com hanseníase submetidas compulsoriamente a isolamento ou internação e conceder o benefício aos seus filhos, na forma que especifica"".",501591
5525,POR,2023-10-24,Senado Federal,"Congratulações à cidade de Manaus (AM) por ocasião de seu aniversário de fundação e ao Nacional Futebol Clube, campeão da série C do Campeonato Brasileiro de 2023.",501582
5525,POB,2023-09-27,Senado Federal,"Orientação à bancada, pelo Partido PSD, sobre o Projeto de Lei (PL) n° 2903, de 2023, que ""Regulamenta o art. 231 da Constituição Federal, para dispor sobre o reconhecimento, a demarcação, o uso e a gestão de terras indígenas; e altera as Leis nºs 11.460, de 21 de março de 2007, 4.132, de 10 de setembro de 1962, e 6.001, de 19 de dezembro de 1973.""",500904
5525,POR,2023-09-27,Senado Federal,"Pela ordem sobre o Projeto de Lei (PL) n° 2903, de 2023, que ""Regulamenta o art. 231 da Constituição Federal, para dispor sobre o reconhecimento, a demarcação, o uso e a gestão de terras indígenas; e altera as Leis nºs 11.460, de 21 de março de 2007, 4.132, de 10 de setembro de 1962, e 6.001, de 19 de dezembro de 1973.""",500886
5525,POR,2023-09-26,Senado Federal,"Pela ordem sobre o Projeto de Lei (PL) n° 2796, de 2021, que ""Cria o marco legal para a indústria de jogos eletrônicos e para os jogos de fantasia"".",500815
5525,PDI,2023-09-20,Senado Federal,"Discussão sobre o Projeto de Lei (PL) n° 5614, de 2020, que ""Altera a Lei nº 12.319, de 1º de setembro de 2010, para dispor sobre o exercício profissional e as condições de trabalho do profissional tradutor, guia-intérprete e intérprete da Língua Brasileira de Sinais (Libras)"".",500693
5525,CRE,2023-09-19,Senado Federal,"Como Relator sobre o Projeto de Lei (PL) n° 1077, de 2019, que ""Altera o Decreto-Lei nº 288, de 28 de fevereiro de 1967, para estabelecer prazo máximo para análise de proposta de Processo Produtivo Básico (PPB)"".",500604
5525,POR,2023-09-19,Senado Federal,"Pela ordem sobre o Projeto de Lei (PL) n° 1077, de 2019, que ""Altera o Decreto-Lei nº 288, de 28 de fevereiro de 1967, para estabelecer prazo máximo para análise de proposta de Processo Produtivo Básico (PPB)"".",500592
5525,POR,2023-08-30,Senado Federal,"Pela ordem sobre o Projeto de Lei (PL) n° 2384, de 2023, que ""Disciplina a proclamação de resultados de julgamentos na hipótese de empate na votação no âmbito do Conselho Administrativo de Recursos Fiscais (Carf); dispõe sobre a autorregularização de débitos e a conformidade tributária no âmbito da Secretaria Especial da Receita Federal do Brasil do Ministério da Fazenda, sobre o contencioso administrativo fiscal e sobre a transação na cobrança de créditos da Fazenda Pública; altera o Decreto nº 70.235, de 6 de março de 1972, e as Leis nºs 6.830, de 22 de setembro de 1980 (Lei de Execução Fiscal), 9.430, de 27 de dezembro de 1996, 13.988, de 14 de abril de 2020, 5.764, de 16 de dezembro de 1971, 9.249, de 26 de dezembro de 1995, e 10.150, de 21 de dezembro de 2000; e revoga dispositivo da Lei nº 10.522, de 19 de julho de 2002"".",500053
5525,POB,2023-08-29,Senado Federal,"Orientação à bancada, pelo Partido PSD, sobre o Projeto de Lei Complementar (PLP) n° 257, de 2019, que ""Altera a Lei Complementar nº 101, de 04 de maio de 2000, e a Lei n° 12.340, de 1º de dezembro de 2010, para aperfeiçoar os meios técnicos e financeiros de resposta da União a calamidades públicas.""",500121
5525,PPP,2023-08-29,Senado Federal,"Como Relator, para proferir parecer sobre o Projeto de Lei Complementar (PLP) n° 257, de 2019, que ""Altera a Lei Complementar nº 101, de 04 de maio de 2000, e a Lei n° 12.340, de 1º de dezembro de 2010, para aperfeiçoar os meios técnicos e financeiros de resposta da União a calamidades públicas.""",500119
5525,DIS,2023-08-15,Senado Federal,Sessão Especial destinada a homenagear a Marcha das Margaridas.,499716
5525,POR,2023-08-02,Senado Federal,"Elogio à manifestação do Presidente do Senado, Rodrigo Pacheco, sobre decisão proferida pelo Supremo Tribunal Federal a respeito do piso nacional da enfermagem, bem como sobre o julgamento em que se discute a descriminalização do porte de maconha para consumo próprio.",499418
