codigoParlamentar,TipoUsoPalavra,DataPronunciamento,LocalPronunciamento,TextoResumo,CodigoPronunciamento
825,DIS,2024-05-27,Senado Federal,Atualização numérica dos danos causados pelas enchentes no Rio Grande do Sul. Contentamento com a realização de sessão de debates temáticos sobre a catástrofe climática no Estado. Informações sobre a atuação da Comissão Temporária Externa criada pelo Senado Federal para tratar sobre o tema.,506264
825,DISPRES,2024-05-27,Senado Federal,Encerramento de sessão de debates temáticos destinada a debater “A Tragédia no Estado do Rio Grande do Sul”.,506261
825,DIS,2024-05-27,Senado Federal,Sessão de debates temáticos destinada a debater “A Tragédia no Estado do Rio Grande do Sul”.,506219
825,POB,2024-05-22,Senado Federal,"Orientação à bancada, pelo Partido PT, sobre a preferência constante do Requerimento nº 369, de 2024, (Requer preferência para a votação da Emenda Substitutiva n° 23 em relação ao Substitutivo da CCJ.) ao Projeto de Lei (PL) n° 1958, de 2021, que ""Reserva aos negros 20% (vinte por cento) das vagas oferecidas nos concursos públicos para provimento de cargos efetivos e empregos públicos no âmbito da administração pública federal, das autarquias, das fundações públicas, das empresas públicas e das sociedades de economia mista controladas pela União.""",506204
825,PDI,2024-05-22,Senado Federal,"Discussão sobre o Projeto de Lei (PL) n° 1958, de 2021, que ""Reserva aos negros 20% (vinte por cento) das vagas oferecidas nos concursos públicos para provimento de cargos efetivos e empregos públicos no âmbito da administração pública federal, das autarquias, das fundações públicas, das empresas públicas e das sociedades de economia mista controladas pela União"".",506199
825,DIS,2024-05-21,Senado Federal,"Satisfação pelo encontro com o Embaixador do Japão no Brasil, Sr. Hayashi Teiji, ressaltando o auxílio oferecido pelos japoneses para combate à tragédia climática no Estado do Rio Grande do Sul. Anúncio de visita da Comissão Temporária Externa do Rio Grande do Sul à região na próxima quinta-feira, dia 23, para acompanhar os desdobramentos da crise.",506046
825,CRE,2024-05-15,Senado Federal,"Encaminhamento sobre o destaque para votação em separado constante do Requerimento nº 348, de 2024, ao Projeto de Lei Complementar (PLP) n° 85, de 2024, que ""Autoriza a União a postergar o pagamento da dívida de entes federativos afetados por calamidade pública reconhecida pelo Congresso Nacional, mediante proposta do Poder Executivo federal, e a reduzir a taxa de juros dos contratos de dívida dos referidos entes com a União; e altera a Lei Complementar nº 101, de 4 de maio de 2000 (Lei de Responsabilidade Fiscal), e a Lei Complementar nº 159, de 19 de maio de 2017"".",505781
825,PPP,2024-05-15,Senado Federal,"Como Relator, para proferir parecer sobre o Projeto de Lei Complementar (PLP) n° 85, de 2024, que ""Autoriza a União a postergar o pagamento da dívida de entes federativos afetados por calamidade pública reconhecida pelo Congresso Nacional, mediante proposta do Poder Executivo federal, e a reduzir a taxa de juros dos contratos de dívida dos referidos entes com a União; e altera a Lei Complementar nº 101, de 4 de maio de 2000 (Lei de Responsabilidade Fiscal), e a Lei Complementar nº 159, de 19 de maio de 2017"".",505748
825,DIS,2024-05-15,Senado Federal,"Agradecimento pelas contribuições destinadas ao Rio Grande do Sul, em função da tragédia ocasionada pelas chuvas intensas e comentários sobre a situação atual do estado. Registro do recebimento de correspondência da Associação Gaúcha dos Auditores Fiscais do Trabalho (Agitra) sugerindo a recriação do Programa Emergencial de Manutenção de Emprego e Renda para o estado gaúcho. Defesa da aprovação do Projeto de Lei Complementar nº 85/2024, que suspende o pagamento e reduz a taxa de juros dos contratos de dívida de entes federativos afetados por calamidade pública com a União.",505729
825,POR,2024-05-14,Senado Federal,"Pela ordem sobre o Requerimento (RQS) n° 322, de 2024, que ""Requer realização de Sessão de Debates Temáticos destinada a discutir a Tragédia no Estado do Rio Grande do Sul"".",506017
825,POR,2024-05-14,Senado Federal,"Pela ordem sobre o Requerimento (RQS) n° 322, de 2024, que ""Requer realização de Sessão de Debates Temáticos destinada a discutir a Tragédia no Estado do Rio Grande do Sul"".",506015
825,DIS,2024-05-14,Senado Federal,"Elogios à decisão do Presidente Lula e do Ministro da Fazenda, Sr. Fernando Haddad, de suspender a dívida pública do Estado do Rio Grande do Sul com a União por 3 anos, matéria essa objeto do Projeto de Lei Complementar nº 85/2024. Registro da doação financeira feita pelas vítimas da tragédia de Brumadinho ao povo gaúcho. Atualização dos dados da tragédia no referido Estado.",505971
825,POR,2024-05-08,Senado Federal,"Pela ordem sobre o Requerimento (RQS) n° 322, de 2024, que ""Requer realização de Sessão de Debates Temáticos destinada a discutir a Tragédia no Estado do Rio Grande do Sul.""",505966
825,DIS,2024-05-08,Senado Federal,"Destaque para a aprovação do Projeto de Decreto Legislativo nº 236/2024, relatado por S. Exa., que reconhece o estado de calamidade pública no Rio Grande do Sul até 31 de dezembro de 2024.",505845
825,PPP,2024-05-07,Senado Federal,"Como Relator - Para proferir parecer sobre o Projeto de Decreto Legislativo (PDL) n° 236, de 2024, que ""Reconhece, para os fins do disposto no art. 65 da Lei Complementar nº 101, de 4 de maio de 2000 (Lei de Responsabilidade Fiscal), a ocorrência do estado de calamidade pública em parte do território nacional, para atendimento às consequências derivadas de eventos climáticos no Estado do Rio Grande do Sul.""",505679
825,DIS,2024-05-07,Senado Federal,"Exposição das respostas institucionais ao desastre causado pelas chuvas no Estado do Rio Grande do Sul. Agradecimento pelas medidas de apoio e solidariedade, destacando o envio de recursos e suporte por diversas entidades. Apelo à ação continuada e à reconstrução do estado.",505656
