codigoParlamentar,TipoUsoPalavra,DataPronunciamento,LocalPronunciamento,TextoResumo,CodigoPronunciamento
5386,NID,2024-06-04,Senado Federal,"Encerramento da Sessão Especial destinada a celebrar os 25 anos da Política Nacional de Educação Ambiental - PNEA (Lei nº 9.795, de 1999).",506320
5386,NID,2024-06-04,Senado Federal,"Sessão Especial destinada a celebrar os 25 anos da Política Nacional de Educação Ambiental - PNEA (Lei nº 9.795, de 1999).",506310
5386,DISPRES,2024-06-04,Senado Federal,"Sessão Especial destinada a celebrar os 25 anos da Política Nacional de Educação Ambiental - PNEA (Lei nº 9.795, de 1999).",506305
5386,FP,2024-06-04,Senado Federal,"Abertura da Sessão Especial destinada a celebrar os 25 anos da Política Nacional de Educação Ambiental - PNEA (Lei nº 9.795, de 1999).",506304
5386,FP,2024-04-24,Senado Federal,Abertura de Sessão de Debates Temáticos destinada a debater o Plano Nacional de Educação (PNE).,505502
5386,DIS,2024-03-21,Senado Federal,Satisfação com os indicadores econômicos do Estado de Tocantins e elogios ao Governo Estadual pela atuação nas diferentes áreas públicas.,504763
5386,CRE,2024-03-12,Senado Federal,"Como Relator sobre o Projeto de Lei do Senado (PLS) n° 756, de 2015, que ""Dispõe sobre Educação Integral e estabelece diretrizes para a sua implementação na educação básica.""",504471
5386,CRE,2024-03-12,Senado Federal,"Como Relator sobre o Projeto de Lei do Senado (PLS) n° 756, de 2015, que ""Dispõe sobre Educação Integral e estabelece diretrizes para a sua implementação na educação básica.""",504461
5386,POR,2024-03-06,Senado Federal,"Requerimento de inserção em ata de voto de aplauso à Federação Nacional dos Peritos Oficiais em Identificação (Fenappi), em razão do Dia do Perito Papiloscopista, comemorado em 5 de fevereiro.",504296
5386,PDI,2024-03-06,Senado Federal,"Discussão sobre o Projeto de Lei (PL) n° 5206, de 2023, que ""Institui marco regulatório do Sistema Nacional de Cultura (SNC), para garantia dos direitos culturais, organizado em regime de colaboração entre os entes federativos para gestão conjunta das políticas públicas de cultura"".",504285
5386,DIS,2024-03-06,Senado Federal,Sessão de premiações e condecorações destinada à entrega do Diploma Bertha Lutz.,504226
5386,CIN,2024-02-06,Senado Federal,"Exposição sobre a importância da aprovação do Projeto de Lei nº 5665/2023, de autoria de S. Exa., que prorroga, até 31 de dezembro de 2028, a vigência do Plano Nacional de Educação, visando ampliar o debate e o cumprimento de metas acerca do tema.",503760
5386,PEN,2023-12-12,Senado Federal,"Encaminhamento sobre o Projeto de Lei (PL) n° 3626, de 2023, que ""Dispõe sobre a modalidade lotérica denominada apostas de quota fixa; altera as Leis nºs 5.768, de 20 de dezembro de 1971, e 13.756, de 12 de dezembro de 2018, e a Medida Provisória nº 2.158-35, de 24 de agosto de 2001; revoga dispositivos do Decreto-Lei nº 204, de 27 de fevereiro de 1967; e dá outras providências.""",503096
5386,PDI,2023-10-17,Senado Federal,"Discussão sobre o Projeto de Lei (PL) n° 3526, de 2019, que ""Estabelece a obrigatoriedade da prestação de cirurgia plástica reconstrutiva de lábio leporino ou fenda palatina pelo Sistema Único de Saúde (SUS)"".",501473
5386,CRE,2023-10-10,Senado Federal,"Como Relator sobre o Projeto de Lei (PL) n° 2721, de 2023, que ""Dispõe sobre a prestação de serviços postais aos órgãos públicos federais da administração direta e indireta.""",501211
5386,CRE,2023-10-10,Senado Federal,"Como Relator sobre o Projeto de Lei (PL) n° 2721, de 2023, que ""Dispõe sobre a prestação de serviços postais aos órgãos públicos federais da administração direta e indireta"".",501205
5386,CRE,2023-10-10,Senado Federal,"Como Relator sobre o Projeto de Lei (PL) n° 2721, de 2023, que ""Dispõe sobre a prestação de serviços postais aos órgãos públicos federais da administração direta e indireta"".",501202
5386,PDI,2023-10-10,Senado Federal,"Discussão sobre o Projeto de Lei (PL) n° 4712, de 2020, que ""Altera o Decreto-Lei nº 227, de 28 de fevereiro de 1967, o Código de Mineração, para adicionar requisito para a obtenção da outorga e delimitar o prazo de vigência da autorização de pesquisa"".",501196
5386,POB,2023-10-04,Senado Federal,"Orientação à bancada, pelo Partido UNIÃO, sobre o Projeto de Lei Complementar (PLP) n° 136, de 2023, que ""Dispõe sobre a compensação devida pela União nos termos dos arts. 3º e 14 da Lei Complementar nº 194, de 23 de junho de 2022, a dedução das parcelas dos contratos de dívida, a transferência direta de recursos da União aos Estados e ao Distrito Federal, a incorporação do excesso compensado judicialmente em saldo devedor de contratos de dívida administrados pela Secretaria do Tesouro Nacional do Ministério da Fazenda, o tratamento jurídico e contábil aplicável aos pagamentos, às compensações e às vinculações, as transferências de recursos aos Municípios em razão da redução das receitas do Fundo de Participação dos Municípios (FPM), as transferências de recursos aos Estados e ao Distrito Federal em razão da redução das receitas do Fundo de Participação dos Estados e do Distrito Federal (FPE) e as regras relativas ao Imposto sobre Operações Relativas à Circulação de Mercadorias e sobre Prestações de Serviços de Transporte Interestadual e Intermunicipal e de Comunicação (ICMS); e revoga dispositivo da Lei nº 5.172, de 25 de outubro de 1966 (Código Tributário Nacional), e das Leis Complementares nºs 87, de 13 de setembro de 1996 (Lei Kandir), e 192, de 11 de março de 2022.""",501551
5386,DIS,2023-10-04,Senado Federal,"Celebração do 35º aniversário da criação do Estado do Tocantins, com destaque para os avanços da gestão do atual Governador, Wanderlei Barbosa.",501067
