codigoParlamentar,TipoUsoPalavra,DataPronunciamento,LocalPronunciamento,TextoResumo,CodigoPronunciamento
70,POB,2024-04-16,Senado Federal,"Orientação à bancada, pela Liderança da Minoria, sobre a Proposta de Emenda à Constituição (PEC) n° 45, de 2023, que ""Altera o art. 5º da Constituição Federal, para prever como mandado de criminalização a posse e o porte de entorpecentes e drogas afins sem autorização ou em desacordo com determinação legal ou regulamentar"".",505164
70,CIN,2024-04-16,Senado Federal,"Críticas à Resolução nº 51230/2024 do Conselho Monetário Nacional (CMN), que trata da renegociação de parcelas de operações de crédito rural de investimentos com vencimento em 2024, pela não inclusão, entre seus beneficiários, dos agricultores da Região Nordeste, bem como pela restrição da renegociação apenas a algumas atividades.",505128
70,POB,2023-11-08,Senado Federal,"Orientação à bancada, pela Liderança da Maioria, sobre o destaque para votação em separado constante do Requerimento nº 994, de 2023, (Requer, pela Liderança do PP, destaque para votação em separado da Emenda nº 806 da PEC nº 45/2019.) à Proposta de Emenda à Constituição (PEC) n° 45, de 2019, que ""Altera o Sistema Tributário Nacional.""",502139
70,DIS,2023-11-08,Senado Federal,Apelo aos Líderes partidários do Senado Federal para agilizarem a indicação de membros para a CPI que tem por objetivo investigar a responsabilidade da empresa Braskem na exploração mineral que ocasionou o afundamento de bairros em Maceió-AL.,502023
70,POB,2023-10-24,Senado Federal,"Orientação à bancada, pelo Partido MDB, sobre a preferência constante do Requerimento nº 950, de 2023, (Requer preferência para a votação da Emenda 8 (substitutiva) ao PL 5384/2020.) ao Projeto de Lei (PL) n° 5384, de 2020, que ""Altera a Lei nº 12.711, de 29 de agosto de 2012, para dispor sobre o programa especial para o acesso às instituições federais de educação superior e de ensino técnico de nível médio de estudantes pretos, pardos, indígenas e quilombolas e de pessoas com deficiência, bem como daqueles que tenham cursado integralmente o ensino médio ou fundamental em escola pública"".",501700
70,POR,2023-10-24,Senado Federal,"Defesa do Requerimento (RQS) n° 953, de 2023, de autoria de S. Exa., que ""Requer que sejam prestadas, pelo Senhor Ministro de Estado da Fazenda, Fernando Haddad, informações sobre a exposição “O Grito”, em exibição na Galeria Principal da CAIXA Cultural Brasília de 17 de outubro a 17 de dezembro"".",501669
70,POB,2023-10-24,Senado Federal,"Orientação à bancada, pela Liderança da Maioria, sobre a preferência constante do Requerimento nº 950, de 2023, (Requer preferência para a votação da Emenda 8 (substitutiva) ao PL 5384/2020.) ao Projeto de Lei (PL) n° 5384, de 2020, que ""Altera a Lei nº 12.711, de 29 de agosto de 2012, para dispor sobre o programa especial para o acesso às instituições federais de educação superior e de ensino técnico de nível médio de estudantes pretos, pardos, indígenas e quilombolas e de pessoas com deficiência, bem como daqueles que tenham cursado integralmente o ensino médio ou fundamental em escola pública.""",501649
70,DIS,2023-10-05,Congresso Nacional,Sessão Solene destinada a comemorar os 35 anos da Constituição Federal de 1988.,503580
70,PDI,2023-10-03,Senado Federal,"Discussão sobre o Projeto de Resolução do Senado (PRS) n° 94, de 2023, que ""Autoriza o Estado de Alagoas a contratar operação de crédito externo, com garantia da República Federativa do Brasil, no valor de até US$ 40.000.000,00 (quarenta milhões de dólares dos Estados Unidos da América).""",501140
70,POR,2023-10-03,Senado Federal,"Pela ordem sobre o Projeto de Resolução do Senado (PRS) n° 94, de 2023, que ""Autoriza o Estado de Alagoas a contratar operação de crédito externo, com garantia da República Federativa do Brasil, no valor de até US$ 40.000.000,00 (quarenta milhões de dólares dos Estados Unidos da América).""",501137
70,POB,2023-09-27,Senado Federal,"Orientação à bancada, pelo Bloco Parlamentar Democracia, sobre o Projeto de Lei (PL) n° 2903, de 2023, que ""Regulamenta o art. 231 da Constituição Federal, para dispor sobre o reconhecimento, a demarcação, o uso e a gestão de terras indígenas; e altera as Leis nºs 11.460, de 21 de março de 2007, 4.132, de 10 de setembro de 1962, e 6.001, de 19 de dezembro de 1973.""",500901
70,POB,2023-09-27,Senado Federal,"Orientação à bancada, pelo Bloco Parlamentar Democracia, sobre o Projeto de Lei (PL) n° 2903, de 2023, que ""Regulamenta o art. 231 da Constituição Federal, para dispor sobre o reconhecimento, a demarcação, o uso e a gestão de terras indígenas; e altera as Leis nºs 11.460, de 21 de março de 2007, 4.132, de 10 de setembro de 1962, e 6.001, de 19 de dezembro de 1973.""",500876
70,POR,2023-09-14,Senado Federal,"Apresentação de Requerimento nos termos do art. 58, §3o, da Constituição Federal, e dos arts. 74, III, e 145 do Regimento Interno do Senado Federal, pedindo a constituição de uma Comissão Parlamentar de Inquérito, composta por 11 membros titulares e 7 membros suplentes, para, no prazo de 120 dias, com limite de despesa de R$120 mil, investigar os efeitos da responsabilidade jurídica socio ambiental da empresa Braskem S.A., decorrente do maior acidente ambiental urbano já constatado no país (Caso Braskem Maceió, Alagoas), diante dos passivos ambientais existentes e ainda não reparados das ações judiciais voltadas à reparação integral dos danos materiais e morais causados ao meio ambiente, ao patrimônio público, à população de Alagoas, com ênfase, na solvência da empresa e nas decisões de seus acionistas e controladores.",500507
70,POB,2023-08-30,Senado Federal,"Orientação à bancada, pela Liderança da Maioria, sobre o Projeto de Lei (PL) n° 2384, de 2023, que ""Disciplina a proclamação de resultados de julgamentos na hipótese de empate na votação no âmbito do Conselho Administrativo de Recursos Fiscais (Carf); dispõe sobre a autorregularização de débitos e a conformidade tributária no âmbito da Secretaria Especial da Receita Federal do Brasil do Ministério da Fazenda, sobre o contencioso administrativo fiscal e sobre a transação na cobrança de créditos da Fazenda Pública; altera o Decreto nº 70.235, de 6 de março de 1972, e as Leis nºs 6.830, de 22 de setembro de 1980 (Lei de Execução Fiscal), 9.430, de 27 de dezembro de 1996, 13.988, de 14 de abril de 2020, 5.764, de 16 de dezembro de 1971, 9.249, de 26 de dezembro de 1995, e 10.150, de 21 de dezembro de 2000; e revoga dispositivo da Lei nº 10.522, de 19 de julho de 2002"".",500742
70,POR,2023-08-24,Senado Federal,"Pela ordem sobre a Medida Provisória (MPV) n° 1172, de 2023, Reajuste do valor do salário mínimo, que ""Dispõe sobre o valor do salário mínimo a vigorar a partir de 1º de maio de 2023.""",499858
70,PDI,2023-08-24,Senado Federal,"Discussão sobre a Medida Provisória (MPV) n° 1172, de 2023, Reajuste do valor do salário mínimo, que ""Dispõe sobre o valor do salário mínimo a vigorar a partir de 1º de maio de 2023.""",499853
70,PDI,2023-08-24,Senado Federal,"Discussão sobre a Medida Provisória (MPV) n° 1172, de 2023, Reajuste do valor do salário mínimo, que ""Dispõe sobre o valor do salário mínimo a vigorar a partir de 1º de maio de 2023.""",499844
