codigoParlamentar,TipoUsoPalavra,DataPronunciamento,LocalPronunciamento,TextoResumo,CodigoPronunciamento
5905,POB,2024-05-22,Senado Federal,"Orientação à bancada, pelo Partido PODEMOS, sobre o Projeto de Lei Complementar (PLP) n° 150, de 2021, que ""Altera a Lei Complementar nº 79, de 7 de janeiro de 1994, para instituir mecanismos de proteção à população LGBT+ encarcerada"".",506175
5905,POR,2024-05-15,Senado Federal,"Comentários sobre o Projeto de Lei (PL) n° 3617, de 2019, que ""Altera a Lei nº 8.078, de 11 de setembro de 1990, para instituir multa diária em caso de não realização da contrapropaganda.""",505814
5905,POB,2024-05-15,Senado Federal,"Orientação à bancada, pelo Partido PODEMOS, sobre o destaque para votação em separado constante do Requerimento nº 348, de 2024, (Requer, pela Liderança do PL, destaque para votação em separado da Emenda nº 1 ao Projeto de Lei Complementar nº 85/2024.) ao Projeto de Lei Complementar (PLP) n° 85, de 2024, que ""Autoriza a União a postergar o pagamento da dívida de entes federativos afetados por calamidade pública reconhecida pelo Congresso Nacional, mediante proposta do Poder Executivo federal, e a reduzir a taxa de juros dos contratos de dívida dos referidos entes com a União; e altera a Lei Complementar nº 101, de 4 de maio de 2000 (Lei de Responsabilidade Fiscal), e a Lei Complementar nº 159, de 19 de maio de 2017"".",505789
5905,POB,2024-05-15,Senado Federal,"Orientação à bancada, pelo Partido PODEMOS, sobre o Projeto de Lei Complementar (PLP) n° 85, de 2024, que ""Autoriza a União a postergar o pagamento da dívida de entes federativos afetados por calamidade pública reconhecida pelo Congresso Nacional, mediante proposta do Poder Executivo federal, e a reduzir a taxa de juros dos contratos de dívida dos referidos entes com a União; e altera a Lei Complementar nº 101, de 4 de maio de 2000 (Lei de Responsabilidade Fiscal), e a Lei Complementar nº 159, de 19 de maio de 2017"".",505774
5905,DIS,2024-05-15,Senado Federal,"Exposição das conclusões apresentadas no relatório final da CPI da Braskem, a qual investigou o processo de exploração do minério sal-gema em áreas localizadas em Maceió-AL, e expectativa de responsabilização da mineradora pelos efeitos adversos gerados pela sua atuação na região.",505743
5905,PDI,2024-05-07,Senado Federal,"Discussão sobre o Projeto de Decreto Legislativo (PDL) n° 236, de 2024, que ""Reconhece, para os fins do disposto no art. 65 da Lei Complementar nº 101, de 4 de maio de 2000 (Lei de Responsabilidade Fiscal), a ocorrência do estado de calamidade pública em parte do território nacional, para atendimento às consequências derivadas de eventos climáticos no Estado do Rio Grande do Sul"".",505685
5905,POR,2024-04-24,Senado Federal,"Considerações sobre a aprovação, pelo Senado Federal, de frente parlamentar especifica destinada a  priorizar as pautas legislativas afetas à advocacia.",505574
5905,DIS,2024-04-23,Senado Federal,"Considerações sobre medidas que têm sido tomadas para enfrentar o endividamento das famílias no País, destacando a lei de combate ao superendividamento, relatada por S. Exa., e o Programa Desenrola do Governo Federal. Defesa de que o programa seja estendido às pequenas empresas.",505493
5905,POB,2024-04-16,Senado Federal,"Orientação à bancada, pelo Partido PODEMOS, sobre a Proposta de Emenda à Constituição (PEC) n° 45, de 2023, que ""Altera o art. 5º da Constituição Federal, para prever como mandado de criminalização a posse e o porte de entorpecentes e drogas afins sem autorização ou em desacordo com determinação legal ou regulamentar"".",505155
5905,POB,2024-04-10,Senado Federal,"Orientação à bancada, pelo Partido PODEMOS, sobre o Projeto de Lei Complementar (PLP) n° 252, de 2023, que ""Altera a Lei Complementar n° 182, de 1° de junho de 2021, para dispor sobre o contrato de investimento conversível em capital social (CICC)"".",505018
5905,PDI,2024-04-10,Senado Federal,"Discussão sobre o Projeto de Lei Complementar (PLP) n° 252, de 2023, que ""Altera a Lei Complementar n° 182, de 1° de junho de 2021, para dispor sobre o contrato de investimento conversível em capital social (CICC)"".",505012
5905,PDI,2024-03-19,Senado Federal,"Discussão sobre a Proposta de Emenda à Constituição (PEC) n° 45, de 2023, que ""Altera o art. 5º da Constituição Federal, para prever como mandado de criminalização a posse e o porte de entorpecentes e drogas afins sem autorização ou em desacordo com determinação legal ou regulamentar"".",504811
5905,POB,2024-03-13,Senado Federal,"Orientação à bancada, pelo Partido PODEMOS, sobre a Proposta de Emenda à Constituição (PEC) n° 72, de 2023, que ""Altera o art. 155 da Constituição Federal para conceder imunidade do Imposto sobre a Propriedade de Veículos Automotores a veículos terrestres de passageiros com vinte anos ou mais de fabricação"".",504551
