codigoParlamentar,TipoUsoPalavra,DataPronunciamento,LocalPronunciamento,TextoResumo,CodigoPronunciamento
5732,NID,2024-05-29,Senado Federal,"Comentários sobre a tramitação de Medidas Provisórias no Senado Federal, com ênfase no fato de que o Senado tem seguido rigorosamente a Constituição ao instalar as Comissões Mistas para debater tais matérias.",506581
5732,FP,2024-05-27,Senado Federal,Abertura de sessão de debates temáticos destinada a debater “A Tragédia no Estado do Rio Grande do Sul”.,506218
5732,NID,2024-05-21,Senado Federal,"Presidência sobre o Projeto de Lei (PL) n° 826, de 2019, que ""Institui o Programa Nacional de Vacinação em Escolas Públicas"".",506091
5732,NID,2024-05-21,Senado Federal,"Relato da participação de S. Exa. na 25ª edição da Marcha dos Prefeitos, em Brasília.",506064
5732,NID,2024-05-15,Senado Federal,Comentários sobre a situação de emergência no Estado do Rio Grande do Sul e as medidas tomadas pelo governo federal e o Congresso Nacional para ajudar a região.,505773
5732,NID,2024-05-15,Senado Federal,"Registro de que um consenso em relação à questão da desoneração da folha de pagamento, envolvendo o governo federal, os setores produtivos afetados pela reoneração e o Parlamento está próximo de ser alcançado. Pedido de paciência em relação à questão dos municípios, que está sendo discutida em conjunto com o Ministro da Fazenda, Fernando Haddad.",505745
5732,NID,2024-05-14,Senado Federal,Renovação do voto de pesar pelo falecimento da Deputada Federal Amália Barros.,505982
5732,NID,2024-05-13,Senado Federal,"Abertura de Sessão de Debates Temáticos, destinada a discutir a atual situação financeiro-orçamentária dos Municípios brasileiros.",505725
5732,NID,2024-05-13,Senado Federal,"Sessão de Debates Temáticos, destinada a discutir a atual situação financeiro-orçamentária dos Municípios brasileiros.",505723
5732,NID,2024-05-13,Senado Federal,"Sessão de Debates Temáticos, destinada a discutir a atual situação financeiro-orçamentária dos Municípios brasileiros.",505706
5732,FP,2024-05-13,Senado Federal,"Abertura de Sessão de Debates Temáticos, destinada a discutir a atual situação financeiro-orçamentária dos Municípios brasileiros.",505699
5732,NID,2024-05-07,Senado Federal,Agradecimento à Senadora Zenaide Maia pela homenagem e pelo registro do papel do Senado no combate ao feminicídio no Brasil.,505672
5732,RQO,2024-04-30,Senado Federal,"Reposta á Questão de Ordem suscitada pelo Senador Carlos Portinho, acerca da natureza da sessão realizada na última quinta-feira, 25 de abril de 2024, que foi convocada como extraordinária, mas ocorreu como ordinária.",505610
5732,NID,2024-04-30,Senado Federal,Pesar pelo falecimento do Sr. Juliano Costa Couto.,505604
5732,NID,2024-04-17,Senado Federal,N/A,505280
