codigoParlamentar,TipoUsoPalavra,DataPronunciamento,LocalPronunciamento,TextoResumo,CodigoPronunciamento
5352,POR,2024-05-21,Senado Federal,"Pela ordem sobre o Projeto de Lei (PL) n° 6233, de 2023, que ""Altera a Lei nº 10.406, de 10 de janeiro de 2002 (Código Civil), para dispor sobre atualização monetária e juros; e dá outras providências"".",506073
5352,PPP,2024-05-21,Senado Federal,"Como Relator - Para proferir parecer sobre o Projeto de Lei (PL) n° 6233, de 2023, que ""Altera a Lei nº 10.406, de 10 de janeiro de 2002 (Código Civil), para dispor sobre atualização monetária e juros; e dá outras providências"".",506069
5352,DIS,2024-04-24,Senado Federal,"Manifestação de apoio ao Programa Pé-de-Meia, instituído pela Lei nº 14818/2024, que oferece incentivo financeiro-educacional, na modalidade de poupança, aos estudantes matriculados no ensino médio público",505549
5352,PDI,2024-04-16,Senado Federal,"Discussão sobre a Proposta de Emenda à Constituição (PEC) n° 45, de 2023, que ""Altera o art. 5º da Constituição Federal, para prever como mandado de criminalização a posse e o porte de entorpecentes e drogas afins sem autorização ou em desacordo com determinação legal ou regulamentar"".",505142
5352,DIS,2024-04-15,Senado Federal,"Sessão de Debates Temáticos destinada a debater a Proposta de Emenda à Constituição nº 45/2023, que “altera o art. 5º da Constituição Federal, para prever como mandado de criminalização a posse e o porte de entorpecentes e drogas afins sem autorização ou em desacordo com determinação legal ou regulamentar”.",505107
5352,CIN,2024-04-10,Senado Federal,Apresentação dos resultados operacionais positivos e das estratégias empresariais empregadas pela Petrobras ao longo do ano de 2023.,505002
5352,DIS,2024-03-25,Senado Federal,Sessão Especial destinada a celebrar os 200 anos de criação do Senado Federal brasileiro.,504846
5352,DIS,2024-03-06,Senado Federal,Denúncia ao CNMP e CNJ de que autoridades públicas estariam atuando de forma arbitrária no Estado de Sergipe contra aqueles que supostamente fazem oposição ao governo local.,504267
5352,CRE,2023-12-19,Senado Federal,"Como Relator sobre a Medida Provisória (MPV) n° 1185, de 2023 (Crédito fiscal de subvenção para investimento), que ""Dispõe sobre o crédito fiscal decorrente de subvenção para a implantação ou a expansão de empreendimento econômico"".",503361
5352,PDI,2023-12-19,Senado Federal,"Discussão sobre a Medida Provisória (MPV) n° 1185, de 2023 (Crédito fiscal de subvenção para investimento), que ""Dispõe sobre o crédito fiscal decorrente de subvenção para a implantação ou a expansão de empreendimento econômico"".",503352
5352,PDI,2023-12-12,Senado Federal,"Discussão sobre o Projeto de Lei (PL) n° 3626, de 2023, que ""Dispõe sobre a modalidade lotérica denominada apostas de quota fixa; altera as Leis nºs 5.768, de 20 de dezembro de 1971, e 13.756, de 12 de dezembro de 2018, e a Medida Provisória nº 2.158-35, de 24 de agosto de 2001; revoga dispositivos do Decreto-Lei nº 204, de 27 de fevereiro de 1967; e dá outras providências.""",503084
5352,POR,2023-12-05,Senado Federal,"Pela ordem sobre o Projeto de Lei (PL) n° 1435, de 2022, que ""Altera a Lei nº 8.080, de 19 de setembro de 1990 (Lei Orgânica da Saúde), para estabelecer a revisão periódica dos valores de remuneração dos serviços prestados ao Sistema Único de Saúde (SUS), com garantia da qualidade e do equilíbrio econômico-financeiro.""",502919
