codigoParlamentar,TipoUsoPalavra,DataPronunciamento,LocalPronunciamento,TextoResumo,CodigoPronunciamento
6331,POB,2024-05-22,Senado Federal,"Orientação à bancada, pelo Partido UNIÃO, sobre o Projeto de Lei Complementar (PLP) n° 150, de 2021, que ""Altera a Lei Complementar nº 79, de 7 de janeiro de 1994, para instituir mecanismos de proteção à população LGBT+ encarcerada"".",506168
6331,PDI,2024-05-08,Senado Federal,"Discussão sobre o Projeto de Lei (PL) n° 4015, de 2023, que ""Altera o Decreto-Lei nº 2.848, de 7 de dezembro de 1940 (Código Penal), e as Leis nºs 8.072, de 25 de julho de 1990 (Lei dos Crimes Hediondos), 12.694, de 24 julho de 2012, e 13.709, de 14 agosto de 2018 (Lei Geral de Proteção de Dados Pessoais), para reconhecer como atividade de risco permanente as atribuições inerentes ao Poder Judiciário e ao Ministério Público e garantir aos seus membros medidas de proteção, bem como recrudescer o tratamento penal destinado aos crimes de homicídio e de lesão corporal dolosa contra eles, desde que no exercício da função ou em decorrência dela, ou contra seu cônjuge, companheiro ou parente, inclusive por afinidade, até o terceiro grau, em razão dessa condição.""",505953
6331,PDI,2024-05-07,Senado Federal,"Discussão sobre o Projeto de Decreto Legislativo (PDL) n° 236, de 2024, que ""Reconhece, para os fins do disposto no art. 65 da Lei Complementar nº 101, de 4 de maio de 2000 (Lei de Responsabilidade Fiscal), a ocorrência do estado de calamidade pública em parte do território nacional, para atendimento às consequências derivadas de eventos climáticos no Estado do Rio Grande do Sul.""",505693
6331,DIS,2024-04-23,Senado Federal,"Comentários sobre a PEC nº 45/2023, que prevê como mandado de criminalização a posse e o porte de entorpecentes e drogas afins e sobre a PEC nº 8/2024, que revoga a competência concorrente para legislar sobre direito penitenciário, atribuindo-a aos Estados. Expectativa de rejeição do veto aposto ao Projeto de Lei nº 583/2011, que extingue o benefício da saída temporária.",505490
6331,PDI,2024-04-17,Senado Federal,"Discussão sobre o Projeto de Lei (PL) n° 81, de 2024, que ""Altera os valores da tabela progressiva mensal do Imposto sobre a Renda da Pessoa Física de que trata o art. 1º da Lei nº 11.482, de 31 de maio de 2007; e revoga a Medida Provisória nº 1.206, de 6 de fevereiro de 2024.""",505257
6331,DIS,2024-04-12,Senado Federal,"Descontentamento com o veto parcial aposto pelo Presidente da República ao Projeto de Lei n° 2253/2022, que altera a Lei n° 7210/1984, conhecida como Lei de Execução Penal, para dispor sobre a monitoração eletrônica do preso, prever a realização de exame criminológico para progressão de regime e extinguir o benefício da saída temporária.",505055
6331,DIS,2024-03-26,Senado Federal,Relato sobre os prejuízos trazidos pela polarização política exacerbada no País. Destaque para o resultado da investigação feita pela Polícia Federal relativa aos assassinatos da vereadora Marielle Franco e do motorista Anderson Gomes. Necessidade de formulação de um plano de segurança pública capaz de enfrentar o crime organizado no País.,504871
6331,NID,2024-03-20,Senado Federal,"Defesa da Proposta de Emenda à Constituição (PEC) n° 45, de 2023, que ""Altera o art. 5º da Constituição Federal, para prever como mandado de criminalização a posse e o porte de entorpecentes e drogas afins sem autorização ou em desacordo com determinação legal ou regulamentar"".",504675
6331,PDI,2024-03-20,Senado Federal,"Discussão sobre a Proposta de Emenda à Constituição (PEC) n° 45, de 2023, que ""Altera o art. 5º da Constituição Federal, para prever como mandado de criminalização a posse e o porte de entorpecentes e drogas afins sem autorização ou em desacordo com determinação legal ou regulamentar"".",504672
6331,DIS,2024-03-19,Senado Federal,"Exposição sobre a audiência pública, realizada no âmbito da CSP, para ouvir o Diretor da Polícia Federal (PF), Sr. Rodrigo de Melo Teixeira, sobre a retenção do cidadão português Sérgio Tavares, no aeroporto de Guarulhos-SP. Crítica à atuação da PF contra opositores do Governo Federal motivada supostamente por questões políticas",504827
6331,POB,2024-03-13,Senado Federal,"Orientação à bancada, pelo Partido UNIÃO, sobre a Proposta de Emenda à Constituição (PEC) n° 72, de 2023, que ""Altera o art. 155 da Constituição Federal para conceder imunidade do Imposto sobre a Propriedade de Veículos Automotores a veículos terrestres de passageiros com vinte anos ou mais de fabricação"".",504553
6331,DIS,2024-03-07,Senado Federal,"Destaque para o Projeto de Lei no. 10/2024, de autoria de S.Exa., que altera o Código de Processo Penal para elencar circunstâncias que recomendam a conversão da prisão em flagrante em preventiva na audiência de custódia.",504389
6331,POB,2024-03-05,Senado Federal,"Orientação à bancada, pelo Bloco Parlamentar Democracia, sobre o Projeto de Lei Complementar (PLP) n° 137, de 2019, que ""Altera a Lei Complementar nº 123, de 14 de dezembro de 2006, que institui o Estatuto Nacional da Microempresa e da Empresa de Pequeno Porte, para dispor sobre a cédula de crédito microempresarial.""",504355
6331,DIS,2024-02-28,Senado Federal,"Comemoração do Dia Nacional das Doenças Raras, celebrado em 28 de fevereiro.",504156
6331,POR,2024-02-27,Senado Federal,"Pela ordem sobre adesão ao Requerimento (RQS) n° 98, de 2024, que ""Requer voto de repúdio pelos dois anos de invasão perpetrada pela Rússia contra a Ucrânia"".",504054
6331,PDI,2024-02-21,Senado Federal,"Discussão sobre o Projeto de Lei (PL) n° 3453, de 2021, que ""Altera a Lei nº 8.038, de 28 de maio de 1990, e o Decreto-Lei nº 3.689, de 3 de outubro de 1941 (Código de Processo Penal), para dispor sobre o resultado de julgamento em matéria penal ou processual penal em órgãos colegiados e sobre a concessão de habeas corpus de ofício"".",503881
6331,PDI,2024-02-21,Senado Federal,"Discussão sobre o Projeto de Lei (PL) n° 3453, de 2021, que ""Altera a Lei nº 8.038, de 28 de maio de 1990, e o Decreto-Lei nº 3.689, de 3 de outubro de 1941 (Código de Processo Penal), para dispor sobre o resultado de julgamento em matéria penal ou processual penal em órgãos colegiados e sobre a concessão de habeas corpus de ofício"".",503878
6331,PDI,2024-02-21,Senado Federal,"Discussão sobre o Projeto de Lei (PL) n° 3453, de 2021, que ""Altera a Lei nº 8.038, de 28 de maio de 1990, e o Decreto-Lei nº 3.689, de 3 de outubro de 1941 (Código de Processo Penal), para dispor sobre o resultado de julgamento em matéria penal ou processual penal em órgãos colegiados e sobre a concessão de habeas corpus de ofício"".",503876
6331,POR,2024-02-21,Senado Federal,"Pesar pelo falecimento do economista Affonso Celso Pastore, ex-Presidente do Banco Central, e envio de condolências à família.",503869
6331,POB,2024-02-20,Senado Federal,"Orientação à bancada sobre o destaque para votação em separado constante do Requerimento nº 84, de 2024, (Requer, pela Liderança do PT, destaque para votação em separado da Emenda nº 8 ao Projeto de Lei nº 2253/2022.) ao Projeto de Lei (PL) n° 2253, de 2022, que ""Altera a Lei nº 7.210, de 11 de julho de 1984 (Lei de Execução Penal), para dispor sobre a monitoração eletrônica do preso, prever a realização de exame criminológico para progressão de regime e extinguir o benefício da saída temporária.""",503998
6331,PDI,2024-02-20,Senado Federal,"Discussão sobre o Projeto de Lei (PL) n° 2253, de 2022, que ""Altera a Lei nº 7.210, de 11 de julho de 1984 (Lei de Execução Penal), para dispor sobre a monitoração eletrônica do preso, prever a realização de exame criminológico para progressão de regime e extinguir o benefício da saída temporária"".",503945
