codigoParlamentar,TipoUsoPalavra,DataPronunciamento,LocalPronunciamento,TextoResumo,CodigoPronunciamento
5959,NID,2024-05-14,Senado Federal,"Sugestão aos Senadores para que doem renda, com isenção fiscal, em favor de municípios do Estado do Rio Grande do Sul.",505977
5959,DIS,2024-05-14,Senado Federal,"Defesa ao Projeto de Lei nº 3127/2019, que dispõe sobre a castração química voluntária de reincidente em crime contra a liberdade sexual, em tramitação na CCJ.",505972
5959,POB,2024-05-08,Senado Federal,"Orientação à bancada, pelo Partido PODEMOS, sobre o destaque para votação em separado constante do Requerimento nº 311, de 2024, (Requer, pela Liderança do Podemos, destaque para votação em separado da Emenda n° 4 ao Projeto de Lei Complementar nº 233/2023.) ao Projeto de Lei Complementar (PLP) n° 233, de 2023, que ""Dispõe sobre o Seguro Obrigatório para Proteção de Vítimas de Acidentes de Trânsito (SPVAT); altera o Decreto-Lei nº 73, de 21 de novembro de 1966, as Leis nºs 8.212, de 24 de julho de 1991, 9.503, de 23 de setembro de 1997 (Código de Trânsito Brasileiro), e 14.075, de 22 de outubro de 2020, e a Lei Complementar nº 200, de 30 de agosto de 2023; e revoga as Leis nºs 6.194, de 19 de dezembro de 1974, e 8.441, de 13 de julho de 1992, e dispositivos das Leis nºs 8.374, de 30 de dezembro de 1991, 11.482, de 31 de maio de 2007, e 11.945, de 4 de junho de 2009.""",505927
5959,POB,2024-05-08,Senado Federal,"Orientação à bancada, pelo Partido PODEMOS, sobre o destaque para votação em separado constante do Requerimento nº 310, de 2024, (Requer, pela Liderança do PL, destaque para votação em separado da Emenda 25-U ao Projeto de Lei Complementar nº 233/2023.) ao Projeto de Lei Complementar (PLP) n° 233, de 2023, que ""Dispõe sobre o Seguro Obrigatório para Proteção de Vítimas de Acidentes de Trânsito (SPVAT); altera o Decreto-Lei nº 73, de 21 de novembro de 1966, as Leis nºs 8.212, de 24 de julho de 1991, 9.503, de 23 de setembro de 1997 (Código de Trânsito Brasileiro), e 14.075, de 22 de outubro de 2020, e a Lei Complementar nº 200, de 30 de agosto de 2023; e revoga as Leis nºs 6.194, de 19 de dezembro de 1974, e 8.441, de 13 de julho de 1992, e dispositivos das Leis nºs 8.374, de 30 de dezembro de 1991, 11.482, de 31 de maio de 2007, e 11.945, de 4 de junho de 2009.""",505911
5959,POB,2024-05-08,Senado Federal,"Orientação à bancada, pelo Partido PODEMOS, sobre o Projeto de Lei Complementar (PLP) n° 233, de 2023, que ""Dispõe sobre o Seguro Obrigatório para Proteção de Vítimas de Acidentes de Trânsito (SPVAT); altera o Decreto-Lei nº 73, de 21 de novembro de 1966, as Leis nºs 8.212, de 24 de julho de 1991, 9.503, de 23 de setembro de 1997 (Código de Trânsito Brasileiro), e 14.075, de 22 de outubro de 2020, e a Lei Complementar nº 200, de 30 de agosto de 2023; e revoga as Leis nºs 6.194, de 19 de dezembro de 1974, e 8.441, de 13 de julho de 1992, e dispositivos das Leis nºs 8.374, de 30 de dezembro de 1991, 11.482, de 31 de maio de 2007, e 11.945, de 4 de junho de 2009.""",505869
5959,POB,2024-04-17,Senado Federal,"Orientação à bancada, pelo Partido PODEMOS, sobre o Projeto de Lei Complementar (PLP) n° 175, de 2023, que ""Altera a Lei Complementar nº 172, de 15 de abril de 2020, a fim de conceder prazo aos Estados, ao Distrito Federal e aos Municípios para executar atos de transposição e de transferência.""",505270
5959,POR,2024-03-20,Senado Federal,"Comentários sobre a Proposta de Emenda à Constituição (PEC) n° 45, de 2023, que ""Altera o art. 5º da Constituição Federal, para prever como mandado de criminalização a posse e o porte de entorpecentes e drogas afins sem autorização ou em desacordo com determinação legal ou regulamentar"".",504674
5959,POB,2024-03-05,Senado Federal,"Orientação à bancada, pelo Partido PODEMOS, sobre o Projeto de Lei Complementar (PLP) n° 137, de 2019, que ""Altera a Lei Complementar nº 123, de 14 de dezembro de 2006, que institui o Estatuto Nacional da Microempresa e da Empresa de Pequeno Porte, para dispor sobre a cédula de crédito microempresarial.""",504351
5959,FP,2024-03-05,Senado Federal,"Anúncio da realização de solenidade, no Salão Negro do Palácio do Congresso Nacional, destinada à entrega de medalhas comemorativas em alusão ao aniversário de 200 anos do Senado Federal, oportunidade em que os ex-Presidentes da Casa serão agraciados com as homenagens.",504330
5959,NID,2024-03-04,Senado Federal,"Oposição à descriminalização do porte de drogas para uso pessoal, conforme processo em julgamento no STF.",504218
