codigoParlamentar,TipoUsoPalavra,DataPronunciamento,LocalPronunciamento,TextoResumo,CodigoPronunciamento
4560,POR,2024-05-14,Senado Federal,"Pela ordem sobre o Projeto de Lei (PL) n° 4715, de 2023, que ""Altera a Lei nº 7.565, de 19 de dezembro de 1976 (Código Brasileiro de Aeronáutica), para estabelecer hipóteses de autorização da realização de serviços aéreos de transporte doméstico por empresas estrangeiras"".",506035
4560,POR,2024-05-08,Senado Federal,"Pela ordem sobre o Projeto de Lei (PL) n° 3141, de 2023, que ""Cria o Programa Cartão Reconstruir e dá outras providências.""",505858
4560,POR,2024-04-23,Senado Federal,"Pela ordem sobre o Projeto de Lei (PL) n° 1324, de 2022, que ""Altera a Lei nº 7.713, de 22 de dezembro de 1988, para reduzir a base de cálculo presumida do Imposto sobre a Renda das Pessoas Físicas incidente sobre rendimentos da prestação de serviços de transporte de passageiros"".",505489
4560,DIS,2024-03-12,Senado Federal,"Apoio ao inquérito civil coordenado pelo Ministério Público Federal sobre suposta atuação irregular das empresas aéreas no Estado do Acre. Destaque para o Projeto de Lei n° 4388/2023, sob relatoria de S.Exa., que versa sobre o subsídio para aquisição de querosene de aviação em aeroportos na Região Norte.",504486
4560,DIS,2024-02-27,Senado Federal,Preocupação com as enchentes que atingem o Estado do Acre e apelo ao Governo Federal em favor da liberação de recursos para o enfrentamento da crise nos Municípios acrianos.,504071
4560,POR,2024-02-21,Senado Federal,"Pela ordem sobre o Projeto de Lei (PL) n° 3453, de 2021, que ""Altera a Lei nº 8.038, de 28 de maio de 1990, e o Decreto-Lei nº 3.689, de 3 de outubro de 1941 (Código de Processo Penal), para dispor sobre o resultado de julgamento em matéria penal ou processual penal em órgãos colegiados e sobre a concessão de habeas corpus de ofício"".",503884
4560,POR,2024-02-20,Senado Federal,"Homenagem ao Senador Flávio Dino, que se despede de seu cargo para assumir vaga de Ministro no Supremo Tribunal Federal (STF).",503925
4560,POR,2023-10-31,Senado Federal,"Agradecimento ao Ministro da Educação, Camilo Santana, pela presença na inauguração da sede da reitoria do Instituto Federal do Acre (Ifac) em Rio Branco (AC).",501841
4560,POR,2023-09-20,Senado Federal,"Registro de reunião de S. Exa. com o Ministro de Portos e Aeroportos, Sr. Sílvio Costa Filho, para tratar do problema dos preços elevados da passagens aéreas.",500698
4560,FP,2023-09-19,Senado Federal,"Anúncio da realização da Expoalimentaria, em Lima, no Peru, onde participarão empresários de Rondônia e de Mato Grosso.",500616
4560,POR,2023-09-19,Senado Federal,"Elogio ao trabalho da Polícia Civil e da Polícia Militar no Município de Assis Brasil, fronteira com o Peru e a Bolívia.",500612
4560,PDI,2023-09-12,Senado Federal,"Discussão sobre a Proposta de Emenda à Constituição (PEC) n° 7, de 2018, que ""Altera o art. 31 da Emenda Constitucional nº 19, de 4 de junho de 1998, para prever a inclusão, em quadro em extinção da administração pública federal, de servidor público, de integrante da carreira de policial, civil ou militar, e de pessoa que haja mantido relação ou vínculo funcional, empregatício, estatutário ou de trabalho com a administração pública dos ex-Territórios ou dos Estados do Amapá, de Roraima ou de Rondônia, inclusive suas prefeituras, durante os dez primeiros anos da criação dessas unidades federadas, estabelece o parâmetro remuneratório para a Polícia Militar dos ex-Territórios Federais e dá outras providências"".",500388
4560,NID,2023-09-04,Senado Federal,Encerramento de Sessão Especial destinada a comemorar o aniversário de 33 anos da Companhia Nacional de Abastecimento (CONAB).,500184
4560,FP,2023-09-04,Senado Federal,Abertura de Sessão Especial destinada a comemorar o aniversário de 33 anos da Companhia Nacional de Abastecimento (CONAB).,500168
4560,POR,2023-08-15,Senado Federal,Crítica ao elevado valor das passagens aéreas para o o Estado do Acre.,499792
4560,POR,2023-08-15,Senado Federal,Agradecimento ao Ministro Márcio França pela audiência a ser realizada para debate acerca do problema do elevado valor das passagens aéreas para o Estado do Acre.,499790
