codigoParlamentar,TipoUsoPalavra,DataPronunciamento,LocalPronunciamento,TextoResumo,CodigoPronunciamento
6338,POB,2024-05-22,Senado Federal,"Orientação à bancada, pela Liderança da Bancada Feminina, sobre a preferência constante do Requerimento nº 369, de 2024, (Requer preferência para a votação da Emenda Substitutiva n° 23 em relação ao Substitutivo da CCJ.) ao Projeto de Lei (PL) n° 1958, de 2021, que ""Reserva aos negros 20% (vinte por cento) das vagas oferecidas nos concursos públicos para provimento de cargos efetivos e empregos públicos no âmbito da administração pública federal, das autarquias, das fundações públicas, das empresas públicas e das sociedades de economia mista controladas pela União"".",506211
6338,DIS,2024-05-15,Senado Federal,Manifestação de solidariedade ao povo gaúcho em virtude da tragédia climática que atingiu a região. Destaque para as ações de assistência do Governo Federal no Rio Grande do Sul e necessidade de combate à desinformação.,505739
6338,DIS,2024-05-06,Senado Federal,"Apoio ao povo riograndense pela tragédia enfrentada em decorrência de eventos climáticos extremos. Destaque para a mobilização do Governo Federal no socorro ao Estado do Rio Grande do Sul. Reflexão sobre a necessidade de construção de um novo projeto societário sustentável e mais equilibrado, através fortalecimento da dimensão socioambiental do modelo educacional do País.",505435
6338,DIS,2024-04-24,Senado Federal,Registro da participação de S.Exa. na comitiva oficial da Presidência da República na viagem à Colômbia e do consequente fortalecimento da parceria estratégica entre as duas nações. Elogios ao Governo Federal pelo atual padrão de política externa adotado no Brasil.,505564
6338,POR,2024-04-10,Senado Federal,"Homenagem aos 30 anos do genial grupo pernambucano Chico Sciense e Nação Zumbi, do movimento cultural manguebeat.",505028
6338,PDI,2024-04-09,Senado Federal,"Discussão sobre o Projeto de Lei (PL) n° 501, de 2019, que ""Dispõe sobre a elaboração e a implementação de plano de metas para o enfrentamento integrado da violência doméstica e familiar contra a mulher, da Rede Estadual de Enfrentamento da Violência contra a Mulher e da Rede de Atendimento à Mulher em Situação de Violência; e altera a Lei nº 13.675, de 11 de junho de 2018.""",505368
6338,PDI,2024-03-13,Senado Federal,"Discussão sobre o Projeto de Lei (PL) n° 2796, de 2021, que ""Cria o marco legal para a indústria de jogos eletrônicos e para os jogos de fantasia"".",504524
6338,POR,2024-03-12,Senado Federal,N/A,504479
6338,PDI,2024-03-06,Senado Federal,"Discussão sobre o Projeto de Lei (PL) n° 5206, de 2023, que ""Institui marco regulatório do Sistema Nacional de Cultura (SNC), para garantia dos direitos culturais, organizado em regime de colaboração entre os entes federativos para gestão conjunta das políticas públicas de cultura"".",504277
6338,DIS,2024-03-06,Senado Federal,"Celebração da Data Magna de Pernambuco, comemorada no dia 6 de março em alusão ao início da Revolução Pernambucana de 1817.",504247
6338,DIS,2024-02-28,Senado Federal,Breve histórico da importância da Conferência Nacional da Educação - Conae e exposição dos temas abordados em 2024.,504147
6338,POR,2024-02-20,Senado Federal,"Homenagem ao Senador Flávio Dino, que se despede de seu cargo para assumir vaga de Ministro no Supremo Tribunal Federal (STF).",503921
6338,CRE,2023-12-20,Senado Federal,"Como Relatora sobre o Projeto de Lei (PL) n° 54, de 2021, que ""Institui incentivo financeiro-educacional, na modalidade de poupança, aos estudantes matriculados no ensino médio público; e altera as Leis nºs 13.999, de 18 de maio de 2020, e 14.075, de 22 de outubro de 2020"".",503300
6338,PPP,2023-12-20,Senado Federal,"Como Relatora - Para proferir parecer sobre o Projeto de Lei (PL) n° 54, de 2021, que ""Institui incentivo financeiro-educacional, na modalidade de poupança, aos estudantes matriculados no ensino médio público; e altera as Leis nºs 13.999, de 18 de maio de 2020, e 14.075, de 22 de outubro de 2020"".",503294
6338,POB,2023-12-20,Senado Federal,"Orientação à bancada, pelo Partido PT, sobre o destaque para votação em separado constante do Requerimento nº 1119, de 2023, (Requer, pela Liderança do PL, destaque para votação em separado da Emenda nº 48 à Medida Provisória nº 1185/2023.) à Medida Provisória (MPV) n° 1185, de 2023, Crédito fiscal de subvenção para investimento, que ""Dispõe sobre o crédito fiscal decorrente de subvenção para a implantação ou a expansão de empreendimento econômico"".",503271
6338,POB,2023-12-20,Senado Federal,"Orientação à bancada, pelo Partido PT, sobre a Medida Provisória (MPV) n° 1185, de 2023, Crédito fiscal de subvenção para investimento, que ""Dispõe sobre o crédito fiscal decorrente de subvenção para a implantação ou a expansão de empreendimento econômico"".",503255
