codigoParlamentar,TipoUsoPalavra,DataPronunciamento,LocalPronunciamento,TextoResumo,CodigoPronunciamento
5736,POB,2024-05-22,Senado Federal,"Orientação à bancada, pelo Partido PP, sobre o Projeto de Lei Complementar (PLP) n° 150, de 2021, que ""Altera a Lei Complementar nº 79, de 7 de janeiro de 1994, para instituir mecanismos de proteção à população LGBT+ encarcerada"".",506167
5736,POR,2024-02-06,Senado Federal,"Registro da notícia do falecimento do ex-Presidente do Chile, Sebastián Piñera, em um acidente de helicóptero.",503771
5736,POB,2023-12-19,Congresso Nacional,"Orientação à bancada, pelo Partido PP, sobre o destaque para votação em separado constante do Requerimento nº 31, de 2023, (Destaque para votação em separado da Emenda nº 30880002.) ao Projeto de Lei do Congresso Nacional (PLN) n° 4, de 2023, PLDO 2024, que ""Dispõe sobre as diretrizes para a elaboração e a execução da Lei Orçamentária de 2024 e dá outras providências"".",503489
5736,PDI,2023-12-19,Senado Federal,"Discussão sobre a Medida Provisória (MPV) n° 1185, de 2023 (Crédito fiscal de subvenção para investimento), que ""Dispõe sobre o crédito fiscal decorrente de subvenção para a implantação ou a expansão de empreendimento econômico"".",503365
5736,POB,2023-12-14,Congresso Nacional,"Orientação à bancada, pelo Partido PP, sobre o Veto (VET) n° 30, de 2023, ""Veto Parcial aposto ao Projeto de Lei nº 2.903, de 2023 (nº 490/2007, na Câmara dos Deputados), que ""Regulamenta o art. 231 da Constituição Federal, para dispor sobre o reconhecimento, a demarcação, o uso e a gestão de terras indígenas; e altera as Leis nºs 11.460, de 21 de março de 2007, 4.132, de 10 de setembro de 1962, e 6.001, de 19 de dezembro de 1973"".",503693
5736,POB,2023-12-14,Congresso Nacional,"Orientação à bancada, pelo Partido PP, sobre o Veto (VET) n° 38, de 2023, que ""Veto Total aposto ao Projeto de Lei nº 334, de 2023, que ""Prorroga até 31 de dezembro de 2027 os prazos de que tratam os arts. 7º e 8º da Lei nº 12.546, de 14 de dezembro de 2011, e o ""caput"" do § 21 do art. 8º da Lei nº 10.865, de 30 de abril de 2004, e dá outras providências"".",503615
5736,PDI,2023-11-28,Senado Federal,"Discussão sobre o Projeto de Lei (PL) n° 1459, de 2022 (Substitutivo da Câmara dos Deputados ao Projeto de Lei do Senado nº 526, de 1999), PL dos Agrotóxicos, que ""Dispõe sobre a pesquisa, a experimentação, a produção, a embalagem e a rotulagem, o transporte, o armazenamento, a comercialização, a utilização, a importação, a exportação, o destino final dos resíduos e das embalagens, o registro, a classificação, o controle, a inspeção e a fiscalização de pesticidas, de produtos de controle ambiental e afins; altera a Lei Delegada nº 8, de 11 de outubro de 1962; revoga as Leis nºs 7.802, de 11 de julho de 1989, e 9.974, de 6 de junho de 2000, partes de anexos das Leis nºs 6.938, de 31 de agosto de 1981, e 9.782, de 26 de janeiro de 1999, e dispositivo da Lei nº 12.873, de 24 de outubro de 2013; e dá outras providências.""",502733
5736,POB,2023-11-22,Senado Federal,"Orientação à bancada, pelo Partido PP, sobre a Proposta de Emenda à Constituição (PEC) n° 8, de 2021, que ""Altera a Constituição Federal para dispor sobre os pedidos de vista, declaração de inconstitucionalidade e concessão de medidas cautelares nos tribunais"".",502476
5736,POB,2023-11-21,Senado Federal,"Orientação à bancada, pelo Partido PP, constante do Requerimento nº 1039, de 2023, (Requer calendário especial para a Proposta de Emenda à Constituição nº 8, de 2021.) à Proposta de Emenda à Constituição (PEC) n° 8, de 2021, que ""Altera a Constituição Federal para dispor sobre os pedidos de vista, declaração de inconstitucionalidade e concessão de medidas cautelares nos tribunais"".",502570
5736,POB,2023-11-08,Senado Federal,"Orientação à bancada, pelo Partido PP, sobre o destaque para votação em separado constante do Requerimento nº 990, de 2023, (Destaque para votação em separado da Emenda nº 805 da PEC nº 45/2019.) à Proposta de Emenda à Constituição (PEC) n° 45, de 2019, que ""Altera o Sistema Tributário Nacional.""",502196
5736,POB,2023-11-08,Senado Federal,"Orientação à bancada, pelo Partido PP, sobre a Proposta de Emenda à Constituição (PEC) n° 45, de 2019, que ""Altera o Sistema Tributário Nacional"".",502105
5736,POB,2023-11-07,Senado Federal,"Orientação à bancada, pelo Partido PP, sobre o Requerimento (RQS) n° 988, de 2023, que ""Requer calendário especial para a Proposta de Emenda à Constituição nº 45, de 2019"".",501994
5736,DIS,2023-10-06,Senado Federal,Sessão Especial destinada a celebrar o Dia Mundial do Algodão.,501028
5736,POR,2023-10-02,Senado Federal,"Considerações sobre o Projeto de Lei (PL) n° 2685, de 2022, que ""Institui o Programa Emergencial de Renegociação de Dívidas de Pessoas Físicas Inadimplentes – Desenrola Brasil; estabelece normas para facilitação de acesso a crédito e mitigação de riscos de inadimplemento e de superendividamento de pessoas físicas; altera a Consolidação das Leis do Trabalho, aprovada pelo Decreto-Lei nº 5.452, de 1º de maio de 1943, e as Leis nºs 10.406, de 10 de janeiro de 2002 (Código Civil), 10.522, de 19 de julho de 2002 e 12.087, de 11 de novembro de 2009; e revoga dispositivo da Lei nº 4.737, de 15 de julho de 1965 (Código Eleitoral), e a Medida Provisória nº 1.176, de 5 de junho de 2023.""",500965
5736,PDI,2023-09-27,Senado Federal,"Discussão sobre o Projeto de Lei (PL) n° 2903, de 2023, que ""Regulamenta o art. 231 da Constituição Federal, para dispor sobre o reconhecimento, a demarcação, o uso e a gestão de terras indígenas; e altera as Leis nºs 11.460, de 21 de março de 2007, 4.132, de 10 de setembro de 1962, e 6.001, de 19 de dezembro de 1973.""",500910
5736,POB,2023-08-29,Senado Federal,"Orientação à bancada, pelo Partido PP, sobre o Projeto de Lei Complementar (PLP) n° 257, de 2019, que ""Altera a Lei Complementar nº 101, de 04 de maio de 2000, e a Lei n° 12.340, de 1º de dezembro de 2010, para aperfeiçoar os meios técnicos e financeiros de resposta da União a calamidades públicas.""",500133
5736,POR,2023-08-23,Senado Federal,Solicitação de inserção de Voto de Pesar pelo falecimento do ex-Senador Francisco Dornelles.,500279
5736,PL,2023-08-09,Senado Federal,"Pela Liderança, denúncia de suposto radicalismo ambiental do Governo Federal por tentar suspender, por via administrativa, leis estaduais que regem o controle ambiental do Pantanal. Expectativa quanto ao comparecimento da Ministra do Meio Ambiente, Sra. Marina Silva, ao Senado Federal, para prestar esclarecimentos.",499545
5736,POR,2023-08-02,Senado Federal,"Elogio à manifestação do Presidente do Senado, Rodrigo Pacheco, sobre decisão proferida pelo Supremo Tribunal Federal a respeito do piso nacional da enfermagem, bem como sobre o julgamento em que se discute a descriminalização do porte de maconha para consumo próprio.",499416
