codigoParlamentar,TipoUsoPalavra,DataPronunciamento,LocalPronunciamento,TextoResumo,CodigoPronunciamento
5899,POR,2024-05-14,Senado Federal,"Registro da presença no Plenário do Deputado Federal Felipe Cecílio, neto do ex-Senador Mauro Miranda.",505991
5899,DIS,2024-03-20,Senado Federal,"Registro do Dia Mundial da Agricultura, celebrado em 20 de março, enfatizando os esforços do mandato de S. Exa. em benefício especialmente da agricultura familiar do Estado de Goiás.",504705
5899,DIS,2024-03-13,Senado Federal,"Exposição sobre a destinação de recursos públicos, via emendas parlamentares de S. Exa., para diversos hospitais do Estado de Goiás.",504592
5899,PDI,2023-12-19,Senado Federal,"Discussão sobre a Medida Provisória (MPV) n° 1185, de 2023 (Crédito fiscal de subvenção para investimento), que ""Dispõe sobre o crédito fiscal decorrente de subvenção para a implantação ou a expansão de empreendimento econômico"".",503354
5899,DIS,2023-10-18,Senado Federal,"Preocupação com a crise que atinge a pecuária leiteira nacional em razão das importações do leite e seus derivados dos países vizinhos em detrimento da produção nacional, e cobranças ao Governo Federal de medidas que protejam os pequenos e médios produtores rurais e
      fortaleçam esse setor.",501323
5899,DIS,2023-10-04,Senado Federal,"Celebração da aprovação do Projeto de Lei Complementar nº 136, de 2023, de autoria do Poder Executivo, que autoriza a compensação de recursos financeiros aos estados e municípios para fazer frente às isenções do ICMS dos combustíveis. Defesa de uma reforma no pacto federativo com o objetivo de equilibrar a distribuição de recursos entre os Entes Federados.",501071
5899,DIS,2023-10-03,Senado Federal,"Manifestação favorável à aprovação da PEC nº 45/2023, que prevê como mandado de criminalização a posse e o porte de substância ilícita em qualquer quantidade.",501135
5899,DIS,2023-10-03,Senado Federal,Sessão Especial destinada a celebrar os 35 anos do Estado de Roraima e os 80 anos de sua criação como Território.,501097
5899,DIS,2023-09-28,Senado Federal,Sessão de Debates Temáticos destinada a debater a reforma tributária.,500783
5899,DIS,2023-09-19,Senado Federal,"Defesa da aprovação do Projeto de Lei nº 2903, de 2023, que determina o marco temporal para demarcação de terras indígenas.",500586
5899,DIS,2023-08-30,Senado Federal,"Celebração da aprovação, pela CAE, do Projeto de Lei nº 4416, de 2021, que prorroga os incentivos fiscais para promover o desenvolvimento sustentável da região Nordeste, da Amazônia e do Centro-Oeste.",500052
5899,NID,2023-08-10,Senado Federal,"Agradecimento ao Presidente do Banco Central do Brasil, Roberto Campos Neto, por sua atuação, após a edição da Resolução 5.013 do Conselho Monetário Nacional, para viabilizar financiamentos para as áreas de indústria, comércio e serviços. Comentários sobre a redução da taxa Selic.",499652
5899,NID,2023-08-10,Senado Federal,"Cumprimentos pela visita, em Plenário, de parlamentares e funcionários representantes de dez Parlamentos.",499643
