codigoParlamentar,TipoUsoPalavra,DataPronunciamento,LocalPronunciamento,TextoResumo,CodigoPronunciamento
5748,POB,2024-05-15,Senado Federal,"Orientação à bancada, pelo Partido MDB, sobre o destaque para votação em separado constante do Requerimento nº 348, de 2024, (Requer, pela Liderança do PL, destaque para votação em separado da Emenda nº 1 ao Projeto de Lei Complementar nº 85/2024.) ao Projeto de Lei Complementar (PLP) n° 85, de 2024, que ""Autoriza a União a postergar o pagamento da dívida de entes federativos afetados por calamidade pública reconhecida pelo Congresso Nacional, mediante proposta do Poder Executivo federal, e a reduzir a taxa de juros dos contratos de dívida dos referidos entes com a União; e altera a Lei Complementar nº 101, de 4 de maio de 2000 (Lei de Responsabilidade Fiscal), e a Lei Complementar nº 159, de 19 de maio de 2017"".",505787
5748,CRE,2024-04-30,Senado Federal,"Como Relator sobre a Mensagem (SF) (MSF) n° 4, de 2024, que ""Submete à apreciação do Senado Federal, nos termos do art. 52, V, VII e VIII, da Constituição, a autorização para contratação de operação de crédito externo, com garantia da República Federativa do Brasil, entre o Município de Campina Grande, Estado da Paraíba, e o Fundo Financeiro para o Desenvolvimento da Bacia do Prata - FONPLATA, destinada a financiar parcialmente o Programa de Mobilidade e Desenvolvimento Socioambiental de Campina Grande - TRANSFORMA CAMPINA"".",505646
5748,PPP,2024-04-30,Senado Federal,"Como Relator, para proferir parecer sobre a Mensagem (SF) (MSF) n° 4, de 2024, que ""Submete à apreciação do Senado Federal, nos termos do art. 52, V, VII e VIII, da Constituição, a autorização para contratação de operação de crédito externo, com garantia da República Federativa do Brasil, entre o Município de Campina Grande, Estado da Paraíba, e o Fundo Financeiro para o Desenvolvimento da Bacia do Prata - FONPLATA, destinada a financiar parcialmente o Programa de Mobilidade e Desenvolvimento Socioambiental de Campina Grande - TRANSFORMA CAMPINA"".",505644
5748,POR,2024-04-30,Senado Federal,"Cumprimentos aos colegas senadores pela aprovação do Projeto de Lei nº 1.026/2024, que ""Altera a Lei nº 14.148, de 3 de maio de 2021, para estabelecer alíquotas reduzidas no âmbito do Programa Emergencial de Retomada do Setor de Eventos – Perse; e revoga dispositivo da Medida Provisória nº 1.202, de 28 de dezembro de 2023.""",505639
5748,NID,2024-04-24,Senado Federal,"Elogio à postura do Senado Plínio Valério durante os debates, na CCJ, sobre o Projeto de Lei (PL) n° 1958, de 2021, que ""Reserva aos negros 20% (vinte por cento) das vagas oferecidas nos concursos públicos para provimento de cargos efetivos e empregos públicos no âmbito da administração pública federal, das autarquias, das fundações públicas, das empresas públicas e das sociedades de economia mista controladas pela União.""",505556
5748,NID,2024-04-24,Senado Federal,"Preocupação com a liberdade de expressão no Brasil e o monitoramento ilegal de pessoas supostamente realizado por autoridades durante o governo do ex-Presidente da República, Jair Bolsonaro. Defesa de compromisso com a democracia e a legalidade.",505552
5748,NID,2024-04-24,Senado Federal,"Considerações sobre a aprovação do Projeto de lei nº 1958, de 2021, que que prorroga por dez anos a política de cotas em concursos públicos federais e amplia para 30% (trinta por cento) a reserva de vagas para negros, indígenas e quilombolas.",505548
5748,FP,2024-04-23,Senado Federal,Registro da presença no Plenário do ex-Senador Sergio Souza.,505501
5748,DIS,2024-04-23,Senado Federal,Críticas à narrativa da existência de censura no País e às comparações com o período histórico da ditadura militar no Brasil. Defesa da democracia e liberdade de expressão. Leitura de editorial do jornal O Estado de S. Paulo sobre o assunto.,505456
5748,DIS,2024-04-22,Senado Federal,"Elogios ao comandante do Exército, General Tomás Miguel Ribeiro Paiva, e ao Ministro da Defesa, Sr. José Mucio Monteiro, por suas falas na solenidade de comemoração do 376º aniversário do Exército Brasileiro, ressaltando o comprometimento de ambos com o respeito à Constituição e aos valores democráticos.",505323
5748,DIS,2024-04-18,Senado Federal,"Contentamento com a participação de S. Exa., representando o Senado Federal, na solenidade de lançamento da Campanha Nacional de Prevenção de Acidentes do Trabalho 2024 (Canpat), promovida pelo Ministério do Trabalho e Emprego.",505394
5748,NID,2024-04-17,Senado Federal,"Elogios à atuação da Senadora Janaína Farias e do Ministro de Estado da Educação, Camilo Santana, o qual atendeu as demandas apresentadas por Senadores. Considerações sobre a importância dos investimentos em educação, com ênfase da construção de novos instituto federais.",505293
5748,NID,2024-04-16,Senado Federal,"Manifestação de solidariedade ao Ministro das Relações Institucionais, Alexandre Padilha, em razão das críticas recebidas pelo Presidente da Câmara dos Deputados, Arthur Lira.",505113
5748,DIS,2024-04-11,Senado Federal,"Contentamento pela participação de S. Exa., representando o Senado Federal, na solenidade de lançamento, ocorrida no Palácio do Planalto, do “Programa Minha Casa, Minha Vida”, nas modalidades rural e entidades. Destaque para sua importância para as famílias brasileiras.",505059
5748,DIS,2024-04-10,Senado Federal,"Satisfação com os novos investimentos para o Programa Minha Casa, Minha Vida e com o lançamento das modalidades rural e entidades do Programa.",505000
5748,DIS,2024-03-25,Senado Federal,Sessão Especial destinada a celebrar os 200 anos de criação do Senado Federal brasileiro.,504848
5748,DIS,2024-03-20,Senado Federal,"Celebração do centenário do livro ""A Paraíba e seus problemas"", de autoria de José Américo de Almeida.",504660
5748,NID,2024-03-19,Senado Federal,"Cumprimentos, em nome do Presidente do Senado, Senador Rodrigo Pacheco, pelos 59 anos da Federação Nacional da Distribuição de Veículos Automotores (Fenabrave).",504798
5748,NID,2024-03-12,Senado Federal,"Solidariedade ao povo dos estados do norte, especialmente do Estado do Acre (AC) por causa das dificuldades impostas pelas empresas aéreas.",504487
5748,POR,2024-03-06,Senado Federal,Crítica ao Governo Federal em razão da possibilidade da revogação de incentivos fiscais do Perse.,504289
5748,DIS,2024-03-06,Senado Federal,"Preocupação com os dados trazidos por recente relatório divulgado pelo TCU revelando que condenados por homicídio e foragidos da polícia conseguiram renovar os registros de CAC, caçadores, atiradores e colecionadores de armas, durante o Governo Bolsonaro.",504257
5748,NID,2024-03-06,Senado Federal,Registro da presença em Plenário do Deputado Edinho Bez.,504251
5748,NID,2024-03-05,Senado Federal,Encerramento da Sessão de Debates Temáticos destinada a discutir os impactos para o Setor Hoteleiro da extinção gradual do Programa Emergencial de Retomada do Setor de Eventos (Perse).,504329
5748,NID,2024-03-05,Senado Federal,Sessão de Debates Temáticos destinada a discutir os impactos para o Setor Hoteleiro da extinção gradual do Programa Emergencial de Retomada do Setor de Eventos (Perse).,504303
5748,FP,2024-03-05,Senado Federal,Abertura da Sessão de Debates Temáticos destinada a discutir os impactos para o Setor Hoteleiro da extinção gradual do Programa Emergencial de Retomada do Setor de Eventos (Perse).,504301
5748,NID,2024-02-27,Senado Federal,"Registro da presença, em Plenário, do Primeiro Suplente de Senador André Amaral.",504043
5748,NID,2024-02-27,Senado Federal,Considerações sobre o relatório final da Comissão Temporária Externa que acompanhou a situação do povo Yanomami em Roraima. Comentário sobre a omissão do Governo Federal em salvaguardar as milhares de vidas dos povos indígenas.,504040
5748,NID,2023-12-11,Senado Federal,"Voto de pesar pelo falecimento do Sr. Sinezio Sapateiro, em Macaé (RJ).",503016
5748,NID,2023-11-28,Senado Federal,N/A,502742
5748,PDI,2023-11-09,Congresso Nacional,"Discussão sobre o Projeto de Lei do Congresso Nacional (PLN) n° 40, de 2023, Encargos Financeiros da União, DNIT, Ministério da Defesa e Outros Ministérios, que ""Abre ao Orçamento Fiscal da União, em favor dos Ministérios da Agricultura e Pecuária, da Educação, da Justiça e Segurança Pública, dos Transportes, da Cultura, da Defesa, e de Portos e Aeroportos, de Encargos Financeiros da União e de Transferências a Estados, Distrito Federal e Municípios, crédito especial no valor de R$ 15.223.151.367,00, para os fins que especifica (nova ementa após Mensagem Modificativa).""",502333
5748,NID,2023-11-07,Senado Federal,N/A,501904
5748,DIS,2023-10-25,Senado Federal,"Destaque à iniciativa do Hospital de Câncer de Barretos-SP de disponibilizar instrumentos médicos e consultórios móveis para a área de Campina Grande-PB e arredores. Registro da presença da Ministra da Saúde Nísia Trindade  no Senado Federal, a fim de prestar informações sobre os desafios, metas, planejamento e diretrizes governamentais do Ministério.",501722
5748,POR,2023-10-18,Senado Federal,"Pela ordem sobre o Projeto de Lei (PL) n° 4086, de 2023, que ""Institui a gratificação por exercício cumulativo de ofícios dos membros da Defensoria Pública da União e dispõe sobre a sua interiorização.""",501309
5748,PDI,2023-10-17,Senado Federal,"Discussão sobre o Projeto de Lei (PL) n° 2839, de 2019, que ""Institui a Política Nacional de Conscientização e Incentivo à Doação e Transplante de Órgãos e Tecidos"".",501449
5748,FP,2023-10-17,Senado Federal,Abertura de Sessão Especial destinada a homenagear os 10 anos da criação da Procuradoria Especial da Mulher do Senado Federal.,501399
5748,PDI,2023-10-10,Senado Federal,"Discussão sobre o Projeto de Lei (PL) n° 4172, de 2023, que ""Institui o Pacto Nacional pela Retomada de Obras e de Serviços de Engenharia Destinados à Educação Básica e Profissionalizante e à Saúde; e altera a Lei nº 10.260, de 12 de julho de 2001"".",501190
5748,POR,2023-10-10,Senado Federal,Cumprimentos ao Presidente do Senado Rodrigo Pacheco e ao Presidente da República Luís Inácio Lula da Silva pelo firme posicionamento de repúdio ao terrorismo em virtude do ataque do grupo terrorista Hamas a Israel.,501185
5748,DIS,2023-10-10,Senado Federal,"Comemoração dos 159 anos da emancipação política da cidade de Campina Grande (PB),  celebrados no dia 11 de outubro de 2023. Breve histórico da trajetória política de S. Exa., das obras públicas realizadas em seu mandato e da importância do trabalho dos Parlamentares.",501168
5748,POB,2023-10-04,Senado Federal,"Orientação à bancada, pelo Partido MDB, sobre o Projeto de Lei Complementar (PLP) n° 136, de 2023, que ""Dispõe sobre a compensação devida pela União nos termos dos arts. 3º e 14 da Lei Complementar nº 194, de 23 de junho de 2022, a dedução das parcelas dos contratos de dívida, a transferência direta de recursos da União aos Estados e ao Distrito Federal, a incorporação do excesso compensado judicialmente em saldo devedor de contratos de dívida administrados pela Secretaria do Tesouro Nacional do Ministério da Fazenda, o tratamento jurídico e contábil aplicável aos pagamentos, às compensações e às vinculações, as transferências de recursos aos Municípios em razão da redução das receitas do Fundo de Participação dos Municípios (FPM), as transferências de recursos aos Estados e ao Distrito Federal em razão da redução das receitas do Fundo de Participação dos Estados e do Distrito Federal (FPE) e as regras relativas ao Imposto sobre Operações Relativas à Circulação de Mercadorias e sobre Prestações de Serviços de Transporte Interestadual e Intermunicipal e de Comunicação (ICMS); e revoga dispositivo da Lei nº 5.172, de 25 de outubro de 1966 (Código Tributário Nacional), e das Leis Complementares nºs 87, de 13 de setembro de 1996 (Lei Kandir), e 192, de 11 de março de 2022.""",501545
5748,CRE,2023-10-04,Senado Federal,"Como Relator sobre o Projeto de Lei Complementar (PLP) n° 136, de 2023, que ""Dispõe sobre a compensação devida pela União nos termos dos arts. 3º e 14 da Lei Complementar nº 194, de 23 de junho de 2022, a dedução das parcelas dos contratos de dívida, a transferência direta de recursos da União aos Estados e ao Distrito Federal, a incorporação do excesso compensado judicialmente em saldo devedor de contratos de dívida administrados pela Secretaria do Tesouro Nacional do Ministério da Fazenda, o tratamento jurídico e contábil aplicável aos pagamentos, às compensações e às vinculações, as transferências de recursos aos Municípios em razão da redução das receitas do Fundo de Participação dos Municípios (FPM), as transferências de recursos aos Estados e ao Distrito Federal em razão da redução das receitas do Fundo de Participação dos Estados e do Distrito Federal (FPE) e as regras relativas ao Imposto sobre Operações Relativas à Circulação de Mercadorias e sobre Prestações de Serviços de Transporte Interestadual e Intermunicipal e de Comunicação (ICMS); e revoga dispositivo da Lei nº 5.172, de 25 de outubro de 1966 (Código Tributário Nacional), e das Leis Complementares nºs 87, de 13 de setembro de 1996 (Lei Kandir), e 192, de 11 de março de 2022"".",501062
5748,PPP,2023-10-04,Senado Federal,"Como Relator - Para proferir parecer sobre o Projeto de Lei Complementar (PLP) n° 136, de 2023, que ""Dispõe sobre a compensação devida pela União nos termos dos arts. 3º e 14 da Lei Complementar nº 194, de 23 de junho de 2022, a dedução das parcelas dos contratos de dívida, a transferência direta de recursos da União aos Estados e ao Distrito Federal, a incorporação do excesso compensado judicialmente em saldo devedor de contratos de dívida administrados pela Secretaria do Tesouro Nacional do Ministério da Fazenda, o tratamento jurídico e contábil aplicável aos pagamentos, às compensações e às vinculações, as transferências de recursos aos Municípios em razão da redução das receitas do Fundo de Participação dos Municípios (FPM), as transferências de recursos aos Estados e ao Distrito Federal em razão da redução das receitas do Fundo de Participação dos Estados e do Distrito Federal (FPE) e as regras relativas ao Imposto sobre Operações Relativas à Circulação de Mercadorias e sobre Prestações de Serviços de Transporte Interestadual e Intermunicipal e de Comunicação (ICMS); e revoga dispositivo da Lei nº 5.172, de 25 de outubro de 1966 (Código Tributário Nacional), e das Leis Complementares nºs 87, de 13 de setembro de 1996 (Lei Kandir), e 192, de 11 de março de 2022"".",501051
5748,CRE,2023-10-04,Senado Federal,"Como Relator sobre o Projeto de Lei Complementar (PLP) n° 136, de 2023, que ""Dispõe sobre a compensação devida pela União nos termos dos arts. 3º e 14 da Lei Complementar nº 194, de 23 de junho de 2022, a dedução das parcelas dos contratos de dívida, a transferência direta de recursos da União aos Estados e ao Distrito Federal, a incorporação do excesso compensado judicialmente em saldo devedor de contratos de dívida administrados pela Secretaria do Tesouro Nacional do Ministério da Fazenda, o tratamento jurídico e contábil aplicável aos pagamentos, às compensações e às vinculações, as transferências de recursos aos Municípios em razão da redução das receitas do Fundo de Participação dos Municípios (FPM), as transferências de recursos aos Estados e ao Distrito Federal em razão da redução das receitas do Fundo de Participação dos Estados e do Distrito Federal (FPE) e as regras relativas ao Imposto sobre Operações Relativas à Circulação de Mercadorias e sobre Prestações de Serviços de Transporte Interestadual e Intermunicipal e de Comunicação (ICMS); e revoga dispositivo da Lei nº 5.172, de 25 de outubro de 1966 (Código Tributário Nacional), e das Leis Complementares nºs 87, de 13 de setembro de 1996 (Lei Kandir), e 192, de 11 de março de 2022"".",501039
5748,NID,2023-09-20,Senado Federal,"Registro da presença, em plenário, do Prefeito de Campina Grande (PB), Sr. Bruno Cunha Lima.",500706
5748,NID,2023-09-20,Senado Federal,"Registro da presença, em plenário, do Prefeito de Tuntum (MA), Sr. Fernando Pessoa.",500697
5748,FP,2023-09-20,Senado Federal,"Abertura de Sessão de Debates Temáticos destinada a instruir o Projeto de Lei no. 2796/2021,que cria o marco legal para a indústria de jogos eletrônicos e para os jogos de fantasia.",500617
5748,NID,2023-09-19,Senado Federal,Registro de homenagem no Salão Nobre do Senado ao ex-Governador e Senador da República José Maranhão.,500588
5748,DIS,2023-09-13,Senado Federal,"Considerações acerca dos investimentos a serem realizados no Estado da Paraíba em diversas áreas por meio do Programa de Aceleração do Crescimento (PAC), com destaque para a obtenção de recursos financeiros para a execução da duplicação da BR-230.",500526
5748,CIN,2023-09-12,Senado Federal,Homenagem ao Senador Jarbas Vasconcelos e a sua trajetória política.,500368
5748,NID,2023-09-05,Senado Federal,Homenagem ao Senador Nelsinho Trad por ocasião de seu aniversário.,500321
5748,DIS,2023-09-05,Senado Federal,"Considerações sobre o comparecimento de S. Exa., a convite do Ministro dos Transportes, Sr. Renan Filho, à assinatura da ordem de serviço da triplicação da BR-230, entre o Município de Cabedelo, no Estado da Paraíba, e a capital João Pessoa. Destaque para a importância da continuidade dessa obra, tornada possível após a aprovação da PEC 32/2022, conhecida por “PEC da Transição”.",500319
5748,NID,2023-09-05,Senado Federal,"Indignação com a exposição da vida privada do Senador Marcos do Val no âmbito do inquérito que investiga os atos do dia 8 de janeiro, resultando na divulgação, pela imprensa, de fotos e conversas íntimas.",500316
5748,NID,2023-09-05,Senado Federal,"Solidariedade ao povo gaúcho, que sofre com a tragédia causada pelo ciclone extratropical que atingiu o Estado.",500312
5748,PDI,2023-08-24,Senado Federal,"Discussão sobre a Medida Provisória (MPV) n° 1172, de 2023, Reajuste do valor do salário mínimo, que ""Dispõe sobre o valor do salário mínimo a vigorar a partir de 1º de maio de 2023.""",499857
5748,PDI,2023-08-23,Senado Federal,"Discussão sobre o Projeto de Lei da Câmara (PLC) n° 180, de 2017, que ""Acrescenta inciso ao art. 193 da Consolidação das Leis do Trabalho (CLT), aprovada pelo Decreto-Lei nº 5.452, de 1º de maio de 1943, para considerar perigosas as atividades desempenhadas pelos agentes das autoridades de trânsito"".",500269
5748,NID,2023-08-23,Senado Federal,Encerramento de Sessão Especial destinada a celebrar o Dia Nacional da Pessoa com Atrofia Muscular Espinhal (AME).,500223
5748,NID,2023-08-23,Senado Federal,Sessão Especial destinada a celebrar o Dia Nacional da Pessoa com Atrofia Muscular Espinhal (AME).,500213
5748,FP,2023-08-23,Senado Federal,Abertura de Sessão Especial destinada a celebrar o Dia Nacional da Pessoa com Atrofia Muscular Espinhal (AME).,500205
