codigoParlamentar,TipoUsoPalavra,DataPronunciamento,LocalPronunciamento,TextoResumo,CodigoPronunciamento
5411,FP,2024-05-27,Senado Federal,Manifestação de solidariedade às vitimas do acidente aéreo com o time da Chapecoense.,506268
5411,NID,2024-05-27,Senado Federal,"Registro da presença no Plenário de Prefeitos maranhenses e de alunos do bairro Varjão, em Brasília/DF.",506266
5411,POB,2024-05-15,Senado Federal,"Orientação à bancada, pelo Partido PDT, sobre o destaque para votação em separado constante do Requerimento nº 348, de 2024, ao Projeto de Lei Complementar (PLP) n° 85, de 2024, que ""Autoriza a União a postergar o pagamento da dívida de entes federativos afetados por calamidade pública reconhecida pelo Congresso Nacional, mediante proposta do Poder Executivo federal, e a reduzir a taxa de juros dos contratos de dívida dos referidos entes com a União; e altera a Lei Complementar nº 101, de 4 de maio de 2000 (Lei de Responsabilidade Fiscal), e a Lei Complementar nº 159, de 19 de maio de 2017"".",505794
5411,POR,2024-05-14,Senado Federal,Comentário acerca da importância da regulação das redes sociais.,505983
5411,PPP,2024-05-08,Senado Federal,"Como Relator - Para proferir parecer sobre o Projeto de Lei (PL) n° 4015, de 2023, que ""Altera o Decreto-Lei nº 2.848, de 7 de dezembro de 1940 (Código Penal), e as Leis nºs 8.072, de 25 de julho de 1990 (Lei dos Crimes Hediondos), 12.694, de 24 julho de 2012, e 13.709, de 14 agosto de 2018 (Lei Geral de Proteção de Dados Pessoais), para reconhecer como atividade de risco permanente as atribuições inerentes ao Poder Judiciário e ao Ministério Público e garantir aos seus membros medidas de proteção, bem como recrudescer o tratamento penal destinado aos crimes de homicídio e de lesão corporal dolosa contra eles, desde que no exercício da função ou em decorrência dela, ou contra seu cônjuge, companheiro ou parente, inclusive por afinidade, até o terceiro grau, em razão dessa condição.""",505952
5411,PPP,2024-05-08,Senado Federal,"Como Relator - Para proferir parecer sobre o Projeto de Lei (PL) n° 1144, de 2024, que ""Dispõe sobre regras aplicáveis às vantagens pessoais nominalmente identificáveis dos servidores ativos, inativos e pensionistas do Quadro de Pessoal do Senado Federal.""",505950
5411,POB,2024-05-08,Senado Federal,"Orientação à bancada, pelo Partido PDT, sobre o destaque para votação em separado constante do Requerimento nº 311, de 2024, (Requer, pela Liderança do Podemos, destaque para votação em separado da Emenda n° 4 ao Projeto de Lei Complementar nº 233/2023.) ao Projeto de Lei Complementar (PLP) n° 233, de 2023, que ""Dispõe sobre o Seguro Obrigatório para Proteção de Vítimas de Acidentes de Trânsito (SPVAT); altera o Decreto-Lei nº 73, de 21 de novembro de 1966, as Leis nºs 8.212, de 24 de julho de 1991, 9.503, de 23 de setembro de 1997 (Código de Trânsito Brasileiro), e 14.075, de 22 de outubro de 2020, e a Lei Complementar nº 200, de 30 de agosto de 2023; e revoga as Leis nºs 6.194, de 19 de dezembro de 1974, e 8.441, de 13 de julho de 1992, e dispositivos das Leis nºs 8.374, de 30 de dezembro de 1991, 11.482, de 31 de maio de 2007, e 11.945, de 4 de junho de 2009.""",505931
5411,POB,2024-05-08,Senado Federal,"Orientação à bancada, pelo Partido PDT, sobre o destaque para votação em separado constante do Requerimento nº 310, de 2024, (Requer, pela Liderança do PL, destaque para votação em separado da Emenda 25-U ao Projeto de Lei Complementar nº 233/2023.) ao Projeto de Lei Complementar (PLP) n° 233, de 2023, que ""Dispõe sobre o Seguro Obrigatório para Proteção de Vítimas de Acidentes de Trânsito (SPVAT); altera o Decreto-Lei nº 73, de 21 de novembro de 1966, as Leis nºs 8.212, de 24 de julho de 1991, 9.503, de 23 de setembro de 1997 (Código de Trânsito Brasileiro), e 14.075, de 22 de outubro de 2020, e a Lei Complementar nº 200, de 30 de agosto de 2023; e revoga as Leis nºs 6.194, de 19 de dezembro de 1974, e 8.441, de 13 de julho de 1992, e dispositivos das Leis nºs 8.374, de 30 de dezembro de 1991, 11.482, de 31 de maio de 2007, e 11.945, de 4 de junho de 2009.""",505915
5411,POB,2024-05-08,Senado Federal,"Orientação à bancada, pelo Partido PDT, sobre o destaque para votação em separado constante do Requerimento nº 307, de 2024, (Requer, pela Liderança do PL, destaque para votação em separado do art. 27 do Projeto de Lei Complementar nº 233/2023.) ao Projeto de Lei Complementar (PLP) n° 233, de 2023, que ""Dispõe sobre o Seguro Obrigatório para Proteção de Vítimas de Acidentes de Trânsito (SPVAT); altera o Decreto-Lei nº 73, de 21 de novembro de 1966, as Leis nºs 8.212, de 24 de julho de 1991, 9.503, de 23 de setembro de 1997 (Código de Trânsito Brasileiro), e 14.075, de 22 de outubro de 2020, e a Lei Complementar nº 200, de 30 de agosto de 2023; e revoga as Leis nºs 6.194, de 19 de dezembro de 1974, e 8.441, de 13 de julho de 1992, e dispositivos das Leis nºs 8.374, de 30 de dezembro de 1991, 11.482, de 31 de maio de 2007, e 11.945, de 4 de junho de 2009.""",505895
5411,POR,2024-05-08,Senado Federal,"Pela ordem sobre o Projeto de Lei (PL) n° 3141, de 2023, que ""Cria o Programa Cartão Reconstruir e dá outras providências.""",505882
5411,POB,2024-05-08,Senado Federal,"Orientação à bancada, pelo Partido PDT, sobre o Projeto de Lei Complementar (PLP) n° 233, de 2023, que ""Dispõe sobre o Seguro Obrigatório para Proteção de Vítimas de Acidentes de Trânsito (SPVAT); altera o Decreto-Lei nº 73, de 21 de novembro de 1966, as Leis nºs 8.212, de 24 de julho de 1991, 9.503, de 23 de setembro de 1997 (Código de Trânsito Brasileiro), e 14.075, de 22 de outubro de 2020, e a Lei Complementar nº 200, de 30 de agosto de 2023; e revoga as Leis nºs 6.194, de 19 de dezembro de 1974, e 8.441, de 13 de julho de 1992, e dispositivos das Leis nºs 8.374, de 30 de dezembro de 1991, 11.482, de 31 de maio de 2007, e 11.945, de 4 de junho de 2009.""",505873
5411,NID,2024-04-25,Senado Federal,"Congratulações aos Prefeitos maranhenses Erlânio Xavier, de Igarapé Grande, Arquimedes, de Afonso Cunha, e Deibson Balé, de Trizidela do Vale, em razão do destaque nacional dos municípios, no critério leitura.",505406
5411,PL,2024-03-26,Senado Federal,"Relato sobre a participação de S. Exa. na 13ª Conferência do Dia Mundial da Síndrome de Down, na sede da ONU, em Nova Iorque. Destaque para marcos históricos na garantia de direitos às pessoas com síndrome de Down no Brasil.",504869
5411,PDI,2024-03-06,Senado Federal,"Discussão sobre o Projeto de Lei (PL) n° 5206, de 2023, que ""Institui marco regulatório do Sistema Nacional de Cultura (SNC), para garantia dos direitos culturais, organizado em regime de colaboração entre os entes federativos para gestão conjunta das políticas públicas de cultura"".",504283
5411,PL,2024-03-06,Senado Federal,"Apoio à realização da 4ª Conferência Nacional da Cultura e às iniciativas empreendidas pelo Governo Federal que possibilitam a participação direta da sociedade no processo de elaboração de políticas públicas. Defesa do Projeto de Lei nº 580/2024, de autoria de S. Exa., que acrescenta critério de não concentração por região à Lei Rouanet para o incentivo a projetos culturais.",504269
5411,POR,2024-02-21,Senado Federal,"Homenagem aos Vereadores do Brasil, em especial aos do Estado do Maranhão/MA.",503893
5411,POR,2024-02-21,Senado Federal,"Sugestão de solução para o transporte interestadual do Distrito Federal/DF - Goiás/GO, com citação do consórcio entre os municípios de Timon/MA e Teresina/PI para licitar o transporte público local.",503889
5411,CRE,2024-02-21,Senado Federal,"Como Relator sobre o Projeto de Lei (PL) n° 3453, de 2021, que ""Altera a Lei nº 8.038, de 28 de maio de 1990, e o Decreto-Lei nº 3.689, de 3 de outubro de 1941 (Código de Processo Penal), para dispor sobre o resultado de julgamento em matéria penal ou processual penal em órgãos colegiados e sobre a concessão de habeas corpus de ofício"".",503877
5411,CRE,2024-02-21,Senado Federal,"Como Relator sobre o Projeto de Lei (PL) n° 3453, de 2021, que ""Altera a Lei nº 8.038, de 28 de maio de 1990, e o Decreto-Lei nº 3.689, de 3 de outubro de 1941 (Código de Processo Penal), para dispor sobre o resultado de julgamento em matéria penal ou processual penal em órgãos colegiados e sobre a concessão de habeas corpus de ofício"".",503875
5411,CRE,2024-02-20,Senado Federal,"Como Relator, sobre o Projeto de Lei (PL) n° 1219, de 2023, que ""Dispõe sobre a composição, o funcionamento e a competência do Conselho Superior da Justiça do Trabalho; e altera a Consolidação das Leis do Trabalho, aprovada pelo Decreto-Lei nº 5.452, de 1º de maio de 1943"".",504027
5411,POB,2024-02-20,Senado Federal,"Orientação à bancada, pelo Partido PDT, sobre o destaque para votação em separado constante do Requerimento nº 84, de 2024, (Requer, pela Liderança do PT, destaque para votação em separado da Emenda nº 8 ao Projeto de Lei nº 2253/2022.) ao Projeto de Lei (PL) n° 2253, de 2022, que ""Altera a Lei nº 7.210, de 11 de julho de 1984 (Lei de Execução Penal), para dispor sobre a monitoração eletrônica do preso, prever a realização de exame criminológico para progressão de regime e extinguir o benefício da saída temporária"".",504003
5411,NID,2024-02-20,Senado Federal,"Homenagem ao Senador Flávio Dino, que se despede de seu cargo para assumir vaga de Ministro no Supremo Tribunal Federal (STF).",503915
5411,NID,2024-02-20,Senado Federal,"Comentários sobre a importância de se defender e valorizar o trabalhador. Defesa do Projeto de Lei (PL) n° 1105, de 2023, que ""Acrescenta artigo à Consolidação das Leis do Trabalho, facultando a redução da jornada de trabalho, desde que feita sem redução salarial"". Críticas à Reforma Trabalhista.",503897
5411,NID,2024-02-08,Senado Federal,"Registro da presença, em Plenário, do Sr. José Antônio, Secretário de Educação de Imperatriz-MA.",503741
5411,NID,2024-02-08,Senado Federal,"Considerações sobre o recém construído Hospital do câncer dr. Antonio Dino, situado na Baixada maranhense, no sudoeste do Estado do Maranhão.",503734
5411,NID,2024-02-08,Senado Federal,"Considerações sobre o Hospital do amor de Imperatriz, no Maranhão, inaugurado em outubro de 2022. Destaque sobre o trabalho desenvolvido no combate ao câncer.",503732
5411,CIN,2024-02-07,Senado Federal,Prestação de contas da atuação de S. Exa. como Vice-Líder do Governo Lula no Senado Federal em 2023.,503799
5411,NID,2024-02-06,Senado Federal,"Elogios ao Projeto de Lei nº 16/2024, de autoria do Senador Flávio Dino, que institui premiação ao bom trabalho policial.",503749
5411,NID,2023-12-20,Congresso Nacional,"Leitura dos autógrafos da Emenda Constitucional nº 132/2023, referente à Proposta de Emenda à Constituição nº 45/2019, que altera o Sistema Tributário Nacional (Reforma Tributária).",503503
5411,POB,2023-12-20,Senado Federal,"Orientação à bancada, pelo Partido PDT, sobre o destaque para votação em separado constante do Requerimento nº 1119, de 2023, (Requer, pela Liderança do PL, destaque para votação em separado da Emenda nº 48 à Medida Provisória nº 1185/2023.) à Medida Provisória (MPV) n° 1185, de 2023, Crédito fiscal de subvenção para investimento, que ""Dispõe sobre o crédito fiscal decorrente de subvenção para a implantação ou a expansão de empreendimento econômico"".",503276
5411,PEN,2023-12-20,Senado Federal,"Encaminhamento sobre o destaque para votação em separado constante do Requerimento nº 1119, de 2023, (Requer, pela Liderança do PL, destaque para votação em separado da Emenda nº 48 à Medida Provisória nº 1185/2023.) à Medida Provisória (MPV) n° 1185, de 2023, Crédito fiscal de subvenção para investimento, que ""Dispõe sobre o crédito fiscal decorrente de subvenção para a implantação ou a expansão de empreendimento econômico"".",503267
5411,POB,2023-12-20,Senado Federal,"Orientação à bancada, pelo Partido PDT, sobre a Medida Provisória (MPV) n° 1185, de 2023, Crédito fiscal de subvenção para investimento, que ""Dispõe sobre o crédito fiscal decorrente de subvenção para a implantação ou a expansão de empreendimento econômico"".",503258
5411,PDI,2023-12-14,Congresso Nacional,"Discussão sobre o Veto (VET) n° 30, de 2023, que ""Veto Parcial aposto ao Projeto de Lei nº 2.903, de 2023 (nº 490/2007, na Câmara dos Deputados), que ""Regulamenta o art. 231 da Constituição Federal, para dispor sobre o reconhecimento, a demarcação, o uso e a gestão de terras indígenas; e altera as Leis nºs 11.460, de 21 de março de 2007, 4.132, de 10 de setembro de 1962, e 6.001, de 19 de dezembro de 1973"".",503607
5411,POB,2023-11-22,Senado Federal,"Orientação à bancada, pelo Partido PDT, sobre a Proposta de Emenda à Constituição (PEC) n° 8, de 2021, que ""Altera a Constituição Federal para dispor sobre os pedidos de vista, declaração de inconstitucionalidade e concessão de medidas cautelares nos tribunais"".",502479
5411,PDI,2023-11-08,Senado Federal,"Discussão sobre a Proposta de Emenda à Constituição (PEC) n° 45, de 2019, que ""Altera o Sistema Tributário Nacional"".",502031
5411,PDI,2023-11-07,Senado Federal,"Discussão sobre o Projeto de Lei (PL) n° 3045, de 2022, que ""Institui a Lei Orgânica Nacional das Polícias Militares e dos Corpos de Bombeiros Militares dos Estados, do Distrito Federal e dos Territórios, nos termos do inciso XXI do caput do art. 22 da Constituição Federal; altera a Lei nº 13.675, de 11 de junho de 2018; revoga dispositivos do Decreto-Lei nº 667, de 2 de julho de 1969; e dá outras providências"".",501922
5411,POR,2023-11-01,Senado Federal,"Pela ordem sobre o Projeto de Lei (PL) n° 3535, de 2023, que ""Cria cargos de provimento efetivo, cargos em comissão e funções comissionadas nos Quadros Permanentes da Secretaria do Superior Tribunal Militar e das Auditorias da Justiça Militar da União"".",501878
