codigoParlamentar,TipoUsoPalavra,DataPronunciamento,LocalPronunciamento,TextoResumo,CodigoPronunciamento
3806,DIS,2024-05-29,Senado Federal,"Preocupação com o eventual aumento do desemprego nos Municípios de Canaã dos Carajás-PA e Ourilândia do Norte-PA, em decorrência da interdição provocada pela Secretaria Estadual de Meio Ambiente e Sustentabilidade em projetos de mineração da Companhia Vale do Rio Doce.",506589
3806,DIS,2024-05-06,Senado Federal,Solidariedade ao povo gaúcho em razão da tragédia climática que se abateu sobre o Estado do Rio Grande do Sul nos últimos dias e apelo para a construção de um esforço nacional de ajuda humanitária ao Estado,505434
3806,DIS,2024-04-24,Senado Federal,"Questionamentos acerca das diretrizes que devem nortear o Plano Nacional de Educação (PNE) 2024-2034, ressaltando a importância da discussão do PNE no Congresso Nacional se focar na melhoria da qualidade do ensino em vez de questões ideológicas.",505577
3806,DIS,2024-04-23,Senado Federal,"Elogios à decisão do Sr. Gilmar Mendes, Ministro do STF, que determinou a suspensão de todos os processos que discutem a constitucionalidade da Lei nº 14701/2023, que estabelece o marco temporal para a demarcação de terras indígenas.",505487
3806,DIS,2024-04-22,Senado Federal,"Defesa do Projeto de Lei nº 2973/2023, de autoria de S.Exa., que permite o garimpo em áreas destinadas à pesquisa para extração de minerais.",505319
3806,DIS,2024-04-17,Senado Federal,"Expectativa com o futuro lançamento do Plano Nacional de Ferrovias pelo Governo Federal. Defesa da construção de obras de infraestrutura no País, como a ferrovia Ferrogrão, destacando a importância dessas obras para a redução das emissões de poluentes.",505285
3806,DIS,2024-04-11,Senado Federal,"Defesa da concessão de licença ambiental para a exploração de petróleo e gás pela Petrobras na margem equatorial do Oceano Atlântico, ressaltando os benefícios econômicos e sociais gerados para as Regiões Norte e Nordeste do Brasil.",505060
3806,DIS,2024-04-10,Senado Federal,"Voto de aplauso à bióloga e consultora ambiental, Sra. Beatriz Fernandes do Amaral, por pesquisas na área de conciliação entre progresso econômico e preservação natural.",505051
3806,DIS,2024-03-26,Senado Federal,"Críticas ao Presidente da França, Emmanuel Macron, pelos padrões ambientais defendidos para o Brasil em comparação àqueles vigentes em seu país.",504896
3806,POR,2024-03-20,Senado Federal,"Requerimento de inserção em ata de voto de aplauso ao Pastor Firmino Gouveia, da Igreja Evangélica Assembleia de Deus, em Belém (PA) pelo seu aniversário de 99 anos.",504701
3806,DIS,2024-03-20,Senado Federal,Exposição sobre os altos índices de criminalidade constatados recentemente pelo Instituto Fogo Cruzado em Belém-PA.,504662
3806,DIS,2024-03-19,Senado Federal,"Apelo pela aprovação do Requerimento nº 125/2024, que requer a constituição de Comissão Temporária Externa para investigar denúncias de exploração sexual de crianças e adolescentes no Arquipélago de Marajó, no Estado do Pará.",504842
