CodigoParlamentar,CodigoPublicoNaLegAtual,NomeParlamentar,NomeCompletoParlamentar,SexoParlamentar,FormaTratamento,UrlFotoParlamentar,UrlPaginaParlamentar,EmailParlamentar,SiglaPartidoParlamentar,UfParlamentar,MembroMesa,MembroLideranca,NumeroTelefone,OrdemPublicacao,IndicadorFax,CodigoBloco,NomeBloco,NomeApelido,DataCriacao,CodigoMandato,UfParlamentar.1,DescricaoParticipacao,NumeroLegislatura,DataInicio,DataFim,NumeroLegislatura.1,DataInicio.1,DataFim.1,DescricaoParticipacao.1,CodigoParlamentar.1,NomeParlamentar.1,CodigoExercicio,DataInicio.2,DescricaoParticipacao.2,CodigoParlamentar.2,NomeParlamentar.2,DataFim.2,SiglaCausaAfastamento,DescricaoCausaAfastamento,UrlPaginaParticular,DataLeitura
22,882,Esperidião Amin,Esperidião Amin Helou Filho,Masculino,Senador ,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador22.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/22,sen.esperidiaoamin@senado.leg.br,PP,SC,Não,Não,33036446.0,1.0,Não,346.0,Bloco Parlamentar Aliança,BLALIANÇA,2023-03-20,572.0,SC,Titular,56.0,2019-02-01,2023-01-31,57.0,2023-02-01,2027-01-31,1º Suplente,196.0,Geraldo Althoff,2901.0,2019-02-01,,,,,,,,
35,932,Jader Barbalho,Jader Fontenelle Barbalho,Masculino,Senador ,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador35.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/35,sen.jaderbarbalho@senado.leg.br,MDB,PA,Não,Não,33039831.0,2.0,Não,336.0,Bloco Parlamentar Democracia,BLDEM,2023-02-03,528.0,PA,Titular,56.0,2019-02-01,2023-01-31,57.0,2023-02-01,2027-01-31,1º Suplente,5999.0,Helenilson Pontes,2910.0,2019-02-01,,,,,,,http://jaderbarbalho.com.br/,
70,875,Renan Calheiros,José Renan Vasconcelos Calheiros,Masculino,Senador ,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador70.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/70,sen.renancalheiros@senado.leg.br,MDB,AL,Não,Sim,33032261.0,1.0,Não,336.0,Bloco Parlamentar Democracia,BLDEM,2023-02-03,527.0,AL,Titular,56.0,2019-02-01,2023-01-31,57.0,2023-02-01,2027-01-31,1º Suplente,5913.0,Rafael Tenório,2992.0,2022-10-01,,,,2022-06-02,LCS,Licença com convocação de suplente (sup 120 dias),https://www.renancalheiros.com.br/,
285,849,Marcio Bittar,Marcio Miguel Bittar,Masculino,Senador ,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador285.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/285,sen.marciobittar@senado.leg.br,UNIÃO,AC,Não,Não,33032115.0,1.0,Não,336.0,Bloco Parlamentar Democracia,BLDEM,2023-02-03,536.0,AC,Titular,56.0,2019-02-01,2023-01-31,57.0,2023-02-01,2027-01-31,1º Suplente,5902.0,Eduardo Velloso,2994.0,2022-10-15,,,,2022-05-31,LCS,Licença com convocação de suplente (sup 120 dias),,
345,856,Flávio Arns,Flávio José Arns,Masculino,Senador ,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador345.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/345,sen.flavioarns@senado.leg.br,PSB,PR,Não,Não,33036301.0,1.0,Não,335.0,Bloco Parlamentar da Resistência Democrática,BLPRD,2023-02-01,540.0,PR,Titular,56.0,2019-02-01,2023-01-31,57.0,2023-02-01,2027-01-31,1º Suplente,5919.0,Vilson Basso,2903.0,2019-02-01,,,,,,,http://www.flavioarns.com.br,
470,815,Chico Rodrigues,Francisco de Assis Rodrigues,Masculino,Senador ,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador470.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/470,sen.chicorodrigues@senado.leg.br,PSB,RR,Sim,Não,33032281.0,1.0,Não,335.0,Bloco Parlamentar da Resistência Democrática,BLPRD,2023-02-01,577.0,RR,Titular,56.0,2019-02-01,2023-01-31,57.0,2023-02-01,2027-01-31,1º Suplente,6023.0,Pedro Arthur,2965.0,2021-02-18,,,,2020-10-20,LP ,Licença Particular,,
475,867,Confúcio Moura,Confúcio Aires Moura,Masculino,Senador ,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador475.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/475,sen.confuciomoura@senado.leg.br,MDB,RO,Não,Sim,33032470.0,1.0,Não,336.0,Bloco Parlamentar Democracia,BLDEM,2023-02-03,575.0,RO,Titular,56.0,2019-02-01,2023-01-31,57.0,2023-02-01,2027-01-31,1º Suplente,6019.0,Maria Eliza,2974.0,2022-01-25,,,,2021-09-24,LCS,Licença com convocação de suplente (sup 120 dias),https://senadorconfucio.com.br/,
581,833,Jaques Wagner,Jaques Wagner,Masculino,Senador ,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador581.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/581,sen.jaqueswagner@senado.leg.br,PT,BA,Não,Sim,33036390.0,1.0,Não,335.0,Bloco Parlamentar da Resistência Democrática,BLPRD,2023-02-01,555.0,BA,Titular,56.0,2019-02-01,2023-01-31,57.0,2023-02-01,2027-01-31,1º Suplente,5554.0,Bebeto,2911.0,2019-02-01,,,,,,,https://pt-br.facebook.com/jaqueswagneroficial/,
631,869,Magno Malta,Magno Pereira Malta,Masculino,Senador ,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador631.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/631,sen.magnomalta@senado.leg.br,PL,ES,Não,Sim,33036370.0,2.0,Não,338.0,Bloco Parlamentar Vanguarda,BLVANG,2023-02-01,600.0,ES,Titular,57.0,2023-02-01,2027-01-31,58.0,2027-02-01,2031-01-31,1º Suplente,6354.0,Marcinha Macedo,3011.0,2023-02-01,,,,,,,,
739,811,Ciro Nogueira,Ciro Nogueira Lima Filho,Masculino,Senador ,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador739.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/739,sen.cironogueira@senado.leg.br,PP,PI,Não,Sim,33036187.0,1.0,Não,346.0,Bloco Parlamentar Aliança,BLALIANÇA,2023-03-20,524.0,PI,Titular,56.0,2019-02-01,2023-01-31,57.0,2023-02-01,2027-01-31,1º Suplente,5898.0,Eliane Nogueira,3004.0,2022-12-30,,,,2021-07-27,AFO,Afastamento do exercício,http://cironogueira.com.br,
