CodigoParlamentar,GastouMedia,NotaAutorias,Relatorias,NotaComissoes,NotaVotacoes,Total
22,True,207.5,47,104.0,151,509.5
35,False,57.0,3,55.5,-9,106.5
70,False,57.0,12,111.5,-30,150.5
285,True,135.5,13,44.0,29,221.5
345,False,199.0,28,110.5,140,477.5
470,True,107.5,74,72.5,100,354.0
475,True,146.0,15,36.0,104,301.0
581,True,63.5,20,57.5,145,286.0
631,False,158.0,12,95.0,-55,210.0
739,True,140.0,5,108.5,-7,246.5
742,True,57.5,20,63.5,53,194.0
825,False,291.0,61,169.5,164,685.5
3777,False,116.5,36,61.5,46,260.0
3806,True,224.5,15,63.0,59,361.5
3830,True,36.5,6,59.5,15,117.0
4531,False,78.0,14,115.0,63,270.0
4560,True,81.5,14,158.5,54,308.0
4639,True,108.0,17,20.5,159,304.5
4770,False,304.0,26,106.0,106,542.0
4811,True,133.5,24,29.5,100,287.0
4994,True,66.0,12,108.5,8,194.5
5008,True,186.5,65,137.5,32,421.0
5012,False,85.5,19,159.5,119,383.0
5070,False,94.0,10,82.5,3,189.5
5322,False,125.5,27,57.5,6,216.0
5352,True,203.0,69,45.0,90,407.0
5376,True,193.0,24,66.0,-65,218.0
5385,True,89.0,4,50.0,-48,95.0
5386,False,144.0,66,46.0,93,349.0
5411,True,137.5,92,51.5,34,315.0
5422,True,92.0,14,50.0,83,239.0
5502,True,118.0,7,61.0,112,298.0
5523,False,88.5,44,100.5,143,376.0
5525,True,60.5,10,48.0,22,140.5
5672,True,151.5,20,29.5,60,261.0
5718,True,225.0,16,79.0,-51,269.0
5732,False,42.5,1,20.5,206,270.0
5736,False,154.5,22,24.5,109,310.0
5748,True,122.5,87,62.0,132,403.5
5783,True,77.0,36,67.5,146,326.5
5793,True,143.5,18,33.0,32,226.5
5894,False,91.5,12,41.5,85,230.0
5895,False,252.5,28,59.0,66,405.5
5899,False,70.0,9,53.0,10,142.0
5905,True,90.0,89,45.0,75,299.0
5917,False,40.5,23,13.5,23,100.0
5924,False,49.0,8,33.5,48,138.5
5926,True,125.0,9,49.5,35,218.5
5936,True,225.5,17,36.5,13,292.0
5942,False,128.0,3,54.0,69,254.0
5953,True,141.5,43,61.0,86,331.5
5959,True,119.0,68,53.5,119,359.5
5967,True,117.0,6,64.0,72,259.0
5973,True,40.5,32,39.5,12,124.0
5976,False,344.0,6,84.5,59,493.5
5979,False,139.0,28,55.5,137,359.5
5982,True,143.0,42,59.5,1,245.5
5985,True,175.0,31,104.5,68,378.5
5988,False,120.5,16,65.5,72,274.0
5990,True,256.0,27,71.5,9,363.5
5998,True,110.5,12,43.5,-41,125.0
6008,False,48.0,9,22.0,-1,78.0
6009,True,233.0,34,32.0,125,424.0
6010,False,51.5,7,12.5,117,188.0
6015,False,17.5,4,6.0,30,57.5
6027,True,172.0,11,62.0,29,274.0
6304,False,107.0,17,26.5,106,256.5
6331,False,144.0,14,12.0,105,275.0
6335,False,388.0,46,40.0,135,609.0
6337,False,204.0,13,19.5,141,377.5
6338,True,144.5,39,19.0,132,334.5
6340,False,153.0,11,17.5,57,238.5
6341,True,217.0,48,26.5,159,450.5
6342,True,174.0,8,26.5,105,313.5
6345,False,25.5,8,12.0,76,121.5
6351,False,32.5,10,11.5,12,66.0
6358,False,50.5,30,15.5,58,154.0
6363,False,6.0,5,5.5,16,32.5
6366,False,2.5,4,11.5,11,29.0
6369,True,56.5,25,13.0,139,233.5
6374,False,1.0,2,6.0,18,27.0
