codigoParlamentar,TipoRelator,DataDesignacao,Identificacao,Ementa,AnoMateria,SiglaComissao,NomeComissao
5982,Relator,2024-07-12,PL 2530/2024,"Altera a Lei n° 8.906, de 4 de julho de 1994 – Estatuto da Advocacia, para garantir aos advogados o direito de porte de arma de fogo para defesa pessoal, em todo o território nacional.",2024,CSP,Comissão de Segurança Pública
5982,Relator Ad hoc,2024-07-10,PL 1246/2021,"Estabelece a obrigatoriedade de reserva mínima de participação de mulheres em conselhos de administração das sociedades empresárias que especifica; e altera as Leis nºs 6.404, de 15 de dezembro de 1976, e 13.303, de 30 de junho de 2016.",2021,CCJ,"Comissão de Constituição, Justiça e Cidadania"
5982,Relator,2024-07-09,PL 1433/2022,"Acrescenta o art. 297-A à Lei nº 9.503, de 23 de setembro de 1997 (Código de Trânsito Brasileiro), para incluir o pagamento de pensão alimentícia mensal à família da vítima ou à vítima, em caso de morte ou lesão corporal por crime de trânsito, provocada por condutor sob influência de álcool ou qualquer outra substância psicoativa que determine dependência.",2022,CAS,Comissão de Assuntos Sociais
5982,Relator,2024-07-09,PL 2123/2024,Institui a Política Nacional de Acolhimento às Vítimas de Lawfare; e dá outras providências.,2024,CAS,Comissão de Assuntos Sociais
5982,Relator,2024-07-05,PL 2725/2022,"Altera as Leis nºs 9.394, de 20 de dezembro de 1996 (Lei de Diretrizes e Bases da Educação Nacional), e 10.973, de 2 de dezembro de 2004, para estabelecer requisitos mínimos de transparência pública e controle social em matéria educacional.",2022,CE,Comissão de Educação e Cultura
5982,Relator,2024-06-12,PL 1774/2024,Inscreve o nome de André Pinto Rebouças no Livro de Heróis e Heroínas da Pátria.,2024,CE,Comissão de Educação e Cultura
5982,Relator,2024-05-22,PL 6256/2019,Institui a Política Nacional de Linguagem Simples nos órgãos e entidades da administração pública direta e indireta de todos os entes federativos.,2019,CCDD,Comissão de Comunicação e Direito Digital
5982,Relator,2024-05-20,PL 1232/2024,"Altera o Decreto-Lei nº 3.689, de 3 de outubro de 1941, para criar competências para o processo e julgamento perante o Tribunal do Júri, para as autoridades detentoras de prerrogativa de função, bem como de cabimento de habeas corpus.",2024,CDD,Comissão de Defesa da Democracia
5982,Relator,2024-05-20,PDL 258/2024,"Susta os efeitos da Resolução Nº 34, de 24 de abril de 2024, do Conselho Nacional de Política Criminal e Penitenciária - CNPCP, que define diretrizes e recomendações referentes à assistência socio-espiritual e à liberdade religiosa das pessoas privadas de liberdade.",2024,CDH,Comissão de Direitos Humanos e Legislação Participativa
5982,Relator,2024-05-10,PL 2725/2022,"Altera as Leis nºs 9.394, de 20 de dezembro de 1996 (Lei de Diretrizes e Bases da Educação Nacional), e 10.973, de 2 de dezembro de 2004, para estabelecer requisitos mínimos de transparência pública e controle social em matéria educacional.",2022,CTFC,"Comissão de Transparência, Governança, Fiscalização e Controle e Defesa do Consumidor"
