codigoParlamentar,TipoRelator,DataDesignacao,Identificacao,Ementa,AnoMateria,SiglaComissao,NomeComissao
6358,Relator,2024-07-09,PL 5497/2023,"Altera as Leis nº 6.009, de 26 de dezembro de 1973, nº 7.565, de 19 de dezembro de 1986, nº 9.537, de 11 de dezembro de 1997, nº 11.975, de 7 de julho de 2009, e nº 14.273, de 23 de dezembro de 2021, para tornar obrigatória a divulgação de mensagens sobre a tromboembolismo venoso em terminais do transporte rodoviário, ferroviário, aéreo e aquaviário, bem como nos aviões, embarcações e vagões de passageiros, e nos bilhetes aéreos.",2023,CAS,Comissão de Assuntos Sociais
6358,Relator,2024-07-09,PL 2239/2019,Institui o Dia Nacional de Cuidados com as Mãos.,2019,CAS,Comissão de Assuntos Sociais
6358,Relator,2024-07-09,PDL 203/2023,"Susta os efeitos da Resolução nº 715, de 20 de julho de 2023, do Conselho Nacional de Saúde, que trata das “orientações estratégicas para o Plano Plurianual (PPA) e para o Plano Nacional de Saúde (PNS) 2024-2027”.",2023,CAS,Comissão de Assuntos Sociais
6358,Relator,2024-07-09,PDL 22/2024,"Susta os efeitos da Nota Técnica nº 118/2023-CGICI/DPNI/SVSA/MS, que trata da incorporação das vacinas COVID-19 no Calendário Nacional de Vacinação Infantil, para crianças de 6 meses a menores de 5 anos de idade, a partir de 01 de janeiro de 2024.",2024,CAS,Comissão de Assuntos Sociais
6358,Relator,2024-07-09,PDL 5/2024,"Susta a Nota Técnica nº 118/2023-CGICI/DPNI/SVSA/MS, publicada pelo Ministério da Saúde em 14 de dezembro de 2023, que trata da incorporação das vacinas contra a covid-19 no Calendário Nacional de Vacinação Infantil, pelo Programa Nacional de Imunizações, para crianças de 6 meses a menores de 5 anos de idade, a partir de 1º de janeiro de 2024.",2024,CAS,Comissão de Assuntos Sociais
6358,Relator,2024-07-03,PL 663/2024,Reconhece o Sistema Único de Saúde (SUS) como manifestação da cultura nacional.,2024,CAS,Comissão de Assuntos Sociais
6358,Relator,2024-05-06,PL 570/2024,"Acrescenta inciso ao art. 97 da Lei nº 8.112, de 11 de dezembro de 1990, e ao art. 473 do Decreto-Lei nº 5.452, de 1º de maio de 1943 (Consolidação das Leis do Trabalho), para determinar a concessão, ao servidor ou ao empregado, de abono do dia em que comprovar a vacinação de filho ou dependente menor.",2024,CAS,Comissão de Assuntos Sociais
6358,Relator,2024-05-06,PL 1018/2024,Institui o Programa Nacional de Prevenção à Insegurança Alimentar na Educação Infantil e no Ensino Fundamental.,2024,CAS,Comissão de Assuntos Sociais
6358,Relator,2024-05-06,PL 1701/2021,"Altera a Consolidação das Leis do Trabalho (CLT), aprovada pelo Decreto-Lei nº 5.452, de 1º de maio de 1943, e as Leis nº 8.212 e nº 8.213, de 24 de julho de 1991, para dispor sobre o direito da empregada gestante à licença-gestante e ao salário-gestante durante períodos de emergência em saúde pública de importância nacional reconhecida pelo Poder Executivo Federal.",2021,CAS,Comissão de Assuntos Sociais
6358,Relator,2024-04-17,PEC 58/2023,"Altera os incisos XVIII e XIX do art. 7° da Constituição Federal, para ampliar a duração da licença-maternidade, licença paternidade e adotante.",2023,CCJ,"Comissão de Constituição, Justiça e Cidadania"
6358,Relator Ad hoc,2024-04-10,PRS 25/2023,Institui a Curadoria Parlamentar da Biblioteca do Senado Federal.,2023,CCJ,"Comissão de Constituição, Justiça e Cidadania"
6358,Relator,2024-03-21,PL 5300/2023,Dispõe sobre a profissão de cuidador de crianças e de cuidador de idosos e dá outras providências.,2023,CAS,Comissão de Assuntos Sociais
6358,Relator,2024-02-29,PL 985/2022,"Altera a Lei nº 8.906, de 4 de julho de 1994 (Estatuto da Advocacia), a fim de fixar critério de paridade de gênero na elaboração, pelos Conselhos Federal e Seccionais, de listas constitucionalmente previstas para o preenchimento de cargos nos tribunais judiciários.",2022,CDH,Comissão de Direitos Humanos e Legislação Participativa
6358,Relator,2024-02-29,PL 565/2022,"Qualifica a exposição de crianças e adolescentes sob guarda de pais ou responsáveis legais brasileiros a situações de violência doméstica em país estrangeiro como situação capaz de submetê-los a grave risco de ordem física ou psíquica, nos termos do Artigo 13 da Convenção sobre os Aspectos Civis do Sequestro Internacional de Crianças.",2022,CDH,Comissão de Direitos Humanos e Legislação Participativa
