codigoParlamentar,TipoRelator,DataDesignacao,Identificacao,Ementa,AnoMateria,SiglaComissao,NomeComissao
6366,Relator,2024-07-05,PL 2491/2024,"Dispõe sobre a criação do Fundo de Responsabilidade de Longo Prazo em Atividades de Captura, Armazenamento e Uso de Carbono (CCUS), com a finalidade de constituir reserva financeira destinada a enfrentar situações de acidentes ambientais decorrentes dessas atividades, bem como disciplina a responsabilidade civil do operador de atividades de captura e estocagem de carbono.",2024,CAE,Comissão de Assuntos Econômicos
6366,Relator,2024-07-03,PL 4687/2023,"Altera a Lei nº 14.133, de 1º de abril de 2021, para permitir que os Estados, os Municípios e o Distrito Federal possam prever a obrigatoriedade de programas de integridade em editais de licitação segundo sua realidade e necessidades locais.",2023,CTFC,"Comissão de Transparência, Governança, Fiscalização e Controle e Defesa do Consumidor"
6366,Relator,2024-07-03,PL 4652/2019,"Obriga os estacionamentos privados de shopping centers, centros comerciais ou estabelecimentos semelhantes a concederem o dobro do período de tolerância para saída a idosos, pessoas com deficiência e seus acompanhantes.",2019,CTFC,"Comissão de Transparência, Governança, Fiscalização e Controle e Defesa do Consumidor"
6366,Relator,2024-07-03,PL 668/2019,"Dispõe sobre a cobrança pelos serviços de estacionamento privado de veículos, bem como sobre o período mínimo de gratuidade.",2019,CTFC,"Comissão de Transparência, Governança, Fiscalização e Controle e Defesa do Consumidor"
6366,Relator,2024-07-03,PL 5544/2019,"Altera a Lei n° 8.078, de 11 de setembro de 1990 (Código de Defesa do Consumidor), para prever a penalidade de reembolso do valor do frete a empresas que descumpram o prazo de entrega de produtos acordado em contrato.",2019,CTFC,"Comissão de Transparência, Governança, Fiscalização e Controle e Defesa do Consumidor"
6366,Relator,2024-06-26,PL 750/2022,Altera o Código de Processo Penal para estabelecer sistema de venda e gestão de bens e valores objeto de medidas assecuratórias equivalente ao vigente para os crimes de drogas.,2022,CSP,Comissão de Segurança Pública
6366,Relator,2024-06-25,PL 680/2024,"Altera a Lei nº 12.468, de 26 de agosto de 2011 e a Lei nº 12.587, de 3 de janeiro de 2012 para garantir o direito à transferência dos direitos à exploração do serviço de transporte público individual de passageiros e atribuir aos Municípios a competência para definir os seus requisitos.",2024,CI,Comissão de Serviços de Infraestrutura
6366,Relator,2024-06-25,PL 1376/2024,"Altera a Lei nº 14.789, de 29 de dezembro de 2023, para excluir da base de cálculo do Imposto sobre a Renda das Pessoas Jurídicas (IRPJ) e da Contribuição Social sobre o Lucro Líquido (CSLL) as receitas decorrentes de subvenções para investimento destinadas à eletrificação da frota de ônibus utilizada no transporte público.",2024,CI,Comissão de Serviços de Infraestrutura
6366,Relator,2024-06-24,PDL 530/2021,"Aprova o ato que renova a autorização outorgada à Associação Comunitária dos Amigos de Pedras de Fogo para executar serviço de radiodifusão comunitária no Município de Pedras de Fogo, Estado da Paraíba.",2021,CCDD,Comissão de Comunicação e Direito Digital
6366,Relator,2024-06-24,PDL 1084/2021,"Aprova o ato que renova a autorização outorgada à Fundação João Kennedy Gomes Batista - FJKGB para executar serviço de radiodifusão comunitária no Município de Emas, Estado da Paraíba.",2021,CCDD,Comissão de Comunicação e Direito Digital
6366,Relator,2024-06-24,PDL 962/2021,"Aprova o ato que renova a autorização outorgada à Acauã Produções Culturais para executar serviço de radiodifusão comunitária no Município de Aparecida, Estado da Paraíba.",2021,CCDD,Comissão de Comunicação e Direito Digital
6366,Relator,2024-06-24,PDL 225/2022,"Aprova o ato que renova a autorização outorgada à Rádio Comunitária Cruz das Armas FM para executar serviço de radiodifusão comunitária no Município de João Pessoa, Estado da Paraíba.",2022,CCDD,Comissão de Comunicação e Direito Digital
6366,Relator,2024-06-24,PDL 914/2021,"Aprova o ato que renova a autorização outorgada à Associação Cultural e Comunitária de Encruzilhada para executar serviço de radiodifusão comunitária no Município de Encruzilhada, Estado da Bahia.",2021,CCDD,Comissão de Comunicação e Direito Digital
6366,Relator,2024-06-24,PL 224/2020,"Altera a Lei nº 9.294, de 15 de julho de 1996, que dispõe sobre as restrições ao uso e à propaganda de produtos fumígeros, bebidas alcoólicas, medicamentos, terapias e defensivos agrícolas, nos termos do § 4° do art. 220 da Constituição Federal, para proibir a publicidade de bebidas alcóolicas nos veículos de comunicação e seu patrocínio a eventos esportivos.",2020,CCDD,Comissão de Comunicação e Direito Digital
6366,Relator,2024-06-24,PDL 90/2019,"Aprova o ato que renova a autorização outorgada à Associação de Radiodifusão Comunitária São Miguel – ACOSAMI para executar serviço de radiodifusão comunitária no Município de Tavares, Estado da Paraíba.",2019,CCDD,Comissão de Comunicação e Direito Digital
