codigoParlamentar,TipoRelator,DataDesignacao,Identificacao,Ementa,AnoMateria,SiglaComissao,NomeComissao
5967,Relator,2024-04-18,PDL 890/2021,"Aprova o ato que renova a autorização outorgada ao Conselho Comunitário do Arraial D´Ajuda para executar serviço de radiodifusão comunitária no Município de Porto Seguro, Estado da Bahia.",2021,CCDD,Comissão de Comunicação e Direito Digital
5967,Relator,2024-04-18,PDL 416/2022,"Aprova o ato que renova a permissão outorgada à Rádio Meridional da Bahia Ltda. para explorar serviço de radiodifusão sonora em frequência modulada no Município de Itabuna, Estado da Bahia.",2022,CCDD,Comissão de Comunicação e Direito Digital
5967,Relator,2024-04-18,PDL 896/2021,"Aprova o ato que renova a autorização outorgada à Associação Assistencial Soteropolitana para executar serviço de radiodifusão comunitária no Município de Salvador, Estado da Bahia.",2021,CCDD,Comissão de Comunicação e Direito Digital
5967,Relator,2024-04-18,PDL 1147/2021,"Aprova o ato que renova a autorização outorgada à Associação de Proteção ao Adolescente de Itacaré para executar serviço de radiodifusão comunitária no Município de Itacaré, Estado da Bahia.",2021,CCDD,Comissão de Comunicação e Direito Digital
5967,Relator,2024-04-18,PDL 1152/2021,"Aprova o ato que renova a autorização outorgada à Associação de Radiodifusão Comunitária Entre Rios FM para executar serviço de radiodifusão comunitária no Município de Entre Rios, Estado da Bahia.",2021,CCDD,Comissão de Comunicação e Direito Digital
5967,Relator,2024-04-18,PDL 449/2022,"Aprova o ato que outorga autorização à Associação Líder de Ação Social para executar serviço de radiodifusão comunitária no Município de Feira de Santana, Estado da Bahia.",2022,CCDD,Comissão de Comunicação e Direito Digital
5967,Relator,2024-04-18,PDL 311/2019,"Aprova o ato que outorga permissão à Universidade Estadual de Feira de Santana para executar serviço de radiodifusão sonora em frequência modulada no Município de Feira de Santana, Estado da Bahia.",2019,CCDD,Comissão de Comunicação e Direito Digital
5967,Relator,2024-04-18,PDL 891/2021,"Aprova o ato que renova a autorização outorgada à Associação Comunitária de Amparo aos Artistas de Cajazeiras para executar serviço de radiodifusão comunitária no Município de Salvador, Estado da Bahia.",2021,CCDD,Comissão de Comunicação e Direito Digital
5967,Relator,2024-04-18,PDL 959/2021,"Aprova o ato que renova a autorização outorgada à Associação Comunitária de Ilhéus para executar serviço de radiodifusão comunitária no Município de Ilhéus, Estado da Bahia.",2021,CCDD,Comissão de Comunicação e Direito Digital
5967,Relator,2023-10-09,PL 3626/2023,"Dispõe sobre a modalidade lotérica denominada apostas de quota fixa; altera as Leis nºs 5.768, de 20 de dezembro de 1971, e 13.756, de 12 de dezembro de 2018, e a Medida Provisória nº 2.158-35, de 24 de agosto de 2001; revoga dispositivos do Decreto-Lei nº 204, de 27 de fevereiro de 1967; e dá outras providências.",2023,CAE,Comissão de Assuntos Econômicos
5967,Relator,2023-09-19,PL 334/2023 (Substitutivo-CD),"Altera as Leis nºs 12.546, de 14 de dezembro de 2011, e 10.865, de 30 de abril de 2004, para prorrogar até 31 de dezembro de 2027 os prazos de que tratam os arts. 7º e 8º e o caput do § 21 do art. 8º, respectivamente, e altera a Lei nº 8.212, de 24 de julho de 1991, para reduzir a alíquota da contribuição previdenciária sobre a folha devida por Municípios.",2023,CAE,Comissão de Assuntos Econômicos
5967,Relator,2023-09-06,PL 4287/2023,Dispõe sobre a autorregularização incentivada de tributos administrados pela Secretaria Especial da Receita Federal do Brasil.,2023,CAE,Comissão de Assuntos Econômicos
5967,Relator,2023-09-01,PDL 478/2019,"Aprova o ato que outorga autorização à Associação dos Monitores em Organização Social de Wenceslau Guimarães (WG FM) para executar serviço de radiodifusão comunitária no Município de Wenceslau Guimarães, Estado do Bahia.",2019,CCDD,Comissão de Comunicação e Direito Digital
5967,Relator,2023-09-01,PDL 552/2019,"Aprova o ato que outorga autorização à Associação Jiquiriçaense de Apoio Cultural para executar serviço de radiodifusão comunitária no Município de Jiquiriçá, Estado da Bahia.",2019,CCDD,Comissão de Comunicação e Direito Digital
5967,Relator,2023-09-01,PDL 477/2019,"Aprova o ato que renova a autorização outorgada à Associação Beneficente e Cultural Comunitária de Baixa Grande para executar serviço de radiodifusão comunitária no Município de Baixa Grande, Estado da Bahia.",2019,CCDD,Comissão de Comunicação e Direito Digital
5967,Relator,2023-09-01,PDS 181/2018,"Aprova o ato que outorga autorização à Associação Beneficente e Cultural Comunitária Itinga da Serra (Asbeculis) para executar serviço de radiodifusão comunitária no Município de Antônio Gonçalves, Estado da Bahia.",2018,CCDD,Comissão de Comunicação e Direito Digital
5967,Relator,2023-09-01,PDS 160/2018,"Aprova o ato que outorga autorização à Associação Comunitária dos Amigos da Cidade de Iuiu para executar serviço de radiodifusão comunitária no Município de Iuiu, Estado da Bahia.",2018,CCDD,Comissão de Comunicação e Direito Digital
5967,Relator,2023-09-01,PDS 147/2018,"Aprova o ato que outorga autorização à Associação dos Moradores de Tauápe e Região - AMTR para executar serviço de radiodifusão comunitária no Município de Licínio de Almeida, Estado da Bahia.",2018,CCDD,Comissão de Comunicação e Direito Digital
5967,Relator,2023-09-01,PDS 51/2016,"Aprova o ato que outorga autorização ao INSTITUTO DE DESENVOLVIMENTO DO VALE DO JAGUARIPE para executar serviço de radiodifusão comunitária na cidade de Muniz Ferreira, Estado da Bahia.",2016,CCDD,Comissão de Comunicação e Direito Digital
5967,Relator,2023-09-01,PDL 573/2019,"Aprova o ato que outorga autorização à Associação Educadora do Movimento de Radiodifusão Comunitária de Itamaraju para executar serviço de radiodifusão comunitária no Município de Itamaraju, Estado da Bahia.",2019,CCDD,Comissão de Comunicação e Direito Digital
5967,Relator,2023-09-01,PDL 385/2019,"Aprova o ato que renova a autorização outorgada à Associação Comunitária Sideral de Radiodifusão para o Desenvolvimento Cultural, Artístico e Esportivo para executar serviço de radiodifusão comunitária no Município de Buerarema, Estado da Bahia.",2019,CCDD,Comissão de Comunicação e Direito Digital
5967,Relator,2023-09-01,PDL 348/2021,"Aprova o ato que renova a autorização outorgada à Rádio Comunitária Zabelê FM para executar serviço de radiodifusão comunitária no Município de Remanso, Estado da Bahia.",2021,CCDD,Comissão de Comunicação e Direito Digital
5967,Relator,2023-09-01,PDL 365/2021,"Aprova o ato que renova a autorização outorgada à Associação Comunitária Radiovida de Botuporã (ACRB) para executar serviço de radiodifusão comunitária no Município de Botuporã, Estado da Bahia.",2021,CCDD,Comissão de Comunicação e Direito Digital
5967,Relator,2023-09-01,PDL 616/2021,"Aprova o ato que renova a autorização outorgada à Rádio Comunitária Educativa e Cultural Arinense para executar serviço de radiodifusão comunitária no Município de Arinos, Estado de Minas Gerais.",2021,CCDD,Comissão de Comunicação e Direito Digital
5967,Relator,2023-09-01,PDL 586/2021,"Aprova o ato que renova a autorização outorgada à Associação Cultural Comunitária Kobu FM para executar serviço de radiodifusão comunitária no Município de Gouveia, Estado de Minas Gerais.",2021,CCDD,Comissão de Comunicação e Direito Digital
5967,Relator,2023-09-01,PDL 592/2021,"Aprova o ato que renova a autorização outorgada à Associação Comunitária Serrana de Radiodifusão para executar serviço de radiodifusão comunitária no Município de Serro, Estado de Minas Gerais.",2021,CCDD,Comissão de Comunicação e Direito Digital
5967,Relator,2023-09-01,PDL 427/2021,"Aprova o ato que renova a autorização outorgada à Associação de Radiodifusão Comunitária de Angical para executar serviço de radiodifusão comunitária no Município de Angical, Estado da Bahia.",2021,CCDD,Comissão de Comunicação e Direito Digital
5967,Relator,2023-09-01,PDL 469/2021,"Aprova o ato que renova a autorização outorgada à Associação Comunitária de Jitaúna para executar serviço de radiodifusão comunitária no Município de Jitaúna, Estado da Bahia.",2021,CCDD,Comissão de Comunicação e Direito Digital
5967,Relator,2023-09-01,PDL 582/2021,"Aprova o ato que renova a autorização outorgada à Rádio Comunitária Boa Nova FM para executar serviço de radiodifusão comunitária no Município de Guarda-Mor, Estado de Minas Gerais.",2021,CCDD,Comissão de Comunicação e Direito Digital
5967,Relator,2023-09-01,PDL 600/2021,"Aprova o ato que renova a autorização outorgada à Associação Comunitária Cultural e Radiodifusão de Carvalho de Brito para executar serviço de radiodifusão comunitária no Município de Sabará, Estado de Minas Gerais.",2021,CCDD,Comissão de Comunicação e Direito Digital
5967,Relator,2023-09-01,PDL 619/2021,"Aprova o ato que renova a autorização outorgada à Associação Comunitária de Radiodifusão de Pedro Leopoldo para executar serviço de radiodifusão comunitária no Município de Pedro Leopoldo, Estado de Minas Gerais.",2021,CCDD,Comissão de Comunicação e Direito Digital
5967,Relator,2023-09-01,PDL 688/2021,"Aprova o ato que renova a autorização outorgada à Associação Comunitária Novo Amanhecer - ACNA para executar serviço de radiodifusão comunitária no Município de Brotas de Macaúbas, Estado da Bahia.",2021,CCDD,Comissão de Comunicação e Direito Digital
5967,Relator,2023-09-01,PDL 355/2021,"Aprova o ato que renova a autorização outorgada à Associação Cultural Comunitária Rádio Livre para executar serviço de radiodifusão comunitária no Município de Ipiaú, Estado da Bahia.",2021,CCDD,Comissão de Comunicação e Direito Digital
5967,Relator,2023-09-01,PDL 676/2021,"Aprova o ato que renova a autorização outorgada à Associação da Rádio Comunitária Liberdade FM para executar serviço de radiodifusão comunitária no Município de Juazeiro, Estado da Bahia.",2021,CCDD,Comissão de Comunicação e Direito Digital
5967,Relator,2023-08-10,PL 1402/2023,"Altera a Lei nª 12.850, de 2 de agosto de 2013, para estabelecer o inventário das ferramentas tecnológicas de inteligência adquiridas e utilizadas pelos órgãos estatais de inteligência e vigilância",2023,CSP,Comissão de Segurança Pública
5967,Relator,2023-07-12,PDS 88/2018,"Aprova o ato que outorga permissão à Total – Comunicação, Publicidade e Produções Ltda. para explorar serviço de radiodifusão sonora em frequência modulada no Município de Formosa do Rio Preto, Estado da Bahia.",2018,CCDD,Comissão de Comunicação e Direito Digital
5967,Relator,2023-07-12,PDL 540/2019,"Aprova o ato que renova a concessão outorgada à Caraíba Empreendimentos Culturais Ltda. para explorar serviço de radiodifusão sonora em onda média no Município de Senhor do Bonfim, Estado da Bahia.",2019,CCDD,Comissão de Comunicação e Direito Digital
5967,Relator,2023-06-15,OFS 11/2023,"Submete à apreciação do Senado Federal, nos termos do art. 130-B , inciso X, da Constituição Federal, a indicação do Senhor PABLO COUTINHO BARRETO, para compor o Conselho Nacional de Justiça - CNJ, na vaga destinada ao Ministério Público da União.",2023,CCJ,"Comissão de Constituição, Justiça e Cidadania"
