codigoParlamentar,TipoRelator,DataDesignacao,Identificacao,Ementa,AnoMateria,SiglaComissao,NomeComissao
6009,Relator Ad hoc,2024-07-10,MSF 19/2024,"Submete à apreciação do Senado Federal, de conformidade com o art. 52, inciso IV, da Constituição, e com o art. 39, combinado com o art. 46 da Lei nº 11.440, de 2006, o nome do Senhor ALEXANDRE HENRIQUE SCULTORI DE AZEVEDO SILVA, Ministro de Segunda Classe da Carreira de Diplomata do Ministério das Relações Exteriores, para exercer o cargo de Embaixador do Brasil na República de Cabo Verde.",2024,CRE,Comissão de Relações Exteriores e Defesa Nacional
6009,Relator Ad hoc,2024-07-10,MSF 18/2024,"Submete à apreciação do Senado Federal, de conformidade com o art. 52, inciso IV, da Constituição, e com o art. 39, combinado com o art. 46 da Lei nº 11.440, de 2006, o nome do Senhor COLBERT SOARES PINTO JUNIOR, Ministro de Segunda Classe do Quadro Especial da Carreira de Diplomata do Ministério das Relações Exteriores, para exercer o cargo de Embaixador do Brasil em Santa Lúcia e, cumulativamente, na Comunidade da Dominica.",2024,CRE,Comissão de Relações Exteriores e Defesa Nacional
6009,Relator,2024-07-05,PL 1058/2020,"Altera a Lei n° 11.947, de 2009, a Lei 10.880, de 2004 e a Lei 11.494, de 2007, com relação ao Programa Nacional de Alimentação Escolar (PNAE), ao Programa Nacional de Transporte Escolar (PNATE) e ao Fundo de Manutenção e Desenvolvimento da Educação Básica e de Valorização dos Profissionais da Educação (FUNDEB) a fim de flexibilizar o uso dos recursos de repasse para municípios, estados e Distrito Federal, em caráter excepcional, durante o período de suspensão das aulas em razão de situações de emergência ou calamidade pública para garantia de alimentação escolar.",2020,CE,Comissão de Educação e Cultura
6009,Relator,2024-07-02,MPV 1235/2024,"Abre crédito extraordinário, em favor do Ministério da Integração e do Desenvolvimento Regional, no valor de R$ 689.689.688,00, para o fim que especifica.",2024,CMO,"Comissão Mista de Planos, Orçamentos Públicos e Fiscalização"
6009,Relator,2024-06-28,PL 1833/2024,"Acrescenta o art. 88-A à Lei no 9.610, de 19 de fevereiro de 1998 (Lei dos Direitos Autorais), para proibir a utilização da inteligência artificial nos casos em que especifica.",2024,CCT,"Comissão de Ciência, Tecnologia, Inovação e Informática"
6009,Relator,2024-06-28,PL 2252/2022,"Declara como de especial interesse para a geração de conhecimento, de tecnologia e de inovação, bem como para o desenvolvimento brasileiro, nos termos do parágrafo único do art. 219 da Constituição Federal, os Centros de Pesquisa e de Inovação de Empresas (CPIEs).",2022,CCT,"Comissão de Ciência, Tecnologia, Inovação e Informática"
6009,Relator,2024-06-11,PL 5066/2020,"Modifica a Lei nº 9.478, de 6 de agosto de 1997, e a Lei nº 12.351, de 22 de dezembro de 2010, para dispor sobre o estímulo à pesquisa e à adoção de novas tecnologias na exploração e produção de petróleo, gás natural e outros hidrocarbonetos fluidos.",2020,CCT,"Comissão de Ciência, Tecnologia, Inovação e Informática"
6009,Relator,2024-06-05,PL 2870/2023,"Altera a Lei nº 9.394, de 20 de dezembro de 1996, que estabelece as diretrizes e bases da educação nacional, para incluir o ensino de noções de defesa civil entre os conteúdos obrigatórios do ensino fundamental e do ensino médio.",2023,CE,Comissão de Educação e Cultura
6009,Relator,2024-05-24,PL 1006/2022,Institui normas aplicáveis a atividades espaciais nacionais.,2022,CRE,Comissão de Relações Exteriores e Defesa Nacional
6009,Relator,2024-05-24,PDL 454/2023,"Aprova o ato que renova a permissão outorgada ao Sistema Barretense de Comunicação e Cultura Ltda. - EPP para explorar serviço de radiodifusão sonora em frequência modulada no Município de Barretos, Estado de São Paulo.",2023,CCDD,Comissão de Comunicação e Direito Digital
6009,Relator,2024-05-24,PDL 438/2023,"Aprova o ato que outorga permissão ao Município de Avaré para explorar serviço de radiodifusão sonora em frequência modulada, com fins exclusivamente educativos, no Município de Avaré, Estado de São Paulo.",2023,CCDD,Comissão de Comunicação e Direito Digital
6009,Relator,2024-05-24,PDL 437/2023,"Aprova o ato que outorga permissão ao Município de Catanduva para explorar serviço de radiodifusão sonora em frequência modulada no Município de Catanduva, Estado de São Paulo.",2023,CCDD,Comissão de Comunicação e Direito Digital
6009,Relator,2024-05-24,PDL 436/2023,"Aprova o ato que outorga permissão à Fundação Jaboticabal de Radiodifusão Educativa para explorar serviço de radiodifusão sonora em frequência modulada no Município de Jaboticabal, Estado de São Paulo.",2023,CCDD,Comissão de Comunicação e Direito Digital
6009,Relator Revisor,2024-05-14,MPV 1210/2024,"Abre crédito extraordinário, em favor do Ministério da Justiça e Segurança Pública, no valor de R$ 30.157.034,00, para os fins que especifica.",2024,CMO,"Comissão Mista de Planos, Orçamentos Públicos e Fiscalização"
6009,Relator,2024-05-08,PRS 5/2024,Dispõe sobre a criação do Grupo Parlamentar Brasil-Chipre e dá outras providências.,2024,CRE,Comissão de Relações Exteriores e Defesa Nacional
6009,Relator,2024-05-06,PL 6206/2023,"Denomina Passarela Aureliano Henriques Brotto a passarela situada no Km 201,7 da BR-116, Rodovia Presidente Dutra, no Município de Arujá, no Estado de São Paulo.",2023,CI,Comissão de Serviços de Infraestrutura
6009,Relator Ad hoc,2024-04-25,MSF 2/2024,"Submete à apreciação do Senado Federal, nos termos do art. 52, inciso IV, da Constituição, e do art. 39, combinado com o art. 41, da Lei nº 11.440, de 29 de dezembro de 2006, a indicação do Senhor LEONARDO LUÍS GORGULHO NOGUEIRA FERNANDES, Ministro de Primeira Classe da Carreira de Diplomata do Ministério das Relações Exteriores, para exercer o cargo de Embaixador do Brasil no Reino da Dinamarca e, cumulativamente, na República da Lituânia.",2024,CRE,Comissão de Relações Exteriores e Defesa Nacional
6009,Relator,2024-04-18,PDL 606/2021,"Aprova o ato que renova a autorização outorgada à Associação Cultural Comunitária Simonense para executar serviço de radiodifusão comunitária no Município de São Simão, Estado de São Paulo.",2021,CCDD,Comissão de Comunicação e Direito Digital
6009,Relator,2024-04-18,PDL 701/2021,"Aprova o ato que renova a autorização outorgada à Associação Comunitária Caraguatatuba para executar serviço de radiodifusão comunitária no Município de Caraguatatuba, Estado de São Paulo.",2021,CCDD,Comissão de Comunicação e Direito Digital
6009,Relator,2024-04-18,PDL 312/2021,"Aprova o ato que renova a autorização outorgada ao Grêmio do Projeto Cultural e Criativo Alternativa para executar serviço de radiodifusão comunitária no Município de Capivari, Estado de São Paulo.",2021,CCDD,Comissão de Comunicação e Direito Digital
6009,Relator,2024-04-18,PDL 461/2021,"Aprova o ato que renova a autorização outorgada à Associação Comunitária para o Desenvolvimento Social, Cultural e Artístico de Guaratinguetá para executar serviço de radiodifusão comunitária no Município de Guaratinguetá, Estado de São Paulo.",2021,CCDD,Comissão de Comunicação e Direito Digital
6009,Relator,2024-04-18,PDL 350/2021,"Aprova o ato que renova a autorização outorgada à Associação Comunitária Martinho Prado Júnior para executar serviço de radiodifusão comunitária no Município de Mogi Guaçu, Estado de São Paulo.",2021,CCDD,Comissão de Comunicação e Direito Digital
6009,Relator,2024-04-18,PDS 454/2013,"Aprova o ato que outorga permissão à SINAL BRASILEIRO DE COMUNICAÇÃO S/C LTDA. para explorar serviço de radiodifusão sonora em frequência modulada na cidade de Orlândia, Estado de São Paulo.",2013,CCDD,Comissão de Comunicação e Direito Digital
6009,Relator,2024-04-18,PDS 157/2013,"Aprova o ato que outorga permissão à EMPRESA DE RADIODIFUSÃO ESTRELA DALVA LTDA. para explorar serviço de radiodifusão sonora em frequência modulada na cidade de Iguapé, Estado de São Paulo.",2013,CCDD,Comissão de Comunicação e Direito Digital
6009,Relator,2024-04-12,PDL 274/2023,"Aprova o ato que outorga permissão à Fundação Onda Verde de Radiodifusão Brasil para explorar serviço de radiodifusão sonora em frequência modulada no Município de Paraguaçu Paulista, Estado de São Paulo.",2023,CCDD,Comissão de Comunicação e Direito Digital
6009,Relator,2024-04-12,PDL 275/2023,"Aprova o ato que outorga permissão à Fundação Onda Verde de Radiodifusão Brasil para explorar serviço de radiodifusão sonora em frequência modulada no Município de Ituverava, Estado de São Paulo.",2023,CCDD,Comissão de Comunicação e Direito Digital
6009,Relator,2024-04-12,PDL 269/2023,"Aprova o ato que outorga permissão à Fundação Onda Verde de Radiodifusão Brasil para explorar serviço de radiodifusão sonora em frequência modulada no Município de Jales, Estado de São Paulo.",2023,CCDD,Comissão de Comunicação e Direito Digital
6009,Relator,2024-03-05,PDL 558/2020,"Susta os efeitos do Decreto nº 10.578 de 15 de dezembro de 2020, que dispõe sobre a dissolução societária do Centro Nacional de Tecnologia Eletrônica Avançada S.A. e a publicização das atividades direcionadas à pesquisa científica, ao desenvolvimento tecnológico e à inovação no setor de microeletrônica.",2020,CCT,"Comissão de Ciência, Tecnologia, Inovação e Informática"
6009,Relator,2024-03-05,PDL 350/2020,"Susta o Decreto nº 10.065, de 14 de outubro de 2019, que dispõe sobre a qualificação do Centro Nacional de Tecnologia Eletrônica Avançada S.A. – Ceitec no âmbito do Programa de Parcerias de Investimentos da Presidência da República.",2020,CCT,"Comissão de Ciência, Tecnologia, Inovação e Informática"
6009,Relator,2024-03-05,OFS 68/2018,"Encaminha, em cumprimento ao disposto no § 3º do art. 37 do Decreto 8.945/2016, a análise de atendimento das metas e resultados na execução do plano de negócios e da estratégia de longo prazo da FINEP, referente ao período de 2017.",2018,CCT,"Comissão de Ciência, Tecnologia, Inovação e Informática"
6009,Relator,2024-02-26,PL 1945/2022,"Reconhece como manifestação da cultura nacional a Festa de São Vito, realizada no Município de São Paulo, no Estado de São Paulo.",2022,CE,Comissão de Educação e Cultura
6009,Relator Ad hoc,2024-02-20,PL 5574/2023,"Altera a Lei nº 12.345, de 9 de dezembro de 2010, que fixa critério para instituição de datas comemorativas, para melhor definição dos critérios fixados.",2023,CE,Comissão de Educação e Cultura
6009,Relator,2024-02-19,PL 6106/2023,"Altera o Decreto-Lei nº 236, de 28 de fevereiro de 1967, para permitir a formação de cadeias e associações de concessionárias ou permissionárias dos serviços de radiodifusão sonora e de sons e imagens com a finalidade de estabelecer direção ou orientação única.",2023,CCDD,Comissão de Comunicação e Direito Digital
6009,Relator,2023-12-20,PDL 290/2023,"Aprova o ato que outorga permissão à Fundação Brito Júnior de Rádio e TV Educativa para explorar serviço de radiodifusão sonora em frequência modulada no Município de Vera Cruz, Estado de São Paulo.",2023,CCDD,Comissão de Comunicação e Direito Digital
6009,Relator,2023-12-20,PDL 283/2023,"Aprova o ato que outorga permissão à Fundação Brito Júnior de Rádio e TV Educativa para explorar serviço de radiodifusão sonora em frequência modulada no Município de Garça, Estado de São Paulo.",2023,CCDD,Comissão de Comunicação e Direito Digital
6009,Relator,2023-12-20,PL 5844/2023,"Reconhece o Município de Cruzeiro, no Estado de São Paulo, como Capital da Revolução Constitucionalista de 1932.",2023,CE,Comissão de Educação e Cultura
6009,Relator,2023-12-20,PL 5764/2023,"Declara a cidade de Santa Gertrudes, no Estado de São Paulo, Capital Nacional da Cerâmica de Pisos e Revestimentos.",2023,CE,Comissão de Educação e Cultura
6009,Relator,2023-12-20,PL 1631/2022,Inscreve o nome de Cesare Mansueto Giulio Lattes no Livro dos Heróis e Heroínas da Pátria.,2022,CE,Comissão de Educação e Cultura
6009,Relator,2023-12-19,PL 4804/2019,"Altera a Lei nº 10.048, de 8 de novembro de 2000, para garantir assentos especiais no transporte público para pessoas com deficiência e com obesidade mórbida.",2019,CI,Comissão de Serviços de Infraestrutura
6009,Relator Ad hoc,2023-11-29,PDS 297/2013,"Aprova o ato que outorga autorização à ASSOCIAÇÃO COMUNITÁRIA MUNDO MELHOR DO MUNICÍPIO DE DUAS ESTRADAS para executar serviço de radiodifusão comunitária na cidade de Duas Estradas, Estado da Paraíba.",2013,CCDD,Comissão de Comunicação e Direito Digital
6009,Relator,2023-11-27,PL 2475/2021,"Reconhece a Festa de Nossa Senhora Achiropita, realizada no Município de São Paulo, no Estado de São Paulo, como manifestação da cultura nacional.",2021,CE,Comissão de Educação e Cultura
6009,Relator,2023-11-23,PL 613/2021,"Altera o Decreto-Lei nº 2.848, de 7 de dezembro de 1940 – Código Penal, para tipificar como crime condutas indevidas praticadas contra sistemas e dados informáticos.",2021,CCDD,Comissão de Comunicação e Direito Digital
6009,Relator,2023-11-21,PL 4569/2023,Cria o Programa de Desenvolvimento do Sistema Brasileiro de Posicionamento Global.,2023,CRE,Comissão de Relações Exteriores e Defesa Nacional
6009,Relator,2023-11-21,PL 4097/2023,"Altera as leis 12.965, de 23 de abril de 2014, (Marco Civil da Internet) e 13.709, de 14 de agosto de 2018, (Lei Geral de Proteção de Dados) para dispor sobre a soberania digital e dar outras providências.",2023,CCT,"Comissão de Ciência, Tecnologia, Inovação e Informática"
6009,Relator,2023-11-14,PL 4943/2023,Institui o Dia Nacional do Rosário da Virgem Maria.,2023,CE,Comissão de Educação e Cultura
6009,Relator,2023-11-09,PL 3817/2019,"Altera a Lei n° 8.958, de 20 dezembro de 1994; a Lei nº 9.394, de 20 de dezembro de 1996; a Lei n° 10.973, de 2 dezembro de 2004; e a Lei nº 13.800, de 4 de janeiro de 2019, e dá outras providências para ampliar o financiamento da educação superior no País.",2019,CE,Comissão de Educação e Cultura
6009,Relator,2023-11-08,PDL 169/2023,"Aprova o texto do Acordo entre a República Federativa do Brasil e a Organização Europeia para a Pesquisa Nuclear (CERN) com relação à Concessão do Status de Membro Associado da CERN, celebrado em Genebra, em 3 de março de 2022.",2023,CRE,Comissão de Relações Exteriores e Defesa Nacional
6009,Relator,2023-11-08,PDL 168/2023,"Aprova o texto do Protocolo sobre Privilégios e Imunidades da Organização Europeia para a Pesquisa Nuclear, celebrado em Genebra, em 18 de março de 2004.",2023,CRE,Comissão de Relações Exteriores e Defesa Nacional
6009,Relator,2023-11-07,PL 5087/2023,"Concede ao município de Morretes, no estado do Paraná, o título de Berço Nacional do Montanhismo.",2023,CE,Comissão de Educação e Cultura
