codigoParlamentar,TipoRelator,DataDesignacao,Identificacao,Ementa,AnoMateria,SiglaComissao,NomeComissao
4639,Relator,2024-05-14,PL 763/2024,"Regulamenta a atividade de extração de substâncias minerais garimpáveis por pessoas físicas de nacionalidade brasileira, atuando individualmente ou em forma associativa, em regime de economia familiar.",2024,CMA,Comissão de Meio Ambiente
4639,Relator,2024-05-14,PL 6120/2019,"Estabelece o Inventário Nacional de Substâncias Químicas, a avaliação e o controle do risco das substâncias químicas utilizadas, produzidas ou importadas, no território nacional, com o objetivo de minimizar os impactos adversos à saúde e ao meio ambiente; e dá outras providências.",2019,CMA,Comissão de Meio Ambiente
4639,Relator,2024-05-14,PL 1348/2024,"Altera a Lei nº 8.171, de 17 de janeiro de 1991, e a Lei nº 11.326, de 24 de julho de 2006, para incluir o estímulo à utilização de bioinsumos na atividade agrícola entre os objetivos da política agrícola e da Política Nacional da Agricultura Familiar e Empreendimentos Familiares Rurais.",2024,CMA,Comissão de Meio Ambiente
4639,Relator,2024-05-02,PL 966/2024,Altera a legislação do Imposto sobre Produtos Industrializados – IPI para definir alíquota zero para os veículos movidos exclusivamente a etanol.,2024,CI,Comissão de Serviços de Infraestrutura
4639,Relator,2024-05-02,PL 6206/2023,"Denomina Passarela Aureliano Henriques Brotto a passarela situada no Km 201,7 da BR-116, Rodovia Presidente Dutra, no Município de Arujá, no Estado de São Paulo.",2023,CI,Comissão de Serviços de Infraestrutura
4639,Relator,2024-04-23,PLC 182/2017,Institui a Política Nacional de Agricultura Urbana e dá outras providências.,2017,CRA,Comissão de Agricultura e Reforma Agrária
4639,Relator,2024-04-18,PL 2973/2023,"Altera a Lei n° 7.805, de 18 de julho de 1989, para prever a possibilidade de outorga de lavra garimpeira em área onerada por requerimento de pesquisa ou autorização de pesquisa.",2023,CMA,Comissão de Meio Ambiente
4639,Relator,2024-04-18,PDL 325/2019,"Aprova o ato que outorga autorização à Associação Cultural Educacional e Ecológica Ibirajá de Radiodifusão Comunitária para executar serviço de radiodifusão comunitária no Município de Itanhém, Estado da Bahia.",2019,CCDD,Comissão de Comunicação e Direito Digital
4639,Relator,2024-04-18,PDL 913/2021,"Aprova o ato que renova a autorização outorgada à Associação Comunitária Dom Oscar Romero para executar serviço de radiodifusão comunitária no Município de Santa Luzia, Estado do Maranhão.",2021,CCDD,Comissão de Comunicação e Direito Digital
4639,Relator,2024-04-18,PDL 525/2019,"Aprova o ato que outorga autorização à Associação de Moradores da Vila Davi para executar serviço de radiodifusão comunitária no Município de Davinópolis, Estado do Maranhão.",2019,CCDD,Comissão de Comunicação e Direito Digital
