codigoParlamentar,TipoRelator,DataDesignacao,Identificacao,Ementa,AnoMateria,SiglaComissao,NomeComissao
5936,Relator,2024-07-09,PL 1024/2024,Dispõe sobre a obrigatoriedade de curso de formação para a prática do paraquedismo e sobre o exercício da profissão de instrutor de paraquedismo.,2024,CAS,Comissão de Assuntos Sociais
5936,Relator Ad hoc,2024-07-02,PL 2229/2021,Institui o Dia Nacional do Funk.,2021,CE,Comissão de Educação e Cultura
5936,Relator,2024-06-28,PLP 134/2020,"Altera a da Lei Complementar nº 123, de 14 de Dezembro de 2006.",2020,CCT,"Comissão de Ciência, Tecnologia, Inovação e Informática"
5936,Relator,2024-06-18,PL 2260/2024,"Confere ao Município de Caucaia, no Estado do Ceará, o título de Capital Nacional do Kitesurf.",2024,CEsp,Comissão de Esporte
5936,Relator,2024-05-14,PL 4364/2023,"Altera a Lei nº 12.187, de 29 de dezembro de 2009 (Política Nacional sobre Mudança do Clima), para incluir regras de consolidação e fomento à adoção de medidas para mitigação e para remoção de gases de efeito estufa.",2023,CMA,Comissão de Meio Ambiente
5936,Relator,2024-04-18,PDL 1011/2021,"Aprova o ato que renova a autorização outorgada à Associação Comunitária de Rádio São João do Paraíso FM para executar serviço de radiodifusão comunitária no Município de Cambuci, Estado do Rio de Janeiro.",2021,CCDD,Comissão de Comunicação e Direito Digital
5936,Relator,2024-04-18,PDL 795/2021,"Aprova o ato que renova a autorização outorgada à Rádio Comunidade Porciúncula para executar serviço de radiodifusão comunitária no Município de Porciúncula, Estado do Rio de Janeiro.",2021,CCDD,Comissão de Comunicação e Direito Digital
5936,Relator,2024-04-18,PDL 318/2019,"Aprova o ato que renova a autorização outorgada à Associação Cultural de Radiodifusão Comunitária de Costa Verde para executar serviço de radiodifusão comunitária no Município de Maricá, Estado do Rio de Janeiro.",2019,CCDD,Comissão de Comunicação e Direito Digital
5936,Relator,2024-04-18,PDL 281/2023,"Aprova o ato que outorga autorização à Associação Comunitária de Radiodifusão de Paracambi para executar serviço de radiodifusão comunitária no Município de Paracambi, Estado do Rio de Janeiro.",2023,CCDD,Comissão de Comunicação e Direito Digital
5936,Relator,2024-04-18,PDL 218/2022,"Aprova o ato que renova a autorização outorgada à Associação Comunitária e Escola de Rádio São José do Vale do Rio Preto para executar serviço de radiodifusão comunitária no Município de São José do Vale do Rio Preto, Estado do Rio de Janeiro.",2022,CCDD,Comissão de Comunicação e Direito Digital
5936,Relator,2024-04-18,PDL 284/2022,"Aprova o ato que outorga autorização à Associação Comunitária A Voz de Cajueiro para executar serviço de radiodifusão comunitária no Município de São João da Barra, Estado do Rio de Janeiro.",2022,CCDD,Comissão de Comunicação e Direito Digital
5936,Relator,2024-04-18,PDL 762/2019,"Aprova o ato que outorga autorização à Associação Comunitária de Radiodifusão Tocosmojiense para executar serviço de radiodifusão comunitária no Município de Tocos do Moji, Estado de Minas Gerais.",2019,CCDD,Comissão de Comunicação e Direito Digital
