codigoParlamentar,TipoRelator,DataDesignacao,Identificacao,Ementa,AnoMateria,SiglaComissao,NomeComissao
5990,Relator,2024-07-09,PL 1178/2024,"Altera a Lei nº 6.360, de 23 de setembro de 1976, que dispõe sobre a Vigilância Sanitária a que ficam sujeitos os Medicamentos, as Drogas, os Insumos Farmacêuticos e Correlatos, Cosméticos, Saneantes e Outros Produtos, e dá outras providências, para determinar a obrigatoriedade da aposição de alerta nas bulas de medicamentos advertindo o atleta sobre a necessidade de observar a lista de substâncias e métodos proibidos antes de consumir medicamentos.",2024,CAS,Comissão de Assuntos Sociais
5990,Relator,2024-06-12,PL 3183/2023,"Confere o título de Capital Nacional do Artesanato Têxtil ao Município de Resende Costa, no Estado de Minas Gerais.",2023,CE,Comissão de Educação e Cultura
5990,Relator,2024-06-12,PL 1762/2024,Institui o Dia Nacional da Lembrança do Holocausto.,2024,CE,Comissão de Educação e Cultura
5990,Relator,2024-06-06,PL 1433/2023,"Acrescenta dispositivo ao Estatuto da Criança e do Adolescente (Lei nº 8.069, de 13 de julho de 1990) para determinar que as emissoras públicas de radiodifusão veiculem mensagens sobre prevenção de drogas e maus-tratos infantil.",2023,CCT,"Comissão de Ciência, Tecnologia, Inovação e Informática"
5990,Relator,2024-06-05,MSF 12/2024,"Submete à apreciação do Senado Federal, nos termos do art. 111-A, inciso I, da Constituição, o nome do Senhor ANTÔNIO FABRÍCIO DE MATOS GONÇALVES, para exercer o cargo de Ministro do Tribunal Superior do Trabalho, na vaga destinada à advocacia, decorrente da aposentadoria do Ministro Emmanoel Pereira.",2024,CCJ,"Comissão de Constituição, Justiça e Cidadania"
5990,Relator,2024-06-05,PL 3276/2021,"Altera a Lei nº 9.250, de 26 de dezembro de 1995, para permitir a dedução da base de cálculo do Imposto sobre a Renda das Pessoas Físicas (IRPF) de despesas com academias, centros de saúde física e outros estabelecimentos especializados na prática de atividade física.",2021,CAE,Comissão de Assuntos Econômicos
5990,Relator,2024-05-08,PRS 8/2024,Institui o Grupo Parlamentar Brasil-República Tcheca.,2024,CRE,Comissão de Relações Exteriores e Defesa Nacional
5990,Relator,2024-05-02,PL 6156/2023,"Denomina Viaduto Soldado Constitucionalista Abílio Previdi o viaduto localizado no Km 464,6 da BR-116, Rodovia Régis Bittencourt, no Estado de São Paulo.",2023,CI,Comissão de Serviços de Infraestrutura
5990,Relator,2024-04-24,PL 1794/2023,"Altera a Lei nº 9.250, de 26 de dezembro de 1995, para permitir a dedução, da base de cálculo do Imposto sobre a Renda das Pessoas Físicas, das despesas com aquisição, instalação e manutenção de equipamentos de segurança residencial.",2023,CAE,Comissão de Assuntos Econômicos
5990,Relator,2024-03-12,PL 6230/2023,"Altera a Lei nº 9.795, de 27 de abril de 1999, para assegurar atenção às mudanças do clima, à proteção da biodiversidade e aos riscos e vulnerabilidades a desastres socioambientais no âmbito da Política Nacional de Educação Ambiental.",2023,CMA,Comissão de Meio Ambiente
5990,Relator,2024-03-08,PL 1433/2023,"Acrescenta dispositivo ao Estatuto da Criança e do Adolescente (Lei nº 8.069, de 13 de julho de 1990) para determinar que as emissoras públicas de radiodifusão veiculem mensagens sobre prevenção de drogas e maus-tratos infantil.",2023,CCJ,"Comissão de Constituição, Justiça e Cidadania"
5990,Relator,2024-03-08,PL 2217/2022,"Altera a Lei nº 8.069, de 13 de julho de 1990 (Estatuto da Criança e do Adolescente), a fim de tornar obrigatória, para a autoridade judiciária, a consulta aos cadastros estaduais, distrital e nacional de crianças e adolescentes em condições de serem adotados e das pessoas ou casais habilitados à adoção.",2022,CCJ,"Comissão de Constituição, Justiça e Cidadania"
5990,Relator,2024-03-08,PL 4626/2020,"Altera o Decreto-Lei nº 2.848, de 7 de dezembro de 1940 (Código Penal), para modificar as penas dos crimes de abandono de incapaz e de maus-tratos, e a Lei nº 10.741, de 1º de outubro de 2003 (Estatuto do Idoso), para modificar as penas do crime de exposição a perigo da saúde e da integridade física ou psíquica do idoso.",2020,CCJ,"Comissão de Constituição, Justiça e Cidadania"
5990,Relator,2024-03-08,PL 3706/2021,"Acrescenta os arts. 24-A e 24-B na Lei nº 7.492, de 16 de junho de 1986, para tipificar a constituição de pirâmide financeira e a intermediação ou a negociação de criptoativos com o objetivo de praticar crimes.",2021,CCJ,"Comissão de Constituição, Justiça e Cidadania"
5990,Relator,2024-03-08,PL 6395/2019,Dispõe sobre o processo administrativo fiscal no âmbito do Conselho Administrativo de Recursos Fiscais e dá outras providências.,2019,CCJ,"Comissão de Constituição, Justiça e Cidadania"
5990,Relator,2024-03-05,PL 3587/2023,"Estabelece procedimento para certificação de ouro produzido com padrões de sustentabilidade socioambiental, regula a compra, venda e transporte de ouro como ativo financeiro, institui o sistema de rastreamento da produção de ouro em
território nacional e cria o Banco Nacional Forense de Perfis Auríferos.",2023,CCT,"Comissão de Ciência, Tecnologia, Inovação e Informática"
5990,Relator,2024-03-05,PL 2993/2023,Institui o Programa Banco Nacional de Perfis Auríferos (BANPA).,2023,CCT,"Comissão de Ciência, Tecnologia, Inovação e Informática"
5990,Relator,2024-02-08,PL 2269/2022,"Altera a Lei nº 6.015, de 31 de dezembro de 1973 (Lei de Registros Públicos), para dispor sobre os requisitos do registro de nascimento em relação à identificação dos pais.",2022,CCJ,"Comissão de Constituição, Justiça e Cidadania"
5990,Relator,2024-02-07,PL 4801/2023,"Altera a Lei nº 10.741, de 1º de outubro de 2003 (Estatuto da Pessoa Idosa), para conferir à autoridade policial a prerrogativa de requisitar aos serviços públicos de saúde e assistência social a adoção das diligências necessárias à proteção e à defesa da pessoa idosa em situação de risco atual ou iminente, impor às entidades de atendimento a obrigação de comunicar ao Ministério Público e à autoridade policial, para a adoção das medidas cabíveis, a notícia de fato que caracterize situação de risco ou infração penal contra a pessoa idosa, bem como para incluir a autoridade policial no tipo penal de impedimento ou embaraço ao exercício das atividades funcionais, e dá outras providências.",2023,CSP,Comissão de Segurança Pública
5990,Relator,2024-02-07,PL 3125/2020,"Altera a Lei nº 11.343, de 23 de agosto de 2006, para estabelecer que a prática dos crimes nela previstos pode ensejar, como efeitos da condenação ou como medida cautelar, a suspensão da permissão ou da habilitação para dirigir veículo automotor ou a proibição da sua obtenção.",2020,CSP,Comissão de Segurança Pública
5990,Relator,2023-12-18,PLN 31/2023,"Abre ao Orçamento Fiscal da União, em favor do Ministério da Justiça e Segurança Pública, crédito suplementar no valor de R$ 10.950.000,00, para reforço de dotação constante da Lei Orçamentária vigente.",2023,CMO,"Comissão Mista de Planos, Orçamentos Públicos e Fiscalização"
5990,Relator,2023-11-27,MSF 85/2023,"Submete à consideração do Senado Federal, nos termos do art. 52, inciso III, alínea ""f"", da Constituição, combinado com o art. 5º da Lei nº 9.986, de 18 de julho de 2000, e o art. 7º da Lei nº 13.575, de 26 de dezembro de 2017, o nome do Senhor CAIO MÁRIO TRIVELLATO SEABRA FILHO, para exercer o cargo de Diretor da Agência Nacional de Mineração - ANM, na vaga decorrente do término do mandato de Ronaldo Jorge da Silva Lima.",2023,CI,Comissão de Serviços de Infraestrutura
5990,Relator,2023-11-21,PL 4921/2023,"Altera o art. 10 da Lei nº 9.249, de 26 de dezembro de 1995, para prever a incidência do Imposto sobre a Renda Retido na Fonte sobre os lucros e dividendos pagos, creditados, entregues, empregados ou remetidos a beneficiário, pessoa física ou jurídica, residente ou domiciliado no exterior.",2023,CRE,Comissão de Relações Exteriores e Defesa Nacional
5990,Relator,2023-11-07,PLS 304/2017,"Institui a política de substituição dos automóveis movidos a combustíveis fósseis e altera a Lei nº 9.503, de 23 de setembro de 1997 (Código de Trânsito Brasileiro) para dispor sobre a vedação a comercialização e a circulação de automóveis movidos a combustíveis fósseis.",2017,CMA,Comissão de Meio Ambiente
5990,Relator,2023-10-25,PL 6403/2019,"Altera as Leis nos 4.502, de 30 de novembro de 1964, e 9.430, de 27 de dezembro de 1996, para reduzir as multas de lançamento de ofício e a multa de mora, aplicáveis a impostos e contribuições administrados pela Secretaria Especial da Receita Federal do Brasil.",2019,CAE,Comissão de Assuntos Econômicos
5990,Relator,2023-10-11,PL 3726/2023,"Altera a Lei nº 9.250, de 26 de dezembro de 1995, para permitir que as doações a entidades e organizações sem fins lucrativos dedicadas à proteção de animais sejam dedutíveis do Imposto sobre a Renda das Pessoas Físicas (IRPF) devido.",2023,CMA,Comissão de Meio Ambiente
5990,Relator,2023-10-11,PL 3714/2023,"Altera a Lei nº 9.250, de 26 de dezembro de 1995, para permitir que sejam deduzidas da base de cálculo do Imposto sobre a Renda das Pessoas Físicas (IRPF), até o limite anual que especifica, os gastos com o tratamento veterinário de animais de estimação.",2023,CMA,Comissão de Meio Ambiente
5990,Relator,2023-10-09,MSF 62/2023,"Submete à apreciação do Senado Federal, nos termos do art. 104, parágrafo único, inciso I, da Constituição, o nome do Senhor José Afrânio Vilela, Desembargador do Tribunal de Justiça do Estado de Minas Gerais, para exercer o cargo de Ministro do Superior Tribunal de Justiça, na vaga decorrente do falecimento do Ministro Paulo de Tarso Vieira Sanseverino.",2023,CCJ,"Comissão de Constituição, Justiça e Cidadania"
5990,Relator Ad hoc,2023-09-26,PLN 25/2023,"Abre ao Orçamento Fiscal da União, em favor dos Ministérios da Justiça e Segurança Pública, dos Transportes, da
Integração e do Desenvolvimento Regional, das Cidades, e de Portos e Aeroportos, crédito especial no valor de R$ 126.683.985,00, para os fins que especifica.",2023,CMO,"Comissão Mista de Planos, Orçamentos Públicos e Fiscalização"
5990,Relator,2023-09-20,PL 2386/2019,"Altera a Lei nº 12.334, de 20 de setembro de 2010, que estabelece a Política Nacional de Segurança de Barragens (PNSB), para instituir a caução obrigatória para garantia do descomissionamento ou da descaracterização de barragens de rejeitos de mineração e de resíduos industriais.",2019,CI,Comissão de Serviços de Infraestrutura
5990,Relator,2023-09-14,PL 299/2023,"Modifica a Lei nº 8.213, de 24 de julho de 1991 – Plano de Benefícios do Regime Geral de Previdência Social - para possibilitar ao beneficiário o direito à desaposentadoria.",2023,CAE,Comissão de Assuntos Econômicos
5990,Relator,2023-08-31,PL 2838/2020,"Altera a Lei nº 11.196, de 21 de Novembro de 2005 – Lei do Bem.",2020,CAE,Comissão de Assuntos Econômicos
5990,Relator,2023-08-29,PL 3984/2019,"Altera a Lei nº 9.250, de 26 de dezembro de 1995, para possibilitar a dedução integral dos pagamentos de despesas com instrução do contribuinte e de seus dependentes da base de cálculo do Imposto sobre a Renda das Pessoas Físicas.",2019,CE,Comissão de Educação e Cultura
5990,Relator,2023-08-18,PL 4423/2019,Dispõe sobre o combate ao desperdício de alimentos.,2019,CAS,Comissão de Assuntos Sociais
5990,Relator,2023-08-17,PLP 2/2021,"Altera a Lei Complementar nº 101, de 4 de maio de 2000, para dispor sobre a proibição de alocar recursos vinculados ao Fundo Nacional de Desenvolvimento Científico e Tecnológico em reserva de contingência da lei orçamentária anual.",2021,CCT,"Comissão de Ciência, Tecnologia, Inovação e Informática"
5990,Relator,2023-08-15,PLP 143/2021,Institui as férias fiscais mediante a prorrogação dos prazos de pagamento e de cumprimento de obrigações acessórias e dos procedimentos administrativos de imposição fiscal no mês de julho de cada ano em relação aos tributos federais e aos devidos no âmbito do Regime Especial Unificado de Arrecadação de Tributos e Contribuições devidos pelas Microempresas e Empresas de Pequeno Porte (Simples Nacional).,2021,CAE,Comissão de Assuntos Econômicos
