codigoParlamentar,TipoRelator,DataDesignacao,Identificacao,Ementa,AnoMateria,SiglaComissao,NomeComissao
5973,Relator,2024-07-09,PL 1086/2024,"Altera a Lei nº 14.133, de 1º de abril de 2021, a Lei de Licitações e Contratos Administrativos, para estabelecer margem de preferência para os modelos movidos a biocombustíveis ou a hidrogênio nas compras e locações de veículos automotores, bem como para os biocombustíveis e o hidrogênio verde nas compras de combustíveis para o abastecimento de veículos automotores.",2024,CI,Comissão de Serviços de Infraestrutura
5973,Relator,2024-06-11,PL 2053/2024,"Reconhece a Romaria de São Francisco das Chagas, realizada no Município de Canindé, no Estado do Ceará, como manifestação da cultura nacional.",2024,CE,Comissão de Educação e Cultura
5973,Relator,2024-06-11,PL 1912/2024,"Inscreve o nome de Antônio Gonçalves da Silva, o Patativa do Assaré, no Livro dos Heróis e Heroínas da Pátria.",2024,CE,Comissão de Educação e Cultura
5973,Relator,2024-05-16,PL 226/2020,"Altera a Lei nº 12.244, de 24 de maio de 2010, que dispõe sobre a universalização das bibliotecas nas instituições de ensino do País, para prever a assistência de bibliotecários às bibliotecas escolares.",2020,CE,Comissão de Educação e Cultura
5973,Relator,2024-05-14,PL 1353/2024,"Erige em monumento nacional o Cânion do Rio Poti, localizado nos Estados do Ceará e do Piauí.",2024,CMA,Comissão de Meio Ambiente
5973,Relator,2024-05-07,PDL 365/2022,"Susta as Resoluções Normativas Aneel nºs 1.024, de 28 de junho de 2022, que “Aprova os Submódulos 7.4, 9.4 e 10.5 dos Procedimentos de Regulação Tarifária – PRORET, e revoga as Resoluções Normativas nº 349, de 13 de janeiro de 2009 e nº 559, de 27 de junho de 2013”, e 1.041, de 20 de setembro de 2022, que “Aprova novas versões dos Submódulos 7.4 e 9.4 dos Procedimentos de Regulação Tarifária – PRORET, aplicáveis às concessionárias de serviço público de transmissão de energia elétrica”.",2022,CCJ,"Comissão de Constituição, Justiça e Cidadania"
5973,Relator,2024-05-02,PL 965/2024,Altera a lei 9.718 de 27 de novembro de 1998 para reduzir a zero a contribuição PIS/Pasep e Confins sobre etanol.,2024,CI,Comissão de Serviços de Infraestrutura
5973,Relator,2024-05-02,PL 710/2024,"Altera a Lei nº 12.379, de 06 de janeiro de 2011, que dispõe sobre o Sistema Nacional de Viação, para aperfeiçoar os mecanismos de gestão e segurança das rodovias brasileiras.",2024,CI,Comissão de Serviços de Infraestrutura
5973,Relator,2024-04-18,PDL 665/2021,"Aprova o ato que renova a autorização outorgada à Associação Comunitária Popular de Jaguaruana para executar serviço de radiodifusão comunitária no Município de Jaguaruana, Estado do Ceará.",2021,CCDD,Comissão de Comunicação e Direito Digital
5973,Relator,2024-04-18,PDL 633/2021,"Aprova o ato que renova a autorização outorgada ao Instituto de Radiodifusão Comunitária de Pacujá – Ceará para executar serviço de radiodifusão comunitária no Município de Pacujá, Estado do Ceará.",2021,CCDD,Comissão de Comunicação e Direito Digital
5973,Relator,2024-04-18,PDL 570/2021,"Aprova o ato que renova a autorização outorgada à Associação Comunitária Cultural Aracatiense para executar serviço de radiodifusão comunitária no Município de Aracati, Estado do Ceará.",2021,CCDD,Comissão de Comunicação e Direito Digital
5973,Relator,2024-04-18,PDL 544/2021,"Aprova o ato que outorga autorização à Associação Beneficente e Cultural do Distrito de Barra para executar serviço de radiodifusão comunitária no Município de Aiuaba, Estado do Ceará.",2021,CCDD,Comissão de Comunicação e Direito Digital
5973,Relator,2024-04-18,PDL 416/2021,"Aprova o ato que renova a autorização outorgada à Associação Comunitária de Comunicação, Cultura e Cidadania do Barro Vermelho para executar serviço de radiodifusão comunitária no Município de Crato, Estado do Ceará.",2021,CCDD,Comissão de Comunicação e Direito Digital
5973,Relator,2024-04-08,PL 1070/2024,"Institui o Programa de Armazenagem Rural no âmbito do Fundo Constitucional de Financiamento do Norte (FNO), do Fundo Constitucional de Financiamento do Nordeste (FNE) e do Fundo Constitucional de Financiamento do Centro-Oeste (FCO) de que trata a Lei nº 7.827, de 27 de setembro de 1989, e dá outras providências.",2024,CDR,Comissão de Desenvolvimento Regional e Turismo
5973,Relator,2024-03-21,PL 528/2024,"Reconhece o evento ""Evangelizar é Preciso"", realizado no município de Fortaleza, no estado do Ceará, como manifestação da cultura nacional.",2024,CE,Comissão de Educação e Cultura
5973,Relator,2024-03-14,PDL 84/2023,"Aprova o texto do Acordo sobre Serviços Aéreos entre a República Federativa do Brasil e a República de Ruanda, assinado em Kigali, Ruanda, em 14 de agosto de 2019.",2023,CRE,Comissão de Relações Exteriores e Defesa Nacional
5973,Relator,2024-03-12,PL 2191/2022,"Dispõe sobre o clube-empresa, o Regime Especial de Tributação de Entidades de Prática Desportiva Profissionais de Futebol (Simples-Fut), as condições especiais para quitação acelerada de débitos das entidades desportivas profissionais de futebol, o parcelamento especial de débitos das entidades desportivas profissionais de futebol perante a União, a recuperação judicial do clube-empresa, a cessão e denominação dos símbolos e o Regime Centralizado de Execução na Justiça do Trabalho; altera as Leis nºs 9.615, de 24 de março de 1998, 11.438, de 29 de dezembro de 2006, e 13.155, de 4 de agosto de 2015; e dá outras providências.",2022,CCJ,"Comissão de Constituição, Justiça e Cidadania"
5973,Relator,2024-03-12,PL 2232/2022,Institui a profissão e as relações de trabalho do executivo de futebol.,2022,CCJ,"Comissão de Constituição, Justiça e Cidadania"
5973,Relator,2024-03-12,PDL 316/2023,"Susta, nos termos do inciso V do art. 49 da Constituição Federal, os decretos nºs 11.683, 11.684 e 11.685, todos datados de 05 de setembro de 2023, que ampliam o Parque Nacional do Viruá, localizado no Município de Caracaraí e a Estação Ecológica de Maracá, localizada nos Municípios de Alto Alegre e Amajari e cria a Floresta Nacional do Parima, localizada no Município de Amajari, no estado de Roraima.",2023,CMA,Comissão de Meio Ambiente
5973,Relator,2024-02-27,MSF 1/2024,"Submete à apreciação do Senado Federal, de conformidade com o art. 52, inciso IV, da Constituição, e com o art. 39, combinado com o art. 46 da Lei n° 11.440, de 2006, o nome do Senhor CARLOS JOSÉ AREIAS MORENO GARCETE, Ministro de Segunda Classe da Carreira de Diplomata do Ministério das Relações Exteriores, para exercer o cargo de Embaixador do Brasil na República Federal da Nigéria.",2024,CRE,Comissão de Relações Exteriores e Defesa Nacional
5973,Relator,2024-02-26,PL 6155/2023,Institui o dia 25 de julho como o Dia Nacional da Promoção Cultural da Paz; e dá outras providências.,2023,CE,Comissão de Educação e Cultura
5973,Relator,2024-02-23,PL 771/2022,"Denomina Antônio Carlos Belchior o Terminal Marítimo de Passageiros do Porto de Fortaleza, no Estado do Ceará.",2022,CI,Comissão de Serviços de Infraestrutura
5973,Relator,2024-02-22,PDL 249/2023,"Aprova o ato que outorga permissão à Fundação Riachão da Lagoa Nova para explorar serviço de radiodifusão sonora em frequência modulada no Município de Capistrano, Estado do Ceará.",2023,CCDD,Comissão de Comunicação e Direito Digital
5973,Relator,2024-01-30,PL 1104/2023,Regulamenta o contrato de pesquisador pós-graduando.,2023,CE,Comissão de Educação e Cultura
5973,Relator,2023-11-27,PL 3057/2021,Institui o Dia Nacional da Mulher Sambista.,2021,CE,Comissão de Educação e Cultura
5973,Relator,2023-11-10,OFS 23/2023,"Submete à apreciação do Senado Federal, nos termos do art. 103-B, incisos IV e V, da Constituição Federal, a indicação do Senhor JOSÉ EDIVALDO ROCHA ROTONDANO, para compor o Conselho Nacional de Justiça - CNJ, no biênio 2023/2025.",2023,CCJ,"Comissão de Constituição, Justiça e Cidadania"
5973,Relator,2023-11-06,PL 725/2022,"Disciplina a inserção do hidrogênio como fonte de energia no Brasil, e estabelece parâmetros de incentivo ao uso do hidrogênio sustentável.",2022,CI,Comissão de Serviços de Infraestrutura
5973,Relator,2023-10-25,PL 223/2023,"Acrescenta dispositivo à Lei nº 13.105, de 16 de março de 2015 (Código de Processo Civil), para estabelecer que a gratuidade da justiça não compreende a remuneração do conciliador ou mediador pelo trabalho nas audiências que excederem o percentual referido no § 2º do art. 169 do Código de Processo Civil.",2023,CCJ,"Comissão de Constituição, Justiça e Cidadania"
5973,Relator,2023-09-21,PLN 15/2023,"Abre ao Orçamento Fiscal da União, em favor de Encargos Financeiros da União, crédito especial no valor de R$ 89.300.000,00, para os fins que especifica.",2023,CMO,"Comissão Mista de Planos, Orçamentos Públicos e Fiscalização"
5973,Relator,2023-09-19,PL 1162/2023,"Altera a Lei nº 12.187, de 29 de dezembro de 2009, que Institui a Política Nacional sobre Mudança do Clima – PNMC e dá outras providências, para priorizar a destinação de recursos de fundos ambientais climáticos para projetos e iniciativas da bioeconomia.",2023,CMA,Comissão de Meio Ambiente
5973,Relator,2023-08-08,PDL 90/2023,"Aprova o ato que outorga permissão à Fundação Antonio Gomes Neto para executar serviço de radiodifusão sonora em frequência modulada na cidade de Lavras da Mangabeira, Estado do Ceará.",2023,CCDD,Comissão de Comunicação e Direito Digital
5973,Relator,2023-08-08,PDL 439/2019,"Aprova o ato que renova a autorização outorgada à Associação Palmaciana da Comunidade Sede – ASPACS para executar serviço de radiodifusão comunitária no Município de Palmácia, Estado do Ceará.",2019,CCDD,Comissão de Comunicação e Direito Digital
5973,Relator,2023-08-08,PDL 874/2021,"Aprova o ato que renova a autorização outorgada à Associação Comunitária dos Menores Carentes de Ibiapina – CE para executar serviço de radiodifusão comunitária no Município de Ibiapina, Estado do Ceará.",2021,CCDD,Comissão de Comunicação e Direito Digital
5973,Relator,2023-08-08,PDL 835/2021,"Aprova o ato que renova a autorização outorgada à Associação Beneficente dos Moradores de Correguinho - ABEMOC para executar serviço de radiodifusão comunitária no Município de Bela Cruz, Estado do Ceará.",2021,CCDD,Comissão de Comunicação e Direito Digital
5973,Relator,2023-08-08,PDL 782/2021,"Aprova o ato que renova a autorização outorgada à Associação Beneficente Maria Pinto para executar serviço de radiodifusão comunitária no Município de Caucaia, Estado do Ceará.",2021,CCDD,Comissão de Comunicação e Direito Digital
5973,Relator,2023-08-08,PDL 517/2021,"Aprova o ato que renova a autorização outorgada à Associação Comunitária Rio Jaguaribe para executar serviço de radiodifusão comunitária no Município de Russas, Estado do Ceará.",2021,CCDD,Comissão de Comunicação e Direito Digital
5973,Relator,2023-08-08,PDL 512/2021,"Aprova o ato que renova a autorização outorgada à Sociedade de Amparo e Educação a Infância de Cruz para executar serviço de radiodifusão comunitária no Município de Cruz, Estado do Ceará.",2021,CCDD,Comissão de Comunicação e Direito Digital
5973,Relator,2023-08-08,PDL 480/2021,"Aprova o ato que renova a autorização outorgada à Associação Comunitária de Radiodifusão de Independência para executar serviço de radiodifusão comunitária no Município de Independência, Estado do Ceará.",2021,CCDD,Comissão de Comunicação e Direito Digital
5973,Relator,2023-08-08,PDL 438/2021,"Aprova o ato que renova a autorização outorgada à Associação de Desenvolvimento Social e Comunicação Popular de Paraipaba para executar serviço de radiodifusão comunitária no Município de Paraipaba, Estado do Ceará.",2021,CCDD,Comissão de Comunicação e Direito Digital
5973,Relator,2023-08-08,PDL 424/2021,"Aprova o ato que renova a autorização outorgada à Associação dos Moradores de Nova Hidrolândia para executar serviço de radiodifusão comunitária no Município de Hidrolândia, Estado do Ceará.",2021,CCDD,Comissão de Comunicação e Direito Digital
5973,Relator,2023-08-08,PDS 159/2017,"Aprova o ato que renova a autorização outorgada à FUNDAÇÃO BENEFICENTE ROSAL DA LIBERDADE para executar serviço de radiodifusão comunitária no Município de Redenção, Estado do Ceará.",2017,CCDD,Comissão de Comunicação e Direito Digital
5973,Relator,2023-08-08,PDL 526/2021,"Aprova o ato que renova a autorização outorgada à Sociedade Beneficente Francisca Alves de Almeida para executar serviço de radiodifusão comunitária no Município de Acopiara, Estado do Ceará.",2021,CCDD,Comissão de Comunicação e Direito Digital
5973,Relator,2023-08-08,PDL 479/2019,"Aprova o ato que renova a autorização outorgada à Associação de Radiodifusão e Desenvolvimento Comunitário de Forquilha para executar serviço de radiodifusão comunitária no Município de Forquilha, Estado do Ceará.",2019,CCDD,Comissão de Comunicação e Direito Digital
5973,Relator,2023-08-08,PDL 419/2021,"Aprova o ato que renova a autorização outorgada ao Instituto de Radiodifusão de Desenvolvimento Comunitário de Mucambo para executar serviço de radiodifusão comunitária no Município de Mucambo, Estado do Ceará.",2021,CCDD,Comissão de Comunicação e Direito Digital
5973,Relator,2023-08-08,PDL 411/2021,"Aprova o ato que renova a autorização outorgada à Fundação Beneficente Rosal da Liberdade para executar serviço de radiodifusão comunitária no Município de Redenção, Estado do Ceará.",2021,CCDD,Comissão de Comunicação e Direito Digital
5973,Relator,2023-08-08,PDL 402/2021,"Aprova o ato que renova a autorização outorgada à Rádio Comunitária Nativa FM de Tabuleiro do Norte para executar serviço de radiodifusão comunitária no Município de Tabuleiro do Norte, Estado do Ceará.",2021,CCDD,Comissão de Comunicação e Direito Digital
5973,Relator,2023-08-08,PDL 304/2019,"Aprova o ato que renova a autorização outorgada à Associação Comunitária para o Progresso de Várzea Alegre para executar serviço de radiodifusão comunitária no Município de Várzea Alegre, Estado do Ceará.",2019,CCDD,Comissão de Comunicação e Direito Digital
5973,Relator,2023-08-08,PDL 196/2019,"Aprova o ato que renova a autorização outorgada à Associação Cultural de Itapipoca para executar serviço de radiodifusão comunitária no Município de Itapipoca, Estado do Ceará.",2019,CCDD,Comissão de Comunicação e Direito Digital
5973,Relator,2023-08-08,PDL 465/2019,"Aprova o ato que outorga permissão à Fundação Francisco Rodrigues Sancho para executar serviço de radiodifusão sonora em frequência modulada no Município de Itapipoca, Estado do Ceará.",2019,CCDD,Comissão de Comunicação e Direito Digital
5973,Relator,2023-08-04,PDL 148/2023,"Susta, nos termos do inciso V do art. 49 da Constituição Federal, a aplicação do Decreto nº 11.505, de 28 de abril de 2023, que homologa a demarcação administrativa da terra indígena Rio dos Índios, localizada no Município de Vicente Dutra, Estado do Rio Grande do Sul.",2023,CMA,Comissão de Meio Ambiente
5973,Relator,2023-07-13,PL 1497/2023,Estende por dois anos após o óbito de pessoa com deficiência a concessão de seu benefício de prestação continuada à sua família.,2023,CAE,Comissão de Assuntos Econômicos
5973,Relator,2023-07-12,PDL 519/2021,"Aprova o ato que renova a autorização outorgada à Associação Comunitária dos Moradores e Pescadores da Vila Mariano para executar serviço de radiodifusão comunitária no Município de Banabuiú, Estado do Ceará.",2021,CCDD,Comissão de Comunicação e Direito Digital
5973,Relator,2023-07-12,PDL 369/2021,"Aprova o ato que renova a autorização outorgada à Fundação Iguatu para o Desenvolvimento e Assistência Social (FIDA) para executar serviço de radiodifusão comunitária no Município de Iguatu, Estado do Ceará.",2021,CCDD,Comissão de Comunicação e Direito Digital
5973,Relator,2023-07-12,PDL 360/2021,"Aprova o ato que renova a autorização outorgada à Associação Beneficente de Altaneira para executar serviço de radiodifusão comunitária no Município de Altaneira, Estado do Ceará.",2021,CCDD,Comissão de Comunicação e Direito Digital
5973,Relator,2023-07-11,PL 6494/2019,"Altera a Lei nº 9.394, de 20 de dezembro de 1996 (Lei de Diretrizes e Bases da Educação Nacional), para dispor sobre a formação técnica profissional e tecnológica e articular a formação profissional técnica de nível médio com a aprendizagem profissional; e a Lei nº 8.742, de 7 de dezembro de 1993, para dispor sobre isenção do cômputo de determinados rendimentos no cálculo da renda familiar per capita para efeitos da concessão do Benefício de Prestação Continuada (BPC).",2019,PLEN,Plenário do Senado Federal
5973,Relator,2023-07-06,PL 2117/2023,"Altera a Lei nº 6.088, de 16 de julho de 1974, para incluir a bacia hidrográfica do rio Poti na área de atuação da Companhia de Desenvolvimento do Vale do São Francisco (Codevasf).",2023,CDR,Comissão de Desenvolvimento Regional e Turismo
5973,Relator,2023-07-04,PDL 311/2021,"Aprova o ato que renova a autorização outorgada à Associação de Desenvolvimento Comunitário da Comunidade de Brejo Santo para executar serviço de radiodifusão comunitária no Município de Brejo Santo, Estado do Ceará.",2021,CCDD,Comissão de Comunicação e Direito Digital
5973,Relator,2023-06-29,PL 6494/2019,"Altera a Lei nº 9.394, de 20 de dezembro de 1996 (Lei de Diretrizes e Bases da Educação Nacional), para dispor sobre a formação técnica profissional e tecnológica e articular a formação profissional técnica de nível médio com a aprendizagem profissional; e a Lei nº 8.742, de 7 de dezembro de 1993, para dispor sobre isenção do cômputo de determinados rendimentos no cálculo da renda familiar per capita para efeitos da concessão do Benefício de Prestação Continuada (BPC).",2019,CAE,Comissão de Assuntos Econômicos
5973,Relator,2023-06-15,PL 486/2023,"Altera a Lei nº 9.605, de 12 de fevereiro de 1998 (Lei dos Crimes Ambientais), para prever isenção de pena para o agente com baixo grau de instrução ou escolaridade e que tenha cometido o crime por subordinação a ordem superior.",2023,CMA,Comissão de Meio Ambiente
5973,Relator,2023-06-15,PL 4778/2019,Institui a Política Nacional de Desenvolvimento Rural Sustentável em Microbacias Hidrográficas; e dá outras providências.,2019,CMA,Comissão de Meio Ambiente
5973,Relator,2023-06-15,PDL 164/2022,"Aprova o texto do Acordo sobre Facilitação do Comércio do Mercosul, assinado em Bento Gonçalves, em 5 de dezembro de 2019.",2022,CRE,Comissão de Relações Exteriores e Defesa Nacional
