codigoParlamentar,TipoRelator,DataDesignacao,Identificacao,Ementa,AnoMateria,SiglaComissao,NomeComissao
739,Relator,2024-05-14,MPV 1200/2023,"Abre crédito extraordinário, em favor dos Ministérios da Previdência Social, da Saúde e do Desenvolvimento e Assistência Social, Família e Combate à Fome, e de Encargos Financeiros da União, no valor de R$ 93.143.160.563,00, para os fins que especifica.",2023,CMO,"Comissão Mista de Planos, Orçamentos Públicos e Fiscalização"
739,Relator,2024-05-07,OFS 4/2024,"Submete à apreciação do Senado Federal, nos termos do art. 130-A, inciso V, da Constituição Federal, a indicação da Senhora GREICE FONSECA STOCKER, para compor o Conselho Nacional do Ministério Público - CNMP, na vaga destinada à OAB.",2024,CCJ,"Comissão de Constituição, Justiça e Cidadania"
739,Relator,2024-03-08,PRS 5/2023,Altera o Regimento Interno do Senado Federal para criar a Comissão de Proteção Integral à Criança e Adolescente.,2023,CCJ,"Comissão de Constituição, Justiça e Cidadania"
739,Relator,2023-11-09,OFS 18/2023,"Submete à apreciação do Senado Federal, nos termos do art. 130-A , inciso VI, da Constituição Federal, a indicação do Senhor EDVALDO NILO DE ALMEIDA, para compor o Conselho Nacional do Ministério Público - CNMP, na vaga destinada à Câmara dos Deputados.",2023,CCJ,"Comissão de Constituição, Justiça e Cidadania"
739,Relator,2023-06-14,PLP 91/2023,"Altera a Lei Complementar nº 101, de 4 de maio de 2000 (Lei de Responsabilidade Fiscal - LRF), para vedar a limitação de empenho e movimentação financeira das despesas relativas a ações relacionadas à defesa agropecuária.",2023,CAE,Comissão de Assuntos Econômicos
739,Relator,2023-05-31,PL 1269/2022,"Acrescenta o art. 16-A à Lei nº 8.429 de 2 de junho de 1992, que dispõe sobre as sanções aplicáveis em virtude da prática de atos de improbidade administrativa, de que trata o § 4º do art. 37 da Constituição Federal, para disciplinar os efeitos jurídicos decorrentes das declarações de indisponibilidade de bens.",2022,CCJ,"Comissão de Constituição, Justiça e Cidadania"
739,Relator,2023-05-25,PL 1393/2022,"Dispõe sobre a suspensão, pelo prazo que menciona, do ajuste anual dos preços de medicamentos e dos planos e seguros privados de assistência à saúde.",2022,CAE,Comissão de Assuntos Econômicos
739,Relator,2023-05-12,PEC 43/2022,"Acrescenta o art. 121 ao Ato das Disposições Constitucionais Transitórias, para assegurar prazo de vigência adicional aos instrumentos de permissão lotérica.",2022,CCJ,"Comissão de Constituição, Justiça e Cidadania"
739,Relator,2023-05-04,PLP 60/2019,"Altera a Lei Complementar nº 101, de 4 de maio de 2000, para proibir a aprovação, por parte do legislativo federal, de proposição legislativa que implique renúncia de receitas ou aumento de despesas para a União, após a realização das eleições para os cargos do legislativo federal até a posse dos novos parlamentares eleitos.",2019,CAE,Comissão de Assuntos Econômicos
739,Relator,2023-04-11,PDL 365/2021,"Aprova o ato que renova a autorização outorgada à Associação Comunitária Radiovida de Botuporã (ACRB) para executar serviço de radiodifusão comunitária no Município de Botuporã, Estado da Bahia.",2021,CCT,"Comissão de Ciência, Tecnologia, Inovação e Informática"
739,Relator,2023-04-11,PDL 355/2021,"Aprova o ato que renova a autorização outorgada à Associação Cultural Comunitária Rádio Livre para executar serviço de radiodifusão comunitária no Município de Ipiaú, Estado da Bahia.",2021,CCT,"Comissão de Ciência, Tecnologia, Inovação e Informática"
739,Relator,2023-04-11,PDL 348/2021,"Aprova o ato que renova a autorização outorgada à Rádio Comunitária Zabelê FM para executar serviço de radiodifusão comunitária no Município de Remanso, Estado da Bahia.",2021,CCT,"Comissão de Ciência, Tecnologia, Inovação e Informática"
739,Relator,2023-03-29,PL 5591/2020,"Altera a Lei nº 10.742, de 6 de outubro de 2003, que define normas de regulação para o setor farmacêutico, cria a Câmara de Regulação do Mercado de Medicamentos - CMED e altera a Lei nº 6.360, de 23 de setembro de 1976, e dá outras providências, para dispor sobre ajuste positivo e negativo de preços, competência e composição da CMED, e critérios para definição de preços de entrada dos medicamentos; e a Lei nº 6.360, de 23 de setembro de 1976, que dispõe sobre a Vigilância Sanitária a que ficam sujeitos os Medicamentos, as Drogas, os Insumos Farmacêuticos e Correlatos, Cosméticos, Saneantes e Outros Produtos, e dá outras Providências, para incluir informações para fins de registro de medicamentos.",2020,CCJ,"Comissão de Constituição, Justiça e Cidadania"
739,Relator Ad hoc,2021-07-05,MSF 27/2021,"Submete, em conformidade com o art. 52, inciso III, alínea ""f"", da Constituição Federal, combinado com o art. 6º da Lei nº 12.529, de 30 de novembro de 2011, o nome do Senhor ALEXANDRE CORDEIRO MACEDO, para exercer o cargo de Presidente do Conselho Administrativo de Defesa Econômica - CADE, com mandato de quatro anos, na vaga decorrente do término do mandato de Alexandre Barreto de Souza.",2021,CAE,Comissão de Assuntos Econômicos
739,Relator,2021-07-01,MSF 21/2021,"Submete à apreciação do Senado Federal, de conformidade com o art. 52, inciso III, alínea ""f"", da Constituição Federal, combinado com o art. 6º da Lei nº 6.385, de 7 de dezembro de 1976, com redação dada pelo art. 1º, da Lei 10.411, de 26 de fevereiro de 2002, o nome do Senhor OTTO EDUARDO FONSECA DE ALBUQUERQUE LOBO, para exercer o cargo de Diretor da Comissão de Valores Mobiliários - CVM, com mandato até 31 de dezembro de 2025, na vaga decorrente do término do mandato de Henrique Balduíno Machado Moreira.",2021,CAE,Comissão de Assuntos Econômicos
739,Relator,2021-06-16,MPV 1034/2021,"Altera a Lei nº 7.689, de 15 de dezembro de 1988, para majorar a alíquota da Contribuição Social sobre o Lucro Líquido devida pelas pessoas jurídicas do setor financeiro, a Lei nº 8.989, de 24 de fevereiro de 1995, para modificar a concessão da isenção relativa ao Imposto sobre Produtos Industrializados incidente na aquisição de automóveis por pessoa com deficiência, revoga a tributação especial relativa à nafta e a outros produtos destinados a centrais petroquímicas, e institui crédito presumido da Contribuição para os Programas de Integração Social e de Formação do Patrimônio do Servidor Público e da Contribuição Social para o Financiamento da Seguridade Social para produtos destinados ao uso em hospitais, clínicas, consultórios médicos e campanhas de vacinação.",2021,PLEN,Plenário do Senado Federal
739,Relator,2021-05-31,PLC 153/2015,"Acrescenta parágrafo ao art. 1º da Lei nº 11.975, de 7 de julho de 2009, para possibilitar a emissão de segunda via do bilhete de passagem no transporte coletivo rodoviário interestadual e internacional.",2015,CTFC,"Comissão de Transparência, Governança, Fiscalização e Controle e Defesa do Consumidor"
739,Relator,2021-05-31,PL 2206/2019,"Altera a Lei nº 11.445, de 5 de janeiro de 2007, com a finalidade de garantir ao usuário residencial dos serviços de água e esgoto inadimplente um prazo de carência para quitar seus débitos antes da interrupção completa dos serviços, ao longo do qual lhe será garantido o fornecimento de água mínimo suficiente para a sua sobrevivência e de sua família, acompanhado do esgotamento sanitário correspondente.",2019,CTFC,"Comissão de Transparência, Governança, Fiscalização e Controle e Defesa do Consumidor"
739,Relator,2021-05-18,PL 5591/2019,"Altera a Lei nº 6.015, de 31 de dezembro de 1973 (Lei de Registros Públicos), para possibilitar a retificação do registro civil das pessoas naturais nos casos de alteração do nome ou prenome do pai ou da mãe.",2019,PLEN,Plenário do Senado Federal
739,Relator,2020-10-14,MSF 55/2020,"Submete à apreciação do Senado Federal, de conformidade com o art. 52, inciso III, alínea ""f"", da Constituição Federal, combinado com o art. 6º da Lei nº 6.385, de 7 de dezembro de 1976, com redação dada pelo art. 1º, da Lei 10.411, de 26 de fevereiro de 2002, o nome do Senhor ALEXANDRE COSTA RANGEL, para exercer o cargo de Diretor da Comissão de Valores Mobiliários – CVM, com mandato até 31 de dezembro de 2024, em vaga decorrente do término do mandato de Carlos Alberto Rebello Sobrinho.",2020,CAE,Comissão de Assuntos Econômicos
739,Relator,2020-09-03,PL 3267/2019,"Altera a Lei nº 9.503, de 23 de setembro de 1997 (Código de Trânsito Brasileiro); e dá outras providências.",2019,PLEN,Plenário do Senado Federal
739,Relator,2020-07-22,MSF 31/2020,"Submete à apreciação do Senado Federal, de conformidade com o art. 52, inciso IV, da Constituição, e com o art. 39, combinado com o art. 46 da Lei nº 11.440, de 2006, o nome do Senhor MARCEL FORTUNA BIATO, Ministro de Primeira Classe da Carreira de Diplomata do Ministério das Relações Exteriores, para exercer o cargo de Embaixador do Brasil na Irlanda.",2020,CRE,Comissão de Relações Exteriores e Defesa Nacional
739,Relator,2020-02-18,PL 5590/2019,Institui tarifa para custear a implantação de pontos de recarga para veículos elétricos e híbridos e dá outras providências.,2019,CTFC,"Comissão de Transparência, Governança, Fiscalização e Controle e Defesa do Consumidor"
739,Relator,2020-02-18,PL 5452/2019,"Altera a Lei nº 8.078, de 11 de setembro de 1990, para estender as condições ofertadas para a adesão de novos consumidores aos demais no momento da revisão de contrato de fornecimento de produtos e serviços prestados de forma contínua.",2019,CTFC,"Comissão de Transparência, Governança, Fiscalização e Controle e Defesa do Consumidor"
739,Relator,2020-02-03,PL 5100/2019,Estabelece limites para emissão sonora resultante das atividades em templos religiosos.,2019,CMA,Comissão de Meio Ambiente
739,Relator,2019-12-20,PL 6403/2019,"Altera as Leis nos 4.502, de 30 de novembro de 1964, e 9.430, de 27 de dezembro de 1996, para reduzir as multas de lançamento de ofício e a multa de mora, aplicáveis a impostos e contribuições administrados pela Secretaria Especial da Receita Federal do Brasil.",2019,CAE,Comissão de Assuntos Econômicos
739,Relator,2019-12-17,PL 5591/2019,"Altera a Lei nº 6.015, de 31 de dezembro de 1973 (Lei de Registros Públicos), para possibilitar a retificação do registro civil das pessoas naturais nos casos de alteração do nome ou prenome do pai ou da mãe.",2019,CCJ,"Comissão de Constituição, Justiça e Cidadania"
739,Relator,2019-12-05,PLS 179/2018,"Altera o Decreto-Lei nº 2.848, de 7 de dezembro de 1940 – Código Penal, e a Lei nº 7.210, de 11 de julho de 1984 – Lei de Execução Penal, para condicionar o livramento condicional, a progressão de regime, a saída temporária, a substituição de pena privativa de liberdade por pena restritiva de direitos e a suspensão condicional da pena à coleta de material biológico para obtenção do perfil genético do preso.",2018,CCJ,"Comissão de Constituição, Justiça e Cidadania"
