codigoParlamentar,TipoRelator,DataDesignacao,Identificacao,Ementa,AnoMateria,SiglaComissao,NomeComissao
6337,Relator,2024-03-26,PL 4792/2023,"Altera a Lei nº 10.741, de 1º de outubro de 2003, que dispõe sobre o Estatuto da Pessoa Idosa e dá outras providências, para prever o direito da pessoa idosa à inclusão digital.",2023,CDH,Comissão de Direitos Humanos e Legislação Participativa
6337,Relator,2024-03-06,PL 5084/2023,"Altera a Lei nº 10.741, de 1º de outubro de 2023 (Estatuto da Pessoa Idosa), e a Lei nº 8.078, de 11 de setembro de 1990 (Código de Defesa do Consumidor), para prever garantias à pessoa idosa sob interdição, total ou parcial, que venha a contrair empréstimos.",2023,CDH,Comissão de Direitos Humanos e Legislação Participativa
6337,Relator,2023-10-04,SUG 42/2019,Fim do IPVA anual para imposto veicular na aquisição do veículo,2019,CDH,Comissão de Direitos Humanos e Legislação Participativa
6337,Relator,2023-10-04,SUG 2/2019,Isenção do IRPF para Profissionais de Segurança Pública com  Proventos até 10 S.M.,2019,CDH,Comissão de Direitos Humanos e Legislação Participativa
6337,Relator,2023-10-04,PRS 76/2023,Institui o Selo Município Amigo da Mulher.,2023,CDH,Comissão de Direitos Humanos e Legislação Participativa
6337,Relator,2023-10-04,PRS 64/2023,Institui no Senado Federal a Comenda Ceci Cunha e dá outras providências.,2023,CDH,Comissão de Direitos Humanos e Legislação Participativa
6337,Relator,2023-10-04,PL 4153/2023,"Altera a Lei nº 8.742, de 7 de dezembro de 1993 (Lei Orgânica da Assistência Social), para prever a criação de programas de amparo às pessoas idosas, às pessoas com deficiência e às pessoas com doenças crônicas que necessitam de cuidados de longa duração.",2023,CDH,Comissão de Direitos Humanos e Legislação Participativa
6337,Relator,2023-10-04,PL 3749/2023,"Altera o art. 19 da Lei nº 11.340, de 7 de agosto de 2006 – Lei Maria da Penha, para prever a manifestação da ofendida previamente à decisão que revogar medida protetiva de urgência aplicada ao agressor.",2023,CDH,Comissão de Direitos Humanos e Legislação Participativa
6337,Relator,2023-10-04,PL 3580/2023,"Altera a Lei nº 8.069, de 13 de julho de 1990 – Estatuto da Criança e do Adolescente, para estabelecer prioridade absoluta no julgamento dos crimes envolvendo violência sexual contra crianças ou adolescentes.",2023,CDH,Comissão de Direitos Humanos e Legislação Participativa
6337,Relator,2023-10-04,PL 3461/2023,"Altera a Lei n° 13.146, de 6 de julho de 2015, que institui a Lei Brasileira de Inclusão da Pessoa com Deficiência (Estatuto da Pessoa com Deficiência), para estabelecer o Sistema Nacional de Certificação de Inclusão no Trabalho e criar o Selo Nacional da Inclusão no Trabalho.",2023,CDH,Comissão de Direitos Humanos e Legislação Participativa
6337,Relator,2023-10-04,PL 2650/2023,"Altera a Lei nº 12.662, de 05 de junho de 2012, para permitir o registro de dupla maternidade ou paternidades, além de produzir dados sobre o nascimento de crianças intersexo.",2023,CDH,Comissão de Direitos Humanos e Legislação Participativa
6337,Relator,2023-10-04,PL 3054/2023,"Acresce § 6º ao art. 54 da Lei nº 6.015, de 31 de dezembro de 1973 (Lei de Registros Públicos), para dispor sobre a ausência de indicação de sexo no assento de nascimento no caso de crianças intersexo.",2023,CDH,Comissão de Direitos Humanos e Legislação Participativa
6337,Relator,2023-10-03,PL 3669/2023,Institui o mês de outubro como o Mês de Conscientização da Síndrome de Rett.,2023,CAS,Comissão de Assuntos Sociais
6337,Relator,2023-10-03,PL 3234/2021,"Altera o art. 80 da Lei nº 6.015, de 31 de dezembro de 1973 (Lei de Registros Públicos), para regulamentar os procedimentos que devem ser cumpridos quanto a elaboração do assento de óbito, nos casos em que o falecido deixou filho menor ou incapaz, acrescida da comunicação da orfandade bilateral acaso constatada pelo oficial de registro civil aos órgãos públicos de assistência social e de proteção da infância e da juventude.",2021,CAS,Comissão de Assuntos Sociais
6337,Relator,2023-09-04,PRS 71/2023,Institui a Frente Parlamentar Mista de Defesa dos Feirantes.,2023,CAS,Comissão de Assuntos Sociais
6337,Relator,2023-09-04,PL 3900/2020,"Altera a Lei nº 1.074, de 24 de março de 1950, que cria a Ordem do Mérito Médico, a fim de ampliar a outras categorias profissionais de saúde a elegibilidade à homenagem.",2020,CAS,Comissão de Assuntos Sociais
6337,Relator,2023-09-01,PDL 258/2019,"Aprova o ato que renova a autorização outorgada à Associação Comunitária de Rodeiro para executar serviço de radiodifusão comunitária no Município de Rodeiro, Estado de Minas Gerais.",2019,CCDD,Comissão de Comunicação e Direito Digital
6337,Relator,2023-09-01,PDS 66/2017,"Aprova o ato que renova a permissão outorgada à RÁDIO GARBOSA LTDA. para executar serviço de radiodifusão sonora em frequência modulada no Município de São João Nepomuceno, Estado de Minas Gerais.",2017,CCDD,Comissão de Comunicação e Direito Digital
6337,Relator,2023-09-01,PDS 87/2018,"Aprova o ato que outorga permissão à Rádio Arari FM Ltda. para explorar serviço de radiodifusão sonora em frequência modulada no Município de Itamogi, Estado de Minas Gerais.",2018,CCDD,Comissão de Comunicação e Direito Digital
6337,Relator,2023-09-01,PDL 577/2019,"Aprova o ato que renova a autorização outorgada à Associação Comunitária Amigos de Unaí - ACAU para executar serviço de radiodifusão comunitária no Município de Unaí, Estado de Minas Gerais.",2019,CCDD,Comissão de Comunicação e Direito Digital
6337,Relator,2023-09-01,PDL 372/2019,"Aprova o ato que outorga autorização à Associação de Radiodifusão Comunitária de Cultura e Educação de Barbacena - Arcocebar para executar serviço de radiodifusão comunitária no Município de Barbacena, Estado de Minas Gerais.",2019,CCDD,Comissão de Comunicação e Direito Digital
6337,Relator,2023-09-01,PDL 364/2019,"Aprova o ato que renova a autorização outorgada à Associação Comunitária de Radiodifusão e Desenvolvimento Cultural de Mutum - ACORDECUM para executar serviço de radiodifusão comunitária no Município de Mutum, Estado de Minas Gerais.",2019,CCDD,Comissão de Comunicação e Direito Digital
6337,Relator,2023-09-01,PDL 754/2019,"Aprova o ato que renova a autorização outorgada à Associação Rádio Comunitária Vitória de Radiodifusão-ACVR para executar serviço de radiodifusão comunitária no Município de Contagem, Estado de Minas Gerais.",2019,CCDD,Comissão de Comunicação e Direito Digital
6337,Relator,2023-09-01,PDL 163/2019,"Aprova o ato que renova a autorização outorgada à Associação Comunitária Feminina de Montalvânia para executar serviço de radiodifusão comunitária no Município de Montalvânia, Estado de Minas Gerais.",2019,CCDD,Comissão de Comunicação e Direito Digital
6337,Relator,2023-09-01,PDL 762/2019,"Aprova o ato que outorga autorização à Associação Comunitária de Radiodifusão Tocosmojiense para executar serviço de radiodifusão comunitária no Município de Tocos do Moji, Estado de Minas Gerais.",2019,CCDD,Comissão de Comunicação e Direito Digital
6337,Relator,2023-09-01,PDL 384/2019,"Aprova o ato que renova a autorização outorgada à Associação Comunitária de Radiodifusão Dom Othon Motta para executar serviço de radiodifusão comunitária no Município de Campanha, Estado de Minas Gerais.",2019,CCDD,Comissão de Comunicação e Direito Digital
6337,Relator,2023-09-01,PDL 440/2019,"Aprova o ato que renova a autorização outorgada à Associação Comunitária de Radiodifusão Varginhense para executar serviço de radiodifusão comunitária no Município de Varginha, Estado de Minas Gerais.",2019,CCDD,Comissão de Comunicação e Direito Digital
6337,Relator,2023-09-01,PDL 307/2019,"Aprova o ato que renova a autorização outorgada à Associação Comunitária Firminense de Radiodifusão para executar serviço de radiodifusão comunitária no Município de Senador Firmino, Estado de Minas Gerais.",2019,CCDD,Comissão de Comunicação e Direito Digital
6337,Relator,2023-09-01,PDS 226/2017,"Aprova o ato que renova a autorização outorgada à ASSOCIAÇÃO COMUNITÁRIA BENEFICENTE ARTÍSTICA E CULTURAL GUARANIENSE DE RÁDIO E TV para executar serviço de radiodifusão comunitária no Município de Guarani, Estado de Minas Gerais.",2017,CCDD,Comissão de Comunicação e Direito Digital
6337,Relator,2023-07-06,PL 4528/2021,"Altera a Lei nº 12.546, de 14 de dezembro de 2011, para estender a pessoas jurídicas dos segmentos de bares e restaurantes, hotelaria e turismo e academias de musculação a possibilidade de substituir as contribuições previstas nos incisos I e III do caput do art. 22 da Lei nº 8.212, de 24 de julho de 1991, por contribuição sobre o valor da receita bruta, excluídos as vendas canceladas e os descontos incondicionais concedidos.",2021,CEsp,Comissão de Esporte
6337,Relator,2023-07-06,PL 570/2020,"Altera a Lei nº 10.891, de 9 de julho de 2004, que “institui a Bolsa-Atleta”, para incluir na destinação da Bolsa-Atleta as modalidades surdolímpicas e atualizar termos utilizados nessa norma.",2020,CEsp,Comissão de Esporte
6337,Relator,2023-06-22,PL 2925/2020,"Altera a Lei nº 8.069, de 13 de julho de 1990, que dispõe sobre o Estatuto da Criança e do Adolescente, para instituir a possibilidade de manutenção do acolhimento institucional após o adolescente completar dezoito anos.",2020,CDH,Comissão de Direitos Humanos e Legislação Participativa
6337,Relator,2023-06-01,PL 2077/2021,"Altera o art. 6º da Lei nº 12.212, de 20 de janeiro de 2010, para tornar gratuita a instalação dos medidores de energia para cada uma das famílias que residam em habitações multifamiliares regulares e irregulares de baixa renda.",2021,CI,Comissão de Serviços de Infraestrutura
6337,Relator,2023-05-15,PL 1426/2022,"Altera a Lei nº 13.146, de 6 de julho de 2015, que institui a Lei Brasileira de Inclusão da Pessoa com Deficiência (Estatuto da Pessoa com Deficiência), para prever a presença de intérprete da Língua Brasileira de Sinais em transmissões televisivas de jogo ou de competição desportiva.",2022,CDH,Comissão de Direitos Humanos e Legislação Participativa
6337,Relator,2023-05-10,PL 5543/2020,Institui o Dia Nacional do Cirurgião Oncológico.,2020,CAS,Comissão de Assuntos Sociais
