codigoParlamentar,TipoRelator,DataDesignacao,Identificacao,Ementa,AnoMateria,SiglaComissao,NomeComissao
475,Relator,2024-06-12,PLP 94/2024,"Altera a Lei Complementar nº 199, de 1° de agosto de 2023, para possibilitar o compartilhamento de informação pelas administrações tributárias da União, dos Estados, do Distrito Federal e dos Munícipios com a instituição financeira pública federal, agente operador, nos termos do inciso II do art. 3° da Lei 10.260, de 12 de julho de 2001, de estudantes beneficiados por financiamento estudantil com recursos do Fundo de Financiamento Estudantil (Fies).",2024,CE,Comissão de Educação e Cultura
475,Relator,2024-05-16,PL 6049/2019,Dispõe sobre normas específicas para verificação do rendimento e controle de frequência dos estudantes que tenham sido eleitos para funções em entidades estudantis e dá outras providências.,2019,CE,Comissão de Educação e Cultura
475,Relator,2024-05-14,PLN 3/2024,Dispõe sobre as diretrizes para a elaboração e a execução da Lei Orçamentária de 2025 e dá outras providências.,2024,CMO,"Comissão Mista de Planos, Orçamentos Públicos e Fiscalização"
475,Relator,2024-03-12,PLP 262/2023,"Altera o art. 14 da Lei Complementar Nº 140, de 8 de dezembro de 2011, para dispor sobre o licenciamento ambiental.",2023,CMA,Comissão de Meio Ambiente
475,Relator,2024-03-05,PL 6172/2023,"Altera a Lei nº 8.080, de 19 de setembro de 1990 (Lei Orgânica da Saúde), para determinar prazo máximo de cento e oitenta dias para a oferta, pelo SUS, de novos medicamentos, produtos e procedimentos, ou de protocolo clínico e diretriz terapêutica, contado a partir da data de publicação da decisão de incorporação.",2023,CCT,"Comissão de Ciência, Tecnologia, Inovação e Informática"
475,Relator,2024-02-23,PL 6544/2019,"Inclui no Anexo da Lei nº 5.917, de 10 de setembro de 1973, que dispõe sobre o Plano Nacional de Viação, o trecho rodoviário que especifica.",2019,CI,Comissão de Serviços de Infraestrutura
475,Relator,2024-01-30,PL 3704/2019,"Denomina Ponte Dom Moacyr Grechi a ponte sobre o Rio Abunã, localizada na BR-364, que interliga os Estados de Rondônia e Acre.",2019,CE,Comissão de Educação e Cultura
475,Relator,2023-12-20,PL 2650/2022,"Altera a Lei nº 13.257, de 8 de março de 2016, para instituir a Política Nacional de Atendimento Educacional Especializado a Crianças de Zero a Três Anos (Precoce), e para determinar prioridade de atendimento em programas de visitas domiciliares a crianças com necessidades especiais, nos termos que especifica.",2022,CE,Comissão de Educação e Cultura
475,Relator,2023-10-11,PDL 29/2022,"Susta, nos termos do inciso V do art. 49 da Constituição Federal, os efeitos do Ofício Circular Interno nº 18/2021/CGMT/DPT, de 29 de dezembro de 2021, da Fundação Nacional do Índio.",2022,CMA,Comissão de Meio Ambiente
475,Relator,2023-08-17,PL 4338/2020,"Esta Lei estabelece condições diferenciadas de produção ou fornecimento no mercado nacional de medicamentos, fármacos e vacinas, nos casos em que a testagem clínica do produto ocorre no Brasil, nos termos que especifica.",2020,CCT,"Comissão de Ciência, Tecnologia, Inovação e Informática"
475,Relator,2023-07-05,PDL 110/2023,"Susta os Decretos nº 11.466 e n° 11.467, ambos de 5 de abril de 2023.",2023,PLEN,Plenário do Senado Federal
475,Relator,2023-07-05,PDL 106/2023,"Susta, nos termos do art. 49, V, da Constituição Federal, a aplicação dos Decretos nº 11.466, de 5 de abril de 2023 e nº 11.467, de 5 de abril de 2023.",2023,PLEN,Plenário do Senado Federal
475,Relator,2023-07-05,PDL 107/2023,"Susta os efeitos do Decreto nº 11.466, de 5 de abril 2023, que trata da metodologia para comprovação da capacidade econômico financeira dos prestadores de serviços públicos de abastecimento de água potável ou de esgotamento sanitário e o Decreto nº 11.467, de 5 de abril de 2023, que dispõe sobre a prestação regionalizada dos serviços públicos de saneamento básico, o apoio técnico e financeiro de que trata o art. 13 da Lei nº 14.026, de 15 de julho de 2020.",2023,PLEN,Plenário do Senado Federal
