codigoParlamentar,TipoRelator,DataDesignacao,Identificacao,Ementa,AnoMateria,SiglaComissao,NomeComissao
6335,Relator Ad hoc,2024-07-10,PL 1645/2020,"Altera a Lei nº 6.360, de 23 de setembro de 1976, que dispõe sobre a vigilância sanitária a que ficam sujeitos os medicamentos, as drogas, os insumos farmacêuticos e correlatos, cosméticos, saneantes e outros produtos, e dá outras providências, para tratar da realização de ensaios clínicos com idosos.",2020,CDH,Comissão de Direitos Humanos e Legislação Participativa
6335,Relator,2024-07-03,PL 6279/2019,Institui o Dia Nacional do Agente de Segurança Socioeducativo.,2019,CSP,Comissão de Segurança Pública
6335,Relator Ad hoc,2024-07-03,PL 3746/2023,"Acrescenta a Lei nº 10.865, de 30 de abril de 2004, a redução a zero da alíquota de contribuição para o PIS/Pasep e COFINS na importação e na comercialização no mercado interno de cadeira de rodas motorizadas.",2023,CDH,Comissão de Direitos Humanos e Legislação Participativa
6335,Relator Ad hoc,2024-07-03,PL 1353/2024,"Erige em monumento nacional o Cânion do Rio Poti, localizado nos Estados do Ceará e do Piauí.",2024,CMA,Comissão de Meio Ambiente
6335,Relator,2024-06-28,PL 1173/2024,"Altera a Lei nº 10.406, de 10 de janeiro de 2002, para disciplinar a declaração de guarda sobre animal de estimação.",2024,CMA,Comissão de Meio Ambiente
6335,Relator Ad hoc,2024-06-19,PL 540/2021,"Altera a Lei nº 8.069, de 13 de julho de 1990 (Estatuto da Criança e do Adolescente), para tornar obrigatória a realização da versão ampliada do teste do pezinho no âmbito da rede pública de saúde.",2021,CDH,Comissão de Direitos Humanos e Legislação Participativa
6335,Relator Ad hoc,2024-06-12,PL 3931/2021,"Altera a Lei nº 13.733, de 16 de novembro de 2018, para instituir o Outubrinho Rosa, a ser realizado no mês de outubro.",2021,CAS,Comissão de Assuntos Sociais
6335,Relator,2024-06-05,PL 1103/2022,"Altera a Lei nº 11.326, de 24 de julho de 2006, para incluir assistência material e abertura de linha de crédito para o agricultor familiar, destinada à recuperação de solos e pastagens.",2022,CAE,Comissão de Assuntos Econômicos
6335,Relator,2024-06-05,PL 414/2022,"Altera a Lei nº 11.947, de 16 de junho de 2009, e dá outras providências.",2022,CAE,Comissão de Assuntos Econômicos
6335,Relator,2024-06-05,PL 5061/2020,"Altera a Lei nº 10.836, de 9 de janeiro de 2004, que cria o Programa Bolsa Família, para dispor sobre o pagamento continuado do abono natalino.",2020,CAE,Comissão de Assuntos Econômicos
6335,Relator,2024-06-05,PL 1790/2019,"Estabelece a obrigatoriedade de que o empreendedor de barragem contrate seguro contra danos a terceiros, em virtude do rompimento ou vazamento da barragem e dá outras providências.",2019,CAE,Comissão de Assuntos Econômicos
6335,Relator,2024-05-29,PL 1825/2023,Institui a Semana Cultural Interescolar nos estabelecimentos de ensino fundamental e médio.,2023,CE,Comissão de Educação e Cultura
6335,Relator,2024-05-23,PL 1107/2023,Dispõe sobre a indenização pecuniária por tempo de serviço aos servidores comissionados do Poder Legislativo Federal e órgão auxiliar.,2023,CAE,Comissão de Assuntos Econômicos
6335,Relator,2024-05-22,PL 4050/2023,Dispõe sobre a oferta do profissional de apoio escolar em instituições públicas e privadas de ensino.,2023,CE,Comissão de Educação e Cultura
6335,Relator Ad hoc,2024-05-22,PL 1668/2023,"Altera a Lei nº 8.069, de 13 de julho de 1990, para prever o confisco e a destinação de bens utilizados nos crimes de tráfico de criança ou adolescente ou contra a liberdade e dignidade sexual de criança ou adolescente que especifica.",2023,CDH,Comissão de Direitos Humanos e Legislação Participativa
6335,Relator,2024-05-20,PL 5815/2023,"Altera a Lei nº 10.048, de 8 de novembro de 2000, que “dá prioridade de atendimento às pessoas que especifica, e dá outras providências” para instituir prioridade especial para criança com até três meses de idade e para pessoas idosas com idade superior a 80 anos.",2023,CDH,Comissão de Direitos Humanos e Legislação Participativa
6335,Relator,2024-05-20,PL 5771/2023,"Altera a Lei nº 8.069, de 13 de julho de 1990, (Estatuto da Criança e do Adolescente), para conceder a gratuidade dos transportes coletivos ao acompanhante de recém-nascido por ocasião da condução deste para a realização de exame ou consulta, no âmbito do Programa Nacional de Triagem Neonatal, bem assim para o seu retorno ao domicílio após o atendimento.",2023,CDH,Comissão de Direitos Humanos e Legislação Participativa
6335,Relator Ad hoc,2024-05-15,PL 4988/2023,"Cria o selo “Diversidade, Inclusão e Equidade no Ambiente de Trabalho”.",2023,CDH,Comissão de Direitos Humanos e Legislação Participativa
6335,Relator Ad hoc,2024-05-14,PL 3707/2020,"Acrescenta o art. 12-A na Lei nº 9.807, de 13 de julho de 1999, para estabelecer o sigilo dos dados de qualificação ou de identificação da vítima ou testemunha nos depoimentos sobre crimes praticados mediante violência ou grave ameaça.",2020,CSP,Comissão de Segurança Pública
6335,Relator,2024-05-10,PL 74/2023,Dispõe sobre a obrigatoriedade da assinatura física das pessoas idosas em contratos de operação de crédito firmados por meio eletrônico ou telefônico.,2023,CTFC,"Comissão de Transparência, Governança, Fiscalização e Controle e Defesa do Consumidor"
6335,Relator,2024-04-24,PL 4314/2023,"Altera o Decreto-Lei nº 2.848, de 7 de dezembro de 1940, e as Leis nº 7.347, de 24 de julho de 1985, nº 7.797, de 10 de julho de 1989, e nº 9.605, de 12 de fevereiro de 1998, para destinar o valor arrecadado com o pagamento de multas por crimes e infrações ambientais cometidos na Amazônia Legal ao financiamento de ações voltadas à promoção da agricultura familiar na mesma região.",2023,CAE,Comissão de Assuntos Econômicos
6335,Relator,2024-04-24,PL 2241/2022,"Acrescenta dispositivo ao art. 18-A da Lei nº 9.615, de 24 de março de 1998, para condicionar o recebimento de recursos públicos a compromisso de adoção de medidas para proteção de crianças e de adolescentes contra abuso sexual.",2022,CAE,Comissão de Assuntos Econômicos
6335,Relator Ad hoc,2024-04-23,PL 1364/2022,"Altera as Leis nº 11.340, de 7 de agosto de 2006, nº 10.741, de 1º de outubro de 2003 e nº 14.344, de 24 de maio de 2022, para dispor sobre o registro de boletim de ocorrência e a solicitação de medida protetiva de urgência para criança, adolescente, mulher ou pessoa idosa por meio de sítio eletrônico na internet ou de telefone.",2022,CDH,Comissão de Direitos Humanos e Legislação Participativa
6335,Relator Ad hoc,2024-04-23,SUG 53/2019,"Institui o Minuto da Cidadania, que tem por objetivo difundir os direitos, os deveres e garantias fundamentais previstos na Constituição Federal.",2019,CDH,Comissão de Direitos Humanos e Legislação Participativa
6335,Relator Ad hoc,2024-04-16,SUG 9/2023,Institui o mês de abril como Mês Nacional de Valorização da Cultura Brasileira.,2023,CDH,Comissão de Direitos Humanos e Legislação Participativa
6335,Relator,2024-04-09,REQ 9/2024 - CSP,"Requer, nos termos do art. 96-B do Regimento Interno do Senado Federal, que a Comissão de Segurança Pública avalie a Política Nacional de Busca de Pessoas Desaparecidas, no exercício de 2024.",2024,CSP,Comissão de Segurança Pública
6335,Relator,2024-04-03,PL 853/2024,"Altera a Lei nº 8.072, de 25 de julho de 1990 – Lei dos Crimes Hediondos, e a Lei nº 7.210, de 11 de julho de 1984 – Lei de Execução Penal, para vedar a progressão de regime de cumprimento de pena aos condenados por crimes hediondos.",2024,CSP,Comissão de Segurança Pública
6335,Relator,2024-03-12,PL 267/2024,"Altera a Lei nº 10.406, de 10 de janeiro de 2002 (Institui o Código Civil) para prever a instituição de norma condominial que obrigue a comunicação pelo morador, ao condomínio de prédios residenciais, sobre guarda de animais silvestres em sua unidade residencial.",2024,CMA,Comissão de Meio Ambiente
6335,Relator,2024-03-12,PL 6134/2023,"Altera a Lei nº 10.406, de 10 de janeiro de 2002, e a Lei nº 9.278, de 10 de maio de 1996, para disciplinar a declaração de compropriedade sobre animal de estimação.",2023,CMA,Comissão de Meio Ambiente
6335,Relator,2024-03-12,PL 5720/2023,"Disciplina a custódia compartilhada dos animais de estimação nos casos de separação dos seus tutores, em decorrência da dissolução do casamento ou da união estável.",2023,CMA,Comissão de Meio Ambiente
6335,Relator,2024-03-12,PL 519/2021,"Altera a Lei nº 9.605, de 12 de fevereiro de 1998, que dispõe sobre as sanções penais e administrativas derivadas de condutas e atividades lesivas ao meio ambiente, e dá outras providências, para agravar a pena cominada ao crime de maus-tratos a animais.",2021,CMA,Comissão de Meio Ambiente
6335,Relator,2024-03-12,PL 5481/2020,"Institui no âmbito nacional a campanha Dezembro Verde, destinada a ações de conscientização contra o abandono de animais e de incentivo à guarda responsável de animais.",2020,CMA,Comissão de Meio Ambiente
6335,Relator,2024-03-06,PL 4664/2023,Institui pensão especial destinada às crianças e adolescentes filhas (os) de pais vítimas de crimes dolosos contra à vida.,2023,CDH,Comissão de Direitos Humanos e Legislação Participativa
6335,Relator,2024-02-22,PL 626/2021,"Altera a Lei nº 8.213, de 24 de julho de 1991, para dispor sobre a contratação de pessoas com deficiência ou de beneficiários reabilitados da Previdência Social.",2021,CDH,Comissão de Direitos Humanos e Legislação Participativa
6335,Relator,2024-02-21,PL 1435/2023,"Institui a campanha nacional permanente Recrutando Anjos; obriga os estabelecimentos a afixar cartazes sobre manobras para desobstrução das vias respiratórias; e altera a Lei nº 8.069, de 13 de julho de 1990 (Estatuto da Criança e do Adolescente).",2023,CAS,Comissão de Assuntos Sociais
6335,Relator,2024-02-21,PL 5133/2023,Institui o Dia Nacional de Conscientização sobre a Depressão Pós-parto.,2023,CAS,Comissão de Assuntos Sociais
6335,Relator,2024-02-21,PL 613/2019,Institui o Dia Nacional de Conscientização sobre as Doenças Crônicas.,2019,CAS,Comissão de Assuntos Sociais
6335,Relator,2023-12-13,PL 3652/2023,Dispõe sobre o perdão de dívidas relacionadas ao Programa de Financiamento Estudantil (FIES) para os devedores com atrasos até a data da publicação desta lei.,2023,CAE,Comissão de Assuntos Econômicos
6335,Relator Ad hoc,2023-12-12,MSF 102/2023,"Solicita, nos termos do art. 52, incisos V, VII e VIII, da Constituição, a autorização para contratação de operação de crédito externo, com a garantia da República Federativa do Brasil no valor de US$ 135,238,245.00 (cento e trinta e cinco milhões, duzentos e trinta e oito mil, duzentos e quarenta e cinco de dólares dos Estados Unidos da América), entre o Município do Rio de Janeiro, Estado do Rio de Janeiro, e o Banco Internacional para Reconstrução e Desenvolvimento - BIRD, cujos recursos destinam-se ao Projeto de Ajuste e Desenvolvimento Sustentável do Rio de Janeiro – Etapa II, no âmbito do Plano de Promoção do Equilíbrio Fiscal (PEF) do Município.",2023,CAE,Comissão de Assuntos Econômicos
6335,Relator Ad hoc,2023-12-12,MSF 96/2023,"Solicita, nos termos do art. 52, incisos V, VII e VIII, da Constituição, autorização para a contratação de operação de crédito externo, com a garantia da República Federativa do Brasil no valor de até US$ 60,000,000.00 (sessenta milhões de dólares dos Estados Unidos da América), de principal, entre o Município de Belém, Estado do Pará, e o Fundo Financeiro para o Desenvolvimento da Bacia do Prata - FONPLATA.",2023,CAE,Comissão de Assuntos Econômicos
6335,Relator Ad hoc,2023-12-12,MSF 99/2023,"Solicita, nos termos do art. 52, incisos V, VII e VIII, da Constituição, autorização para a contratação de operação de crédito externo, com a garantia da República Federativa do Brasil no valor de US$ 39,000,000.00 (trinta e nove milhões de dólares dos Estados Unidos da América), de principal, entre o Governo do Estado do Acre, e o Fundo Financeiro para o Desenvolvimento da Bacia do Prata - FONPLATA.",2023,CAE,Comissão de Assuntos Econômicos
6335,Relator,2023-11-23,PL 4224/2021,"Institui medidas de proteção à criança e ao adolescente contra a violência nos estabelecimentos educacionais ou similares; prevê a Política Nacional de Prevenção e Proteção ao Abuso e Exploração Sexual da Criança e do Adolescente; e altera o Decreto-Lei nº 2.848, de 7 de dezembro de 1940 (Código Penal), e as Leis nºs 8.072, de 25 de julho de 1990 (Lei dos Crimes Hediondos), e 8.069, de 13 de julho de 1990 (Estatuto da Criança e do Adolescente).",2021,CSP,Comissão de Segurança Pública
