codigoParlamentar,TipoRelator,DataDesignacao,Identificacao,Ementa,AnoMateria,SiglaComissao,NomeComissao
5998,Relator,2024-07-09,PL 1704/2019,Institui a Política Nacional de Diagnóstico e Tratamento da Depressão Pós-Parto e a Campanha Nacional de Conscientização sobre a Depressão Pós-Parto.,2019,CAS,Comissão de Assuntos Sociais
5998,Relator,2024-06-28,PL 4538/2020,Cria o Programa Nacional de Inclusão Digital para a Educação Básica.,2020,CCT,"Comissão de Ciência, Tecnologia, Inovação e Informática"
5998,Relator,2024-06-05,PL 2748/2021,"Altera a Lei nº 11.340, de 7 de agosto de 2006 (Lei Maria da Penha), para incluir o monitoramento eletrônico entre as medidas protetivas de urgência aplicáveis em caso de violência doméstica e familiar contra a mulher.",2021,CCJ,"Comissão de Constituição, Justiça e Cidadania"
5998,Relator,2024-05-16,PDL 720/2021,"Aprova o ato que renova a autorização outorgada à Associação Comunitária Cultural 3 de Novembro para executar serviço de radiodifusão comunitária no Município de Quatro Pontes, Estado do Paraná.",2021,CCDD,Comissão de Comunicação e Direito Digital
5998,Relator,2024-05-14,PL 370/2024,"Altera o art. 147-B do Decreto-Lei nº 2.848, de 7 de dezembro de 1940 (Código Penal), para estabelecer causa de aumento de pena no crime de violência psicológica contra a mulher quando praticado com o uso de inteligência artificial ou de qualquer outro recurso tecnológico que altere imagem ou som da vítima.",2024,CCDD,Comissão de Comunicação e Direito Digital
5998,Relator,2024-04-29,MSF 4/2024,"Submete à apreciação do Senado Federal, nos termos do art. 52, V, VII e VIII, da Constituição, a autorização para contratação de operação de crédito externo, com garantia da República Federativa do Brasil, entre o Município de Campina Grande, Estado da Paraíba, e o Fundo Financeiro para o Desenvolvimento da Bacia do Prata - FONPLATA, destinada a financiar parcialmente o Programa de Mobilidade e Desenvolvimento Socioambiental de Campina Grande - TRANSFORMA CAMPINA.",2024,CAE,Comissão de Assuntos Econômicos
5998,Relator,2024-04-29,PL 1026/2024,"Altera a Lei nº 14.148, de 3 de maio de 2021, para estabelecer alíquotas reduzidas no âmbito do Programa Emergencial de Retomada do Setor de Eventos – Perse; e revoga dispositivo da Medida Provisória nº 1.202, de 28 de dezembro de 2023.",2024,PLEN,Plenário do Senado Federal
5998,Relator,2024-04-18,PDL 289/2023,"Aprova o ato que outorga permissão à Fundação Francisco Rodrigues Sancho para explorar serviço de radiodifusão sonora em frequência modulada no Município de Barra do Corda, Estado do Maranhão.",2023,CCDD,Comissão de Comunicação e Direito Digital
5998,Relator,2024-04-18,PDL 356/2021,"Aprova o ato que renova a autorização outorgada à Associação Mercesana de Integração e Cultura para executar serviço de radiodifusão comunitária no Município de Mercês, Estado de Minas Gerais.",2021,CCDD,Comissão de Comunicação e Direito Digital
5998,Relator,2024-04-18,PDL 393/2022,"Aprova o ato que renova a concessão outorgada à Televisão Pioneira Ltda. para explorar serviço de radiodifusão de sons e imagens no Município de Teresina, Estado do Piauí.",2022,CCDD,Comissão de Comunicação e Direito Digital
5998,Relator,2024-04-18,PDL 876/2021,"Aprova o ato que renova a autorização outorgada à Associação da Rádio Comunitária FM Rio Neves para executar serviço de radiodifusão comunitária no Município de São Raimundo das Mangabeiras, Estado do Maranhão.",2021,CCDD,Comissão de Comunicação e Direito Digital
5998,Relator,2024-04-18,PDL 897/2021,"Aprova o ato que renova a autorização outorgada à Associação de Radiodifusão Comunitária de Buriti Bravo para executar serviço de radiodifusão comunitária no Município de Buriti Bravo, Estado do Maranhão.",2021,CCDD,Comissão de Comunicação e Direito Digital
5998,Relator,2024-04-18,PDL 895/2021,"Aprova o ato que renova a autorização outorgada à Associação Cultural, Comunitária e Recreativa de São Benedito do Rio Preto – ACCR para executar serviço de radiodifusão comunitária no Município de São Benedito do Rio Preto, Estado do Maranhão.",2021,CCDD,Comissão de Comunicação e Direito Digital
5998,Relator,2024-04-18,PDL 856/2021,"Aprova o ato que renova a autorização outorgada à Associação Progressista de Radiodifusão Comunitária Sonora de Igarapé do Meio para executar serviço de radiodifusão comunitária no Município de Igarapé do Meio, Estado do Maranhão.",2021,CCDD,Comissão de Comunicação e Direito Digital
5998,Relator,2024-04-18,PDL 844/2021,"Aprova o ato que renova a autorização outorgada à Associação Comunitária Cultural Lima Campense para executar serviço de radiodifusão comunitária no Município de Lima Campos, Estado do Maranhão.",2021,CCDD,Comissão de Comunicação e Direito Digital
5998,Relator,2024-04-18,PDL 892/2021,"Aprova o ato que renova a autorização outorgada à Associação Comunitária Solidariedade para executar serviço de radiodifusão comunitária no Município de São Luís, Estado do Maranhão.",2021,CCDD,Comissão de Comunicação e Direito Digital
5998,Relator,2024-04-18,PDL 1117/2021,"Aprova o texto do Acordo de Previdência Social entre a República Federativa do Brasil e a República da Bulgária, assinado em Brasília, em 1º de fevereiro de 2016.",2021,CRE,Comissão de Relações Exteriores e Defesa Nacional
5998,Relator,2024-02-28,PL 1227/2023,"Altera a Lei nº 14.555, de 25 de abril de 2023, para reconhecer as quadrilhas juninas como manifestação da cultura nacional.",2023,CE,Comissão de Educação e Cultura
5998,Relator,2024-02-08,PL 1851/2022,"Altera o art. 1.597 do Código Civil para dispor sobre o consentimento presumido de implantação, pelo cônjuge ou companheiro sobrevivente, de embriões do casal que se submeteu conjuntamente a técnica de reprodução assistida.",2022,CCJ,"Comissão de Constituição, Justiça e Cidadania"
5998,Relator,2023-11-06,PDS 297/2013,"Aprova o ato que outorga autorização à ASSOCIAÇÃO COMUNITÁRIA MUNDO MELHOR DO MUNICÍPIO DE DUAS ESTRADAS para executar serviço de radiodifusão comunitária na cidade de Duas Estradas, Estado da Paraíba.",2013,CCDD,Comissão de Comunicação e Direito Digital
5998,Relator,2023-09-04,PRS 48/2023,Institui a Frente Parlamentar Mista em Defesa da Assistência Social da Segurança Alimentar.,2023,CAS,Comissão de Assuntos Sociais
5998,Relator,2023-08-30,PL 3635/2023,"Cria o selo Empresa Amiga da Amamentação, para estimular o desenvolvimento de ações de incentivo ao aleitamento materno.",2023,PLEN,Plenário do Senado Federal
5998,Relator,2023-08-23,PL 3635/2023,"Cria o selo Empresa Amiga da Amamentação, para estimular o desenvolvimento de ações de incentivo ao aleitamento materno.",2023,CAS,Comissão de Assuntos Sociais
5998,Relator,2023-07-13,PL 3683/2020,"Altera a legislação criminal, eleitoral e de improbidade administrativa para elevar penas e sanções de crimes já tipificados e outras condutas ilegais, e criar novos tipos penais, especialmente quando praticados na internet.",2020,CCDD,Comissão de Comunicação e Direito Digital
5998,Relator,2023-07-13,PL 2032/2020,"Altera a Lei nº 13.460, de 26 de junho de 2017, para garantir ligações gratuitas a partir de telefone móvel (celular) para os serviços de atendimento ao cidadão na administração pública.",2020,CCDD,Comissão de Comunicação e Direito Digital
5998,Relator,2023-07-13,PL 5175/2019,"Altera a Lei nº 9.472, de 16 de julho de 1997, que dispõe sobre a organização dos serviços de telecomunicações, a criação e funcionamento de um órgão regulador e outros aspectos institucionais, nos termos da Emenda Constitucional nº 8, de 1995, e a Lei nº 9.998, de 17 de agosto de 2000, que institui o Fundo de Universalização dos Serviços de Telecomunicações, para dispor sobre a finalidade, a destinação e as modalidades de aplicação de seus recursos.",2019,CCDD,Comissão de Comunicação e Direito Digital
5998,Relator,2023-07-13,PLS 157/2015,"Altera a Lei nº 9.472, de 16 de julho de 1997 (Lei Geral de Telecomunicações), para obrigar as prestadoras de serviços de telecomunicações a disponibilizar recursos para atendimento a situações de perigo público iminente e de interesse público relevante.",2015,CCDD,Comissão de Comunicação e Direito Digital
5998,Relator,2023-07-13,PDS 112/2018,"Aprova o ato que renova a autorização outorgada à Associação Comunitária de Comunicação e Cultura de Santa Maria / RN (ACCCSM-RN) para executar serviço de radiodifusão comunitária no Município de Santa Maria, Estado do Rio Grande do Norte.",2018,CCDD,Comissão de Comunicação e Direito Digital
5998,Relator,2023-07-13,PDL 869/2021,"Aprova o ato que renova a autorização outorgada à Associação Cultural e Comunitária Normário Sales para executar serviço de radiodifusão comunitária no Município de Jussari, Estado da Bahia.",2021,CCDD,Comissão de Comunicação e Direito Digital
5998,Relator,2023-07-13,PDL 736/2021,"Aprova o ato que renova a autorização outorgada à Associação Comunitária Beneficente e Social de Nova Floresta para executar serviço de radiodifusão comunitária no Município de Jaguaribe, Estado do Ceará.",2021,CCDD,Comissão de Comunicação e Direito Digital
