codigoParlamentar,TipoRelator,DataDesignacao,Identificacao,Ementa,AnoMateria,SiglaComissao,NomeComissao
3830,Relator,2024-07-09,REP 1/2023,"Requer a abertura de procedimento disciplinar (Representação) em face do Senador Chico Rodrigues com fundamento no art. 55 da Constituição Federal e na Resolução do Senado Federal nº 20, de 1993.",2023,CEDP,Conselho de Ética e Decoro Parlamentar
3830,Relator,2024-07-02,PL 3455/2023,Dispõe sobre a transformação do campus de Oiapoque da Universidade Federal do Amapá em Universidade Federal da Fronteira Norte (UNIFRON).,2023,CCJ,"Comissão de Constituição, Justiça e Cidadania"
3830,Relator,2024-07-02,PL 4339/2019,"Altera a Lei nº 11.771, de 17 de setembro de 2008, para ampliar o rol dos prestadores de serviços turísticos e para vedar a divulgação ou promoção de prestadores de serviços turísticos não cadastrados no Ministério do Turismo.",2019,CAE,Comissão de Assuntos Econômicos
3830,Relator,2024-07-01,PL 4388/2023,"Altera a Lei nº 12.462, de 4 de agosto de 2011, para permitir a utilização de recursos do Fundo Nacional de Aviação Civil (FNAC) para subsidiar a aquisição do querosene de aviação comercializado em aeroportos localizados na Região Norte.",2023,CAE,Comissão de Assuntos Econômicos
3830,Relator,2023-11-23,PL 1829/2019,"Altera as Leis nºs 6.009, de 26 de dezembro de 1973; 7.565, de 19 de dezembro de 1986; 9.610, de 19 de fevereiro de 1998; 11.771, de 17 de setembro de 2008; 12.462, de 4 de agosto de 2011; 13.097, de 19 de janeiro de 2015, e 13.146, de 6 de julho de 2015, para promover a modernização do turismo no Brasil; e revoga dispositivos da Lei nº 12.974, de 15 de maio de 2014, e a Lei nº 6.513, de 20 de dezembro de 1977.",2019,CDR,Comissão de Desenvolvimento Regional e Turismo
3830,Relator,2023-06-15,DEN 1/2023,"Requer a abertura de procedimento disciplinar (Representação) em face do Senador Cid Gomes, com base no art. 17 da Resolução do Senado 20/1993 e no art. 55 da Constituição Federal.",2023,CEDP,Conselho de Ética e Decoro Parlamentar
3830,Relator,2023-05-10,PL 1472/2023,"Altera o Decreto-Lei nº 2.848, de 7 de dezembro de 1940 (Código Penal), para estabelecer como efeito da condenação pelo crime do art. 247, inciso IV dessa lei, o cancelamento de benefício da assistência social.",2023,CAS,Comissão de Assuntos Sociais
3830,Relator,2023-01-09,PDL 1/2023,"Aprova a intervenção federal na área de segurança pública do Distrito Federal, nos termos do Decreto nº 11.377, de 8 de janeiro de 2023, com o objetivo de pôr fim a grave comprometimento da ordem pública.",2023,PLEN,Plenário do Senado Federal
3830,Relator,2022-07-07,MPV 1106/2022,"Altera a Lei nº 10.820, de 17 de dezembro de 2003, para ampliar a margem de crédito consignado aos segurados do Regime Geral de Previdência Social e para autorizar a realização de empréstimos e financiamentos mediante crédito consignado para beneficiários do Benefício de Prestação Continuada e de programas federais de transferência de renda, e a Lei nº 13.846, de 18 de julho de 2019, para dispor sobre a restituição de valores aos cofres públicos.",2022,PLEN,Plenário do Senado Federal
3830,Relator,2022-07-04,PEC 10/2022,Altera o art. 199 da Constituição Federal para dispor sobre as condições e os requisitos para a coleta e o processamento de plasma humano.,2022,CCJ,"Comissão de Constituição, Justiça e Cidadania"
3830,Relator,2022-05-24,PEC 11/2022,"Institui o piso salarial nacional do Enfermeiro, do Técnico de Enfermagem, do Auxiliar de Enfermagem e da Parteira.",2022,PLEN,Plenário do Senado Federal
3830,Relator,2022-05-18,OFS 11/2022,"Submete à apreciação do Senado Federal, nos termos do art. 103-B, inciso II e § 2º, da Constituição Federal, a indicação do Senhor LUIS FELIPE SALOMÃO, Ministro do Superior Tribunal de Justiça, para compor o Conselho Nacional de Justiça, no cargo de Corregedor Nacional de Justiça, no biênio 2022/2024.",2022,CCJ,"Comissão de Constituição, Justiça e Cidadania"
