codigoParlamentar,TipoRelator,DataDesignacao,Identificacao,Ementa,AnoMateria,SiglaComissao,NomeComissao
4994,Relator Ad hoc,2024-06-12,PL 2102/2019,Estabelece critérios mínimos para a outorga do título de Capital Nacional.,2019,CCJ,"Comissão de Constituição, Justiça e Cidadania"
4994,Relator Ad hoc,2024-06-12,PL 3519/2019,"Altera a Lei nº 13.105, de 16 de março de 2015 (Código de Processo Civil), a fim de dispor sobre a competência dos juizados especiais cíveis para o processamento e o julgamento das causas previstas no inciso II do art. 275 da Lei nº 5.869, de 11 de janeiro de 1973.",2019,CCJ,"Comissão de Constituição, Justiça e Cidadania"
4994,Relator,2024-05-28,OFS 5/2024,"Submete à apreciação do Senado Federal, nos termos do art. 103-B, inciso II e §2º, da Constituição Federal, a indicação do Senhor MAURO LUIZ CAMPBELL MARQUES, Ministro do Superior Tribunal de Justiça, para compor o Conselho Nacional de Justiça - CNJ, no cargo de Corregedor Nacional de Justiça, no biênio 2024/2026.",2024,CCJ,"Comissão de Constituição, Justiça e Cidadania"
4994,Relator,2024-05-03,PL 1001/2024,"Altera o Decreto-Lei nº 2.848, de 7 de dezembro de 1940 (Código Penal), para criar o tipo penal de homicídio qualificado praticado por membro de organização criminosa.",2024,CSP,Comissão de Segurança Pública
4994,Relator,2024-04-30,MSF 6/2024,"Submete à apreciação do Senado Federal, nos termos do art. 52, inciso III, alínea ""f"", da Constituição, combinado com o art. 12 da Lei nº 12.529, de 30 de novembro de 2011, o nome do Senhor ALEXANDRE BARRETO DE SOUZA, para recondução ao cargo de Superintendente-Geral do Conselho Administrativo de Defesa Econômica - CADE.",2024,CAE,Comissão de Assuntos Econômicos
4994,Relator,2024-04-24,PL 5187/2019,"Altera a Lei nº 7.827, de 27 de setembro de 1989, que regulamenta o art. 159, inciso I, alínea c, da Constituição Federal, institui o Fundo Constitucional de Financiamento do Norte – FNO, o Fundo Constitucional de Financiamento do Nordeste - FNE e o Fundo Constitucional de Financiamento do Centro-Oeste – FCO, e dá outras providências, para estabelecer repasses mínimos de recursos dos Fundos Constitucionais de Financiamento a instituições financeiras federais, e dar outras providências.",2019,CI,Comissão de Serviços de Infraestrutura
4994,Relator,2024-04-23,PL 1765/2019,"Altera a Lei nº 11.482, de 31 de maio de 2007, para prorrogar o prazo de vigência da não incidência do Adicional ao Frete para Renovação da Marinha Mercante (AFRMM) previsto no art. 17 da Lei nº 9.432, de 8 de janeiro de 1997.",2019,CAE,Comissão de Assuntos Econômicos
4994,Relator,2024-04-09,PL 1402/2023,"Altera a Lei nª 12.850, de 2 de agosto de 2013, para estabelecer o inventário das ferramentas tecnológicas de inteligência adquiridas e utilizadas pelos órgãos estatais de inteligência e vigilância",2023,CDD,Comissão de Defesa da Democracia
4994,Relator,2024-04-08,PL 839/2024,"Altera as Leis nºs 12.850, de 2 de agosto de 2013, 7.210, de 11 de julho de 1984, 8.069, de 13 de julho de 1990, e o Decreto-Lei nº 2.848, de 7 de dezembro de 1940 (Código Penal), para estabelecer o tratamento penal dos líderes das organizações criminosas armadas que reconhecidamente se valham de violência e grave ameaça para cometer crimes.",2024,CSP,Comissão de Segurança Pública
4994,Relator,2024-03-08,PL 5222/2020,"Altera a Lei nº 9.503, de 23 de setembro de 1997 (Código de Trânsito Brasileiro), para dispor sobre a inexistência de infração de circulação, parada e estacionamento relativa aos veículos de socorro de incêndio e salvamento, aos de polícia, aos de fiscalização e operação de trânsito e às ambulâncias.",2020,CCJ,"Comissão de Constituição, Justiça e Cidadania"
4994,Relator,2024-03-08,PL 2117/2021,"Altera a alínea a, do inciso II, do caput do art. 9º, do Decreto-Lei nº 1.001, de 21 de outubro de 1969 (Código Penal Militar), para afastar da competência da Justiça Militar os crimes cometidos com violência doméstica e familiar, quando praticados por militar da ativa contra militar na mesma situação.",2021,CCJ,"Comissão de Constituição, Justiça e Cidadania"
4994,Relator,2024-03-08,PL 6548/2019,"Acrescenta dispositivos à Lei n° 10.406, de 10 de janeiro de 2002 (Código Civil), para possibilitar a deserdação nas hipóteses de abandono.",2019,CCJ,"Comissão de Constituição, Justiça e Cidadania"
4994,Relator,2024-03-08,PL 2883/2022,"Acrescenta o art. 38-A à Lei nº 13.869, de 2019, para definir como crime de abuso de autoridade a participação de agente público em manifestações de caráter político-partidário, ostentando a condição de seu cargo.",2022,CCJ,"Comissão de Constituição, Justiça e Cidadania"
4994,Relator,2024-02-08,PL 2083/2022,"Altera os arts. 50, 52 e 86 da Lei nº 7.210, de 11 de julho de 1984 (Lei de Execução Penal), para estabelecer medidas destinadas a reforçar a proteção da mulher vítima de violência doméstica e familiar, especialmente contra a reiteração de ameaça ou de violência perpetrada por agressores condenados ou submetidos a prisão provisória.",2022,CCJ,"Comissão de Constituição, Justiça e Cidadania"
4994,Relator,2024-02-07,PL 3495/2023,"Altera a Lei nº 10.177, de 12 de janeiro de 2001, e a Lei nº 7.827, de 27 de setembro de 1989, que regulam os Fundos Constitucionais de Financiamento do Norte (FNO), do Nordeste (FNE) e do Centro-Oeste (FCO), e dá outras providências.",2023,CDR,Comissão de Desenvolvimento Regional e Turismo
4994,Relator,2023-12-05,MSF 97/2023,"Solicita, nos termos do art. 52, incisos V, VII e VIII, da Constituição, autorização para a contratação de operação de crédito externo, com a garantia da República Federativa do Brasil no valor de US$ 50,000,000.00 (cinquenta milhões de dólares dos Estados Unidos da América), de principal, entre o Governo do Estado do Piauí e o Banco Internacional para Reconstrução e Desenvolvimento - BIRD.",2023,CAE,Comissão de Assuntos Econômicos
4994,Relator,2023-11-08,PEC 110/2019,Altera o Sistema Tributário Nacional e dá outras providências.,2019,PLEN,Plenário do Senado Federal
4994,Relator,2023-11-08,PEC 46/2022,Altera o Sistema Tributário Nacional e dá outras providências.,2022,PLEN,Plenário do Senado Federal
