codigoParlamentar,TipoRelator,DataDesignacao,Identificacao,Ementa,AnoMateria,SiglaComissao,NomeComissao
3777,Relator,2024-05-23,PDL 229/2023,"Aprova o ato que renova a concessão outorgada à Rádio e Televisão Bandeirantes de Minas Gerais Ltda. para explorar serviço de radiodifusão de sons e imagens no Município de Belo Horizonte, Estado de Minas Gerais.",2023,CCDD,Comissão de Comunicação e Direito Digital
3777,Relator,2024-05-23,PDL 235/2023,"Aprova o ato que renova a concessão outorgada à Rádio e Televisão Record S.A. para explorar serviço de radiodifusão de sons e imagens no Município de São Paulo, Estado de São Paulo.",2023,CCDD,Comissão de Comunicação e Direito Digital
3777,Relator,2024-05-14,PL 1803/2023,"Altera a Lei nº 13.105, de 16 de março de 2015 (Código de Processo Civil), para estabelecer que a eleição de foro deve guardar pertinência com o domicílio das partes ou com o local da obrigação e que o ajuizamento de ação em juízo aleatório constitui prática abusiva, passível de declinação de competência de ofício.",2023,PLEN,Plenário do Senado Federal
3777,Relator Ad hoc,2024-05-14,PL 6569/2019 (Emenda-CD),"Altera a Lei nº 9.250, de 26 de dezembro de 1995, para conceder preferência às pessoas com deficiência na restituição do imposto de renda.",2019,CAE,Comissão de Assuntos Econômicos
3777,Relator,2024-05-09,PRN 2/2024,Altera o Regimento Comum do Congresso Nacional para ajustar o período de escolha do Líder da Minoria no Congresso Nacional.,2024,PLEN,Plenário do Congresso Nacional
3777,Relator,2024-04-18,PL 1803/2023,"Altera a Lei nº 13.105, de 16 de março de 2015 (Código de Processo Civil), para estabelecer que a eleição de foro deve guardar pertinência com o domicílio das partes ou com o local da obrigação e que o ajuizamento de ação em juízo aleatório constitui prática abusiva, passível de declinação de competência de ofício.",2023,CCJ,"Comissão de Constituição, Justiça e Cidadania"
3777,Relator,2024-04-10,PL 429/2024,"Dispõe sobre as custas judiciais no âmbito da Justiça Federal; cria o Fundo Especial da Justiça Federal (Fejufe); e revoga a Lei nº 9.289, de 4 de julho de 1996.",2024,CAE,Comissão de Assuntos Econômicos
3777,Relator,2024-03-26,PL 2001/2022,"Altera a Lei nº 10.741, de 1º de outubro de 2003 (Estatuto do Idoso), para regular o Serviço de Atendimento ao Consumidor (SAC) por meio telefônico ao idoso beneficiário de seguro ou plano de saúde privado.",2022,CDH,Comissão de Direitos Humanos e Legislação Participativa
3777,Relator,2024-03-12,PL 6211/2019,"Altera a Lei n° 12.304, de 2 de agosto de 2010, que autoriza o Poder Executivo a criar a empresa pública denominada Empresa Brasileira de Administração de Petróleo e Gás Natural S.A. - Pré-Sal Petróleo S.A. (PPSA) e dá outras providências, para aperfeiçoar os mecanismos de gestão econômica e financeira dessa empresa.",2019,CAE,Comissão de Assuntos Econômicos
3777,Relator,2024-03-12,PL 392/2023,Dispõe sobre a obrigatoriedade de que postos de abastecimento tenham pontos de recarga de carros elétricos.,2023,CMA,Comissão de Meio Ambiente
3777,Relator,2024-03-11,PDL 252/2023,"Aprova o ato que renova a concessão outorgada à Globo Comunicação e Participações S.A. para explorar serviço de radiodifusão de sons e imagens no Município de Recife, Estado de Pernambuco.",2023,CCDD,Comissão de Comunicação e Direito Digital
3777,Relator,2024-03-11,PDL 243/2023,"Aprova o ato que renova a concessão outorgada à Globo Comunicação e Participações S.A. para explorar serviço de radiodifusão de sons e imagens no Município de São Paulo, Estado de São Paulo.",2023,CCDD,Comissão de Comunicação e Direito Digital
3777,Relator,2024-03-11,PDL 236/2023,"Aprova o ato que renova a concessão outorgada à Globo Comunicação e Participações S.A. para explorar serviço de radiodifusão de sons e imagens no Município de Belo Horizonte, Estado de Minas Gerais.",2023,CCDD,Comissão de Comunicação e Direito Digital
3777,Relator,2024-03-08,PL 4257/2019,"Modifica a Lei nº 6.830, de 22 de setembro de 1980, para instituir a execução fiscal administrativa e a arbitragem tributária, nas hipóteses que especifica.",2019,CCJ,"Comissão de Constituição, Justiça e Cidadania"
3777,Relator,2024-02-29,PL 1105/2023,"Acrescenta artigo à Consolidação das Leis do Trabalho, facultando a redução da jornada de trabalho, desde que feita sem redução salarial.",2023,CAE,Comissão de Assuntos Econômicos
3777,Relator,2024-02-21,PL 210/2024,Dispõe sobre os princípios para uso da tecnologia de inteligência artificial no Brasil.,2024,CTIA,Comissão Temporária Interna sobre Inteligência Artificial no Brasil
3777,Relator,2024-02-21,PL 145/2024,"Altera a Lei nº 8.078, de 11 de setembro de 1990 (Código de Defesa do Consumidor), para regular o uso de ferramentas de inteligência artificial para fins publicitários e coibir a publicidade enganosa com uso dessas ferramentas.",2024,CTIA,Comissão Temporária Interna sobre Inteligência Artificial no Brasil
3777,Relator,2024-02-21,PL 146/2024,"Altera o Decreto-Lei nº 2.848, de 7 de dezembro de 1940 (Código Penal), para estabelecer causa de aumento de pena para os crimes contra a honra e hipótese qualificada para o crime de falsa identidade, para quando houver a utilização de tecnologia de inteligência artificial para alterar a imagem de pessoa ou de som humano.",2024,CTIA,Comissão Temporária Interna sobre Inteligência Artificial no Brasil
3777,Relator,2024-02-21,PL 266/2024,"Dispõe sobre o uso de sistemas de inteligência artificial para auxiliar a atuação de médicos, advogados e juízes.",2024,CTIA,Comissão Temporária Interna sobre Inteligência Artificial no Brasil
3777,Relator,2024-02-08,PL 3038/2021,"Cria o Conselho Gestor do Fundo de Aperfeiçoamento da Defensoria Pública da União de que trata o inciso XXI do caput do art. 4º da Lei Complementar nº 80, de 12 de janeiro de 1994.",2021,CCJ,"Comissão de Constituição, Justiça e Cidadania"
3777,Relator,2024-02-08,PLP 94/2023,"Institui transferências temporárias da União para os Estados e o Distrito federal, autoriza a celebração e aditamento de contratos, e declara atendida a compensação devida em razão das perdas de arrecadação do Imposto sobre Operações relativas à Circulação de Mercadorias e sobre Prestação de Serviços de Transporte Interestadual e Intermunicipal e Comunicações ocasionadas pela Lei Complementar nº 194, de 23 de junho de 2022.",2023,CCJ,"Comissão de Constituição, Justiça e Cidadania"
3777,Relator,2024-02-07,PDL 256/2023,"Aprova o ato que renova a autorização outorgada à Associação de Difusão Comunitária de Palmeirópolis para executar serviço de radiodifusão comunitária no Município de Palmeirópolis, Estado do Tocantins.",2023,CCDD,Comissão de Comunicação e Direito Digital
3777,Relator,2023-11-23,MSF 81/2023,"Submete à apreciação do Senado Federal, nos termos do art. 52, inciso III, alínea ""f"", da Constituição, combinado com o art. 6º da Lei no 12.529, de 30 de novembro de 2011, o nome do Senhor JOSÉ LEVI MELLO DO AMARAL JÚNIOR, para exercer o cargo de Conselheiro do Conselho Administrativo de Defesa Econômica - CADE, com mandato de quatro anos, na vaga decorrente do término do mandato de Luiz Augusto Azevedo de Almeida Hoffmann.",2023,CAE,Comissão de Assuntos Econômicos
3777,Relator,2023-11-17,PL 2721/2021 (Substitutivo-CD),"Identifica, nos termos do § 11 do art. 37 da Constituição Federal, as parcelas não sujeitas ao limite remuneratório previsto no inciso XI do caput e nos §§ 9º e 12 do art. 37 da Constituição Federal; e dá outras providências.",2021,CCJ,"Comissão de Constituição, Justiça e Cidadania"
3777,Relator,2023-11-14,PL 2788/2019,"Institui a Política Nacional de Direitos das Populações Atingidas por Barragens (PNAB); discrimina os direitos das Populações Atingidas por Barragens (PAB); prevê o Programa de Direitos das Populações Atingidas por Barragens (PDPAB); estabelece regras de responsabilidade social do empreendedor; revoga dispositivos da Consolidação das Leis do Trabalho (CLT), aprovada pelo Decreto-Lei nº 5.452, de 1º de maio de 1943; e dá outras providências.",2019,PLEN,Plenário do Senado Federal
3777,Relator,2023-11-08,PL 1994/2023,"Dispõe sobre a comunicação audiovisual sob demanda, a Contribuição para o Desenvolvimento da Indústria Cinematográfica Nacional – CONDECINE e dá outras providências.",2023,CAE,Comissão de Assuntos Econômicos
3777,Relator,2023-11-08,PL 2331/2022,"Altera a Medida Provisória nº 2.228-1, de 6 de setembro de 2001, e a Lei nº 12.485, de 12 de setembro de 2011, para incluir a oferta de serviços de vídeo sob demanda ao público brasileiro como fato gerador da Contribuição para o Desenvolvimento da Indústria Cinematográfica Nacional – CONDECINE.",2022,CAE,Comissão de Assuntos Econômicos
3777,Relator,2023-11-08,OFS 25/2023,"Submete à apreciação do Senado Federal, nos termos do art. 103-B, inciso III, da Constituição Federal, a indicação do Senhor Guilherme Augusto Caputo Bastos, para compor o Conselho Nacional de Justiça - CNJ, na vaga destinada ao Ministro do Tribunal Superior do Trabalho.",2023,CCJ,"Comissão de Constituição, Justiça e Cidadania"
3777,Relator Ad hoc,2023-11-07,PLC 88/2018,Estabelece diretrizes para a valorização dos profissionais da educação escolar básica pública.,2018,CE,Comissão de Educação e Cultura
3777,Relator,2023-10-25,PL 5008/2023,"Dispõe sobre a produção, importação, exportação, comercialização, controle, fiscalização e propaganda dos cigarros eletrônicos, e dá outras providências.",2023,CAE,Comissão de Assuntos Econômicos
3777,Relator,2023-10-19,PL 7/2023,"Altera o Decreto-Lei nº 236, de 28 de fevereiro de 1967.",2023,CCDD,Comissão de Comunicação e Direito Digital
