codigoParlamentar,TipoRelator,DataDesignacao,Identificacao,Ementa,AnoMateria,SiglaComissao,NomeComissao
5718,Relator,2024-03-14,PL 5881/2023,"Altera a Lei nº 14.232, de 28 de outubro de 2021, para determinar a publicação periódica de relatórios do Registro Unificado de Dados e Informações sobre Violência contra as Mulheres.",2023,CSP,Comissão de Segurança Pública
5718,Relator,2024-03-12,PL 6049/2023,"Estabelece normas gerais sobre o Fundo Amazônia e altera a Lei n°12.813, de 16 de maio de 2013, que dispõe sobre o conflito de interesses no exercício de cargo ou emprego do Poder Executivo federal e impedimentos posteriores ao exercício do cargo ou emprego, para acrescentar novo caso de conflito de interesse.",2023,CMA,Comissão de Meio Ambiente
5718,Relator,2023-12-21,PL 2049/2023,"Altera o art. 161 do Decreto Lei nº 2.848 de 07 de dezembro de 1940, e o art. 1º da Lei n° 8.072. de 25 de julho de 1990, para prever esbulho possessório com fins políticos e enquadrá-lo no rol dos crimes hediondos, e dá outras providências.",2023,CSP,Comissão de Segurança Pública
5718,Relator,2023-12-21,PL 2009/2023,Permite ao titular da propriedade privada invadida ou esbulhada e ao detentor da posse direta requisitar auxílio policial para fazer cessar a turbação ou reintegrar o imóvel invadido.,2023,CSP,Comissão de Segurança Pública
5718,Relator,2023-11-22,PL 510/2021,"Altera a Lei n° 11.952, de 25 de junho de 2009, que dispõe sobre a regularização fundiária das ocupações incidentes em terras situadas em áreas da União; a Lei n° 8.666, de 21 de junho de 1993, que institui normas para licitações e contratos da administração pública; a Lei nº 6.015, de 31 de dezembro de 1973, que dispõe sobre os registros públicos; a Lei nº 13.240, de 30 de dezembro de 2015, que dispõe sobre a administração, a alienação, a transferência de gestão de imóveis da União e seu uso para a constituição de fundos; e a Lei nº 10.304, de 5 de novembro de 2001, que Transfere ao domínio dos Estados de Roraima e do Amapá terras pertencentes à União, a fim de ampliar o alcance da regularização fundiária e dar outras providências.",2021,CMA,Comissão de Meio Ambiente
5718,Relator,2023-11-22,PL 2633/2020,"Altera as Leis nºs 11.952, de 25 de junho de 2009, 14.133, de 1º de abril de 2021 (Lei de Licitações e Contratos Administrativos), e 6.015, de 31 de dezembro de 1973, a fim de ampliar o alcance da regularização fundiária; e dá outras providências.",2020,CMA,Comissão de Meio Ambiente
5718,Relator,2023-10-17,PL 4154/2023,"Altera o Decreto-Lei nº 167, de 14 de fevereiro de 1967, que dispõe sobre títulos de crédito rural, para instituir a nulidade do aval dado em cédula de crédito rural.",2023,CRA,Comissão de Agricultura e Reforma Agrária
5718,Relator,2023-09-11,PL 3649/2023,Dispõe sobre a estadualização do Parque Nacional da Chapada dos Guimarães.,2023,CMA,Comissão de Meio Ambiente
5718,Relator,2023-08-10,PL 1669/2023,"Altera a Lei nº 8.069, de 13 de julho de 1990, para proibir visitas em que possam ocorrer intimidades corporais com adolescentes privados de liberdade.",2023,CSP,Comissão de Segurança Pública
5718,Relator,2023-06-21,PL 325/2022,"Altera a Lei nº 10.826, de 22 de dezembro de 2003, para prever sanções administrativas, civis e penais para entidades de tiro desportivo e caça e seus dirigentes ou sócios, quando seus filiados, com seu conhecimento, adquirirem ou desviarem armas e munições para organizações criminosas.",2022,CSP,Comissão de Segurança Pública
5718,Relator,2023-06-15,PLP 157/2021,"Autoriza o Poder Executivo a criar a Região Administrativa Integrada de Desenvolvimento Sustentável da Costa Verde/RJ e o Programa Especial de Desenvolvimento do Polo Turístico, integrado pelos municípios de Angra dos Reis, Paraty e Mangaratiba.",2021,CMA,Comissão de Meio Ambiente
5718,Relator,2023-06-15,PL 698/2023,"Altera os limites e a área do Parque Nacional de Aparados da Serra, criado pelo Decreto nº 47.446, de 17 de dezembro de 1959.",2023,CMA,Comissão de Meio Ambiente
5718,Relator,2023-06-15,PL 4316/2021,"Altera a Lei nº 7.802, de 11 de julho de 1989, que dispõe sobre a pesquisa, a experimentação, a produção, a embalagem e rotulagem, o transporte, o armazenamento, a comercialização, a propaganda comercial, a utilização, a importação, a exportação, o destino final dos resíduos e embalagens, o registro, a classificação, o controle, a inspeção e a fiscalização de agrotóxicos, para dispensar de registro a importação de agrotóxicos do Mercado Comum do Sul – MERCOSUL nas condições que estabelece.",2021,CMA,Comissão de Meio Ambiente
5718,Relator,2023-06-06,PL 520/2022,"Altera a Lei nº 4.947, de 6 de abril de 1966, o Decreto-Lei nº 2.848, de 7 de dezembro de 1940, (Código Penal), e a Lei nº 6.739, de 5 de dezembro de 1979, para dispor sobre o crime de invasão de terras públicas a partir de fraude e falsificação de títulos de propriedade.",2022,CRA,Comissão de Agricultura e Reforma Agrária
5718,Relator,2023-05-25,RQN 1/2023,"Requer a criação de Comissão Parlamentar Mista de Inquérito, composta de 15 (quinze) Senadores e 15 (quinze) deputados, e igual número de suplentes, para, no prazo de 180 (cento e oitenta) dias, investigar os atos de ação e omissão ocorridos no dia 08 de janeiro de 2023 nas Sedes dos Três Poderes da República, em Brasília, nos termos dos arts. 58 da Constituição Federal e 21 do Regimento Comum do Congresso Nacional.",2023,CPMI - 8 de Janeiro,Comissão Parlamentar Mista de Inquérito dos Atos de 8 de Janeiro de 2023
5718,Relator,2023-05-23,PL 4760/2020,Dispõe sobre medidas emergenciais para a regularização da oferta de alimentos da dieta básica da população brasileira e dá outras providências.,2020,CRA,Comissão de Agricultura e Reforma Agrária
5718,Relator Ad hoc,2023-05-17,PL 3749/2020,"Altera a Lei nº 12.764, de 27 de dezembro de 2012, que “institui a Política Nacional de Proteção dos Direitos da Pessoa com Transtorno do Espectro Autista; e altera o § 3º do art. 98 da Lei nº 8.112, de 11 de dezembro de 1990”, para especificar como permanente o caráter do laudo que diagnostique o transtorno do espectro autista.",2020,CDH,Comissão de Direitos Humanos e Legislação Participativa
5718,Relator,2023-05-16,PL 2327/2022,"Altera o art. 15 da Lei nº 9.605, de 12 de fevereiro de 1998, para agravar a pena na hipótese de infrações cometidas em terras indígenas.",2022,CMA,Comissão de Meio Ambiente
5718,Relator,2023-05-16,PL 1053/2020,Institui Contribuição de Intervenção no Domínio Econômico incidente sobre a importação e comercialização de agrotóxicos e afins (Cide-Agrotóxico).,2020,CMA,Comissão de Meio Ambiente
5718,Relator,2023-05-16,PL 1372/2023,"Revoga a Lei nº 12.318, de 26 de agosto de 2010, que dispõe sobre a alienação parental.",2023,CDH,Comissão de Direitos Humanos e Legislação Participativa
5718,Relator,2023-05-15,PL 2507/2022,"Acrescenta o inciso VII-A no § 2º do art. 121 do Decreto-Lei nº 2.848, de 7 de dezembro de 1940 – Código Penal, para qualificar o homicídio praticado contra fiscais ambientais, bem como contra ativistas de proteção e preservação do meio ambiente ou de povos indígenas.",2022,CDH,Comissão de Direitos Humanos e Legislação Participativa
5718,Relator,2023-05-15,PL 1364/2022,"Altera as Leis nº 11.340, de 7 de agosto de 2006, nº 10.741, de 1º de outubro de 2003 e nº 14.344, de 24 de maio de 2022, para dispor sobre o registro de boletim de ocorrência e a solicitação de medida protetiva de urgência para criança, adolescente, mulher ou pessoa idosa por meio de sítio eletrônico na internet ou de telefone.",2022,CDH,Comissão de Direitos Humanos e Legislação Participativa
5718,Relator,2023-05-09,PL 1548/2023,Dá nova redação ao crime de feminicídio e o considera como crime autônomo.,2023,CSP,Comissão de Segurança Pública
5718,Relator,2023-05-03,PL 1209/2023,"Altera o art. 4º da Lei nº 10.406, de 10 de janeiro de 2002 – Código Civil, para dispor sobre a anulabilidade de negócios jurídicos celebrados por indígenas com pessoas alheias aos seus povos que se aproveitem dos costumes ou do desconhecimento das leis para se arrogarem a propriedade, a posse ou o uso de terras ou do patrimônio indígenas.",2023,CDH,Comissão de Direitos Humanos e Legislação Participativa
5718,Relator,2023-05-03,PL 522/2023,"Altera a Lei nº 12.288, de 20 de julho de 2010, que institui o Estatuto da Igualdade Racial, para inserir capítulo sobre o direito à propriedade definitiva das terras ocupadas pelos povos remanescentes das comunidades quilombolas.",2023,CDH,Comissão de Direitos Humanos e Legislação Participativa
5718,Relator,2023-05-03,PL 219/2022,"Altera a Lei nº 8.072, de 25 de julho de 1990, para tornar crimes hediondos os crimes previstos no Estatuto da Criança e do Adolescente que tratam de fotografia, vídeo ou outro registro que contenha cena de sexo explícito ou pornográfica envolvendo criança ou adolescente, bem como altera a Lei nº 8.069, de 13 de julho de 1990, para aumentar a pena prevista para o crime de posse de fotografia, vídeo ou outro registro que contenha cena de sexo explícito ou pornográfica envolvendo criança ou adolescente.",2022,CDH,Comissão de Direitos Humanos e Legislação Participativa
5718,Relator,2023-05-03,PL 344/2023,"Altera os arts. 54 e 55 da Lei nº 9.605, de 12 de fevereiro de 1998, para qualificar os crimes de poluição e de exploração mineral ilegal, quando as condutas são praticadas em terras tradicionalmente ocupadas por povos indígenas.",2023,CMA,Comissão de Meio Ambiente
5718,Relator,2023-05-03,PLS 376/2017,"Dispõe sobre incentivos fiscais e econômicos aos produtores rurais da Amazônia Legal para a preservação, conservação e recuperação de cobertura florestal.",2017,CMA,Comissão de Meio Ambiente
5718,Relator Ad hoc,2023-05-03,SUG 4/2022,"""Pune agente público ou privado que obrigar o cidadão a ser vacinado contra a sua vontade"".",2022,CDH,Comissão de Direitos Humanos e Legislação Participativa
5718,Relator Ad hoc,2023-04-26,SUG 24/2021,"""Propõe a responsabilização penal de quem obrigar a vacinar COVID-19, caso haja problemas e/ou mortes"".",2021,CDH,Comissão de Direitos Humanos e Legislação Participativa
5718,Relator Ad hoc,2023-04-26,SUG 4/2021,Visa o rompimento com o Tratado de não proliferação de armas nucleares (TNP),2021,CDH,Comissão de Direitos Humanos e Legislação Participativa
5718,Relator Ad hoc,2023-04-26,SUG 5/2020,Posiciona-se contra o fim da estabilidade do serviço público,2020,CDH,Comissão de Direitos Humanos e Legislação Participativa
5718,Relator,2023-04-20,PLN 5/2023,"Abre ao Orçamento da Seguridade Social da União, em favor do Ministério da Saúde, crédito especial no valor de R$ 7.300.000.000,00, para o fim que especifica.",2023,CMO,"Comissão Mista de Planos, Orçamentos Públicos e Fiscalização"
5718,Relator,2023-04-19,PL 5064/2020,"Altera a Lei nº 4.591, de 16 de dezembro de 1964, que “dispõe sobre o condomínio em edificações e as incorporações imobiliárias”, para dispor sobre o dever de síndicos e administradores de condomínios de comunicar às autoridades competentes os casos de violência contra mulheres, crianças, adolescentes, idosos e portadores de deficiência.",2020,CDH,Comissão de Direitos Humanos e Legislação Participativa
5718,Relator,2023-04-19,SUG 3/2023,Requer a criminalização da misoginia.,2023,CDH,Comissão de Direitos Humanos e Legislação Participativa
5718,Relator,2023-03-27,PL 2757/2019,"Altera o art. 17 da Lei nº 11.340, de 7 de agosto de 2006, para impossibilitar a aplicação de penas alternativas para os crimes praticados com violência ou grave ameaça em contexto de violência doméstica e familiar contra a mulher.",2019,CCJ,"Comissão de Constituição, Justiça e Cidadania"
5718,Relator,2023-03-22,PLS 271/2017,"Revoga o art. 484-A da Consolidação das Leis do Trabalho (CLT), aprovada pelo Decreto-Lei nº 5.452, de 1º de maio de 1943, para extirpar do ordenamento jurídico brasileiro a possibilidade de extinção do contrato de trabalho por acordo entre empregado e empregador.",2017,CDH,Comissão de Direitos Humanos e Legislação Participativa
5718,Relator,2023-03-22,PL 4606/2019,"Veda qualquer alteração, adaptação, edição, supressão ou adição nos textos da Bíblia Sagrada, para manter a inviolabilidade de seus capítulos e versículos, e garante a pregação do seu conteúdo em todo o território nacional.",2019,CDH,Comissão de Direitos Humanos e Legislação Participativa
5718,Relator,2023-03-21,PEC 176/2019,"Altera o § 1º art. 10 do Ato das Disposições Constitucionais e Transitórias, para dispor sobre a licença-maternidade compartilhada.",2019,CCJ,"Comissão de Constituição, Justiça e Cidadania"
5718,Relator,2023-03-21,PL 3257/2019,"Altera a Lei nº 11.340, de 7 de agosto de 2006, para incluir como causa de afastamento do agressor do lar a violência psicológica, moral ou patrimonial contra a mulher.",2019,CCJ,"Comissão de Constituição, Justiça e Cidadania"
5718,Relator,2023-03-17,PL 2250/2021,"Altera o art. 2º da Lei nº 13.260, de 16 de março de 2016, para caracterizar a invasão de terras, quando praticada com a finalidade de provocar terror social ou generalizado, expondo a perigo pessoa, patrimônio, a paz pública ou a incolumidade pública, como ato de terrorismo.",2021,CSP,Comissão de Segurança Pública
