codigoParlamentar,TipoRelator,DataDesignacao,Identificacao,Ementa,AnoMateria,SiglaComissao,NomeComissao
22,Relator,2024-07-03,MSF 20/2024,"Submete à apreciação do Senado Federal, de conformidade com o art. 52, inciso IV, da Constituição, e com o art. 39, combinado com o art. 41 da Lei nº 11.440, de 2006, o nome da Senhora EUGÊNIA BARTHELMESS, Ministra de Primeira Classe do Quadro Especial da Carreira de Diplomata do Ministério das Relações Exteriores, para exercer o cargo de Embaixadora do Brasil na República de Angola.",2024,CRE,Comissão de Relações Exteriores e Defesa Nacional
22,Relator Ad hoc,2024-07-03,PRS 56/2023,Institui a Frente Parlamentar pelo Desenvolvimento da Indústria Aeroespacial Brasileira.,2023,CRE,Comissão de Relações Exteriores e Defesa Nacional
22,Relator Ad hoc,2024-06-25,PL 1070/2023,"Altera o Código Civil, para permitir às associações e cooperativas de transportadores de pessoas ou cargas a criação de fundo próprio para prevenção e reparação de danos a seus veículos em razão de algum infortúnio, bem como cancela os autos de infração emitidos, até a data de publicação desta Lei, pela Superintendência de Seguros Privados – SUSEP contra as associações de caminhoneiros e cooperativas de transportadores de pessoas ou cargas.",2023,CI,Comissão de Serviços de Infraestrutura
22,Relator,2024-06-12,PL 4987/2019,"Denomina a cidade de Florianópolis, no Estado de Santa Catarina, Capital Nacional das Startups.",2019,CE,Comissão de Educação e Cultura
22,Relator,2024-06-12,MSF 13/2024,"Submete à apreciação do Senado Federal, nos termos do art. 52, incisos V, VII e VIII, da Constituição, autorização para contratação de operação de crédito externo contratação de operação de crédito externo, com a garantia da República Federativa do Brasil no valor de US$ 105,041,704.00 (cento e cinco milhões, quarenta e um mil e setecentos e quatro dólares dos Estados Unidos da América), de principal, entre o Município de Santos, Estado de São Paulo, e a Corporação Andina de Fomento - CAF, cujos recursos destinam-se ao financiamento do Programa de Macrodrenagem, Acessibilidade, Inovação e Sustentabilidade de Santos - Santos Mais.",2024,CAE,Comissão de Assuntos Econômicos
22,Relator Ad hoc,2024-06-06,MSF 11/2024,"Submete à apreciação do Senado Federal, de conformidade com o art. 52, inciso IV, da Constituição, e com o art. 39, combinado com o art. 41 da Lei nº 11.440, de 2006, o nome do Senhor RODRIGO DE AZEREDO SANTOS, Ministro de Primeira Classe da Carreira de Diplomata do Ministério das Relações Exteriores, para exercer o cargo de Embaixador do Brasil no Reino da Noruega e, cumulativamente, na Islândia.",2024,CRE,Comissão de Relações Exteriores e Defesa Nacional
22,Relator Ad hoc,2024-05-22,PL 2954/2023,"Altera a Lei nº 12.608, de 10 de abril de 2012, para aprimorar a capacitação de agentes públicos e privados em Proteção e Defesa Civil.",2023,CCJ,"Comissão de Constituição, Justiça e Cidadania"
22,Relator,2024-05-22,PL 3220/2019,"Altera o parágrafo único do art. 73 da Lei nº 9.472, de 16 de julho de 1997, e dá outras providências sobre o direito de utilização e compartilhamento de postes, dutos, condutos ou servidão pelas prestadoras de serviços de telecomunicações de interesse coletivo, concessionárias de energia elétrica ou prestadoras de outros serviços de interesse público.",2019,CCDD,Comissão de Comunicação e Direito Digital
22,Relator,2024-05-16,PL 1415/2024,"Concede ao município de Joinville, no estado de Santa Catarina, o título de Capital Nacional da Cultura e da Arte.",2024,CE,Comissão de Educação e Cultura
22,Relator,2024-05-14,PL 4632/2019,"Denomina Willy Alfredo Zumblick o túnel construído no morro do Formigão, localizado entre o Km 337,8 e o Km 338,7 da rodovia BR-101, no Município de Tubarão, no Estado de Santa Catarina.",2019,CI,Comissão de Serviços de Infraestrutura
22,Relator Ad hoc,2024-05-14,PL 4804/2019,"Altera a Lei nº 10.048, de 8 de novembro de 2000, para garantir assentos especiais no transporte público para pessoas com deficiência e com obesidade mórbida.",2019,CI,Comissão de Serviços de Infraestrutura
