codigoParlamentar,TipoRelator,DataDesignacao,Identificacao,Ementa,AnoMateria,SiglaComissao,NomeComissao
5953,Relator,2024-07-09,PL 2349/2024,Autoriza o Conselho Federal de Medicina Veterinária (CFMV) a criar uma Caixa de Assistência dos Profissionais de Medicina Veterinária e de Zootecnia.,2024,CAS,Comissão de Assuntos Sociais
5953,Relator,2024-07-09,PL 1171/2020,"Altera a Lei nº 10.836, de 9 de janeiro de 2004, para dispor sobre pagamento em dobro a ser realizado no mês de dezembro, e altera a Lei nº 8.742, de 7 de dezembro de 1993, para dispor sobre o abono natalino.",2020,CAS,Comissão de Assuntos Sociais
5953,Relator,2024-07-09,PL 1035/2024,"Estabelece a política de valorização permanente dos benefícios da Previdência Social, pela alteração do caput do art. 41-A da Lei nº 8.213, de 24 de julho de 1991.",2024,CAS,Comissão de Assuntos Sociais
5953,Relator,2024-07-09,PL 5332/2023,"Altera as Leis nºs 8.213, de 24 de julho de 1991, e 8.742, de 7 de dezembro de 1993, para dispensar o segurado do Regime Geral de Previdência Social e o beneficiário do benefício de prestação continuada da reavaliação periódica das condições da concessão do benefício quando a incapacidade for permanente, irreversível ou irrecuperável e para determinar a participação de especialista em infectologia na perícia médica de pessoa com síndrome da imunodeficiência adquirida.",2023,CAS,Comissão de Assuntos Sociais
5953,Relator,2024-07-04,MSF 16/2024,"Solicita, nos termos do art. 52, incisos V, VII e VIII, da Constituição, a autorização para contratação de operação de crédito externo, com a garantia da República Federativa do Brasil, no valor de  US$ 56,000,000.00, de principal, entre o Governo do Estado do Espírito Santo e a Corporação Andina de Fomento - CAF, cujos recursos destinam-se ao financiamento do Projeto Saúde para o Norte do Espírito Santo, de conformidade com a inclusa Exposição de Motivos do Senhor Ministro de Estado da Fazenda.",2024,CAE,Comissão de Assuntos Econômicos
5953,Relator,2024-05-23,PDL 355/2023,"Aprova o ato que outorga permissão à Fundação Cultural de Conselheiro Pena para explorar serviço de radiodifusão sonora em frequência modulada no Município de Resplendor, Estado de Minas Gerais.",2023,CCDD,Comissão de Comunicação e Direito Digital
5953,Relator,2024-05-23,PDL 248/2023,"Aprova o ato que outorga permissão à Fundação Cultural Francisco e Clara de Assis para explorar serviço de radiodifusão sonora em frequência modulada no Município de Nova Venécia, Estado do Espírito Santo.",2023,CCDD,Comissão de Comunicação e Direito Digital
5953,Relator,2024-05-22,PL 5721/2023,"Dispõe sobre a produção, o uso e a divulgação de conteúdo sintético inautêntico e tipifica o uso dessas técnicas para criação, uso e divulgação, sem o consentimento da vítima, de cena de sexo, nudez ou pornografia.",2023,CCDD,Comissão de Comunicação e Direito Digital
5953,Relator,2024-05-22,PL 5722/2023,"Altera o art. 216-B do Decreto-Lei nº 2.848, de 7 de dezembro de 1940 – Código Penal, para aumentar a pena de quem utiliza inteligência artificial para montagem em fotografia, vídeo, áudio ou qualquer outro registro, com o fim de incluir pessoa em cena de nudez ou ato sexual ou libidinoso de caráter íntimo",2023,CCDD,Comissão de Comunicação e Direito Digital
5953,Relator Ad hoc,2024-05-22,PL 3234/2021,"Altera o art. 80 da Lei nº 6.015, de 31 de dezembro de 1973 (Lei de Registros Públicos), para regulamentar os procedimentos que devem ser cumpridos quanto a elaboração do assento de óbito, nos casos em que o falecido deixou filho menor ou incapaz, acrescida da comunicação da orfandade bilateral acaso constatada pelo oficial de registro civil aos órgãos públicos de assistência social e de proteção da infância e da juventude.",2021,CAS,Comissão de Assuntos Sociais
5953,Relator,2024-05-20,PL 1402/2023,"Altera a Lei nª 12.850, de 2 de agosto de 2013, para estabelecer o inventário das ferramentas tecnológicas de inteligência adquiridas e utilizadas pelos órgãos estatais de inteligência e vigilância",2023,CDD,Comissão de Defesa da Democracia
5953,Relator,2024-05-14,PLN 7/2024,"Abre aos Orçamentos Fiscal e da Seguridade Social da União, em favor da Presidência da República e dos Ministérios da Fazenda e da Educação, crédito especial no valor de R$ 19.063.245,00, para os fins que especifica.",2024,CMO,"Comissão Mista de Planos, Orçamentos Públicos e Fiscalização"
5953,Relator Revisor,2024-05-13,MPV 1218/2024,"Abre crédito extraordinário, em favor de diversos órgãos do Poder Executivo, de Encargos Financeiros da União, e de Operações Oficiais de Crédito, no valor de R$ 12.179.438.240,00, para os fins que especifica.",2024,CMO,"Comissão Mista de Planos, Orçamentos Públicos e Fiscalização"
5953,Relator,2024-05-08,MSF 9/2024,"Submete à apreciação do Senado Federal, nos termos do art. 52, incisos V, VII e VIII, da Constituição, autorização para contratação de operação de crédito externo com a garantia da República Federativa do Brasil no valor de US$ 86,100,000.00 (oitenta e seis milhões e cem mil dólares dos Estados Unidos da América), de principal, entre o Governo do Estado do Espírito Santo e o Banco Internacional para a Reconstrução e Desenvolvimento - BIRD, cujos recursos destinam-se ao financiamento do Programa de Gestão Integrada dos Recursos Hídricos e Revitalização de Bacias Hidrográficas do Espírito Santo.",2024,CAE,Comissão de Assuntos Econômicos
5953,Relator Ad hoc,2024-05-08,PL 3020/2020,"Altera a Lei nº 9.605, de 12 de fevereiro de 1998, que dispõe sobre as sanções penais e administrativas derivadas de condutas e atividades lesivas ao meio ambiente, e dá outras providências, para aumentar as penas aplicadas aos crimes ambientais praticados na vigência de reconhecimento de estado de emergência ou de calamidade pública.",2020,CMA,Comissão de Meio Ambiente
5953,Relator,2024-05-06,PLS 175/2017,"Revoga o § 12 do art. 60 da Lei nº 8.213, de 24 de julho de 1991, que dispõe sobre os Planos de Benefícios da Previdência Social e dá outras providências.",2017,CAS,Comissão de Assuntos Sociais
5953,Relator,2024-05-02,PL 6205/2023,"Denomina Rodovia Janaína Borges de Oliveira o trecho da rodovia BR-116 entre os bairros Ruy Coelho Gonçalves e Jardim Santa Rita, na cidade de Guaíba, Estado do Rio Grande do Sul.",2023,CI,Comissão de Serviços de Infraestrutura
