codigoParlamentar,TipoRelator,DataDesignacao,Identificacao,Ementa,AnoMateria,SiglaComissao,NomeComissao
5917,Relator,2024-07-02,MSF 15/2024,"Solicita, nos termos do art. 52, incisos V, VII e VIII, da Constituição, a autorização para contratação de operação de crédito externo, com a garantia da República Federativa do Brasil, no valor de € 58.593.750,00 (cinquenta e oito milhões, quinhentos e noventa e três mil e setecentos e cinquenta euros), de principal, entre o Município de Rio Grande, Estado do Rio Grande do Sul, e a Agência Francesa de Desenvolvimento - AFD, cujos recursos destinam-se ao financiamento do Programa de Desenvolvimento Municipal Integrado e Sustentável da Cidade de Rio Grande - RIO GRANDE 2030, de conformidade com a inclusa Exposição de Motivos do Senhor Ministro de Estado da Fazenda.",2024,CAE,Comissão de Assuntos Econômicos
5917,Relator,2024-06-28,PL 1802/2024,"Altera a Lei nº 9.279, de 14 de maio de 1996 (Lei de Propriedade Industrial), para permitir que produtos apreendidos em virtude de falsificação de marca, independentemente da descaracterização desta, sejam doados para amenizar os efeitos de desastre, calamidade ou grave perturbação da ordem pública.",2024,CCT,"Comissão de Ciência, Tecnologia, Inovação e Informática"
5917,Relator Ad hoc,2024-04-24,PL 6120/2019,"Estabelece o Inventário Nacional de Substâncias Químicas, a avaliação e o controle do risco das substâncias químicas utilizadas, produzidas ou importadas, no território nacional, com o objetivo de minimizar os impactos adversos à saúde e ao meio ambiente; e dá outras providências.",2019,CCT,"Comissão de Ciência, Tecnologia, Inovação e Informática"
5917,Relator,2024-04-24,PL 2503/2021,"Altera a Lei nº 8.112, de 11 de dezembro de 1990, para conceder garantias aos servidores ocupantes, exclusivamente, de cargo em comissão.",2021,CAE,Comissão de Assuntos Econômicos
5917,Relator,2024-04-19,PL 392/2020,"Altera a Lei nº 12.431, de 24 de junho de 2011, para estender os benefícios concedidos a debêntures de infraestrutura e pesquisa, desenvolvimento e inovação, a debêntures objeto de distribuição pública para financiamento de projetos de investimentos sustentáveis.",2020,CAE,Comissão de Assuntos Econômicos
5917,Relator,2024-04-19,PL 5723/2023,"Institui a Política Nacional de Economia Circular, o Sistema Nacional de Arranjos Produtivos Locais de Recuperação de Valor da Cadeia Produtiva de Produtos e Materiais Derivados de Resíduos ou Pós-Consumo, e o Programa de Incentivo à Economia Circular em âmbito federal.",2023,CAE,Comissão de Assuntos Econômicos
5917,Relator,2024-04-19,PL 876/2020,"Autoriza a realização a distância, utilizando-se de meios ou recursos tecnológicos, de reuniões de Conselhos Fiscais e de Administração de empresas públicas ou privadas, bem como, os conselhos públicos criados por Lei.",2020,CAE,Comissão de Assuntos Econômicos
5917,Relator,2024-04-17,PL 1086/2024,"Altera a Lei nº 14.133, de 1º de abril de 2021, a Lei de Licitações e Contratos Administrativos, para estabelecer margem de preferência para os modelos movidos a biocombustíveis ou a hidrogênio nas compras e locações de veículos automotores, bem como para os biocombustíveis e o hidrogênio verde nas compras de combustíveis para o abastecimento de veículos automotores.",2024,CAE,Comissão de Assuntos Econômicos
5917,Relator,2024-03-05,PL 138/2024,Institui o dia 12 de setembro como o Dia Nacional do Biofísico.,2024,CCT,"Comissão de Ciência, Tecnologia, Inovação e Informática"
5917,Relator,2024-02-27,PL 6139/2023,"Altera a Lei nº 12.712 de 30 de agosto de 2012, para estabelecer o sistema brasileiro de crédito oficial à exportação.",2023,CRE,Comissão de Relações Exteriores e Defesa Nacional
5917,Relator,2023-12-19,PL 2308/2023,"Institui o marco legal do hidrogênio de baixa emissão de carbono; dispõe sobre a Política Nacional do Hidrogênio de Baixa Emissão de Carbono; institui incentivos para a indústria do hidrogênio de baixa emissão de carbono; institui o Regime Especial de Incentivos para a Produção de Hidrogênio de Baixa Emissão de Carbono (Rehidro); cria o Programa de Desenvolvimento do Hidrogênio de Baixa Emissão de Carbono (PHBC); e altera as Leis nºs 9.427, de 26 de dezembro de 1996, e 9.478, de 6 de agosto de 1997.",2023,CEHV,Comissão Especial para Debate de Políticas Públicas sobre Hidrogênio Verde
5917,Relator,2023-12-12,PL 3650/2023,"Institui o Mês Nacional das Olimpíadas Científicas e do Conhecimento a ser celebrado, anualmente, no mês de julho.",2023,CCT,"Comissão de Ciência, Tecnologia, Inovação e Informática"
5917,Relator,2023-12-12,PL 4364/2023,"Altera a Lei nº 12.187, de 29 de dezembro de 2009 (Política Nacional sobre Mudança do Clima), para incluir regras de consolidação e fomento à adoção de medidas para mitigação e para remoção de gases de efeito estufa.",2023,CCT,"Comissão de Ciência, Tecnologia, Inovação e Informática"
5917,Relator,2023-12-12,PRS 88/2023,Institui a Frente Parlamentar Mista em favor das Olimpíadas Científicas e do Conhecimento.,2023,CCT,"Comissão de Ciência, Tecnologia, Inovação e Informática"
5917,Relator,2023-12-05,MSF 100/2023,"Solicita, nos termos do art. 52, incisos V, VII e VIII, da Constituição, autorização para a contratação de operação de crédito externo, com a garantia da República Federativa do Brasil no valor de US$ 50,000,000.00 (cinquenta milhões de dólares dos Estados Unidos da América), entre o Governo do Estado de Piauí e o Banco Internacional para a Reconstrução e desenvolvimento - BIRD.",2023,CAE,Comissão de Assuntos Econômicos
5917,Relator,2023-11-01,MSF 67/2023,"Solicita, nos termos do art. 52, incisos V, VII e VIII, da Constituição, a autorização para a contratação de operação de crédito externo,  com a garantia da República Federativa do Brasil no valor de US$ 100,000,000.00 (cem milhões de dólares dos Estados Unidos da América), entre o Governo do Estado do Piauí e o Banco Interamericano de Desenvolvimento - BID, cujos recursos destinam-se ao financiamento parcial do “Projeto Integrado de Segurança Hídrica, Sustentabilidade Ambiental e Desenvolvimento Socioprodutivo da Bacia dos rios Piauí e Canindé Estado do Piauí - Piauí Sustentável e Inclusivo (PSI)”.",2023,CAE,Comissão de Assuntos Econômicos
5917,Relator,2023-11-01,MSF 66/2023,"Solicita, nos termos do art. 52, incisos V, VII e VIII, da Constituição, a autorização para a contratação de operação de crédito externo, com a garantia da República Federativa do Brasil no valor de até US$ 18,000,000.00 (dezoito milhões de dólares dos Estados Unidos da América), de principal, entre o Governo do Estado do Piauí e o Fundo Internacional para o Desenvolvimento da Agricultura – FIDA, para o financiamento do “Projeto Integrado de Segurança Hídrica, Sustentabilidade Ambiental e Desenvolvimento Socioprodutivo da Bacia dos Rios Piauí e Canindé Estado do Piauí - Piauí Sustentável e Inclusivo - PSI”.",2023,CAE,Comissão de Assuntos Econômicos
5917,Relator,2023-10-25,MSF 69/2023,"Solicita, nos termos do art. 52, incisos V, VII e VIII, da Constituição, a autorização para a contratação de operação de crédito externo, com a garantia da República Federativa do Brasil no valor de até US$ 500,000,000.00 (quinhentos milhões de dólares dos Estados Unidos da América), entre o Banco Nacional de Desenvolvimento Econômico e Social - BNDES, e o New Development Bank (NDB), cujos recursos serão destinados ao “Programa BNDES Clima - Financiamento Sustentável para Mitigação e Adaptação à Mudança Global do Clima no Brasil (BNDES Clima)”.",2023,CAE,Comissão de Assuntos Econômicos
5917,Relator,2023-10-17,PLP 23/2019,"Altera a Lei Complementar nº 123, de 14 de dezembro de 2006 a fim de incentivar a pesquisa e desenvolvimento da Nanotecnologia no Brasil.",2019,CAE,Comissão de Assuntos Econômicos
5917,Relator,2023-09-27,MSF 65/2023,"Solicita, nos termos do art. 52, incisos V, VII e VIII, da Constituição, a autorização para a contratação de operação de crédito externo, com a garantia da República Federativa do Brasil no valor de US$ 202,000,000.00 (duzentos e dois milhões de dólares dos Estados Unidos da América), de principal, entre a Companhia Pernambucana de Saneamento - COMPESA, e o New Development Bank (NDB), cujos recursos destinam-se ao PEX/PE - Programa de Eficientização e Expansão do Saneamento de PE.",2023,CAE,Comissão de Assuntos Econômicos
5917,Relator Ad hoc,2023-09-14,PRS 82/2023,Institui o Grupo Parlamentar Brasil-Costa Rica no âmbito do Senado Federal.,2023,CRE,Comissão de Relações Exteriores e Defesa Nacional
5917,Relator,2023-09-13,REQ 20/2023 - CCT,"Requer, nos termos do art. 96-B do Regimento Interno do Senado Federal, que a Comissão de Ciência, Tecnologia, Inovação e Informática avalie o tema ""Superação dos obstáculos à inovação no Brasil"" no exercício de 2023.",2023,CCT,"Comissão de Ciência, Tecnologia, Inovação e Informática"
5917,Relator,2023-08-31,MSF 57/2023,"Submete à apreciação do Senado Federal, de conformidade com o art. 52, inciso IV, da Constituição, e com o art. 39, combinado com o art. 41 da Lei nº 11.440, de 2006, o nome do Senhor RODRIGO D'ARAUJO GABSCH, Ministro de Primeira Classe da Carreira de Diplomata do Ministério das Relações Exteriores, para exercer o cargo de Embaixador do Brasil no Estado do Kuwait.",2023,CRE,Comissão de Relações Exteriores e Defesa Nacional
5917,Relator,2023-08-22,PL 3000/2021,"Estabelece incentivo à doação de equipamentos de pesquisa a instituições públicas de ensino superior e a instituições científicas, tecnológicas e de inovação.",2021,CCT,"Comissão de Ciência, Tecnologia, Inovação e Informática"
5917,Relator,2023-08-17,PL 330/2022,"Altera o Decreto-Lei nº 2848, de 07 de dezembro de 1940, para dispor sobre o crime de má conduta científica.",2022,CCT,"Comissão de Ciência, Tecnologia, Inovação e Informática"
5917,Relator,2023-08-03,MSF 49/2023,"Submete à apreciação do Senado Federal, de conformidade com o art. 52, inciso IV, da Constituição, e com o art. 39, combinado com o art. 41, da Lei nº 11.440, de 2006, o nome da Senhora MARIA CLARA DUCLOS CARISIO, Ministra de Primeira Classe do Quadro Especial da Carreira de Diplomata do Ministério das Relações Exteriores, para exercer o cargo de Embaixadora do Brasil na Bósnia e Herzegovina.",2023,CRE,Comissão de Relações Exteriores e Defesa Nacional
5917,Relator,2023-06-15,MSF 37/2023,"Submete à apreciação do Senado Federal, de conformidade com o art. 52, inciso IV, da Constituição, e com o art. 39, combinado com o art. 41 da Lei nº 11.440, de 2006, a indicação do Senhor JOÃO GENÉSIO DE ALMEIDA FILHO, Ministro de Primeira Classe da Carreira de Diplomata do Ministério das Relações Exteriores, para exercer o cargo de Embaixador do Brasil na República do Botsuana.",2023,CRE,Comissão de Relações Exteriores e Defesa Nacional
5917,Relator Ad hoc,2023-05-31,PDL 483/2019,"Aprova o ato que outorga autorização à Associação Comunitária Voz da Liberdade de Turilândia (Liberdade FM) para executar serviço de radiodifusão comunitária no Município de Turilândia, Estado do Maranhão.",2019,CCT,"Comissão de Ciência, Tecnologia, Inovação e Informática"
5917,Relator Ad hoc,2023-05-24,PDL 524/2019,"Aprova o ato que outorga autorização à Associação Comunitária Novo Amanhecer para executar serviço de radiodifusão comunitária no Município de Presidente Dutra, Estado da Bahia.",2019,CCT,"Comissão de Ciência, Tecnologia, Inovação e Informática"
5917,Relator,2023-05-02,MSF 17/2023,"Submete à apreciação do Senado Federal, de conformidade com o art. 52, inciso IV, da Constituição, e com o art. 39, combinado com o art. 41 da Lei nº 11.440, de 2006, o nome do Senhor FREDERICO SALOMÃO DUQUE ESTRADA MEYER, Ministro de Primeira Classe do Quadro Especial da Carreira de Diplomata do Ministério das Relações Exteriores, para exercer o cargo de Embaixador do Brasil no Estado de Israel.",2023,CRE,Comissão de Relações Exteriores e Defesa Nacional
5917,Relator,2023-05-02,PDL 679/2021,"Aprova o ato que renova a autorização outorgada à Associação Educacional e Cultural Interativa para executar serviço de radiodifusão comunitária no Município de Medianeira, Estado do Paraná.",2021,CCT,"Comissão de Ciência, Tecnologia, Inovação e Informática"
5917,Relator,2023-05-02,PDL 673/2021,"Aprova o ato que renova a autorização outorgada à Associação Cultural Novos Caminhos de Munhoz de Melo para executar serviço de radiodifusão comunitária no Município de Munhoz de Melo, Estado do Paraná.",2021,CCT,"Comissão de Ciência, Tecnologia, Inovação e Informática"
5917,Relator,2023-04-13,PLP 23/2019,"Altera a Lei Complementar nº 123, de 14 de dezembro de 2006 a fim de incentivar a pesquisa e desenvolvimento da Nanotecnologia no Brasil.",2019,CCT,"Comissão de Ciência, Tecnologia, Inovação e Informática"
5917,Relator Ad hoc,2023-04-12,PDL 414/2021,"Aprova o ato que renova a autorização outorgada à Sociedade Ação Comunitária e Cidadania da Cidade de Goiás para executar serviço de radiodifusão comunitária no Município de Goiás, Estado de Goiás.",2021,CCT,"Comissão de Ciência, Tecnologia, Inovação e Informática"
5917,Relator Ad hoc,2023-04-12,PDL 446/2019,"Aprova o ato que outorga autorização à Associação de Radiodifusão Comunitária da Cidade de Porto da Folha para executar serviço de radiodifusão comunitária no Município de Porto da Folha, Estado de Sergipe.",2019,CCT,"Comissão de Ciência, Tecnologia, Inovação e Informática"
5917,Relator,2023-04-12,MSF 3/2023,"Solicita, nos termos do art. 52, incisos V, VII e VIII, da Constituição, a autorização para contratação de operação de crédito externo, com a garantia da República Federativa do Brasil no valor de até US$ 260,000,000.00 (duzentos e sessenta milhões de dólares dos Estados Unidos da América), de principal, entre o Município de Recife, Estado de Pernambuco, e o Banco Interamericano de Desenvolvimento - BID, cujos recursos destinam-se ao financiamento parcial do “Programa de Requalificação e Resiliência Urbana em Áreas de Vulnerabilidade Socioambiental - ProMorar Recife"".",2023,CAE,Comissão de Assuntos Econômicos
