codigoParlamentar,TipoRelator,DataDesignacao,Identificacao,Ementa,AnoMateria,SiglaComissao,NomeComissao
6345,Relator,2024-05-02,PL 6296/2019,"Altera a Lei nº 8.987, de 13 de fevereiro de 1995, e a Lei nº 11.079, de 30 de dezembro de 2004, para estabelecer que, nos setores rodoviário, ferroviário, hidroviário e aeroportuário da administração pública federal, os recursos arrecadados em pagamento pela outorga da concessão, pela sua renovação e prorrogação serão investidos, preferencialmente, na unidade da Federação onde se localiza a rodovia, a ferrovia, o porto ou aeroporto concedido.",2019,CI,Comissão de Serviços de Infraestrutura
6345,Relator,2024-04-11,PL 4368/2023,"Altera a Lei nº 8.078, de 11 de setembro de 1990 (Código de Defesa do Consumidor), para estabelecer normas de proteção ao consumidor de serviços de turismo.",2023,CDR,Comissão de Desenvolvimento Regional e Turismo
6345,Relator,2024-03-06,PL 2848/2023,"Altera o art. 14 da Lei nº 9.393, de 19 de dezembro de 1996, para modificar as fontes de informações sobre preços de terras na hipótese de lançamento de ofício do Imposto sobre a Propriedade Territorial Rural (ITR).",2023,CRA,Comissão de Agricultura e Reforma Agrária
6345,Relator,2024-02-07,PL 6046/2019,"Altera a Lei 10.257, de 10 de julho de 2001, para incluir, entre o conteúdo mínimo do plano diretor, normas de verticalização e ocupação para redução de impactos ambientais por meio da instalação de coberturas vegetadas (telhados verdes) e reservatórios de águas pluviais em edifícios.",2019,CDR,Comissão de Desenvolvimento Regional e Turismo
6345,Relator,2023-11-07,MSF 74/2023,"Solicita, nos termos do art. 52, incisos V, VII e VIII, da Constituição, autorização para contratação de operação de crédito externo, com a garantia da República Federativa do Brasil no valor de até US$ 1,200,000,000.00 (um bilhão e duzentos milhões de dólares dos Estados Unidos da América), entre o Banco Nacional de Desenvolvimento Econômico e Social - BNDES, e o New Development Bank (NDB), de principal, cujos recursos serão destinados ao “2º Programa BNDES-NDB para Infraestrutura Sustentável e Apoio aos Entes Subnacionais”.",2023,CAE,Comissão de Assuntos Econômicos
6345,Relator,2023-10-25,PL 6035/2019,"Altera a Lei nº 9.991, de 24 de julho de 2000, com o objetivo de destinar recursos aos Municípios para realização de projetos de eficiência energética nos sistemas de iluminação pública.",2019,CAE,Comissão de Assuntos Econômicos
6345,Relator,2023-10-19,PL 2310/2023,"Altera a Lei nº 9.478, de 6 de agosto de 1997, que dispõe sobre a política energética nacional, as atividades relativas ao monopólio do petróleo, institui o Conselho Nacional de Política Energética e a Agência Nacional do Petróleo e dá outras providências, para incluir municípios não confrontantes na distribuição das participações governamentais decorrentes da produção offshore de petróleo e gás natural no regime de concessão.",2023,CAE,Comissão de Assuntos Econômicos
6345,Relator,2023-10-05,PL 4368/2023,"Altera a Lei nº 8.078, de 11 de setembro de 1990 (Código de Defesa do Consumidor), para estabelecer normas de proteção ao consumidor de serviços de turismo.",2023,CDR,Comissão de Desenvolvimento Regional e Turismo
6345,Relator Ad hoc,2023-10-03,MSF 64/2023,"Solicita, nos termos do art. 52, incisos V, VII e VIII, da Constituição, a autorização para a contratação de operação de crédito externo, com a garantia da República Federativa do Brasil no valor de US$ 40,000,000.00 (quarenta milhões de dólares dos Estados Unidos da América), de principal, entre o Governo do Estado de Alagoas e o Banco Internacional para a Reconstrução e Desenvolvimento - BIRD, cujos recursos destinam-se ao financiamento do “Programa de Sustentabilidade Fiscal, Eficiência e Eficácia do Gasto Público do Estado de Alagoas – PROGESTÃO Alagoas”.",2023,CAE,Comissão de Assuntos Econômicos
6345,Relator,2023-09-20,PL 4363/2023,"Altera a Lei nº 10.438, de 26 de abril de 2002, para modificar as fontes de financiamento da Conta de Desenvolvimento Energético.",2023,CI,Comissão de Serviços de Infraestrutura
6345,Relator,2023-09-20,PL 3189/2023,"Dispõe sobre a fonte de recursos para custeio da Conta de Desenvolvimento Energético – CDE e altera as Leis n° 10.438, de 26 de abril de 2002, e 11.488, de 15 de junho de 2007.",2023,CI,Comissão de Serviços de Infraestrutura
6345,Relator,2023-07-06,PLP 143/2022,"Altera a Lei Complementar nº 91, de 22 de dezembro de 1997, para estipular redução gradual no repasse do Fundo de Participação dos Municípios (FPM) nas cidades que tiverem redução populacional atestada pelo Censo Demográfico.",2022,CDR,Comissão de Desenvolvimento Regional e Turismo
6345,Relator,2023-06-13,PL 2905/2019,"Altera a Lei nº 9.074, de 7 de julho de 1995, a Lei nº 9.472, de 16 de julho de 1997, e a Lei nº 4.117, de 27 de agosto de 1962, para estabelecer o compartilhamento gratuito da infraestrutura utilizada em concessões, permissões e autorizações de energia elétrica e de telecomunicações com órgãos da administração pública direta ou indireta.",2019,CI,Comissão de Serviços de Infraestrutura
6345,Relator,2023-06-07,PLP 119/2022,Cria o Plano Plurianual de Redução da Violência e dispõe sobre o Planejamento e sua transparência na Segurança Pública.,2022,CAE,Comissão de Assuntos Econômicos
6345,Relator,2023-06-06,PL 2011/2022,"Altera a Lei nº 7.713, de 22 de dezembro de 1988, para isentar do Imposto sobre a Renda das Pessoas Físicas os valores decorrentes do Direito de Família percebidos pelos alimentandos a título de alimentos ou de pensões alimentícias.",2022,CAE,Comissão de Assuntos Econômicos
6345,Relator,2023-06-01,PL 2668/2022,"Altera a Lei nº 9.433, de 8 de janeiro de 1997, para instituir a cessão onerosa de direito de uso de recursos hídricos e aumentar os valores das multas aplicáveis às infrações das normas de utilização de recursos hídricos.",2022,CI,Comissão de Serviços de Infraestrutura
6345,Relator,2023-05-17,PL 2244/2022,Cria o Calendário Turístico Oficial do Brasil.,2022,CDR,Comissão de Desenvolvimento Regional e Turismo
6345,Relator,2023-05-10,PL 2454/2021,"Altera a Lei nº 8.171, de 17 de janeiro de 1991, que dispõe sobre a política agrícola, para isentar agricultores familiares da obrigatoriedade de emissão da Guia de Trânsito Animal nos casos em que especifica.",2021,CRA,Comissão de Agricultura e Reforma Agrária
6345,Relator,2023-03-10,PL 6035/2019,"Altera a Lei nº 9.991, de 24 de julho de 2000, com o objetivo de destinar recursos aos Municípios para realização de projetos de eficiência energética nos sistemas de iluminação pública.",2019,CI,Comissão de Serviços de Infraestrutura
