codigoParlamentar,TipoRelator,DataDesignacao,Identificacao,Ementa,AnoMateria,SiglaComissao,NomeComissao
345,Relator,2024-07-09,PL 4262/2020,"Altera a Lei nº 12.764, de 27 de dezembro de 2012, que institui a Política Nacional de Proteção dos Direitos da Pessoa com Transtorno do Espectro Autista, para especificar a terapia nutricional a ser aplicada à pessoa com transtorno do espectro autista.",2020,CAS,Comissão de Assuntos Sociais
345,Relator,2024-07-09,PL 2434/2019 (Substitutivo-CD),"Estabelece diretrizes para a Política de Atenção Integral à Pessoa com Doença de Parkinson no âmbito do Sistema Único de Saúde (SUS); e altera a Lei nº 14.606, de 20 de junho de 2023.",2019,CAS,Comissão de Assuntos Sociais
345,Relator,2024-07-04,PL 2246/2022,"Acrescenta dispositivo à Lei nº 9.394, de 20 de dezembro de 1996 (Lei de Diretrizes e Bases da Educação Nacional), a fim de estabelecer regime escolar especial para atendimento a educandos nas situações que especifica.",2022,CE,Comissão de Educação e Cultura
345,Relator,2024-07-04,PL 626/2021,"Altera a Lei nº 8.213, de 24 de julho de 1991, para dispor sobre a contratação de pessoas com deficiência ou de beneficiários reabilitados da Previdência Social.",2021,CAS,Comissão de Assuntos Sociais
345,Relator,2024-07-03,PL 1754/2024 (Substitutivo-CD),"Altera as Leis nºs 8.212, de 24 de julho de 1991, e 8.213, de 24 de julho de 1991, para dispor sobre a condição de segurado especial dos associados em cooperativas.",2024,CAS,Comissão de Assuntos Sociais
345,Relator Ad hoc,2024-07-03,PL 2248/2022,"Altera a Lei nº 8.069, de 13 de julho de 1990 (Estatuto da Criança e do Adolescente), para dispor sobre o direito da criança e do adolescente de visitação à mãe ou ao pai internados em instituição de saúde.",2022,CDH,Comissão de Direitos Humanos e Legislação Participativa
345,Relator Ad hoc,2024-07-03,PL 2246/2022,"Acrescenta dispositivo à Lei nº 9.394, de 20 de dezembro de 1996 (Lei de Diretrizes e Bases da Educação Nacional), a fim de estabelecer regime escolar especial para atendimento a educandos nas situações que especifica.",2022,CDH,Comissão de Direitos Humanos e Legislação Participativa
345,Relator,2024-06-13,PL 1519/2024,"Altera a Lei nº 10.741, de 1º de outubro de 2003, que dispõe sobre o Estatuto da Pessoa Idosa e dá outras providências, para prever a criação de ações que favoreçam o ingresso de pessoas idosas nos cursos de graduação.",2024,CDH,Comissão de Direitos Humanos e Legislação Participativa
345,Relator,2024-06-13,PL 2102/2019,Estabelece critérios mínimos para a outorga do título de Capital Nacional.,2019,CE,Comissão de Educação e Cultura
345,Relator,2024-06-12,PL 1751/2024,"Acrescenta parágrafo único ao art. 106 da Lei nº 8.213, de 24 de julho de 1991, para permitir que os sindicatos ou as colônias de pescadores declarem como embarcação miúda aquela utilizada por pescador artesanal, sem propulsão ou com motor que não exceda ao limite especificado.",2024,CRA,Comissão de Agricultura e Reforma Agrária
