codigoParlamentar,TipoRelator,DataDesignacao,Identificacao,Ementa,AnoMateria,SiglaComissao,NomeComissao
5894,Relator,2024-07-03,PL 2511/2024,"Altera a Lei nº 7.661, de 16 de maio de 1988, para prever o crime de ocupação ou invasão de praia, com restrição de acesso e circulação ao público.",2024,CCJ,"Comissão de Constituição, Justiça e Cidadania"
5894,Relator Ad hoc,2024-06-18,PL 1667/2023,"Altera a Lei nº 7.210, de 11 de julho de 1984 – Lei de Execução Penal, para proibir a visita em que possa haver intimidades corporais acompanhada de criança ou de adolescente.",2023,CSP,Comissão de Segurança Pública
5894,Relator,2024-06-05,PL 1829/2019,"Altera as Leis nºs 6.009, de 26 de dezembro de 1973; 7.565, de 19 de dezembro de 1986; 9.610, de 19 de fevereiro de 1998; 11.771, de 17 de setembro de 2008; 12.462, de 4 de agosto de 2011; 13.097, de 19 de janeiro de 2015, e 13.146, de 6 de julho de 2015, para promover a modernização do turismo no Brasil; e revoga dispositivos da Lei nº 12.974, de 15 de maio de 2014, e a Lei nº 6.513, de 20 de dezembro de 1977.",2019,PLEN,Plenário do Senado Federal
5894,Relator Ad hoc,2024-06-04,PL 1829/2019,"Altera as Leis nºs 6.009, de 26 de dezembro de 1973; 7.565, de 19 de dezembro de 1986; 9.610, de 19 de fevereiro de 1998; 11.771, de 17 de setembro de 2008; 12.462, de 4 de agosto de 2011; 13.097, de 19 de janeiro de 2015, e 13.146, de 6 de julho de 2015, para promover a modernização do turismo no Brasil; e revoga dispositivos da Lei nº 12.974, de 15 de maio de 2014, e a Lei nº 6.513, de 20 de dezembro de 1977.",2019,CDR,Comissão de Desenvolvimento Regional e Turismo
5894,Relator,2024-05-29,PL 3464/2019,"Altera o art. 234-A do Decreto-Lei nº 2.848, de 7 de dezembro de 1940 (Código Penal), para prever causa de aumento de pena para o profissional de saúde que praticar crime contra a dignidade sexual no exercício da função.",2019,CCJ,"Comissão de Constituição, Justiça e Cidadania"
5894,Relator,2024-04-18,PDL 1037/2021,"Aprova o ato que renova a autorização outorgada à ACIR - Associação Comunitária Itaipava de Radiodifusão para executar serviço de radiodifusão comunitária no Município de Petrópolis, Estado do Rio de Janeiro.",2021,CCDD,Comissão de Comunicação e Direito Digital
5894,Relator,2024-03-14,PL 610/2022,"Altera o art. 2º da Lei nº 13.260, de 16 de março de 2016, para tipificar o “novo cangaço” como ato de terrorismo.",2022,CSP,Comissão de Segurança Pública
5894,Relator,2024-03-14,PL 5365/2020,"Altera o Decreto-Lei nº 2.848, de 7 de dezembro de 1940 (Código Penal), para tipificar os crimes de domínio de cidades e de intimidação violenta; e altera a Lei nº 8.072, de 25 de julho de 1990 (Lei de Crimes Hediondos).",2020,CSP,Comissão de Segurança Pública
5894,Relator,2024-03-08,PL 2666/2023,"Altera a Lei nº 10.826, de 22 de dezembro de 2003, para conceder porte automático de armas de fogo para colecionadores, atiradores esportivos e caçadores – CACs.",2023,CCJ,"Comissão de Constituição, Justiça e Cidadania"
5894,Relator,2024-03-08,PL 1998/2022,"Altera o art. 226 do Decreto-Lei nº 2.848, de 7 de dezembro de 1940 - Código Penal para prever aumento de pena para os casos de crime contra a dignidade sexual praticado por médico ou profissional da saúde em situação de atendimento médico ou hospitalar.",2022,CCJ,"Comissão de Constituição, Justiça e Cidadania"
5894,Relator,2024-03-08,PL 2034/2022,"Altera o art. 226 do Decreto-Lei nº 2.848, de 7 de dezembro de 1940 – Código Penal para prever o aumento de pena para os casos de crime contra a dignidade sexual praticado com abuso de confiança.",2022,CCJ,"Comissão de Constituição, Justiça e Cidadania"
