codigoParlamentar,TipoRelator,DataDesignacao,Identificacao,Ementa,AnoMateria,SiglaComissao,NomeComissao
6008,Relator,2024-05-20,PL 2449/2022,"Decreta a troca dos sinais sonoros nas instituições de ensino públicas e privadas e estabelece o “Horário do Silêncio” nos estabelecimentos comerciais, em benefício das pessoas com Transtorno do Espectro Autista (TEA).",2022,CDH,Comissão de Direitos Humanos e Legislação Participativa
6008,Relator,2024-05-14,PL 5281/2020,"Altera a Lei nº 8.072, de 25 de julho de 1990, para incluir o crime de poluição no rol dos crimes hediondos, nos termos que especifica.",2020,CMA,Comissão de Meio Ambiente
6008,Relator,2024-04-18,PDL 460/2021,"Aprova o ato que renova a autorização outorgada à Associação Educativa de Radiodifusão Santa Cruz para executar serviço de radiodifusão comunitária no Município de Santa Cruz das Palmeiras, Estado de São Paulo.",2021,CCDD,Comissão de Comunicação e Direito Digital
6008,Relator,2024-04-18,PDL 1010/2021,"Aprova o ato que renova a autorização outorgada à Associação Comunitária Flor do Panema para executar serviço de radiodifusão comunitária no Município de Capão Bonito, Estado de São Paulo.",2021,CCDD,Comissão de Comunicação e Direito Digital
6008,Relator,2024-04-18,PDL 1003/2021,"Aprova o ato que renova a autorização outorgada à Associação Rádio Comunitária Ilha FM para executar serviço de radiodifusão comunitária no Município de Pariquera-Açu, Estado de São Paulo.",2021,CCDD,Comissão de Comunicação e Direito Digital
6008,Relator,2024-04-18,PDL 1001/2021,"Aprova o ato que renova a autorização outorgada à Associação Local de Obras Assistenciais para executar serviço de radiodifusão comunitária no Município de Ferraz de Vasconcelos, Estado de São Paulo.",2021,CCDD,Comissão de Comunicação e Direito Digital
6008,Relator,2024-04-18,PDL 854/2021,"Aprova o ato que renova a autorização outorgada à Associação Cultural e de Promoção Social Casimiro Mikucki para executar serviço de radiodifusão comunitária no Município de Ribeirão Bonito, Estado de São Paulo.",2021,CCDD,Comissão de Comunicação e Direito Digital
6008,Relator,2024-03-26,PL 5705/2023,"Altera a Lei nº 11.340, de 7 de agosto de 2006 (Lei Maria da Penha), para instituir o apoio psicológico entre as medidas de amparo à mulher em situação de violência doméstica e familiar.",2023,CDH,Comissão de Direitos Humanos e Legislação Participativa
6008,Relator,2024-03-12,PL 194/2024,"Altera a Lei nº 12.305, de 2 de agosto de 2010, para estabelecer regras sobre a prevenção e a redução de impactos ambientais de baterias e de rejeitos de baterias.",2024,CMA,Comissão de Meio Ambiente
6008,Relator,2024-03-12,PL 6208/2023,"Reconhece o Município de Ubatuba, no Estado de São Paulo, como Capital Nacional da Mata Atlântica.",2023,CMA,Comissão de Meio Ambiente
