codigoParlamentar,TipoRelator,DataDesignacao,Identificacao,Ementa,AnoMateria,SiglaComissao,NomeComissao
5385,Relator,2024-06-28,PL 2234/2022,"Dispõe sobre a exploração de jogos e apostas em todo o território nacional; altera a Lei nº 7.291, de 19 de dezembro de 1984; e revoga o Decreto-Lei nº 9.215, de 30 de abril de 1946, e dispositivos do Decreto-Lei nº 3.688, de 3 de outubro de 1941 (Lei das Contravenções Penais), e da Lei nº 10.406, de 19 de janeiro de 2002 (Código Civil).",2022,CCJ,"Comissão de Constituição, Justiça e Cidadania"
5385,Relator,2024-05-02,PLC 60/2018,"Altera o art. 25 da Lei nº 10.438, de 26 de abril de 2002, para ampliar o horário em que pode ser estabelecido o período de concessão de desconto nas tarifas de energia elétrica ao irrigante e ao aquicultor, e para vedar a aplicação de diferentes percentuais de descontos na Classe Rural.",2018,CI,Comissão de Serviços de Infraestrutura
5385,Relator,2024-02-26,PL 3356/2021,"Confere o título de Capital Nacional do Capim Dourado ao Município de Mateiros, no Estado do Tocantins.",2021,CE,Comissão de Educação e Cultura
5385,Relator,2023-11-24,PL 2234/2022,"Dispõe sobre a exploração de jogos e apostas em todo o território nacional; altera a Lei nº 7.291, de 19 de dezembro de 1984; e revoga o Decreto-Lei nº 9.215, de 30 de abril de 1946, e dispositivos do Decreto-Lei nº 3.688, de 3 de outubro de 1941 (Lei das Contravenções Penais), e da Lei nº 10.406, de 19 de janeiro de 2002 (Código Civil).",2022,CCJ,"Comissão de Constituição, Justiça e Cidadania"
5385,N/I,2023-11-01,PLN 29/2023,Estima a receita e fixa a despesa da União para o exercício financeiro de 2024.,2023,CMO,"Comissão Mista de Planos, Orçamentos Públicos e Fiscalização"
5385,Relator,2023-11-01,PL 2332/2022,"Altera a Lei nº 8.112, de 11 de dezembro de 1990, para permitir que servidor público possa ser microempreendedor individual (MEI).",2022,CAE,Comissão de Assuntos Econômicos
5385,Relator,2023-09-20,PL 2826/2023,"Institui o Auxílio às Famílias que vivem no Isolamento Energético Brasileiro (AFIEB), destinado a atenuar os custos da energia, dos combustíveis e do gás de cozinha para as famílias de baixa renda que vivem em localidades que não estão conectadas ao Sistema Interligado Nacional (SIN).",2023,CI,Comissão de Serviços de Infraestrutura
5385,Relator,2023-09-12,PL 2458/2022,"Altera a Lei nº 14.300, de 6 de janeiro de 2022, para estimular a geração a partir da fonte solar fotovoltaica em unidades consumidoras com titulares inscritos no Cadastro Único para Programas Sociais do Governo Federal ou reconhecidos como agricultores familiares.",2022,CI,Comissão de Serviços de Infraestrutura
5385,Relator,2023-07-13,PL 2850/2021,Dispõe sobre o exercício da profissão de Quiropraxista.,2021,CAE,Comissão de Assuntos Econômicos
5385,Relator,2023-07-11,PLN 9/2023,"Abre ao Orçamento Fiscal da União, em favor de Operações Oficiais de Crédito, crédito suplementar no valor de R$ 40.355.174,00, para reforço de dotação constante da Lei Orçamentária vigente.",2023,CMO,"Comissão Mista de Planos, Orçamentos Públicos e Fiscalização"
