codigoParlamentar,TipoRelator,DataDesignacao,Identificacao,Ementa,AnoMateria,SiglaComissao,NomeComissao
6015,Relator Ad hoc,2024-07-10,PDL 174/2021,"Susta, nos termos do inciso V do art. 49 da Constituição Federal, os efeitos da Instrução Normativa Conjunta nº 1, de 12 de abril de 2021, do Ministério do Meio Ambiente, do Instituto Brasileiro de Meio Ambiente e dos Recursos Naturais Renováveis e do Instituto Chico Mendes de Conservação da Biodiversidade.",2021,CMA,Comissão de Meio Ambiente
6015,Relator Ad hoc,2024-07-10,PDL 194/2021,"Susta os efeitos das Instruções Normativas Conjuntas nºs 1, de 12 de abril de 2021, e 2, de 26 de abril de 2021, do Ministério do Meio Ambiente, do Instituto Brasileiro do Meio Ambiente e dos Recursos Naturais Renováveis e do Instituto Chico Mendes de Conservação da Biodiversidade, que regulamentam o processo administrativo federal para apuração de infrações administrativas por condutas e atividades lesivas ao meio ambiente.",2021,CMA,Comissão de Meio Ambiente
6015,Relator,2024-07-04,PL 1536/2024,"Concede remissão e posterga o pagamento das parcelas vencidas e vincendas em 2024 relativas, respectivamente, a financiamentos de custeio agropecuário e a financiamentos de comercialização e de investimento rural, contratados por produtores rurais que desenvolvem suas atividades em áreas efetivamente atingidas pelos eventos climáticos extremos ocorridos nos Municípios do Estado do Rio Grande do Sul com estado de calamidade pública ou situação de emergência reconhecidos pelo Poder Executivo federal.",2024,CRA,Comissão de Agricultura e Reforma Agrária
6015,Relator Ad hoc,2024-05-15,PL 2829/2021,"Altera a Lei nº 1.283, de 18 de dezembro de 1950, para autorizar a compra de pescado diretamente de aquicultores e pescadores artesanais, nas condições que especifica.",2021,CRA,Comissão de Agricultura e Reforma Agrária
6015,Relator,2024-05-10,PL 4710/2019,"Altera a Lei nº 9.294, de 15 de julho de 1996, que dispõe sobre as restrições ao uso e à propaganda de produtos fumígeros, bebidas alcoólicas, medicamentos, terapias e defensivos agrícolas, para alterar a definição de bebida alcoólica e para proibir a comercialização e o consumo de bebidas alcoólicas em estabelecimentos de ensino.",2019,CTFC,"Comissão de Transparência, Governança, Fiscalização e Controle e Defesa do Consumidor"
6015,Relator,2024-05-10,PL 3953/2019,"Altera a Lei nº 8.078, de 11 de setembro de 1990 e a Lei nº 12.414, de 9 de junho de 2011, para fomentar o acesso do cadastrado aos seus dados inseridos em cadastro positivo de crédito.",2019,CTFC,"Comissão de Transparência, Governança, Fiscalização e Controle e Defesa do Consumidor"
6015,Relator,2024-05-10,PL 2502/2023,"Altera a Lei nº 9.294, de 15 de julho de 1996, que dispõe sobre as restrições ao uso e à propaganda de produtos fumígeros, bebidas alcoólicas, medicamentos, terapias e defensivos agrícolas, para restringir a propaganda de bebidas alcoólicas à parte interna dos locais de venda, impor restrições de conteúdo para as peças publicitárias e obrigar a exibição de advertências sobre a venda e o consumo de bebida alcoólica.",2023,CTFC,"Comissão de Transparência, Governança, Fiscalização e Controle e Defesa do Consumidor"
6015,Relator,2024-05-10,PL 989/2019,"Altera dispositivos da Lei nº 9.294, de 15 de julho de 1996, que “dispõe sobre as restrições ao uso e à propaganda de produtos fumígeros, bebidas alcoólicas, medicamentos, terapias e defensivos agrícolas, nos termos do § 4º do art. 220, da Constituição Federal”.",2019,CTFC,"Comissão de Transparência, Governança, Fiscalização e Controle e Defesa do Consumidor"
6015,Relator,2024-04-23,PL 4356/2023,"Altera a Lei nº 9.294, de 15 de julho de 1996, que dispõe sobre as restrições ao uso e à propaganda de produtos fumígenos, bebidas alcoólicas, medicamentos, terapias e defensivos agrícolas, nos termos do § 4° do art. 220 da Constituição Federal, para proibir a fabricação, a importação, a comercialização e a publicidade de dispositivos eletrônicos fumígenos.",2023,CRA,Comissão de Agricultura e Reforma Agrária
6015,Relator,2024-04-23,PLS 404/2018,"Modifica o art. 11 da Lei nº 9.456, de 25 de abril de 1997, que “Institui a Lei de Proteção de Cultivares e dá outras providências”.",2018,CRA,Comissão de Agricultura e Reforma Agrária
6015,Relator,2024-04-23,PL 3071/2022,"Institui a Política Nacional de Apoio e Incentivo à Pecuária Leiteira (PNAPL); e altera as Leis nºs 12.669, de 19 de junho de 2012, e 13.860, de 18 de julho de 2019.",2022,CRA,Comissão de Agricultura e Reforma Agrária
6015,Relator,2024-04-23,PL 3687/2019,"Altera a Lei nº 12.651, de 25 de maio de 2012 (Novo Código Florestal) para dispor sobre o CAR e ampliar o prazo de inscrição obrigatória dos produtores rurais.",2019,CRA,Comissão de Agricultura e Reforma Agrária
6015,Relator,2024-04-15,OFS 16/2023,"Encaminha dossiê sobre problemas com a poluição do Arroio Passo Fundo, no Município de Guaíba - RS.",2023,CMA,Comissão de Meio Ambiente
6015,Relator,2024-04-11,PL 2474/2020,Dispõe sobre cessão de créditos obtidos em sistema de compensação de energia elétrica durante o período de emergência de saúde pública decorrente da pandemia da Covid-19.,2020,CI,Comissão de Serviços de Infraestrutura
6015,Relator,2024-04-11,PL 361/2022,"Torna obrigatória a divulgação, pela prestadora do serviço público de distribuição de energia elétrica, de informações relativas ao nível dos reservatórios de hidrelétricas.",2022,CI,Comissão de Serviços de Infraestrutura
