codigoParlamentar,TipoRelator,DataDesignacao,Identificacao,Ementa,AnoMateria,SiglaComissao,NomeComissao
6010,Relator,2024-05-06,PL 4423/2019,Dispõe sobre o combate ao desperdício de alimentos.,2019,CAS,Comissão de Assuntos Sociais
6010,Relator,2024-02-28,PL 373/2024,Inscreve o nome de Jerônimo Francisco Coelho no Livro dos Heróis da Pátria.,2024,CE,Comissão de Educação e Cultura
6010,Relator,2024-02-21,PL 752/2022,"Confere ao Munícipio de Santa Rosa de Lima, no Estado de Santa Catarina, o título de Capital Nacional da Meliponicultura.",2022,CRA,Comissão de Agricultura e Reforma Agrária
6010,Relator,2024-02-07,PL 5814/2023,"Institui a Rota Turística do Enxaimel, no Estado de Santa Catarina.",2023,CDR,Comissão de Desenvolvimento Regional e Turismo
6010,Relator,2024-02-07,PL 3673/2021,"Altera o art. 28-A do Decreto-Lei nº 3.689, de 3 de outubro de 1941 (Código de Processo Penal), para aperfeiçoar o instituto do acordo de não persecução penal.",2021,CSP,Comissão de Segurança Pública
6010,Relator,2023-11-28,PRS 111/2023,Institui a Frente Parlamentar em Defesa da Polícia Penal.,2023,CSP,Comissão de Segurança Pública
6010,Relator,2023-10-04,PL 3933/2023,Dispõe sobre o tratamento do climatério e menopausa pelo sistema único de saúde e institui a Semana Nacional de conscientização para mulheres na menopausa ou em climatério.,2023,CDH,Comissão de Direitos Humanos e Legislação Participativa
6010,Relator,2023-09-18,PL 2846/2021,"Altera a Lei nº 8.089, de (Estatuto da Criança e do Adolescente) para assegurar a permanência do lactente com sua mãe.",2021,CDH,Comissão de Direitos Humanos e Legislação Participativa
6010,Relator,2023-08-18,PLS 112/2016,"Acrescenta o § 4º ao art. 25 da Lei nº 8.692, de 28 de julho de 1993, que define planos de reajustamento nos contratos de financiamento habitacional no âmbito do Sistema Financeiro da Habitação e dá outras providências.",2016,CAS,Comissão de Assuntos Sociais
6010,Relator,2023-08-11,PL 4432/2021,"Altera a Lei nº 11.771, de 17 de setembro de 2008, para tornar obrigatória a sinalização turística ao longo das rodovias federais.",2021,CDR,Comissão de Desenvolvimento Regional e Turismo
6010,Relator,2023-08-10,PL 4638/2020,"Acrescenta incisos aos artigos 36 e 45 da Lei nº 12.529, de 30 de novembro de 2011, dispondo sobre a responsabilização civil e administrativa de pessoas jurídicas por corrupção privada.",2020,CSP,Comissão de Segurança Pública
6010,Relator,2023-08-10,PL 4628/2020,Tipifica a corrupção privada no ordenamento jurídico brasileiro.,2020,CSP,Comissão de Segurança Pública
6010,Relator,2023-08-10,PL 4436/2020,"Altera o Decreto-Lei nº 2.848, de 7 de dezembro de 1940 - Código Penal, para tipificar a corrupção entre particulares.",2020,CSP,Comissão de Segurança Pública
6010,Relator,2023-06-22,PL 1701/2021,"Altera a Consolidação das Leis do Trabalho (CLT), aprovada pelo Decreto-Lei nº 5.452, de 1º de maio de 1943, e as Leis nº 8.212 e nº 8.213, de 24 de julho de 1991, para dispor sobre o direito da empregada gestante à licença-gestante e ao salário-gestante durante períodos de emergência em saúde pública de importância nacional reconhecida pelo Poder Executivo Federal.",2021,CDH,Comissão de Direitos Humanos e Legislação Participativa
6010,Relator,2023-06-22,PL 4713/2020,Cria o Programa de Incentivo ao Desenvolvimento e à Produção de Produtos Acessíveis (Pro-Acessível) com o objetivo de estimular o desenvolvimento e a produção de eletrodomésticos e eletroeletrônicos acessíveis.,2020,CDH,Comissão de Direitos Humanos e Legislação Participativa
6010,Relator,2023-05-22,PL 4176/2021,"Altera a Lei nº 6.454, de 24 de outubro de 1977, para determinar a observância de percentuais mínimos para cada sexo na denominação de bens públicos.",2021,CE,Comissão de Educação e Cultura
6010,Relator,2023-05-17,PL 6046/2019,"Altera a Lei 10.257, de 10 de julho de 2001, para incluir, entre o conteúdo mínimo do plano diretor, normas de verticalização e ocupação para redução de impactos ambientais por meio da instalação de coberturas vegetadas (telhados verdes) e reservatórios de águas pluviais em edifícios.",2019,CDR,Comissão de Desenvolvimento Regional e Turismo
6010,Relator,2023-05-15,PL 986/2022,Dispõe sobre o reconhecimento da pessoa com epilepsia como pessoa com deficiência.,2022,CDH,Comissão de Direitos Humanos e Legislação Participativa
6010,Relator,2023-05-10,PL 1012/2023,"Acrescenta os arts. 461-A a 461-E à Consolidação das Leis do Trabalho (CLT), aprovada pelo Decreto-Lei nº 5.452, de 1º de maio de 1943, para estabelecer regras de transparência remuneratória, objetivando a isonomia entre homens e mulheres.",2023,CAS,Comissão de Assuntos Sociais
6010,Relator,2023-05-09,PL 2798/2022,"Altera a Lei nº 9.394, de 20 de dezembro de 1996, que estabelece as diretrizes e bases da educação nacional, para dispor sobre a educação do campo.",2022,CRA,Comissão de Agricultura e Reforma Agrária
6010,Relator,2023-05-03,PRS 26/2023,Institui a Frente Parlamentar Mista do Consenso de Genebra sobre Saúde da Mulher e Fortalecimento da Família.,2023,CDH,Comissão de Direitos Humanos e Legislação Participativa
6010,Relator,2023-05-03,PL 1433/2023,"Acrescenta dispositivo ao Estatuto da Criança e do Adolescente (Lei nº 8.069, de 13 de julho de 1990) para determinar que as emissoras públicas de radiodifusão veiculem mensagens sobre prevenção de drogas e maus-tratos infantil.",2023,CDH,Comissão de Direitos Humanos e Legislação Participativa
6010,Relator,2023-05-03,PL 628/2022,"Altera a Lei nº 11.340, de 7 de agosto de 2006 – Lei Maria da Penha, para dispor sobre a tomada do depoimento da mulher vitimada ou de suas testemunhas e informantes nas causas cíveis e dá outras providências.",2022,CDH,Comissão de Direitos Humanos e Legislação Participativa
6010,Relator,2023-04-19,SUG 19/2020,"""Institui o exercício profissional social no âmbito do Sistema Único de Saúde - SUS, para profissionais que obtiveram diplomas em cursos custeados com recursos públicos, em instituições publicas ou privadas"".",2020,CDH,Comissão de Direitos Humanos e Legislação Participativa
6010,Relator,2023-04-05,PL 770/2020,"Acrescenta o § 9º ao art. 98 da Lei no 13.105, de 16 de março de 2015 (Código de Processo Civil), para prever o direito à gratuidade da justiça aos portadores de doenças graves.",2020,CAS,Comissão de Assuntos Sociais
6010,Relator,2023-04-05,PL 3131/2019,"Altera a Lei nº 8.069, de 13 de julho de 1990, que dispõe sobre o Estatuto da Criança e do Adolescente e dá outras providências, para ampliar o rol de doenças neonatais que devem ser obrigatoriamente rastreadas no Brasil.",2019,CAS,Comissão de Assuntos Sociais
6010,Relator,2023-03-23,PL 3526/2019,Estabelece a obrigatoriedade da prestação de cirurgia plástica reconstrutiva de lábio leporino ou fenda palatina pelo Sistema Único de Saúde (SUS).,2019,CAS,Comissão de Assuntos Sociais
6010,Relator,2023-03-22,PL 1850/2021,"Denomina João Batista Menegatti o viaduto localizado na rodovia BR-282, na travessia urbana do Município de Xanxerê, Estado de Santa Catarina.",2021,CE,Comissão de Educação e Cultura
6010,Relator,2023-03-22,PL 950/2021,"Institui a Semana Nacional de Mobilização, Conscientização e Estimulo à adoção da Campanha contra o Imposto Rosa, a ser celebrada anualmente na semana que compreender o dia 15 de abril.",2021,CE,Comissão de Educação e Cultura
6010,Relator,2023-03-22,PL 4355/2020,Institui o Dia Nacional da Educação Básica.,2020,CE,Comissão de Educação e Cultura
6010,Relator,2023-03-22,PL 1039/2020,"Concede ao Município de Irineópolis, no Estado de Santa Catarina, o título de Capital Nacional do Trator.",2020,CE,Comissão de Educação e Cultura
6010,Relator,2023-03-22,PL 2190/2022,Prevê a realização da Semana Nacional da Reciclagem e do Meio Ambiente nas escolas de ensino fundamental e médio.,2022,CE,Comissão de Educação e Cultura
6010,Relator,2023-03-22,PL 775/2020,Institui a Semana do Lixo Zero.,2020,CE,Comissão de Educação e Cultura
6010,Relator,2023-03-22,PL 786/2021,"Altera dispositivos da Lei nº 9.394, de 20 de dezembro de 1996, que estabelece as diretrizes e bases da educação nacional, para incluir a vinculação entre a educação escolar e as práticas familiares e prever o estudo da parentalidade responsável nos currículos do ensino fundamental e do ensino médio.",2021,CDH,Comissão de Direitos Humanos e Legislação Participativa
6010,Relator,2023-03-22,PL 2192/2022,"Altera o § 9º do art. 26 da Lei nº 9.394, de 20 de dezembro de 1996 (Lei de Diretrizes e Bases da Educação Nacional), para determinar a inclusão de conteúdos relativos à prevenção de todas as formas de violência contra a mulher, como temas transversais, nos currículos escolares da educação infantil, do ensino fundamental e do ensino médio.",2022,CDH,Comissão de Direitos Humanos e Legislação Participativa
6010,Relator,2023-03-21,PL 4424/2019,"Altera a Lei nº 9.394, de 20 de dezembro de 1996, que estabelece as diretrizes e bases da educação nacional, para instituir as semanas nacionais de ciências e de literatura.",2019,CE,Comissão de Educação e Cultura
6010,Relator,2023-03-16,PL 1931/2019,Cria o Roteiro Turístico Caminhos da Neve.,2019,CDR,Comissão de Desenvolvimento Regional e Turismo
6010,Relator,2023-03-15,PL 5189/2020,"Altera a Lei nº 4.504, de 30 de novembro de 1964, para dispor sobre o parcelamento de imóvel rural em dimensão inferior à do módulo, fixada pelo órgão fundiário federal, se constituído por área cuja dimensão máxima alcance três mil metros quadrados, desde que tal imóvel rural se destine à moradia do proprietário ou de sua família.",2020,CRA,Comissão de Agricultura e Reforma Agrária
6010,Relator,2023-03-14,SUG 28/2021,"""Propõe a revogação da Lei 13.979/2020 no que se refere a vacinação compulsória"".",2021,CDH,Comissão de Direitos Humanos e Legislação Participativa
6010,Relator,2023-03-14,SUG 26/2021,"""Propõe a equiparação das remunerações e benefícios dos servidores TAES do MEC ao do Judiciário"".",2021,CDH,Comissão de Direitos Humanos e Legislação Participativa
6010,Relator,2022-11-08,PL 950/2021,"Institui a Semana Nacional de Mobilização, Conscientização e Estimulo à adoção da Campanha contra o Imposto Rosa, a ser celebrada anualmente na semana que compreender o dia 15 de abril.",2021,CE,Comissão de Educação e Cultura
6010,Relator,2022-11-08,PL 4355/2020,Institui o Dia Nacional da Educação Básica.,2020,CE,Comissão de Educação e Cultura
