codigoParlamentar,TipoRelator,DataDesignacao,Identificacao,Ementa,AnoMateria,SiglaComissao,NomeComissao
4770,Relator Ad hoc,2024-07-10,PDL 247/2023,"Aprova o ato que outorga permissão à Fundação Cultural e Assistencial Recuperando Vidas para explorar serviço de radiodifusão sonora em frequência modulada no Município de Jaboatão dos Guararapes, Estado de Pernambuco.",2023,CCDD,Comissão de Comunicação e Direito Digital
4770,Relator Ad hoc,2024-07-10,PDL 541/2021,"Aprova o ato que renova a autorização outorgada à Associação Comunitária de Comunicação e Cultura de Lindoeste para executar serviço de radiodifusão comunitária no Município de Lindoeste, Estado do Paraná.",2021,CCDD,Comissão de Comunicação e Direito Digital
4770,Relator Ad hoc,2024-07-10,PDS 56/2017,"Aprova o ato que outorga autorização à ASSOCIAÇÃO BENEFICENTE, CULTURAL E DE RADIODIFUSÃO COMUNITÁRIA DE ORLEANS - SC para executar serviço de radiodifusão comunitária no Município de Orleans, Estado de Santa Catarina.",2017,CCDD,Comissão de Comunicação e Direito Digital
4770,Relator,2024-06-05,PL 2170/2022,"Altera a Lei nº 9.656, de 3 de junho de 1998, que dispõe sobre os planos e seguros privados de assistência à saúde, para garantir o atendimento de pessoa com deficiência, pelas Operadoras e Planos Privados de Assistência à Saúde, sem limitação de prazo e quantidade.",2022,CAE,Comissão de Assuntos Econômicos
4770,Relator,2024-06-05,PL 3000/2021,"Estabelece incentivo à doação de equipamentos de pesquisa a instituições públicas de ensino superior e a instituições científicas, tecnológicas e de inovação.",2021,CAE,Comissão de Assuntos Econômicos
4770,Relator,2024-06-05,PL 5078/2019,"Altera a Lei nº 11.540, de 12 de novembro de 2007, para garantir a execução orçamentária e financeira das programações do Fundo Nacional de Desenvolvimento Científico e Tecnológico – FNDCT.",2019,CAE,Comissão de Assuntos Econômicos
4770,Relator,2024-05-23,PL 1355/2023,Estabelece normas gerais sobre a criação e funcionamento das organizações da sociedade civil de bombeiros voluntários.,2023,CSP,Comissão de Segurança Pública
4770,Relator Ad hoc,2024-05-07,PL 4138/2019,Estabelece a obrigação de os pais ou responsáveis comparecerem às escolas de seus filhos para acompanhamento do processo educativo.,2019,CE,Comissão de Educação e Cultura
4770,Relator,2024-04-24,PL 386/2022,"Altera o Decreto-Lei nº 73, de 21 de novembro de 1966, para permitir a criação de certificações privadas de seguros para prestadores de serviços.",2022,CAE,Comissão de Assuntos Econômicos
4770,Relator,2024-04-18,PDL 761/2021,"Aprova o ato que renova a autorização outorgada à Associação de Moradores Comunidade Cristalinense para executar serviço de radiodifusão comunitária no Município de Cristalina, Estado de Goiás.",2021,CCDD,Comissão de Comunicação e Direito Digital
4770,Relator,2024-04-15,PL 1355/2023,Estabelece normas gerais sobre a criação e funcionamento das organizações da sociedade civil de bombeiros voluntários.,2023,CSP,Comissão de Segurança Pública
4770,Relator,2024-04-10,PLP 252/2023,"Altera a Lei Complementar n° 182, de 1° de junho de 2021, para dispor sobre o contrato de investimento conversível em capital social (CICC).",2023,PLEN,Plenário do Senado Federal
