codigoParlamentar,TipoRelator,DataDesignacao,Identificacao,Ementa,AnoMateria,SiglaComissao,NomeComissao
35,Relator,2024-05-08,MSF 5/2024,"Submete à apreciação do Senado Federal, nos termos do art. 52, inciso III, alínea ""f"", da Constituição, combinado com o art. 16 da Lei nº 12.529, de 30 de novembro de 2011, o nome do Senhor ANDRÉ LUÍS MACAGNAN FREIRE, para exercer o cargo de Procurador-Chefe da Procuradoria Federal Especializada junto ao Conselho Administrativo de Defesa Econômica - CADE, na vaga decorrente do término do mandato de Juliana Oliveira Domingues em 13 de abril de 2024.",2024,CAE,Comissão de Assuntos Econômicos
35,Relator,2023-12-05,PDL 304/2021,"Aprova o ato que renova a autorização outorgada à Associação Comunitária Cultural Capimense para executar serviço de radiodifusão comunitária no Município de São Domingos do Capim, Estado do Pará.",2021,CCDD,Comissão de Comunicação e Direito Digital
35,Relator,2023-12-05,PDL 323/2019,"Aprova o ato que outorga autorização à Associação de Radiodifusão Comunitária Cachoeira FM para executar serviço de radiodifusão comunitária no Município de Cachoeira do Arari, Estado do Pará.",2019,CCDD,Comissão de Comunicação e Direito Digital
35,Relator,2023-12-05,PDL 127/2022,"Aprova o ato que renova a autorização outorgada à Associação Rádio Comunitária de Itaituba – ARCI para executar serviço de radiodifusão comunitária no Município de Itaituba, Estado do Pará.",2022,CCDD,Comissão de Comunicação e Direito Digital
35,Relator,2023-12-05,PDL 129/2022,"Aprova o ato que renova a autorização outorgada à Associação Rádio Comunitária Guarany FM para executar serviço de radiodifusão comunitária no Município de Abaetetuba, Estado do Pará.",2022,CCDD,Comissão de Comunicação e Direito Digital
35,Relator,2023-12-05,PDL 148/2022,"Aprova o ato que renova a autorização outorgada à Associação Comunitária Unidos para Sempre para executar serviço de radiodifusão comunitária no Município de Conceição do Araguaia, Estado do Pará.",2022,CCDD,Comissão de Comunicação e Direito Digital
35,Relator,2023-12-05,PDL 130/2022,"Aprova o ato que renova a autorização outorgada à Associação Comunitária de Comunicações (Rádio Princesa do Atlântico FM) para executar serviço de radiodifusão comunitária no Município de Maracanã, Estado do Pará.",2022,CCDD,Comissão de Comunicação e Direito Digital
35,Relator,2023-12-05,PDL 131/2022,"Aprova o ato que renova a autorização outorgada à Associação Cultural dos Amigos e Amigas de Nova Esperança do Piriá - ACANEP para executar serviço de radiodifusão comunitária no Município de Nova Esperança do Piriá, Estado do Pará.",2022,CCDD,Comissão de Comunicação e Direito Digital
35,Relator,2023-12-05,PDL 386/2023,"Aprova o ato que outorga autorização à Associação de Amigos da Radiodifusão Comunitária de Primavera - ARCOP para executar serviço de radiodifusão comunitária no Município de Primavera, Estado do Pará.",2023,CCDD,Comissão de Comunicação e Direito Digital
35,Relator,2023-12-05,MSF 96/2023,"Solicita, nos termos do art. 52, incisos V, VII e VIII, da Constituição, autorização para a contratação de operação de crédito externo, com a garantia da República Federativa do Brasil no valor de até US$ 60,000,000.00 (sessenta milhões de dólares dos Estados Unidos da América), de principal, entre o Município de Belém, Estado do Pará, e o Fundo Financeiro para o Desenvolvimento da Bacia do Prata - FONPLATA.",2023,CAE,Comissão de Assuntos Econômicos
35,Relator,2023-09-04,PDL 535/2021,"Aprova o ato que renova a autorização outorgada à Associação Comunitária Shalon para executar serviço de radiodifusão comunitária no Município de João Pinheiro, Estado de Minas Gerais.",2021,CCDD,Comissão de Comunicação e Direito Digital
35,Relator,2023-09-04,PDL 947/2021,"Aprova o ato que renova a autorização outorgada à Ação Social Comunitária de Capim Branco - ASCOCAB para executar serviço de radiodifusão comunitária no Município de Capim Branco, Estado de Minas Gerais.",2021,CCDD,Comissão de Comunicação e Direito Digital
35,Relator,2023-09-04,PDL 475/2021,"Aprova o ato que renova a autorização outorgada à Associação Cultural de Engenheiro Caldas para executar serviço de radiodifusão comunitária no Município de Engenheiro Caldas, Estado de Minas Gerais.",2021,CCDD,Comissão de Comunicação e Direito Digital
35,Relator,2023-09-04,PDL 996/2021,"Aprova o ato que renova a autorização outorgada à Associação Novaresendense de Difusão e Apoio - ANDA para executar serviço de radiodifusão comunitária no Município de Nova Resende, Estado de Minas Gerais.",2021,CCDD,Comissão de Comunicação e Direito Digital
35,Relator,2023-09-04,PDL 133/2022,"Aprova o ato que renova a autorização outorgada à Associação Comunitária Rádio Perdigão Eventos Comunitários e Culturais da Cidade de Perdigão para executar serviço de radiodifusão comunitária no Município de Perdigão, Estado de Minas Gerais.",2022,CCDD,Comissão de Comunicação e Direito Digital
35,Relator,2023-09-04,PDL 144/2022,"Aprova o ato que renova a autorização outorgada à Associação Cultural Comunitária de Belo Oriente para executar serviço de radiodifusão comunitária no Município de Belo Oriente, Estado de Minas Gerais.",2022,CCDD,Comissão de Comunicação e Direito Digital
35,Relator,2023-09-04,PDL 992/2021,"Aprova o ato que renova a autorização outorgada à Associação Cultural, Educativa e Desportiva de Bonfinópolis de Minas para executar serviço de radiodifusão comunitária no Município de Bonfinópolis de Minas, Estado de Minas Gerais.",2021,CCDD,Comissão de Comunicação e Direito Digital
35,Relator,2023-09-04,PDL 946/2021,"Aprova o ato que renova a autorização outorgada à Associação de Rádio Comunicação Comunitária Lafaiete para executar serviço de radiodifusão comunitária no Município de Conselheiro Lafaiete, Estado de Minas Gerais.",2021,CCDD,Comissão de Comunicação e Direito Digital
35,Relator,2023-09-04,PDL 995/2021,"Aprova o ato que renova a autorização outorgada à Associação Comunitária de Radiodifusão para o Desenvolvimento Artístico e Cultural de Rádio e TV de Luminárias para executar serviço de radiodifusão comunitária no Município de Luminárias, Estado de Minas Gerais.",2021,CCDD,Comissão de Comunicação e Direito Digital
35,Relator,2023-09-04,PDL 542/2021,"Aprova o ato que renova a autorização outorgada à Associação de Comunicação Comunitária América para executar serviço de radiodifusão comunitária no Município de Camanducaia, Estado de Minas Gerais.",2021,CCDD,Comissão de Comunicação e Direito Digital
35,Relator,2023-06-01,PL 1051/2020,"Altera a Lei nº 9.537, de 11 de dezembro de 1997, para prever a obrigação de elaboração de lista de passageiros e de itinerário da embarcação.",2020,CI,Comissão de Serviços de Infraestrutura
35,Relator,2023-05-09,PL 520/2022,"Altera a Lei nº 4.947, de 6 de abril de 1966, o Decreto-Lei nº 2.848, de 7 de dezembro de 1940, (Código Penal), e a Lei nº 6.739, de 5 de dezembro de 1979, para dispor sobre o crime de invasão de terras públicas a partir de fraude e falsificação de títulos de propriedade.",2022,CRA,Comissão de Agricultura e Reforma Agrária
35,Relator,2023-04-12,PLC 29/2017,"Dispõe sobre normas de seguro privado; revoga dispositivos da Lei nº 10.406, de 10 de janeiro de 2002 (Código Civil); e dá outras providências.",2017,CCJ,"Comissão de Constituição, Justiça e Cidadania"
