codigoParlamentar,TipoRelator,DataDesignacao,Identificacao,Ementa,AnoMateria,SiglaComissao,NomeComissao
6351,Relator Ad hoc,2024-06-25,MSF 14/2024,"Submete à apreciação do Senado Federal, nos termos do art. 52, incisos V, VII e VIII, da Constituição, autorização para contratação de operação de crédito externo, com a garantia da República Federativa do Brasil, no valor de até US$ 300,000,000.00 (trezentos milhões de dólares dos Estados Unidos da América), de principal, entre o Banco do Nordeste do Brasil - BNB e o Banco Interamericano de Desenvolvimento - BID, cujos recursos destinam-se ao financiamento do Programa de Desenvolvimento Produtivo da Região Nordeste (PRODEPRO).",2024,CAE,Comissão de Assuntos Econômicos
6351,Relator,2024-06-17,PL 2975/2023,"Altera o Decreto-Lei nº 2.848, de 7 de dezembro de 1940 (Código Penal), e as Leis nºs 11.340, de 7 de agosto de 2006 (Lei Maria da Penha), 8.080, de 19 de setembro de 1990 (Lei Orgânica da Saúde), e 9.394, de 20 de dezembro de 1996 (Lei de Diretrizes e Bases da Educação Nacional), para incluir a mulher indígena na legislação de enfrentamento da violência e de promoção da saúde e da educação.",2023,CE,Comissão de Educação e Cultura
6351,Relator,2024-06-12,PL 24/2020,"Reconhece as expressões artísticas charge, caricatura, cartum e grafite como manifestações da cultura brasileira.",2020,CE,Comissão de Educação e Cultura
6351,Relator,2024-06-12,PL 2229/2021,Institui o Dia Nacional do Funk.,2021,CE,Comissão de Educação e Cultura
6351,Relator,2024-06-12,PL 2345/2023,Declara a Cultne como manifestação da cultura brasileira.,2023,CE,Comissão de Educação e Cultura
6351,Relator,2024-06-10,PL 2994/2020,"Altera a Lei nº 11.771, de 17 de setembro de 2008, para dispor sobre o turismo colaborativo.",2020,PLEN,Plenário do Senado Federal
6351,Relator,2024-05-21,PL 4607/2020,"Altera a Lei nº 8.069, de 13 de julho de 1990, “Estatuto da Criança e do Adolescente” e a Lei nº 13.431, de 14 de abril de 2017, que “estabelece o sistema de garantia de direitos da criança e do adolescente vítima ou testemunha de violência” para aperfeiçoar os mecanismos de proteção aos menores e adolescentes vítimas de violência.",2020,CSP,Comissão de Segurança Pública
6351,Relator,2024-05-20,PL 475/2024,"Veda a adoção de critérios discriminatórios contra estudantes e pesquisadores em virtude de gestação, de parto, de nascimento de filho ou de adoção ou obtenção de guarda judicial para fins de adoção nos processos de seleção para bolsas de estudo e pesquisa das instituições de educação superior e das agências de fomento à pesquisa.",2024,CDH,Comissão de Direitos Humanos e Legislação Participativa
6351,Relator,2024-05-20,PL 5386/2023,"Altera a Lei nº 10.257, de 10 de julho de 2001 (Estatuto da Cidade), para incluir diretriz de política urbana relativa à construção, instalação, sinalização, higienização e conservação de equipamentos de uso coletivo.",2023,CDH,Comissão de Direitos Humanos e Legislação Participativa
6351,Relator,2024-05-15,PL 2737/2019,"Altera as Leis nºs 11.340, de 7 de agosto de 2006 (Lei Maria da Penha), e 13.239, de 30 de dezembro de 2015, para estabelecer prioridade no atendimento social, psicológico e médico à mulher vítima de violência doméstica e familiar.",2019,PLEN,Plenário do Senado Federal
6351,Relator,2024-04-24,PL 996/2023,"Altera a Lei nº 11.346, de 15 de setembro de 2006, que cria o Sistema de Segurança Alimentar e Nutricional – SISAN, para garantir o abastecimento de cestas básicas à rede de acolhimento a mulheres em situação de violência doméstica e familiar.",2023,CAE,Comissão de Assuntos Econômicos
6351,Relator,2024-04-24,PL 1098/2023,"Dispõe sobre o apoio ao empreendedorismo feminino e dá outras providências, altera a Lei nº 13.636, de 20 de março de 2018, que institui o Programa Nacional de Microcrédito Produtivo Orientado (PNMPO), para determinar prioridade de atendimento a negócios controlados por mulheres, e dá outras providências.",2023,CAE,Comissão de Assuntos Econômicos
6351,Relator,2024-04-24,PL 350/2021,"Institui a linha oficial de pobreza e estabelece que o Governo Federal deverá definir metas progressiva erradicação da pobreza e diminuição das desigualdades socioeconômicas, e dá outras providências.",2021,CAE,Comissão de Assuntos Econômicos
6351,Relator,2024-04-24,PL 321/2021,Proíbe o custeio com recursos públicos da administração direta ou indireta de iniciativas que não garantam entre atletas homens e atletas mulheres valores idênticos pagos a título de premiação nas competições desportivas que organizarem ou de que participarem.,2021,CAE,Comissão de Assuntos Econômicos
6351,Relator,2024-04-24,PLS 254/2017,"Revoga o art. 394-A, da Consolidação das Leis do Trabalho (CLT), aprovado pelo Decreto – Lei n° 5.452, de 1º de maio de 1943, com a redação dada pela Lei nº 13.467, de 13 de julho de 2017, e restabelece a Lei nº 13.287, de 11 de maio de 2016, a fim de proibir o trabalho da gestante ou lactante em atividades, operações ou locais insalubres.",2017,CAE,Comissão de Assuntos Econômicos
