codigoParlamentar,TipoRelator,DataDesignacao,Identificacao,Ementa,AnoMateria,SiglaComissao,NomeComissao
581,Relator,2024-07-09,PL 2249/2024,"Altera o Anexo VIII da Lei nº 6.938, de 31 de agosto de 1981, para retirar o recondicionamento de pneumáticos da relação de atividades potencialmente poluidoras e utilizadoras de recursos ambientais.",2024,CAE,Comissão de Assuntos Econômicos
581,Relator,2024-07-09,PL 4719/2020,"Estabelece a isenção de tributos federais para a doação de medicamentos à União, aos Estados, ao Distrito Federal e aos Municípios, às santas casas de misericórdia, à Cruz Vermelha Brasileira e a entidades beneficentes certificadas na forma da Lei Complementar nº 187, de 16 de dezembro de 2021.",2020,PLEN,Plenário do Senado Federal
581,Relator,2024-07-09,PL 1847/2024,"Estabelece um regime de transição para a contribuição substitutiva prevista pelos arts. 7º e 8º da Lei nº 12.546, de 14 de dezembro de 2011, e para o adicional sobre a Cofins-Importação previsto pelo § 21 do art. 8º da Lei nº 10.865, de 30 de abril de 2004.",2024,PLEN,Plenário do Senado Federal
581,Relator,2024-07-03,MSF 18/2024,"Submete à apreciação do Senado Federal, de conformidade com o art. 52, inciso IV, da Constituição, e com o art. 39, combinado com o art. 46 da Lei nº 11.440, de 2006, o nome do Senhor COLBERT SOARES PINTO JUNIOR, Ministro de Segunda Classe do Quadro Especial da Carreira de Diplomata do Ministério das Relações Exteriores, para exercer o cargo de Embaixador do Brasil em Santa Lúcia e, cumulativamente, na Comunidade da Dominica.",2024,CRE,Comissão de Relações Exteriores e Defesa Nacional
581,Relator,2024-06-24,MSF 14/2024,"Submete à apreciação do Senado Federal, nos termos do art. 52, incisos V, VII e VIII, da Constituição, autorização para contratação de operação de crédito externo, com a garantia da República Federativa do Brasil, no valor de até US$ 300,000,000.00 (trezentos milhões de dólares dos Estados Unidos da América), de principal, entre o Banco do Nordeste do Brasil - BNB e o Banco Interamericano de Desenvolvimento - BID, cujos recursos destinam-se ao financiamento do Programa de Desenvolvimento Produtivo da Região Nordeste (PRODEPRO).",2024,CAE,Comissão de Assuntos Econômicos
581,Relator,2024-06-07,PL 1863/2022,Institui Contribuição de Intervenção no Domínio Econômico incidente sobre a importação e a comercialização de produtos agroindustriais.,2022,CRE,Comissão de Relações Exteriores e Defesa Nacional
581,Relator,2024-05-27,PL 1213/2024,"Cria as carreiras de Especialista em Indigenismo, de Técnico em Indigenismo e de Tecnologia da Informação; cria o Plano Especial de Cargos da Funai (PECFunai) e o quadro suplementar da Fundação Nacional dos Povos Indígenas (Funai); define o órgão supervisor e altera a remuneração do cargo de Analista-Técnico de Políticas Sociais; altera a remuneração das carreiras e do Plano Especial de Cargos da Agência Nacional de Mineração (PEC-ANM); altera a remuneração dos cargos das carreiras de Policial Federal e de Policial Rodoviário Federal; cria a Polícia Penal Federal e a carreira de Policial Penal Federal; altera a remuneração dos cargos de Especialista Federal em Assistência à Execução Penal e de Técnico Federal de Apoio à Execução Penal; altera as Leis nºs 11.907, de 2 de fevereiro de 2009, 12.702, de 7 de agosto de 2012, 12.094, de 19 de novembro de 2009, 11.046, de 27 de dezembro de 2004, 10.871, de 20 de maio de 2004, 13.575, de 26 de dezembro de 2017, 14.204, de 16 de setembro de 2021, 14.600, de 19 de junho de 2023, 10.887, de 18 de junho de 2004, 11.358, de 19 de outubro de 2006, 9.654, de 2 de junho de 1998, 8.691, de 28 de julho de 1993, 12.277, de 30 de junho de 2010, e 11.356, de 19 de outubro de 2006; e revoga a Lei nº 10.693, de 25 de junho de 2003, e a Medida Provisória nº 1.203, de 29 de dezembro de 2023, e dispositivos das Leis nºs 8.460, de 17 de setembro de 1992, 11.357, de 19 de outubro de 2006, 11.538, de 8 de novembro de 2007, 12.775, de 28 de dezembro de 2012, 13.324, de 29 de julho de 2016, 13.327, de 29 de julho de 2016, 13.371, de 14 de dezembro de 2016, e 14.673, de 14 de setembro de 2023.",2024,PLEN,Plenário do Senado Federal
581,Relator,2024-05-14,PL 4129/2021,Dispõe sobre diretrizes gerais para a elaboração de planos de adaptação à mudança do clima.,2021,CCJ,"Comissão de Constituição, Justiça e Cidadania"
581,Relator Ad hoc,2024-05-08,PL 496/2023,"Altera o art. 20 da Lei nº 9.605, de 12 de fevereiro de 1998 (Lei de Crimes Ambientais), para dispor na sentença penal condenatória à reparação integral, material e moral nos casos de crimes ambientais.",2023,CMA,Comissão de Meio Ambiente
581,Relator,2024-04-30,PL 748/2024,"Altera o art. 25 do Decreto-Lei nº 2.848, de 7 de dezembro de 1940 – Código Penal, para ampliar as hipóteses de legítima defesa, nos casos de invasão de domicílio.",2024,CSP,Comissão de Segurança Pública
