codigoParlamentar,TipoRelator,DataDesignacao,Identificacao,Ementa,AnoMateria,SiglaComissao,NomeComissao
4531,Relator,2024-07-10,PEC 18/2024,Dá nova redação ao § 4º do art. 225 da Constituição Federal para incluir entre os patrimônios nacionais o Pantanal Sul-Mato-Grossense.,2024,CCJ,"Comissão de Constituição, Justiça e Cidadania"
4531,Relator,2024-07-03,PEC 16/2024,Altera o Ato das Disposições Constitucionais Transitórias da Constituição Federal para criar o Fundo Nacional para Emergências Climáticas.,2024,CCJ,"Comissão de Constituição, Justiça e Cidadania"
4531,Relator Revisor,2024-07-02,MPV 1233/2024,"Abre crédito extraordinário, em favor dos Ministérios da Fazenda, das Cidades, e de Portos e Aeroportos, e de Operações Oficiais de Crédito, no valor de R$ 17.587.897.059,00, para os fins que especifica.",2024,CMO,"Comissão Mista de Planos, Orçamentos Públicos e Fiscalização"
4531,Relator Ad hoc,2024-06-19,PDL 183/2020,"Susta a Instrução Normativa nº 9, de 16 de abril de 2020, que disciplina o requerimento, análise e emissão da Declaração de Reconhecimento de Limites em relação a imóveis privados.",2020,CMA,Comissão de Meio Ambiente
4531,Relator Ad hoc,2024-06-19,PDL 187/2020,"Susta a Instrução Normativa nº 9, de 16 de abril de 2020, do Ministério da Justiça/Fundação Nacional do Índio, que “Disciplina o requerimento, análise e emissão da Declaração de Reconhecimento de Limites em relação a imóveis privados.”",2020,CMA,Comissão de Meio Ambiente
4531,Relator Ad hoc,2024-06-04,PL 4633/2023,"Denomina “Avenida Prefeito Francisco Alves Andrade” o trecho da BR-135, compreendido entre os quilômetros 374,5 e 379,7 na travessia urbana no município de São Domingos do Maranhão, Estado do Maranhão, e dá outras providências.",2023,CI,Comissão de Serviços de Infraestrutura
4531,Relator Revisor,2024-05-14,MPV 1204/2023,"Abre crédito extraordinário, em favor do Ministério da Integração e do Desenvolvimento Regional, no valor de R$ 314.000.000,00, para os fins que especifica.",2023,CMO,"Comissão Mista de Planos, Orçamentos Públicos e Fiscalização"
4531,Relator,2024-05-02,PL 768/2019,"Denomina Viaduto Vicente Vitagliano o viaduto localizado no Km 72,8 da rodovia BR-153, no Município de São José do Rio Preto, Estado de São Paulo.",2019,CI,Comissão de Serviços de Infraestrutura
4531,Relator,2024-04-24,OFS 2/2024,"Submete à apreciação do Senado Federal, nos termos do art. 103-B, inciso XII, da Constituição Federal, a indicação do Senhor ULISSES RABANEDA DOS SANTOS, para compor o Conselho Nacional de Justiça - CNJ, na vaga destinada à OAB.",2024,CCJ,"Comissão de Constituição, Justiça e Cidadania"
4531,Relator,2024-04-23,PL 1085/2024,"Dispõe sobre a renegociação de dívidas oriundas de operações de crédito rural de custeio pecuário e de investimento rural de produtores de leite, institui linha emergencial de crédito rural para beneficiários do Pronaf e Pronamp e cria linha de capital de giro para todos os produtores de leite.",2024,CRA,Comissão de Agricultura e Reforma Agrária
