codigoParlamentar,TipoRelator,DataDesignacao,Identificacao,Ementa,AnoMateria,SiglaComissao,NomeComissao
5895,Relator,2024-06-05,PL 1552/2024,"Altera a Lei n. 9.504, de 30 de setembro de 1997 (Lei das Eleições) e a Lei n. 9.096, de 19 de setembro de 1995 (Lei dos Partidos Políticos) para obrigar a destinação de recursos dos fundos eleitoral e partidário para medidas de enfrentamento de calamidade pública ou desastres naturais.",2024,CAE,Comissão de Assuntos Econômicos
5895,Relator,2024-06-05,PL 1679/2024,"Dispõe sobre fonte de recursos para o financiamento das despesas emergenciais, relativas à decretação de calamidade pública no Estado do Rio Grande do Sul, de que trata o Decreto Legislativo nº 36, de 2024.",2024,CAE,Comissão de Assuntos Econômicos
5895,Relator,2024-06-05,PL 1745/2024,"Altera a Lei nº 9.504, de 30 de setembro de 1997, para destinar parcela dos recursos do Fundo Especial de Financiamento de Campanha para o Fundo Nacional para Calamidades Públicas, Proteção e Defesa Civil (Funcap).",2024,CAE,Comissão de Assuntos Econômicos
5895,Relator,2024-06-05,PL 1537/2024,"Dispõe sobre o remanejamento de recursos do Fundo Eleitoral para as obras de reconstrução e recuperação do estado do Rio Grande do Sul, afetado pela maior catástrofe climática já registrada.",2024,CAE,Comissão de Assuntos Econômicos
5895,Relator,2024-06-05,PL 6086/2023,"Regulamenta o exercício das profissões de Praticante Avançado de Ayurveda, Terapeuta Ayurveda e Consultor de Saúde Ayurveda.",2023,CAE,Comissão de Assuntos Econômicos
5895,Relator,2024-06-05,PL 3467/2023,"Altera a Lei nº 9.008, de 21 de março de 1995, para incluir nas ações passíveis de receber recursos do Fundo de Defesa de Direitos Difusos a reparação dos danos causados aos animais, bem como permitir a promoção de atividades e eventos que contribuam para a proteção de seus direitos.",2023,CAE,Comissão de Assuntos Econômicos
5895,Relator,2024-06-05,PL 3403/2023,Veda a utilização de quaisquer meios de pagamentos no Brasil para a realização de transações em sítios eletrônicos de apostas em jogos ilícitos.,2023,CAE,Comissão de Assuntos Econômicos
5895,Relator,2024-06-05,PL 1766/2023,Institui o Programa Nacional de Incentivo à Educação Superior (PRONIES).,2023,CAE,Comissão de Assuntos Econômicos
5895,Relator,2024-06-05,PL 1566/2023,Cria o Programa de Aproveitamento dos Reservatórios das Usinas Hidrelétricas (PARUH) para a geração de energia elétrica a partir de painéis solares fotovoltaicos.,2023,CAE,Comissão de Assuntos Econômicos
5895,Relator,2024-06-05,PL 442/2022,Dispõe sobre o Programa de Incentivo para a Maturidade Digital de Micro e Pequenas Empresas.,2022,CAE,Comissão de Assuntos Econômicos
5895,Relator,2024-06-05,PLP 199/2021,"Altera a Lei Complementar nº 101, de 4 de maio de 2000, para proibir a limitação de despesas orçamentárias com bolsas e auxílios em instituições de ensino superior.",2021,CAE,Comissão de Assuntos Econômicos
5895,Relator,2024-05-28,PL 3225/2019,Institui o Dia Nacional das Torcidas Organizadas.,2019,CEsp,Comissão de Esporte
5895,Relator,2024-05-14,PL 6031/2019,"Dispõe sobre a criação, normatização e o funcionamento dos jardins botânicos, estabelece o Sistema Nacional de Jardins Botânicos, cria o Conselho Nacional de Jardins Botânicos e dá outras providências.",2019,CMA,Comissão de Meio Ambiente
