codigoParlamentar,TipoRelator,DataDesignacao,Identificacao,Ementa,AnoMateria,SiglaComissao,NomeComissao
6369,Relator,2024-07-10,PL 147/2024,"Altera a Lei nº 14.448, de 9 de setembro de 2022, para prever o Projeto Banco Vermelho, ações de conscientização em lugares públicos e premiação de projetos no âmbito do Agosto Lilás, mês destinado à conscientização para o fim da violência contra a mulher.",2024,PLEN,Plenário do Senado Federal
6369,Relator,2024-07-09,PL 4797/2023,"Altera a Lei nº 8.078, de 11 de setembro de 1990, a Lei nº 10.741, de 1º de outubro de 2003 (Estatuto da Pessoa Idosa), e a Lei nº 12.213, de 20 de janeiro de 2010, para dispor sobre a formação de cuidadores de idosos, sobre instituições de longa permanência e sua fiscalização, sobre a qualificação de profissionais que atendam a pessoa idosa, sobre a divulgação de direitos, bem como sobre prioridades do financiamento realizado pelo Fundo Nacional do Idoso.",2023,CAS,Comissão de Assuntos Sociais
6369,Relator,2024-07-09,PLP 89/2022,"Altera a Lei nº 5.172, de 25 de outubro de 1966 (Código Tributário Nacional), e a Lei Complementar nº 87, de 13 de setembro de 1996 (Lei Kandir), para considerar bens essenciais os produtos que compõem a Cesta Básica Nacional.",2022,CAS,Comissão de Assuntos Sociais
6369,Relator,2024-07-09,PL 350/2021,"Institui a linha oficial de pobreza e estabelece que o Governo Federal deverá definir metas progressiva erradicação da pobreza e diminuição das desigualdades socioeconômicas, e dá outras providências.",2021,CAS,Comissão de Assuntos Sociais
6369,Relator,2024-07-09,PL 1701/2021,"Altera a Consolidação das Leis do Trabalho (CLT), aprovada pelo Decreto-Lei nº 5.452, de 1º de maio de 1943, e as Leis nº 8.212 e nº 8.213, de 24 de julho de 1991, para dispor sobre o direito da empregada gestante à licença-gestante e ao salário-gestante durante períodos de emergência em saúde pública de importância nacional reconhecida pelo Poder Executivo Federal.",2021,CAS,Comissão de Assuntos Sociais
6369,Relator,2024-07-04,PL 2259/2024,"Confere ao Município de Pacajus, no Estado do Ceará, o título de Capital Nacional da Castanha de Caju.",2024,CRA,Comissão de Agricultura e Reforma Agrária
6369,Relator,2024-06-28,PL 1160/2019,"Altera as Leis nºs 11.079, de 30 de dezembro de 2004, e 13.019, de 31 de julho de 2014, para disciplinar a celebração de parcerias, quanto ao objeto que especifica, por universidades públicas federais e instituições de ensino integrantes da Rede Federal de Educação Profissional, Científica e Tecnológica prevista na Lei nº 11.892, de 29 de dezembro de 2008, e dá outras providências.",2019,CCT,"Comissão de Ciência, Tecnologia, Inovação e Informática"
6369,Relator,2024-06-20,PL 147/2024,"Altera a Lei nº 14.448, de 9 de setembro de 2022, para prever o Projeto Banco Vermelho, ações de conscientização em lugares públicos e premiação de projetos no âmbito do Agosto Lilás, mês destinado à conscientização para o fim da violência contra a mulher.",2024,CE,Comissão de Educação e Cultura
6369,Relator,2024-06-12,PL 46/2021,Obriga a divulgação por fabricantes e comerciantes de produtos e serviços relacionados a animais de que a prática de abandono e maus-tratos a animais constitui crime.,2021,CRA,Comissão de Agricultura e Reforma Agrária
6369,Relator,2024-05-20,PL 147/2024,"Altera a Lei nº 14.448, de 9 de setembro de 2022, para prever o Projeto Banco Vermelho, ações de conscientização em lugares públicos e premiação de projetos no âmbito do Agosto Lilás, mês destinado à conscientização para o fim da violência contra a mulher.",2024,CDH,Comissão de Direitos Humanos e Legislação Participativa
6369,Relator,2024-05-20,PL 5781/2023,"Altera o Decreto-Lei nº 3.689, de 3 de outubro de 1941 (Código de Processo Penal), para permitir que o juiz, de ofício, decrete medidas cautelares, inclusive prisão preventiva, e converta a prisão em flagrante em preventiva, nos casos de crime praticado com violência doméstica e familiar contra a mulher, de que trata a Lei nº 11.340, de 7 de agosto de 2006 (Lei Maria da Penha).",2023,CDH,Comissão de Direitos Humanos e Legislação Participativa
6369,Relator Ad hoc,2024-05-15,PL 5333/2023,Dispõe sobre a valorização e o empoderamento das pessoas com deficiência nas peças publicitárias de órgãos da administração pública direta e indireta.,2023,CDH,Comissão de Direitos Humanos e Legislação Participativa
6369,Relator Ad hoc,2024-05-15,PL 4189/2019,"Dispõe sobre a coloração da órtese externa denominada bengala longa, para fins de identificação da condição de seu usuário.",2019,CDH,Comissão de Direitos Humanos e Legislação Participativa
6369,Relator,2024-05-06,PRS 48/2023,Institui a Frente Parlamentar Mista em Defesa da Assistência Social da Segurança Alimentar.,2023,CAS,Comissão de Assuntos Sociais
6369,Relator,2024-03-26,PL 2221/2023,"Altera a Lei nº 8.080, de 19 de setembro de 1990 (Lei Orgânica da Saúde), para dispor sobre o atendimento de mulheres vítimas de violência em ambiente privativo e individualizado nos serviços de saúde prestados no âmbito do Sistema Único de Saúde.",2023,PLEN,Plenário do Senado Federal
6369,Relator,2024-03-06,PL 4531/2023,"Altera a Lei nº 6.202, de 17 de abril de 1975, para assegurar a oferta de ensino remoto às estudantes gestantes, lactantes e adotantes de crianças de até seis meses de idade.",2023,CDH,Comissão de Direitos Humanos e Legislação Participativa
6369,Relator,2024-03-05,PDL 194/2020,"Susta a Portaria Nº 1.122, de 19 de março de 2020, que “Define as prioridades, no âmbito do Ministério da Ciência, Tecnologia, Inovações e Comunicações (MCTIC), no que se refere a projetos de pesquisa, de desenvolvimento de tecnologias e inovações, para o período 2020 a 2023 e, por consequência, a Portaria Nº 1.329 de 27 de março de 2020, que “Altera a Portaria nº 1.122, de 19 de março de 2020, que define as prioridades, no âmbito do Ministério da Ciência, Tecnologia, Inovações e Comunicações (MCTIC), no que se refere a projetos de pesquisa, de desenvolvimento de tecnologias e inovações, para o período 2020 a 2023”.",2020,CCT,"Comissão de Ciência, Tecnologia, Inovação e Informática"
6369,Relator,2024-02-29,PL 1054/2020,"Altera a Lei nº 9.096, de 19 de setembro de 1995 (Lei dos Partidos Políticos), para dispor sobre os recursos previstos para os programas de promoção e difusão da participação política das mulheres.",2020,CDH,Comissão de Direitos Humanos e Legislação Participativa
6369,Relator,2024-02-29,PL 1648/2020,"Altera a Lei nº 8.213, de 24 de julho de 1990, que dispõe sobre os Planos de Benefícios da Previdência Social e dá outras providências, e o Decreto-Lei nº 5.452, de 1º de maio de 1943, que aprova a Consolidação das Leis do Trabalho, para determinar que os prazos de licença-maternidade e de recebimento do salário-maternidade sejam acrescidos do número de dias em que o recémnascido prematuro permanecer em internação hospitalar.",2020,CDH,Comissão de Direitos Humanos e Legislação Participativa
6369,Relator,2024-02-29,PL 1889/2022,"Altera a Lei nº 8.069, de 13 de julho de 1990 (Estatuto da Criança e do Adolescente), para disciplinar a divulgação do desaparecimento de crianças e adolescentes.",2022,CDH,Comissão de Direitos Humanos e Legislação Participativa
6369,Relator,2024-02-29,PL 301/2021,"Altera o Decreto-Lei nº 2.848, de 7 de dezembro de 1940 (Código Penal), o Decreto-Lei nº 3.689, de 3 de outubro de 1941 (Código de Processo Penal), e a Lei nº 11.340, de 7 de agosto de 2006, para dispor sobre a proteção da mulher em situação de violência doméstica e familiar.",2021,CDH,Comissão de Direitos Humanos e Legislação Participativa
6369,Relator,2024-02-29,PL 4226/2021,"Altera a Lei nº 6.015, de 31 de dezembro de 1973, que dispõe sobre os registros públicos, para tornar gratuita e online a emissão da segunda via da certidão de nascimento para os cidadãos em situação de vulnerabilidade social.",2021,CDH,Comissão de Direitos Humanos e Legislação Participativa
6369,Relator,2024-02-29,PL 896/2023,"Altera a Lei nº 7.716, de 5 de janeiro de 1989, para incluir os crimes praticados em razão de misoginia.",2023,CDH,Comissão de Direitos Humanos e Legislação Participativa
6369,Relator,2024-02-29,PL 985/2023,"Altera a Lei nº 7.716, de 5 de janeiro de 1989, para incluir os crimes praticados em razão de misoginia.",2023,CDH,Comissão de Direitos Humanos e Legislação Participativa
6369,Relator,2024-02-29,PL 3085/2021,"Altera a Lei nº 9.394, de 20 de dezembro de 1996, que estabelece as diretrizes e bases da educação nacional, para dispor sobre a adoção de metodologias ativas de aprendizagem no ensino fundamental e no ensino médio.",2021,CE,Comissão de Educação e Cultura
6369,Relator,2024-02-29,PL 3074/2019,Dispõe sobre a cooficialização das línguas indígenas nos Municípios brasileiros que possuem comunidades indígenas.,2019,CE,Comissão de Educação e Cultura
6369,Relator,2024-02-29,PL 2755/2022,Institui o Dia Nacional do Nordestino.,2022,CE,Comissão de Educação e Cultura
6369,Relator,2024-02-27,PL 4358/2023,Institui o Certificado Empresa Promotora da Saúde Mental e estabelece os requisitos para a concessão da certificação.,2023,PLEN,Plenário do Senado Federal
6369,Relator,2024-02-26,PLS 175/2017,"Revoga o § 12 do art. 60 da Lei nº 8.213, de 24 de julho de 1991, que dispõe sobre os Planos de Benefícios da Previdência Social e dá outras providências.",2017,CAS,Comissão de Assuntos Sociais
6369,Relator,2024-02-26,PL 853/2019,Institui a Semana Nacional de Conscientização sobre os Cuidados com as Gestantes e as Mães.,2019,CAS,Comissão de Assuntos Sociais
6369,Relator,2024-02-26,PL 5512/2020,Estabelece incentivo e financiamento à política de assistência social por meio de doações de pessoas físicas ou jurídicas e dá outras providenciais.,2020,CAS,Comissão de Assuntos Sociais
6369,Relator,2024-02-26,PL 541/2022,"Altera a Lei nº 11.053, de 29 de dezembro de 2004, a fim de facultar aos participantes de planos de previdência privada a opção de alteração do regime de tributação (de progressiva para regressiva) a qualquer tempo, e não apenas quando de seu ingresso, como estabelece a legislação em vigor.",2022,CAS,Comissão de Assuntos Sociais
