codigoParlamentar,TipoRelator,DataDesignacao,Identificacao,Ementa,AnoMateria,SiglaComissao,NomeComissao
4811,Relator,2024-06-25,PLP 74/2024,"Altera a Lei Complementar nº 123, de 14 de dezembro de 2006, para incentivar o investimento em microempresas e em empresas de pequeno porte.",2024,CAE,Comissão de Assuntos Econômicos
4811,Relator Ad hoc,2024-06-25,PL 768/2019,"Denomina Viaduto Vicente Vitagliano o viaduto localizado no Km 72,8 da rodovia BR-153, no Município de São José do Rio Preto, Estado de São Paulo.",2019,CI,Comissão de Serviços de Infraestrutura
4811,Relator,2024-06-12,PL 2080/2022,Institui o Agosto Cinza como mês de reflexão e promoção de eventos sobre prevenção e combate a incêndios.,2022,CE,Comissão de Educação e Cultura
4811,Relator,2024-05-23,PL 327/2021,"Institui o Programa de Aceleração da Transição Energética (Paten); e altera as Leis nºs 13.988, de 14 de abril de 2020, 11.484, de 31 de maio de 2007, e 9.991, de 24 de julho de 2000.",2021,CI,Comissão de Serviços de Infraestrutura
4811,Relator,2024-05-07,PL 1167/2024,"Altera a Lei nº 11.947, de 16 de junho de 2009, que dispõe sobre o atendimento da alimentação escolar e do Programa Dinheiro Direto na Escola aos alunos da educação básica; altera as Leis nos 10.880, de 9 de junho de 2004, 11.273, de 6 de fevereiro de 2006, 11.507, de 20 de julho de 2007; revoga dispositivos da Medida Provisória no 2.178-36, de 24 de agosto de 2001, e a Lei nº 8.913, de 12 de julho de 1994; e dá outras providências, para incluir carne de peixe e seus derivados no cardápio da educação escolar.",2024,CRA,Comissão de Agricultura e Reforma Agrária
4811,Relator,2024-04-24,PLP 24/2024,"Altera a Lei Complementar nº 123, de 14 de dezembro de 2006, para elevar a R$120.000,00 o valor de receita bruta anual que permite o enquadramento como Microempreendedor Individual (MEI), bem como prever a correção anual do limite pela variação do Índice Nacional de Preços ao Consumidor Amplo (IPCA) acumulada nos doze meses imediatamente anteriores ao mês de janeiro de cada ano.",2024,CAE,Comissão de Assuntos Econômicos
4811,Relator,2024-04-24,PL 3394/2023,"Altera as Leis nºs 8.212, de 24 de Julho de 1991, e Lei nº 8.213 de 24 de Julho de 1991, que dispõem sobre a organização da Seguridade Social, institui o Plano de Custeio e os Planos de Benefícios da Previdência Social.",2023,CAE,Comissão de Assuntos Econômicos
4811,Relator,2024-04-10,PL 490/2024,Institui o Estatuto do Motorista Profissional.,2024,CI,Comissão de Serviços de Infraestrutura
4811,Relator Ad hoc,2024-04-09,PL 361/2022,"Torna obrigatória a divulgação, pela prestadora do serviço público de distribuição de energia elétrica, de informações relativas ao nível dos reservatórios de hidrelétricas.",2022,CI,Comissão de Serviços de Infraestrutura
4811,Relator Ad hoc,2024-04-09,PRS 55/2023,Institui a Frente Parlamentar em Defesa do Transporte Aéreo Nacional.,2023,CI,Comissão de Serviços de Infraestrutura
4811,Relator Ad hoc,2024-04-09,PL 3787/2023,"Altera a Lei nº 9.503, de 23 de setembro de 1997, que institui o Código de Trânsito Brasileiro, para tornar expressa a possibilidade de aplicação da receita arrecadada com multas de trânsito nas despesas que especifica.",2023,CI,Comissão de Serviços de Infraestrutura
4811,Relator Ad hoc,2024-04-09,PL 2196/2022,"Inclui no Anexo da Lei nº 5.917, de 10 de setembro de 1973, que aprova o Plano Nacional de Viação, a rodovia de ligação BR-478.",2022,CI,Comissão de Serviços de Infraestrutura
4811,Relator Ad hoc,2024-04-09,PL 2631/2022,"Altera a Lei nº 9.277, de 10 de maio de 1996, para autorizar destinação de percentual de receitas de portos para compensação de Municípios afetados por atividades portuárias.",2022,CI,Comissão de Serviços de Infraestrutura
4811,Relator,2024-03-26,PL 5562/2023,"Altera a Lei nº 8.069, de 13 de julho de 1990 (Estatuto da Criança e do Adolescente), para dispor sobre a responsabilização civil, criminal e administrativa dos agentes públicos que deixarem de adotar as medidas previstas em lei para a efetivação dos direitos das crianças e adolescentes.",2023,CDH,Comissão de Direitos Humanos e Legislação Participativa
4811,Relator,2024-03-20,PL 490/2024,Institui o Estatuto do Motorista Profissional.,2024,CI,Comissão de Serviços de Infraestrutura
4811,Relator,2024-03-13,PL 4534/2023,"Dispõe sobre o reconhecimento da insalubridade do trabalho dos profissionais que limpam banheiros públicos ou coletivos de grande circulação e estabelece medidas de segurança, e dá outras providências.",2023,CAE,Comissão de Assuntos Econômicos
4811,Relator,2024-03-06,PL 5085/2023,"Altera a Lei nº 8.078, de 11 de setembro de 1990 (Código de Defesa do Consumidor), e a Lei nº 10.820, de 17 de dezembro de 2003, que “dispõe sobre a autorização para desconto de prestações em folha de pagamento”, para dispor sobre a obrigatoriedade da assinatura em meio físico, pela pessoa idosa economicamente hipossuficiente, de contrato de crédito de qualquer espécie.",2023,CDH,Comissão de Direitos Humanos e Legislação Participativa
4811,Relator,2024-03-06,PL 5396/2023,"Altera a Lei nº 10.820, de 17 de dezembro de 2003, que dispõe sobre a autorização para desconto de prestações em folha de pagamento, e dá outras providências, para estabelecer critérios para a concessão de empréstimo consignado a pessoas idosas.",2023,CDH,Comissão de Direitos Humanos e Legislação Participativa
4811,Relator,2024-03-06,PL 4803/2023,"Altera a Lei nº 10.741, de 1º de outubro de 2003 (Estatuto da Pessoa Idosa), para tornar obrigatório o oferecimento de atendimento telefônico a idosos por operadoras de Plano Privados de Assistência à Saúde.",2023,CDH,Comissão de Direitos Humanos e Legislação Participativa
4811,Relator,2024-02-27,PL 6012/2023,"Altera a Lei nº 13.999, de 18 de maio de 2020, que institui o Programa Nacional de Apoio às Microempresas e Empresas de Pequeno Porte (Pronampe), para o desenvolvimento e o fortalecimento dos pequenos negócios e dá outras providências; e a Lei nº 14.161, de 2 de junho de 2021, que institui e regulamenta o Programa Nacional de Apoio às Microempresas e Empresas de Pequeno Porte (Pronampe), para assegurar que os recursos do Pronampe sejam permanentes.",2023,CAE,Comissão de Assuntos Econômicos
4811,Relator,2024-02-27,PLP 261/2023,"Altera a Lei Complementar nº 123, de 14 de dezembro de 2006, que “institui o Estatuto Nacional da Microempresa e da Empresa de Pequeno Porte”, para determinar a atualização monetária anual da receita bruta para fins enquadramento do Microempreendedor Individual (MEI), da Microempresa e da Empresa de Pequeno Porte para os efeitos da Lei.",2023,CAE,Comissão de Assuntos Econômicos
