codigoParlamentar,TipoRelator,DataDesignacao,Identificacao,Ementa,AnoMateria,SiglaComissao,NomeComissao
5979,Relator,2024-07-09,PL 4988/2023,"Cria o selo “Diversidade, Inclusão e Equidade no Ambiente de Trabalho”.",2023,CAS,Comissão de Assuntos Sociais
5979,Relator,2024-07-09,PL 4717/2020,"Altera a Lei nº 9.696, de 1 de setembro de 1998, que dispõe sobre a regulamentação da Profissão de Educação Física e cria os respectivos Conselho Federal e Conselhos Regionais de Educação Física, para assegurar ao profissional de educação física que presta serviços personalizados (personal trainer) livre acesso, sem ônus, a unidades de promoção de saúde física, academias e similares nos horários de atendimento aos seus alunos regularmente matriculados nessas unidades.",2020,CAS,Comissão de Assuntos Sociais
5979,Relator Revisor,2024-06-19,MPV 1225/2024,"Abre crédito extraordinário, em favor dos Ministérios da Agricultura e Pecuária e do Desenvolvimento Agrário e Agricultura Familiar, no valor de R$ 6.698.923.000,00, para os fins que especifica.",2024,CMO,"Comissão Mista de Planos, Orçamentos Públicos e Fiscalização"
5979,Relator,2024-06-12,PL 2840/2022,"Altera o § 3º do art. 392 da Consolidação das Leis do Trabalho (CLT), aprovada pelo Decreto-Lei nº 5.452, de 1º de maio de 1943, e insere o art. 71-D na Lei nº 8.213, de 24 de julho de 1991, para dispor sobre a licença-maternidade e o salário-maternidade, em caso de parto antecipado.",2022,CAS,Comissão de Assuntos Sociais
5979,Relator,2024-05-23,PL 2192/2022,"Altera o § 9º do art. 26 da Lei nº 9.394, de 20 de dezembro de 1996 (Lei de Diretrizes e Bases da Educação Nacional), para determinar a inclusão de conteúdos relativos à prevenção de todas as formas de violência contra a mulher, como temas transversais, nos currículos escolares da educação infantil, do ensino fundamental e do ensino médio.",2022,CE,Comissão de Educação e Cultura
5979,Relator,2024-05-23,PL 786/2021,"Altera dispositivos da Lei nº 9.394, de 20 de dezembro de 1996, que estabelece as diretrizes e bases da educação nacional, para incluir a vinculação entre a educação escolar e as práticas familiares e prever o estudo da parentalidade responsável nos currículos do ensino fundamental e do ensino médio.",2021,CE,Comissão de Educação e Cultura
5979,Relator Ad hoc,2024-05-22,PL 5177/2019,Institui o Dia Nacional de Conscientização sobre as Distrofias Musculares; e dá outras providências.,2019,CAS,Comissão de Assuntos Sociais
5979,Relator,2024-05-20,PL 597/2024,"Altera a Lei nº 8.080, de 19 de outubro de 1990, para instituir abordagem relativa ao luto perinatal no âmbito do Sistema Único de Saúde.",2024,CDH,Comissão de Direitos Humanos e Legislação Participativa
5979,Relator,2024-05-08,PL 1299/2024,"Altera o art. 112 da Lei nº 7.210, de 11 de julho de 1984 (Lei de Execução Penal), para dificultar a progressão de regime de cumprimento da pena nos casos em que o preso tenha sido condenado por crime praticado com emprego de violência contra crianças.",2024,CSP,Comissão de Segurança Pública
5979,Relator,2024-05-06,PL 6136/2023,"Altera os arts. 392, 392-A e 473, III da Consolidação das Leis do Trabalho (CLT), aprovada pelo Decreto-Lei nº 5.452, de 1º de maio de 1943, para estabelecer o compartilhamento da licença maternidade e da licença adotante.",2023,CAS,Comissão de Assuntos Sociais
