codigoParlamentar,TipoRelator,DataDesignacao,Identificacao,Ementa,AnoMateria,SiglaComissao,NomeComissao
5926,Relator,2024-05-13,PL 844/2024,"Altera o Decreto-Lei nº 2.848, de 7 de dezembro de 1940 – Código Penal, e a Lei nº 7.210, de 11 de julho de 1984 – Lei de Execução Penal, para modificar os regimes de cumprimento de pena, extinguindo o regime semiaberto.",2024,CSP,Comissão de Segurança Pública
5926,Relator,2024-05-07,OFS 3/2024,"Submete à apreciação do Senado Federal, nos termos do art. 130-A, inciso V, da Constituição Federal, a indicação do Senhor AURINEY UCHÔA DE BRITO, para compor o Conselho Nacional do Ministério Público - CNMP, na vaga destinada à OAB.",2024,CCJ,"Comissão de Constituição, Justiça e Cidadania"
5926,Relator,2024-04-24,PL 3036/2022,"Dispõe sobre a revogação das restrições quantitativas ao aproveitamento de prejuízos fiscais e bases negativas de IRPJ e CSLL, de forma escalonada, e autoriza a compensação integral de prejuízos fiscais do IRPJ e bases negativas da CSLL quando da extinção da pessoa jurídica.",2022,CAE,Comissão de Assuntos Econômicos
5926,Relator,2024-03-06,PL 4890/2023,"Estabelece incentivos fiscais e medidas de apoio à contratação de pessoas com deficiência, bem como determina obrigações relacionadas à acessibilidade nos locais de trabalho, e dá outras providências.",2023,CDH,Comissão de Direitos Humanos e Legislação Participativa
5926,Relator Ad hoc,2023-12-12,PL 2647/2022,"Acrescenta dispositivo à Lei nº 8.171, de 17 de janeiro de 1991, a fim de incluir o incentivo à aquisição de equipamentos para a produção de energias renováveis entre as prioridades da política agrícola.",2022,CI,Comissão de Serviços de Infraestrutura
5926,Relator Ad hoc,2023-11-28,PL 1765/2019,"Altera a Lei nº 11.482, de 31 de maio de 2007, para prorrogar o prazo de vigência da não incidência do Adicional ao Frete para Renovação da Marinha Mercante (AFRMM) previsto no art. 17 da Lei nº 9.432, de 8 de janeiro de 1997.",2019,CI,Comissão de Serviços de Infraestrutura
5926,Relator,2023-11-08,MSF 68/2023,"Solicita, nos termos do art. 52, incisos V, VII e VIII, da Constituição, a autorização para a contratação de operação de crédito externo, com a garantia da República Federativa do Brasil no valor de US$ 500,000,000.00 (quinhentos milhões de dólares dos Estados Unidos da América), de principal, entre o Banco do Brasil S.A. e o Banco Internacional para Reconstrução e Desenvolvimento - BIRD, cujos recursos destinam-se para o financiamento de investimentos em soluções financeiras que contribuam para a mitigação das mudanças climáticas.",2023,CAE,Comissão de Assuntos Econômicos
5926,Relator,2023-09-25,PL 501/2023,"Altera a Lei nº 8.069, de 13 de julho de 1990 (Estatuto da Criança e do Adolescente), para tipificar o crime de submissão de criança ou adolescente a intervenção cirúrgica ou a tratamento de transexualização.",2023,CDH,Comissão de Direitos Humanos e Legislação Participativa
5926,Relator,2023-09-12,PL 2868/2019,"Altera a Lei nº 7.853, de 24 de outubro de 1989, a fim de dispor sobre a realização de mutirões periódicos, em espaços públicos, para atendimentos terapêuticos multidisciplinares, com ações multiprofissionais, interdisciplinares e intersetoriais, a pessoas com deficiência.",2019,PLEN,Plenário do Senado Federal
5926,Relator,2023-08-22,PL 3214/2023,"Altera a Lei nº 9.503, de 23 de setembro de 1997 (Código de Trânsito Brasileiro), para prever que as placas veiculares informem o município e o estado no qual o veículo está registrado.",2023,CAE,Comissão de Assuntos Econômicos
