codigoParlamentar,TipoRelator,DataDesignacao,Identificacao,Ementa,AnoMateria,SiglaComissao,NomeComissao
631,Relator,2024-07-09,DEN 4/2024,Requer instauração de processo disciplinar (Denúncia) em face do Senador Randolfe Rodrigues.,2024,CEDP,Conselho de Ética e Decoro Parlamentar
631,Relator,2024-04-18,PDL 398/2022,"Aprova o ato que renova a autorização outorgada à Associação de Comunicação Social de Barra de São Francisco para executar serviço de radiodifusão comunitária no Município de Barra de São Francisco, Estado do Espírito Santo.",2022,CCDD,Comissão de Comunicação e Direito Digital
631,Relator,2024-04-18,PDL 223/2022,"Aprova o ato que renova a autorização outorgada à Associação Unidos para Comunicação de Pinheiros para executar serviço de radiodifusão comunitária no Município de Pinheiros, Estado do Espírito Santo.",2022,CCDD,Comissão de Comunicação e Direito Digital
631,Relator,2024-04-18,PDL 381/2022,"Aprova o ato que renova a autorização outorgada à Associação Educacional e Cultural de São Gabriel da Palha para executar serviço de radiodifusão comunitária no Município de São Gabriel da Palha, Estado do Espírito Santo.",2022,CCDD,Comissão de Comunicação e Direito Digital
631,Relator,2024-04-18,PDL 402/2022,"Aprova o ato que outorga autorização à Associação Rural Jaguarense para executar serviço de radiodifusão comunitária no Município de Jaguaré, Estado do Espírito Santo.",2022,CCDD,Comissão de Comunicação e Direito Digital
631,Relator,2024-04-17,PL 173/2020,"Autoriza transferência de capital, a título de contribuição, mediante celebração de convênios entre a União e as Associações de Proteção e Assistência aos Condenados (APACs), em atenção ao disposto no § 6º do art. 12 da Lei nº 4.320, de 17 de março de 1964.",2020,CAE,Comissão de Assuntos Econômicos
631,Relator,2024-03-08,PL 7/2021,Dispõe sobre as cores e símbolos oficiais dos entes federativos.,2021,CCJ,"Comissão de Constituição, Justiça e Cidadania"
631,Relator,2023-10-25,PL 745/2022,"Altera a Lei nº 13.812, de 16 de março de 2019, que institui a Política Nacional de Busca de Pessoas Desaparecidas, cria o Cadastro Nacional de Pessoas Desaparecidas e altera a Lei nº 8.069, de 13 de julho de 1990 (Estatuto da Criança e do Adolescente), para dispor sobre o uso de aplicações de reconhecimento facial.",2022,CDD,Comissão de Defesa da Democracia
631,Relator,2023-10-04,SUG 17/2019,Isenção de imposto  de  renda  e  incentivo  fiscal  para  profissionais  da  segurança  pública,2019,CDH,Comissão de Direitos Humanos e Legislação Participativa
631,Relator,2023-10-04,PRS 61/2023,"Institui, no âmbito do Senado Federal, a Comenda Alzira Soriano.",2023,CDH,Comissão de Direitos Humanos e Legislação Participativa
