codigoParlamentar,TipoRelator,DataDesignacao,Identificacao,Ementa,AnoMateria,SiglaComissao,NomeComissao
742,Relator,2024-07-09,PLS 499/2018,"Altera a Lei nº 9.294, de 15 de julho de 1995, para que bebidas com teor alcoólico superior a 0,5 graus Gay Lussac passem a ser consideradas bebidas alcoólicas.",2018,CAS,Comissão de Assuntos Sociais
742,Relator Ad hoc,2024-06-05,PL 4159/2023,"Altera dispositivos da Lei nº 12.852, de 5 de agosto de 2013, que institui o Estatuto da Juventude, para dispor sobre o direito do jovem ao voluntariado.",2023,CAS,Comissão de Assuntos Sociais
742,Relator,2024-05-23,PL 2480/2021,Institui o Mês de Conscientização sobre o Transtorno de Personalidade Borderline.,2021,CE,Comissão de Educação e Cultura
742,Relator,2024-05-20,PL 826/2019,Institui o Programa Nacional de Vacinação em Escolas Públicas.,2019,PLEN,Plenário do Senado Federal
742,Relator,2024-05-10,PL 545/2024,"Altera as Leis nºs 14.002, de 22 de maio de 2020, e 11.771, de 17 de setembro de 2008, para atualizar e aprimorar o regime jurídico a que se submete a Agência Brasileira de Promoção Internacional do Turismo (Embratur); e altera a Lei nº 12.462, de 4 de agosto de 2011.",2024,CCJ,"Comissão de Constituição, Justiça e Cidadania"
742,Relator,2024-05-06,PL 1088/2024,"Institui o mês de conscientização sobre doenças inflamatórias intestinais – doença de Crohn e retocolite ulcerativa –, denominado “Maio Roxo”.",2024,CAS,Comissão de Assuntos Sociais
742,Relator,2024-05-02,PL 600/2024,Denomina “Rodovia Pedro Inacio Wiegert” o trecho da rodovia BR-163 compreendido entre o município de Guarantã do Norte e a divisa do estado do Mato Grosso com o estado do Pará.,2024,CI,Comissão de Serviços de Infraestrutura
742,Relator,2024-04-25,PLP 66/2024,"Altera a Lei Complementar nº 141, de 13 de janeiro de 2012, para permitir que os consórcios públicos possam receber recursos destinados a ações e serviços públicos de saúde, mediante transferência fundo a fundo.",2024,CCJ,"Comissão de Constituição, Justiça e Cidadania"
742,Relator,2024-04-15,PL 858/2024,Dispõe sobre a criação do Fundo de Investimento em Infraestrutura Social – FIIS.,2024,CAS,Comissão de Assuntos Sociais
742,Relator,2024-04-11,PEC 12/2022,Altera a Constituição Federal para determinar a inelegibilidade para o mesmo cargo dos chefes do Poder Executivo no período subsequente e definir seus mandatos em cinco anos.,2022,CCJ,"Comissão de Constituição, Justiça e Cidadania"
742,Relator Ad hoc,2024-04-10,PLC 29/2017,"Dispõe sobre normas de seguro privado; revoga dispositivos da Lei nº 10.406, de 10 de janeiro de 2002 (Código Civil); e dá outras providências.",2017,CCJ,"Comissão de Constituição, Justiça e Cidadania"
742,Relator,2024-02-21,PL 4748/2023,"Estabelece políticas públicas de prevenção e promoção de saúde mental voltados aos profissionais de saúde e altera as leis nº 13.819, de 26 de abril de 2019 e nº 8.080, de 19 de setembro de 1990, a Lei Complementar nº 187, de 16 de dezembro de 2021 e o Decreto-Lei nº 5.452, de 1º de maio de 1943.",2023,CAS,Comissão de Assuntos Sociais
742,Relator,2024-02-21,PL 4558/2019,Dispõe sobre a atenção e os direitos das pessoas vitimadas por queimaduras.,2019,CAS,Comissão de Assuntos Sociais
742,Relator,2024-02-21,PL 4361/2023 (Substitutivo-CD),"Altera a Lei nº 8.069, de 13 de julho de 1990 (Estatuto da Criança e do Adolescente), para determinar a atualização periódica do rol de anormalidades do metabolismo rastreadas na triagem neonatal",2023,CAS,Comissão de Assuntos Sociais
742,Relator,2023-11-29,PL 826/2019,Institui o Programa Nacional de Vacinação em Escolas Públicas.,2019,CE,Comissão de Educação e Cultura
742,Relator,2023-11-20,PL 2757/2022 (Substitutivo-CD),"Altera as Leis nºs 11.952, de 25 de junho de 2009, e 8.629, de 25 de fevereiro de 1993, para dispor sobre a extinção de cláusulas resolutivas constantes de títulos fundiários, e a Lei nº 13.465, de 11 de julho de 2017.",2022,PLEN,Plenário do Senado Federal
742,N/I,2023-11-01,PLN 29/2023,Estima a receita e fixa a despesa da União para o exercício financeiro de 2024.,2023,CMO,"Comissão Mista de Planos, Orçamentos Públicos e Fiscalização"
