codigoParlamentar,TipoRelator,DataDesignacao,Identificacao,Ementa,AnoMateria,SiglaComissao,NomeComissao
285,Relator,2024-03-20,PL 4718/2020,"Altera a Lei nº 11.952, 25 de junho de 2009, que dispõe sobre a regularização fundiária das ocupações incidentes em terras situadas em áreas da União na Amazônia Legal, para instituir o processo judicial de regularização fundiária.",2020,CRA,Comissão de Agricultura e Reforma Agrária
285,Relator,2024-03-08,PL 3375/2023,"Acrescenta os arts. 29-A, 29-B e o § 4º do art. 51 da Lei nº 12.651, de 25 de maio de 2012, que dispõe sobre a proteção da vegetação nativa, para dispor sobre o apoio técnico, financeiro e operacional entre os entes federativos na análise dos dados do Cadastro Ambiental Rural (CAR) e sobre a natureza autodeclaratória do Cadastro.",2023,CCJ,"Comissão de Constituição, Justiça e Cidadania"
285,Relator,2024-03-07,PL 2880/2023,"Altera a Lei nº 11.343, de 23 de agosto de 2006, para dispor sobre a criação de programa de saúde direcionado às mulheres alcoolistas.",2023,CDH,Comissão de Direitos Humanos e Legislação Participativa
285,Relator,2024-03-06,PL 4793/2023,"Altera a Lei nº 10.741, de 1º de outubro de 2003 (Estatuto da Pessoa Idosa), para dispor sobre o uso, no cumprimento de medidas cautelares de proteção, de dispositivo eletrônico de gravação de conversas entre vítima e agressor, associado a “botão do pânico”, e prever medidas urgentes de proteção aplicáveis aos casos de violência doméstica contra a pessoa idosa.",2023,CDH,Comissão de Direitos Humanos e Legislação Participativa
285,Relator Ad hoc,2024-03-06,PEC 3/2020,"Altera o inciso XXVIII do art. 22 e acrescenta dispositivos aos arts. 23 e 24 da Constituição Federal, para dispor sobre o regime de competência para legislar sobre defesa e segurança cibernética e fixar a competência comum dos entes federados para zelar pela segurança cibernética dos serviços públicos.",2020,CCJ,"Comissão de Constituição, Justiça e Cidadania"
285,Relator,2024-02-08,PEC 12/2016,Possibilita a indenização dos detentores de títulos de domínio regularmente expedidos pelo Poder Público incidentes sobre terras indígenas e de remanescentes de quilombos.,2016,CCJ,"Comissão de Constituição, Justiça e Cidadania"
285,Relator,2023-09-18,PL 4132/2021,Modifica a Lei 13.146 de 6 de julho de 2015 (Estatuto da Pessoa com Deficiência) e estabelece a aplicação das regras de acessibilidade nos editais de compras e contratações públicos.,2021,CDH,Comissão de Direitos Humanos e Legislação Participativa
285,Relator,2023-09-13,PL 3954/2023,"Altera a Lei nº 14.133, de 1º de abril de 2021, para promover a gestão eficiente dos recursos relativos à aplicação dos recursos de convênios e dá outras providências.",2023,CCJ,"Comissão de Constituição, Justiça e Cidadania"
285,Relator,2023-09-12,PL 4174/2023,"Concede o título de Capital Nacional da Farinha de Mandioca ao Município de Cruzeiro do Sul, no Estado do Acre.",2023,CRA,Comissão de Agricultura e Reforma Agrária
285,Relator,2023-08-30,PL 3334/2023,"Altera a Lei nº 12.651, de 25 de maio de 2012 (Código Florestal), para permitir a redução da Reserva Legal em áreas de florestas da Amazônia Legal, para todos os efeitos, nos municípios com mais 50% do seu território ocupado por áreas protegidas de domínio público.",2023,CCJ,"Comissão de Constituição, Justiça e Cidadania"
285,Relator,2023-08-16,PL 1931/2021,"Altera a Lei nº 13.996, de 5 de maio de 2020, que “autoriza a prorrogação de contratos por tempo determinado no âmbito do Ministério da Agricultura, Pecuária, Abastecimento, e acrescenta dispositivo à Lei nº 9.264, de 7 de fevereiro de 1996”, para aumentar o prazo de prorrogação dos contratos temporários referidos.",2021,CRA,Comissão de Agricultura e Reforma Agrária
285,Relator,2023-08-16,PRS 73/2023,"Institui o Prêmio Alysson Paolinelli, a ser conferido anualmente pelo Senado Federal a pessoas físicas ou jurídicas que se destaquem por iniciativas e práticas de produção sustentável de alimentos e que contribuam para a segurança alimentar no Brasil.",2023,CRA,Comissão de Agricultura e Reforma Agrária
285,Relator,2023-08-09,PL 2606/2021,"Altera a Lei nº 9.605, de 12 de fevereiro de 1998, para agravar as penas dos crimes contra a Flora, previstos nos seus arts. 38, 38-A, 39, 41, 50, 50-A.",2021,CCJ,"Comissão de Constituição, Justiça e Cidadania"
285,Relator,2023-08-04,PL 2910/2022,"Altera a Lei nº 11.445, de 05 de janeiro de 2007, que estabelece as diretrizes nacionais para o saneamento básico, para dispor sobre o saneamento em áreas rurais, comunidades tradicionais e povos indígenas.",2022,CMA,Comissão de Meio Ambiente
285,Relator,2023-08-04,PL 2868/2023,"Altera a lei nº 11.445 de 05 de janeiro de 2007, que dispõe sobre as diretrizes nacionais para saneamento básico.",2023,CMA,Comissão de Meio Ambiente
285,Relator,2023-08-02,PL 2606/2021,"Altera a Lei nº 9.605, de 12 de fevereiro de 1998, para agravar as penas dos crimes contra a Flora, previstos nos seus arts. 38, 38-A, 39, 41, 50, 50-A.",2021,CMA,Comissão de Meio Ambiente
285,Relator,2023-06-26,PL 2086/2022,"Altera o art. 41-B da Lei nº 10.671, de 15 de maio de 2003 (Estatuto de Defesa do Torcedor), para aumentar a pena do crime de promoção de tumulto, prática ou incitação de violência, ou invasão de local restrito aos competidores em eventos esportivos, bem como para qualificar o referido delito quando houver a efetiva utilização de arma, bomba caseira ou qualquer outro instrumento ou artefato que possa causar dano à incolumidade física de outrem.",2022,CEsp,Comissão de Esporte
285,Relator,2023-06-14,RQS 292/2023,"Criação de Comissão Parlamentar de Inquérito, para apurar fatos relacionados às organizações não-governamentais (ONGs) e às organizações da sociedade civil de interesse público (OSCIPs).",2023,CPIONGS,CPI DAS ONGS
285,Relator,2023-05-24,OFS 3/2023,"Submete à apreciação do Senado Federal, nos termos do art. 130-A, inciso III, da Constituição Federal, o nome do Senhor PAULO CEZAR DOS PASSOS, para compor o Conselho Nacional do Ministério Público - CNMP, na vaga destinada ao Ministério Público dos Estados.",2023,CCJ,"Comissão de Constituição, Justiça e Cidadania"
285,Relator,2023-05-22,PL 4304/2021,Institui o Programa Pedagógico de Cooperação – Propeco.,2021,CE,Comissão de Educação e Cultura
285,Relator,2023-05-15,PL 1372/2023,"Revoga a Lei nº 12.318, de 26 de agosto de 2010, que dispõe sobre a alienação parental.",2023,CDH,Comissão de Direitos Humanos e Legislação Participativa
285,Relator,2023-05-15,PL 1881/2022,"Altera o art. 14 da Lei n° 8.069, de 13 de julho de 1990, que dispõe sobre o Estatuto da Criança e do Adolescente, para determinar a realização de pesquisas em saúde junto à população infantil.",2022,CDH,Comissão de Direitos Humanos e Legislação Participativa
285,Relator,2023-05-12,PL 551/2019,"Altera a Lei nº 12.651, de 25 de maio de 2012, que dispõe sobre a proteção da vegetação nativa e dá outras providências, para redefinir critérios para redução da área de Reserva Legal em imóveis rurais da Amazônia Legal.",2019,CCJ,"Comissão de Constituição, Justiça e Cidadania"
