codigoParlamentar,TipoRelator,DataDesignacao,Identificacao,Ementa,AnoMateria,SiglaComissao,NomeComissao
6304,Relator,2024-07-03,MSF 21/2024,"Submete à apreciação do Senado Federal, de conformidade com o art. 52, inciso IV, da Constituição, e com o art. 39, combinado com o art. 41 da Lei nº 11.440, de 2006, o nome da Senhora ROSIMAR DA SILVA SUZANO, Ministra de Primeira Classe da Carreira de Diplomata do Ministério das Relações Exteriores, para exercer o cargo de Embaixadora do Brasil na República da Estônia.",2024,CRE,Comissão de Relações Exteriores e Defesa Nacional
6304,Relator,2024-05-23,PRS 8/2024,Institui o Grupo Parlamentar Brasil-República Tcheca.,2024,CRE,Comissão de Relações Exteriores e Defesa Nacional
6304,Relator,2024-05-16,PL 3670/2023,"Altera a Lei nº 8.036, de 11 de maio de 1990 e a Lei nº 8.212, de 24 de julho de 1991, para retirar a obrigatoriedade de cobrança de FGTS e Contribuição Previdenciária sobre a remuneração recebida por empregados que já sejam aposentados, bem como altera a Lei nº 13.667, de 17 de maio de 2018 para criar cadastro específico de vagas de trabalho para aposentados junto ao Sistema Nacional de Emprego (Sine).",2023,CAE,Comissão de Assuntos Econômicos
6304,Relator,2024-05-02,PL 3757/2023,"Altera a Lei nº 13.116, de 20 de abril de 2015, que estabelece normas gerais para implantação e compartilhamento da infraestrutura de telecomunicações, para estabelecer o compartilhamento gratuito de infraestruturas para emissoras de radiodifusão educativa de instituições públicas.",2023,CI,Comissão de Serviços de Infraestrutura
6304,Relator,2024-04-18,PDL 218/2023,"Aprova o ato que renova a autorização outorgada à Associação Comunitária de Comunicação de Sapezal para executar serviço de radiodifusão comunitária no Município de Sapezal, Estado de Mato Grosso.",2023,CCDD,Comissão de Comunicação e Direito Digital
6304,Relator,2024-04-18,PDL 437/2022,"Aprova o ato que renova a autorização outorgada à Associação de Amigos do Município de Nova Guarita para executar serviço de radiodifusão comunitária no Município de Nova Guarita, Estado de Mato Grosso.",2022,CCDD,Comissão de Comunicação e Direito Digital
6304,Relator,2024-04-18,PDL 293/2022,"Aprova o ato que outorga autorização à Associação Cultural Rádio Comunitária do Parque do Lago para executar serviço de radiodifusão comunitária no Município de Várzea Grande, Estado de Mato Grosso.",2022,CCDD,Comissão de Comunicação e Direito Digital
6304,Relator,2024-04-18,PDL 277/2022,"Aprova o ato que renova a autorização outorgada à Associação Comunitária Rádio FM Cláudia para executar serviço de radiodifusão comunitária no Município de Cláudia, Estado de Mato Grosso.",2022,CCDD,Comissão de Comunicação e Direito Digital
6304,Relator,2024-04-18,PDL 635/2021,"Aprova o ato que renova a autorização outorgada à Associação Movimento Comunitário Rádio Regional Navegantes FM para executar serviço de radiodifusão comunitária no Município de Aripuanã, Estado de Mato Grosso.",2021,CCDD,Comissão de Comunicação e Direito Digital
6304,Relator,2024-04-18,PDL 560/2019,"Aprova o ato que outorga autorização à Associação Comunitária de Desenvolvimento Artístico e Cultural de Vale de São Domingos (Acodac) para executar serviço de radiodifusão comunitária no Município de Vale de São Domingos, Estado do Mato Grosso.",2019,CCDD,Comissão de Comunicação e Direito Digital
