codigoParlamentar,TipoRelator,DataDesignacao,Identificacao,Ementa,AnoMateria,SiglaComissao,NomeComissao
5985,Relator,2024-06-20,PL 3446/2019,"Altera a Lei nº 13.830, de 13 de maio de 2019, para autorizar a inclusão da equoterapia entre as práticas previstas na Política Nacional de Práticas Integrativas e Complementares (PNPIC), no âmbito do Sistema Único de Saúde (SUS).",2019,CAS,Comissão de Assuntos Sociais
5985,Relator,2024-05-20,PL 1355/2024,Proíbe e considera prática abusiva oferecer empréstimos aos aposentados ou pensionistas por telefone ou qualquer outro meio não presencial.,2024,CDH,Comissão de Direitos Humanos e Legislação Participativa
5985,Relator Ad hoc,2024-05-07,PL 3231/2023,Institui o Dia Nacional do Imigrante Grego.,2023,CE,Comissão de Educação e Cultura
5985,Relator,2024-05-06,PL 6202/2023,Institui o Dia Nacional do Médico Ultrassonografista.,2023,CAS,Comissão de Assuntos Sociais
5985,Relator,2024-04-25,PL 2389/2019,"Acresce parágrafo ao artigo 26, da Lei 9.394 de 1996, que estabelece as diretrizes e bases da educação nacional, para dispor sobre a obrigatoriedade do treinamento dos docentes e dos alunos da educação infantil e dos ensinos fundamental e médio em técnicas de primeiros socorros.",2019,CE,Comissão de Educação e Cultura
5985,Relator,2024-04-24,PL 5263/2023,"Dispõe sobre os procedimentos que devem ser observados na comercialização de produção minerária, bem como dos direitos a ela associada, com vistas a combater a extração ou produção não autorizada de minérios, a sonegação, a evasão de recursos, bem como a valorização dos recursos minerais como bens da União, na forma do inciso IX do art. 20 da Constituição Federal.",2023,CAE,Comissão de Assuntos Econômicos
5985,Relator,2024-04-24,PL 2966/2019,Isenta do Imposto sobre Produtos Industrializados a aquisição de caminhonetes por produtores rurais pessoas físicas.,2019,CAE,Comissão de Assuntos Econômicos
5985,Relator,2024-04-18,PDL 232/2023,"Aprova o ato que renova a autorização outorgada à Associação Comunitária, Ecológica, Educativa e Cultural de Alcinópolis para executar serviço de radiodifusão comunitária no Município de Alcinópolis, Estado de Mato Grosso do Sul.",2023,CCDD,Comissão de Comunicação e Direito Digital
5985,Relator,2024-04-18,PDL 234/2023,"Aprova o ato que renova a autorização outorgada à Associação Comunitária e Cultural Pantaneira para executar serviço de radiodifusão comunitária no Município de Coxim, Estado de Mato Grosso do Sul.",2023,CCDD,Comissão de Comunicação e Direito Digital
5985,Relator,2024-04-18,PDL 227/2023,"Aprova o ato que renova a autorização outorgada à Associação Comunitária Rádio Educativa Cidade FM para executar serviço de radiodifusão comunitária no Município de Batayporã, Estado de Mato Grosso do Sul.",2023,CCDD,Comissão de Comunicação e Direito Digital
5985,Relator,2024-04-18,PDL 430/2022,"Aprova o ato que renova a autorização outorgada à Associação Comunitária de Desenvolvimento Artístico e Cultural de Rochedo para executar serviço de radiodifusão comunitária no Município de Rochedo, Estado de Mato Grosso do Sul.",2022,CCDD,Comissão de Comunicação e Direito Digital
5985,Relator,2024-03-14,PDL 927/2021,"Aprova o texto do Acordo de Sede entre a República Argentina e o Comitê Intergovernamental da Hidrovia Paraguai-Paraná, assinado em Assunção, em 9 de março de 2018.",2021,CRE,Comissão de Relações Exteriores e Defesa Nacional
5985,Relator,2024-03-06,PL 1915/2023,"Altera a Lei no 8.069, de 13 de julho de 1990, para prever o teste neonatal para identificar atrofia muscular espinhal",2023,CAE,Comissão de Assuntos Econômicos
5985,Relator,2024-02-26,PL 883/2020,"Regulamenta a prática de cuidados paliativos nos serviços de saúde, no território nacional.",2020,CDH,Comissão de Direitos Humanos e Legislação Participativa
5985,Relator,2024-02-26,PL 4530/2023,"Altera a Lei n° 13.709, de 14 de agosto de 2018 (Lei Geral de Proteção de Dados Pessoais – LGPD), para aumentar o percentual da multa simples em caso de infrações às normas previstas na lei, e a Lei n° 8.079, de 11 de setembro de 1990 (Código de Proteção e Defesa do Consumidor), para proibir a exigência de dados pessoais sem informar ao consumidor qual a finalidade e qual tipo de tratamento serão dados aos mesmos.",2023,CTFC,"Comissão de Transparência, Governança, Fiscalização e Controle e Defesa do Consumidor"
5985,Relator,2024-02-26,PL 4719/2020,"Estabelece a isenção de tributos federais para a doação de medicamentos à União, aos Estados, ao Distrito Federal e aos Municípios, às santas casas de misericórdia, à Cruz Vermelha Brasileira e a entidades beneficentes certificadas na forma da Lei Complementar nº 187, de 16 de dezembro de 2021.",2020,CAS,Comissão de Assuntos Sociais
5985,Relator,2024-02-22,PL 540/2021,"Altera a Lei nº 8.069, de 13 de julho de 1990 (Estatuto da Criança e do Adolescente), para tornar obrigatória a realização da versão ampliada do teste do pezinho no âmbito da rede pública de saúde.",2021,CDH,Comissão de Direitos Humanos e Legislação Participativa
5985,Relator,2024-02-21,SCD 7/2017,"Torna obrigatória a conformidade com as normas da ABNT das armações para óculos, óculos de proteção solar, blocos de lentes, lentes oftálmicas e lentes de contato.",2017,CAS,Comissão de Assuntos Sociais
5985,Relator,2023-11-23,MSF 84/2023,"Submete à apreciação do Senado Federal, nos termos do art. 52, inciso III, alínea ""f"", da Constituição, combinado com o art. 6º da Lei no 12.529, de 30 de novembro de 2011, o nome do Senhor CARLOS JACQUES VIEIRA GOMES, para exercer o cargo de Conselheiro do Conselho Administrativo de Defesa Econômica - CADE, com mandato de quatro anos, na vaga decorrente do término do mandato de Lenisa Rodrigues Prado.",2023,CAE,Comissão de Assuntos Econômicos
5985,Relator,2023-11-20,MSF 78/2023,"Submete à apreciação do Senado Federal, nos termos do art. 52, inciso III, alínea “d”, da Constituição, combinado com art. 4º, caput, da Lei Complementar nº 179, de 24 de fevereiro de 2021, o nome do Senhor RODRIGO ALVES TEIXEIRA, para exercer o cargo de Diretor do Banco Central do Brasil, na vaga decorrente do término do mandato de Maurício Costa de Moura em 31 de dezembro de 2023.",2023,CAE,Comissão de Assuntos Econômicos
5985,Relator,2023-11-14,PL 1906/2021,"Altera o Decreto-Lei nº 2.848, de 7 de dezembro de 1940 (Código Penal), o Decreto-Lei nº 3.689, de 3 de outubro de 1941 (Código de Processo Penal), e a Lei nº 7.210, de 11 de julho de 1984 (Lei de Execução Penal), para prever a destinação de dispositivos eletrônicos apreendidos ou objeto de perdimento às redes públicas de ensino.",2021,CE,Comissão de Educação e Cultura
5985,Relator,2023-10-11,PL 3701/2023,"Altera a Lei nº 11.196 de 21 de novembro de 2005 a fim de ratificar a autorização ao creditamento de PIS e COFINS quando da aquisição dos materiais que menciona, em linha com o disposto no art. 3º, inciso II das Lei 10.637/02 e 10.833/03, bem como determina a isenção destas contribuições na venda de resíduos, desperdícios e demais materiais reciclados.",2023,CMA,Comissão de Meio Ambiente
5985,Relator,2023-10-10,PL 4773/2023,Institui a data de quinze de maio como o “Dia Nacional de Conscientização sobre a Esclerose Tuberosa” e dá outras providências.,2023,CE,Comissão de Educação e Cultura
5985,Relator,2023-10-04,PL 3618/2023,"Altera a Lei nº 12.213, de 20 de janeiro de 2010, para possibilitar ao doador de recursos aos fundos da pessoa idosa a indicação da destinação desses recursos, na forma que especifica.",2023,CDH,Comissão de Direitos Humanos e Legislação Participativa
5985,Relator,2023-10-04,PL 3167/2023,"Altera a Lei nº 14.533, de 11 de janeiro de 2023, para dispor sobre a inclusão digital das pessoas idosas.",2023,CDH,Comissão de Direitos Humanos e Legislação Participativa
5985,Relator,2023-09-28,MSF 61/2023,"Submete à apreciação do Senado Federal, nos termos do art. 104, parágrafo único, inciso I, da Constituição, o nome do Senhor Teodoro Silva Santos, Desembargador do Tribunal de Justiça do Estado do Ceará, para exercer o cargo de Ministro do Superior Tribunal de Justiça, na vaga decorrente da aposentadoria do Ministro Jorge Mussi.",2023,CCJ,"Comissão de Constituição, Justiça e Cidadania"
5985,Relator,2023-09-18,PL 4558/2019,Dispõe sobre a atenção e os direitos das pessoas vitimadas por queimaduras.,2019,CDH,Comissão de Direitos Humanos e Legislação Participativa
5985,Relator Ad hoc,2023-09-14,PDL 165/2022,"Aprova o texto do Acordo para a Proteção Mútua das Indicações Geográficas Originárias nos Territórios dos Estados Partes do Mercosul, assinado em Bento Gonçalves, em 5 de dezembro de 2019.",2022,CRE,Comissão de Relações Exteriores e Defesa Nacional
5985,Relator Ad hoc,2023-09-14,PDL 164/2022,"Aprova o texto do Acordo sobre Facilitação do Comércio do Mercosul, assinado em Bento Gonçalves, em 5 de dezembro de 2019.",2022,CRE,Comissão de Relações Exteriores e Defesa Nacional
5985,Relator,2023-09-14,PL 953/2021,Institui o Programa de Regularização de Débitos não Tributários (PRD) junto às autarquias e fundações públicas federais e à Procuradoria-Geral Federal e dá outras providências.,2021,CAE,Comissão de Assuntos Econômicos
5985,Relator,2023-09-12,PL 3739/2023,"Altera a Lei nº 9.790, de 23 de março de 1999, para incluir a promoção gratuita de atividades desportivas entre as atividades passíveis de serem realizadas pelas entidades qualificadas como Organizações da Sociedade Civil de Interesse Público.",2023,CEsp,Comissão de Esporte
5985,Relator,2023-09-01,PL 2097/2023,"Altera o art. 282 do Decreto-Lei nº 2.848, de 7 de dezembro de 1940 – Código Penal, para tornar crime a prática de procedimento médico ou dentário não consentido pelo paciente.",2023,CAS,Comissão de Assuntos Sociais
5985,Relator,2023-09-01,PDL 694/2021,"Aprova o ato que renova a autorização outorgada à Associação Comunitária Moriah (Moriah FM) para executar serviço de radiodifusão comunitária no Município de Jales, Estado de São Paulo.",2021,CCDD,Comissão de Comunicação e Direito Digital
5985,Relator,2023-09-01,PDL 684/2021,"Aprova o ato que renova a autorização outorgada à Associação Beneficente Comunitária e Social Ajuda Fraterna para executar serviço de radiodifusão comunitária no Município de Torrinha, Estado de São Paulo.",2021,CCDD,Comissão de Comunicação e Direito Digital
5985,Relator,2023-09-01,PDL 682/2021,"Aprova o ato que renova a autorização outorgada à Associação de Comunicação Comunitária Ágape de Ourinhos para executar serviço de radiodifusão comunitária no Município de Ourinhos, Estado de São Paulo.",2021,CCDD,Comissão de Comunicação e Direito Digital
5985,Relator,2023-09-01,PDL 106/2019,"Aprova o ato que outorga permissão à Fundação Jaboticabal de Radiodifusão Educativa para executar serviço de radiodifusão sonora em frequência modulada no Município de Bebedouro, Estado de São Paulo.",2019,CCDD,Comissão de Comunicação e Direito Digital
5985,Relator,2023-09-01,PDL 322/2019,"Aprova o ato que renova a autorização outorgada à Associação Educativa e Comunitária Serrana de Cunha para executar serviço de radiodifusão comunitária no Município de Cunha, Estado de São Paulo.",2019,CCDD,Comissão de Comunicação e Direito Digital
5985,Relator,2023-09-01,PDL 473/2019,"Aprova o ato que renova a permissão outorgada à Rádio Jovem Som de Presidente Venceslau Ltda. para explorar serviço de radiodifusão sonora em frequência modulada no Município de Presidente Venceslau, Estado de São Paulo.",2019,CCDD,Comissão de Comunicação e Direito Digital
5985,Relator,2023-09-01,PDL 620/2019,"Aprova o ato que outorga permissão à Som da Ilha Comércio e Produções Ltda-ME para explorar serviço de radiodifusão sonora em frequência modulada no Município de Palmares Paulista, Estado de São Paulo.",2019,CCDD,Comissão de Comunicação e Direito Digital
5985,Relator,2023-09-01,PDL 622/2019,"Aprova o ato que outorga autorização à Associação Comunitária de Comunicação e Cultura São Pedro para executar serviço de radiodifusão comunitária no Município de Ubarana, Estado de São Paulo.",2019,CCDD,Comissão de Comunicação e Direito Digital
5985,Relator,2023-09-01,PDS 159/2018,"Aprova o ato que renova a concessão outorgada à Rádio Panamericana S.A. para explorar serviço de radiodifusão sonora em onda média no Município de São Paulo, Estado de São Paulo.",2018,CCDD,Comissão de Comunicação e Direito Digital
5985,Relator,2023-09-01,PDS 194/2015,"Aprova o ato que outorga permissão à EMPRESA DE RADIODIFUSÃO URSA MAIOR LTDA. para explorar serviço de radiodifusão sonora em frequência modulada na cidade de Bilac, Estado de São Paulo.",2015,CCDD,Comissão de Comunicação e Direito Digital
5985,Relator,2023-09-01,PDS 157/2013,"Aprova o ato que outorga permissão à EMPRESA DE RADIODIFUSÃO ESTRELA DALVA LTDA. para explorar serviço de radiodifusão sonora em frequência modulada na cidade de Iguapé, Estado de São Paulo.",2013,CCDD,Comissão de Comunicação e Direito Digital
5985,Relator,2023-09-01,PDL 894/2021,"Aprova o ato que renova a autorização outorgada à Associação de Integração Comunitária Cidade Esperança para executar serviço de radiodifusão comunitária no Município de Brasilândia, Estado de Mato Grosso do Sul.",2021,CCDD,Comissão de Comunicação e Direito Digital
5985,Relator,2023-09-01,PDL 889/2021,"Aprova o ato que renova a autorização outorgada à Associação Louvores ao Rei de Integração Comunitária para executar serviço de radiodifusão comunitária no Município de Campo Grande, Estado de Mato Grosso do Sul.",2021,CCDD,Comissão de Comunicação e Direito Digital
5985,Relator,2023-09-01,PDL 886/2021,"Aprova o ato que outorga autorização à Associação Comunitária de Desenvolvimento Artístico e Cultural Morena Campo Grande para executar serviço de radiodifusão comunitária no Município de Campo Grande, Estado de Mato Grosso do Sul.",2021,CCDD,Comissão de Comunicação e Direito Digital
5985,Relator,2023-09-01,PDL 867/2021,"Aprova o ato que renova a autorização outorgada à Associação Comunitária Inocencience de Comunicação e Marketing para executar serviço de radiodifusão comunitária no Município de Inocência, Estado de Mato Grosso do Sul.",2021,CCDD,Comissão de Comunicação e Direito Digital
5985,Relator,2023-09-01,PDL 863/2021,"Aprova o ato que renova a autorização outorgada à Associação Comunitária Rádio Ondas Verdes FM para executar serviço de radiodifusão comunitária no Município de Tacuru, Estado do Mato Grosso do Sul.",2021,CCDD,Comissão de Comunicação e Direito Digital
5985,Relator,2023-09-01,PDL 534/2019,"Aprova o ato que outorga autorização à Associação Comunitária Vicentina para executar serviço de radiodifusão comunitária no Município de Vicentina, Estado do Mato Grosso do Sul.",2019,CCDD,Comissão de Comunicação e Direito Digital
5985,Relator,2023-09-01,PDL 306/2019,"Aprova o ato que renova a autorização outorgada à Associação Comunitária Novo Alvorecer para executar serviço de radiodifusão comunitária no Município de Eldorado, Estado do Mato Grosso do Sul.",2019,CCDD,Comissão de Comunicação e Direito Digital
5985,Relator,2023-09-01,PDL 180/2019,"Aprova o ato que renova a autorização outorgada à Associação Comunitária Rádio Gaúcha FM de Bataguassu-MS para executar serviço de radiodifusão comunitária no Município de Bataguassu-MS, Estado do Mato Grosso do Sul.",2019,CCDD,Comissão de Comunicação e Direito Digital
5985,Relator,2023-09-01,PDL 170/2019,"Aprova o ato que renova a autorização outorgada à Associação de Amigos e Colaboradores Corguinhenses para executar serviço de radiodifusão comunitária no Município de Corguinho, Estado do Mato Grosso do Sul.",2019,CCDD,Comissão de Comunicação e Direito Digital
5985,Relator,2023-08-31,PL 2443/2020,Dispõe sobre a suspensão de exigências e a repactuação de condições para as organizações da sociedade civil sem fins lucrativos durante estado de pandemia ou calamidade pública.,2020,CE,Comissão de Educação e Cultura
5985,Relator,2023-08-29,PRS 20/2022,Institui o Grupo Parlamentar Brasil-Síria.,2022,CRE,Comissão de Relações Exteriores e Defesa Nacional
5985,Relator,2023-08-29,PL 2776/2023,"Altera a Lei nº 6.360, de 23 de setembro de 1976, para liberar e autorizar o registro de medicamento estrangeiro destinado ao tratamento de doenças raras não havendo produto similar no país e devidamente prescrito por profissional de saúde.",2023,CRE,Comissão de Relações Exteriores e Defesa Nacional
5985,Relator,2023-08-24,PL 1049/2022,"Altera o Decreto-Lei nº 2.848, de 7 de dezembro de 1940, que institui o Código Penal, para acrescentar ao rol de crimes o Crime de Extorsão Digital.",2022,CCDD,Comissão de Comunicação e Direito Digital
5985,Relator Ad hoc,2023-08-23,PL 2086/2022,"Altera o art. 41-B da Lei nº 10.671, de 15 de maio de 2003 (Estatuto de Defesa do Torcedor), para aumentar a pena do crime de promoção de tumulto, prática ou incitação de violência, ou invasão de local restrito aos competidores em eventos esportivos, bem como para qualificar o referido delito quando houver a efetiva utilização de arma, bomba caseira ou qualquer outro instrumento ou artefato que possa causar dano à incolumidade física de outrem.",2022,CEsp,Comissão de Esporte
5985,Relator,2023-08-10,PL 2214/2023,"Altera o Decreto Lei nº 2848 de 7, de dezembro, de 1940.",2023,CSP,Comissão de Segurança Pública
