codigoParlamentar,TipoRelator,DataDesignacao,Identificacao,Ementa,AnoMateria,SiglaComissao,NomeComissao
5525,Relator,2024-07-11,PL 13/2020,"Aperfeiçoa a política industrial para o setor de tecnologias da informação e comunicação e para o setor de semicondutores; adequa o prazo de concessão de incentivos e de estímulo à tecnologia nacional; cria o Programa Brasil Semicondutores (Brasil Semicon); e altera o Decreto-Lei nº 288, de 28 de fevereiro de 1967, e as Leis nºs 8.248, de 23 de outubro de 1991, 11.484, de 31 de maio de 2007, e 13.969, de 26 de dezembro de 2019.",2020,CAE,Comissão de Assuntos Econômicos
5525,Relator,2024-06-20,PL 6235/2023,"Institui a Letra de Crédito do Desenvolvimento (LCD); altera as Leis nºs 13.483, de 21 de setembro de 2017, e 11.076, de 30 de dezembro de 2004; e revoga dispositivos das Leis nºs 14.366, de 8 de junho de 2022, e 14.440, de 2 de setembro de 2022.",2023,CAE,Comissão de Assuntos Econômicos
5525,Relator,2024-06-06,PL 2140/2020,Altera o Código Penal para criminalizar a apologia à tortura e à instauração de regime ditatorial no país.,2020,CSP,Comissão de Segurança Pública
5525,Relator,2024-05-03,PL 5598/2023,"Altera a Lei nº 13.608, de 10 de janeiro de 2018, para dar maior praticidade operacional e resguardo ao instituto do informante do bem.",2023,CSP,Comissão de Segurança Pública
5525,Relator,2024-05-02,PLP 145/2023,"Altera a Lei Complementar nº 192, de 11 de março de 2022, para estabelecer o limite máximo para incidência do ICMS sobre gasolina e etanol anidro combustível.",2023,CI,Comissão de Serviços de Infraestrutura
5525,Relator,2024-04-09,PL 932/2024,"Confere ao município da Estância Turística de Itu, do estado de São Paulo, o Título de “Capital Nacional do Berço da República”.",2024,CDD,Comissão de Defesa da Democracia
5525,Relator,2024-02-07,PL 5289/2023,"Altera a Lei nº 9.532, de 10 de dezembro de 1997, para estender o prazo de vigência dos incentivos fiscais a que se referem o Decreto-Lei nº 288, de 28 de fevereiro de 1967, com as posteriores alterações, o Decreto-Lei nº 356, de 15 de agosto de 1968, o Decreto-Lei nº 1.435, de 16 de dezembro de 1975 e a Lei nº 8.387, de 30 de dezembro de 1991.",2023,CDR,Comissão de Desenvolvimento Regional e Turismo
5525,Relator,2023-12-20,PL 2673/2019,"Altera a Lei nº 9.532, de 10 de dezembro de 1997, para ampliar o prazo de vigência dos benefícios fiscais das Áreas de Livre Comércio à Amazônia Ocidental.",2019,PLEN,Plenário do Senado Federal
5525,Relator,2023-10-25,PL 2140/2020,Altera o Código Penal para criminalizar a apologia à tortura e à instauração de regime ditatorial no país.,2020,CDD,Comissão de Defesa da Democracia
5525,Relator,2023-09-27,PL 3023/2022,"Altera a Lei nº 11.520, de 18 de setembro de 2007, para modificar o valor da pensão especial concedida às pessoas com hanseníase submetidas compulsoriamente a isolamento ou internação e conceder o benefício aos seus filhos, na forma que especifica.",2022,CAE,Comissão de Assuntos Econômicos
5525,Relator,2023-09-27,MSF 60/2023,"Submete à apreciação do Senado Federal, nos termos do art. 104, parágrafo único, inciso II, da Constituição, o nome da Senhora Daniela Rodrigues Teixeira, para exercer o cargo de Ministra do Superior Tribunal de Justiça, na vaga destinada à advocacia, decorrente da aposentadoria do Ministro Felix Fischer.",2023,CCJ,"Comissão de Constituição, Justiça e Cidadania"
5525,Relator,2023-08-16,PLP 257/2019,"Altera a Lei Complementar nº 101, de 04 de maio de 2000, e a Lei n° 12.340, de 1º de dezembro de 2010, para aperfeiçoar os meios técnicos e financeiros de resposta da União a calamidades públicas.",2019,PLEN,Plenário do Senado Federal
5525,Relator,2023-08-11,PL 964/2022,"Altera a Lei nº 8.387, de 30 de dezembro de 1991, para reduzir as exigências de investimentos em atividades de pesquisa, desenvolvimento e inovação pelas empresas que tenham como finalidade a produção de bens e serviços de tecnologias da informação e comunicação beneficiadas pelos incentivos fiscais e financeiros previstos no art. 9º do Decreto-Lei nº 288, de 28 de fevereiro de 1967.",2022,CDR,Comissão de Desenvolvimento Regional e Turismo
5525,Relator,2023-08-10,PL 993/2021,Define os crimes contra a ordem política e social e o Estado Democrático de Direito e dá outras providências.,2021,CSP,Comissão de Segurança Pública
5525,Relator,2023-08-10,PL 2140/2020,Altera o Código Penal para criminalizar a apologia à tortura e à instauração de regime ditatorial no país.,2020,CSP,Comissão de Segurança Pública
5525,Relator,2023-07-06,PL 4227/2021,"Altera a Lei nº 8.387, de 30 de dezembro de 1991, e a Lei nº 13.674, de 11 de junho de 2018, para dispor sobre prazo de proposta de plano de reinvestimento de débitos referentes aos investimentos residuais pela empresa beneficiária.",2021,CDR,Comissão de Desenvolvimento Regional e Turismo
5525,Relator,2023-06-21,PLP 93/2023,"Institui regime fiscal sustentável para garantir a estabilidade macroeconômica do País e criar as condições adequadas ao crescimento socioeconômico, com fundamento no art. 6º da Emenda Constitucional nº 126, de 21 de dezembro de 2022, e no inciso VIII do caput e no parágrafo único do art. 163 da Constituição Federal; e altera a Lei Complementar nº 101, de 4 de maio de 2000 (Lei de Responsabilidade Fiscal), e a Lei nº 10.633, de 27 de dezembro de 2002.",2023,CAE,Comissão de Assuntos Econômicos
5525,Relator,2023-06-15,DEN 5/2023,"Requer a abertura de procedimento disciplinar (Representação) em face do Senador Randolfe Rodrigues, com fundamento na Resolução do Senado Federal nº 20, de 1993.",2023,CEDP,Conselho de Ética e Decoro Parlamentar
